|speaker|prev_text|prev_speaker|next_text|next_speaker|en_text|pl_text|dialog_prototype
38|Triss|Entertaining the guests. He has always been an outsized presence at my receptions. I preferred not to arouse any suspicions…|Novigrad Noblewoman 02|We shall have to wait until the guests have imbibed enough to notice only the goblet-laden trays. Don't fret, it won't be long.|Novigrad Noblewoman 02|When can we take him away?|Kiedy będzie mógł wyjść?|Kiedy możemy go stąd zabrać?
39|Keira Metz|||||Ann Gal Scam'Hanach!|Ann Gal Scam'Hanach!|Ann Gal Scam'Hanach!
40|Skellige Druid 04|Me? Drifter, stranger, mutant… Sometimes even by my name. Geralt of Rivia.|Geralt|Gremist wanted me to summon you. Needs you to help him perform a ritual.|Geralt|Hah! A man with a sense of humor. I like that. Well, what can I do for you, Geralt of Rivia?|Ha! Człowiek z dystansem do siebie, to lubię. No, co mogę dla ciebie zrobić, Geralcie z Rivii?|Hah! Człowiek z poczuciem humoru. Lubię to. No cóż, co mogę dla ciebie zrobić, Geralcie z Rivii?
41|Lambert|||||Ugh.|Yhh...|Ugh.
42|Cirilla|No.|Yennefer|Tell us what you talked about?|Geralt|You haven't changed a bit.|Widzę, że nic się nie zmieniło.|Nie zmieniłaś się ani trochę.
43|Geralt|Thank Yennefer. It was her idea, her plan.|Geralt|"Do you jest? They asked Radovid to ""intervene."" Just after he'd appointed them."|Margarita Laux Antille|No reaction from the Council, the Conclave?|A Rada i Kapituła nie zareagowały?|No reaction from the Council, the Conclave?
44|Novigrad Thug Strong 01|Wise words.|Redanian Soldier 01|We're done here…|Novigrad Thug Strong 02|Don't know about you two, but I'm feelin' a bit sleepy.|Nie wiem jak wy, ale ja jestem śpiący.|Nie wiem, co wy dwaj myślicie, ale ja czuję się trochę senny.
45|Novigrad Prostitute 01|Hey there, handsome!|Novigrad Prostitute 01|What's the hurry, my prince?|Novigrad Prostitute 01|Meooooow?|Miau?|Meooooow?
46|Philippa Eilhart|A ridiculous bauble. Don't make me laugh.|Philippa Eilhart|Watch this. Arha'an lumar!|Philippa Eilhart|Tuning into elven magic is just slightly more difficult than sniffing out a malodorous fiend.|Dostroić się do elfiej magii jest odrobinę trudniej niż wyczuć śmierdzącego biesa.|Wsłuchiwanie się w magię elficką jest nieco trudniejsze niż wywąchanie cuchnącego demona.
47|Zoltan Chivay|Aye. Soon as we catch sight of 'em, we'll block the road, 'gainst a whole unit, if need be. And… you know I think it's a great plan all around, and I'm always glad to help…|Zoltan Chivay|Seein' as we've got a doppler, wouldn't it've been easier to have him release Dandelion and-and be done with it?|Zoltan Chivay|And it's not like I'm not eager to crack some holier-than-thou buggers' skulls, but…|I nie żebym nie chciał natłuc trochę tych świętojebliwców...|Nie jest tak, że nie mam ochoty rozwalić czaszek paru świętszych od papieża gnojków, ale...
48|Yennefer|||Can you dismantle it?|Geralt|Damn… Avallac'h's surrounded the tower with a magic barricade.|Cholera... Avallac’h odgrodził wieżę magiczną barierą.|Czy możesz to rozmontować?
49|Geralt|So am I.|Geralt|I'm afraid that's impossible.|Novigrad Rich Man 01|I want you to pay in full in advance.|I chciałbym, żebyś zapłacił z góry.|Chcę, żebyś zapłacił mi całość z góry.
50|Triss|No. I'm sitting on the porch in a rocking chair, smoking my pipe… listening to the clink of your vials as you work inside.|Geralt|Mhm. That simple.|Geralt|That simple?|Tak po prostu?|To takie proste?
51|Novigrad Sailor 03|Nooo!|Novigrad Sailor 03|Die, gray arse.|Novigrad Sailor 03|Fuck!|Kurwa!|Kurwa mać!
52|Philippa Eilhart|Let him stay, Phil. He'd learn of it all anyways, eventually.|Margarita Laux Antille|Think of me as part of the decor.|Geralt|Ekhem. Fine then. So long as he does not interrupt.|Ekhm, dobrze. O ile nie będzie się wtrącał.|Ekhem. W porządku. Niech tak będzie. Pod warunkiem, że nie będzie przerywać.
53|Cirilla|It's Thecla you'll need to convince. She's blind as your bum, but she won't be fooled.|Godling Johnny|She sits in that tent over yonder. I wish you luck and do hope we meet again… someday.|Godling Johnny|We shan't try to trick her.|Nie będziemy próbowali wykrętów.|Nie będziemy próbować jej oszukać.
54|Cirilla|Promised me he wouldn't force you to do anything.|Geralt|He is your father…|Geralt|So I should go?|Czyli powinnam jechać?|Czyli mam iść?
55|Skellige Boy 02|A net. For swipin' fish outta the water.|Skellige Villager 01|Those're worms for kids who ask too many questions!|Skellige Villager 01|And those, what're tho--?|A to...|A co to za--?
56|Cerys|Why did you help me?|Arnvald|||Because I want to hear why you betrayed my father, my brother and our clan! Say it to my face!|Bo chciałam, żebyś mi powiedział prosto w oczy, dlaczego zdradziłeś mojego ojca, brata, nasz klan!|Bo chcę usłyszeć, dlaczego zdradziłeś mojego ojca, brata i nasz klan! Powiedz mi to prosto w twarz!
57|Geralt|Well, whatever ye or they call it, you've earned your reward. Here, all yours.|Verden Old Man 03|Greetings.|Geralt|Thank you… Any problems in the future, you keep me in mind.|Dziękuję... I polecam się na przyszłość.|Dziękuję... Jeśli w przyszłości będą jakieś problemy, pamiętajcie o mnie.
58|Verden Peasant 04|Ye needn't mock us. Ye can see right well we've brought scraps. 'Fore the war, I wouldn't give this such to me hounds… But what can we do? Such're the times.|Verden Peasant 02|Anythin' new?|Verden Peasant 04|And they're like to get worse. Allgod said if he don't get a rafter o' bacon and a barrel o' beer at least, the rivers'll fill up with frogs, and lotusks or somesuch'll devour the harvest!|A będą jeszcze gorsze. Wszechbóg powiedział, że póki nie dostanie chociaż połcia słoniny i beczki piwa, rzeki zapełnią się żabami, a plony zeżre nam jakaś szkarańcza!|I będą gorsze. Allgod powiedział, że jeśli nie dostanie co najmniej sterty bekonu i beczki piwa, rzeki wypełnią się żabami, a lilie wodne lub coś takiego pochłonie plony.
59|Scoiatael Man 02|Oh, let us die in peace.|Scoiatael Man 02|Squaess'me.|Scoiatael Man 02|I still don't know why we tolerate your presence.|Wciąż nie wiem, czemu cię tu tolerujemy.|Nadal nie rozumiem, dlaczego tolerujemy Twoją obecność.
60|Geralt|Triss Merigold. Apparently she's got a cozy flat on the main square.|Yennefer|I shall sail for Skellige. There was a magic explosion there recently, blew half a forest down. I believe this had something to do with Ciri. I'll be in Kaer Trolde. Join me there once you've learned something.|Yennefer|Sure she'll be delighted to see me. What about you? What will you do?|Na pewno się ucieszy, jak mnie zobaczy... A ty? Co będziesz robić?|Na pewno ucieszy się na mój widok. A ty? Co zamierzasz robić?
61|Triss|Someone's coming.|Geralt|No, just some lost guest. Shh!|Geralt|Is it Albert?|To Albert?|Czy to Albert?
62|Novigrad Trader 03|||Liar! Won't pin this on me, Danvind!|Dwarf Man 02|What's left to think about? Shackle the whoreson! He was out to murder me!|Nad czym się jeszcze zastanawiasz? Skuj tego kurwiego syna! Chciał mnie zamordować!|Kłamca! Nie zwalaj tego na mnie, Danvindzie!
63|Verden Ghost Peasant M 03|They're on to us… They'll not let Graham in.|Verden Ghost Peasant  M 01|Nah… He's sat his arse on silk pillows. Likely be gobblin' meat, heheh!|Verden Ghost Peasant  M 01|Quiet, fool! Babble on and the noble himself will hear ye.|Ciicho, głupi! Jak będziesz tak głośno dziobem kłapać, to się sam dziedzic zoryjentuje.|Cicho, głupcze! Gadaj dalej, a sam szlachcic cię usłyszy.
64|Ghost In The Tree|Find my remains... And bring me a mount…|Ghost In The Tree|Dare harm me... and against you will rise... all the powers of nature…|Ghost In The Tree|A wind-born steed... A black squall turned horse…|Czarnego rumaka... Szkwał w postaci konia...|A wind-born steed... A black squall turned horse…
65|Redanian Townswoman 02|But did you ever hear of her hurting anyone?|Redanian Townswoman 01|You should've been there when she burned! Fire'd barely licked her feet when she started screaming obscenities! Revealed her true nature, she did!|Redanian Townswoman 02|It all came out during her interrogation. She confessed. She made Willem's mare die. And her foul whispers lead Gustaf to betray his wife.|Na torturach wszystko wyznała. To za jej sprawą Willemowi źrebna klacz zdechła. Za jej podszeptami Gustaf żonę zdradzał!|Wszystko wyszło na jaw podczas jej przesłuchania. Przyznała się. To ona sprawiła, że klacz Wilhelma padła. A jej plugawe szepty doprowadziły Gustawa do zdrady żony.
66|Eyvind|What's this whale about?|Geralt|Be the first bard to compose a ballad about him.|Eyvind|He's to appear when specters descend from the heavens into the waves, the serpent wakes the sea's wroth, and an icy monster devours an isle.|Ma się pojawić, gdy upiory zstąpią z nieba między fale, wąż obudzi gniew morza, a lodowy potwór pożre wyspę.|On ma się pojawić, gdy widma spadną z niebios do fal, wąż obudzi gniew morza, a lodowy potwór pochłonie wyspę.
67|Geralt|Dwarves are hiding in the bushes.|Geralt|That a threat?|Geralt|No dwarves here.|Krasnoludów tu nie ma.|Nie ma tu krasnoludów.
68|Geralt|Help... Aid me... Free me... I wish to be free again…|Ghost In The Tree|To nature... To the forest and earth... All death is alike... Every death is equal…|Ghost In The Tree|I saw women, children even, lying dead on this hill. Did they want to destroy you?|Widziałem też trupy kobiet, a nawet dzieci. One też chciały cię zniszczyć?|Widziałem kobiety, nawet dzieci leżące martwe na tym wzgórzu. Czy chcieli cię zniszczyć?
69|Redanian Townsman 01|Good day to you, sir.|Redanian Townsman 01|What's an oddity like that doing here?|Redanian Townsman 01|Yes?|Słucham?|Czego chcesz?
70|Novigrad Cook 31|Hungry or stupid?|Novigrad Cook 31|No offense, but, uh, you're scaring my customers away.|Novigrad Cook 31|Don't hit the cook!|Nie, nie... bić kucharza!|Nie bij kucharza!
71|Novigrad Prostitute 02|Errrm…|Novigrad Thug Strong 02|Huh?|Geralt|Who told you to butt in, eh?|Kto ci się pozwolił wtrącać?|Kto ci kazał się wtrącać, co?
72|Novigrad Female Bard 01|Buurrp. Akh… bleugh…|Novigrad Drunk Woman 03|Have you heard? Some circus troupe's angered Menge!|Novigrad Female Bard 01|Ta ra ta ra ta raa. Du pa ra ra raa…|Ta ra ri ra ra|Ta ra ta ra ta raa. Du pa ra ra raa...
73|Geralt|Can't even begin to imagine. But we will pull her out of it, safe and sound. That I promise you.|Yennefer|Where?|Yennefer|You know… I saw something… or someone who looked just like that.|Widzisz... Spotkałem coś... Czy kogoś, kto wygląda dokładnie tak samo.|Wiesz... Widziałem coś... lub kogoś, kto wyglądał dokładnie tak samo.
74|Skellige Boatbuilder 03|He could be better off buyin' a flock, fleein' to the hills.|Skellige Boatbuilder 03|Hey there.|Skellige Boatbuilder 03|Fuck me!|A niech mnie!|Jasny gwint!
75|Skellige Old Man 03|Bran? It's not possible…|Lugos The Glaucous|Thank you, my king. We--|Skellige Guard 05|I see you're weary from the battle. Sit with me, son. Have some mead, pray tell of your adventures.|Widzę, żeście strudzeni walką. Siądźcie ze mną. Wypijcie miodu i opowiedzcie o swych przygodach.|Widzę, że jesteś zmęczony po bitwie. Usiądź ze mną, synu. Napij się miodu i opowiadaj o swoich przygodach.
76|Dreamer Corine Tilly|Yes… There's something else…|Geralt|Speak, please…|Dreamer Corine Tilly|All right. Tell me no more than you wish to.|Dobrze. Mów tylko to, co chcesz mi powiedzieć.|W porządku. Nie mów mi nic więcej, jeśli nie chcesz.
77|Tamara|Finding you and your mother - seems to me there's nothing more important to him now. I know evil men. He's not one of them.|Geralt|He made a mistake and knows that. I'm not defending him, just saying that maybe he's come to realize what he's done. And what you mean to him.|Geralt|Shame he never showed such concern before. Especially for my mother.|Szkoda, że wcześniej się tak o nas nie troszczył, szczególnie o mamę.|Szkoda, że nigdy wcześniej nie okazywał takiej troski. Szczególnie o moją matkę.
78|Geralt|Tis old man Ambros!|Verden Peasant 04|Nay.|Guslar|Should I drive him away?|Mam go przegnać?|Czy mam go przegonić?
79|Dwarf Man 01|What is it?|Geralt|There another man with him - tall, dark-haired?|Geralt|You tell me! One o' them hunters barged into our hut, turned us out 'fore we could so much as fart in protest.|To ja się pytam, o co chodzi! Jakiś łowca władował się nam do chaty, a nas wystawił za drzwi, zanim zdążyliśmy choćby pierdnąć.|Powiedz mi! Jeden z tych myśliwych wparował do naszej chaty i wyrzucił nas, zanim mogliśmy choćby pierdnąć w proteście.
80|Redanian Officer 01|I did, indeed. Hans of Cidaris, mercenary captain. Know of a monster that needs slaying. You interested?|Redanian Officer 01|Well? Any progress?|Redanian Officer 01|Will you tend to the monster or not?|To zajmiesz się tym potworem czy nie?|Czy zajmiesz się tym potworem czy nie?
81|Novigrad Rich Man 01|Excellent, don't go anywhere, we'll start soon. Your opponent this time - Viscount Rommer astride Caniculus.|Novigrad Rich Man 01|It's no shame to lose to the best. Which doesn't mean you shouldn't keep trying.|Novigrad Rich Man 01|The viscount races incognito, so I must ask for your discretion.|Wicehrabia ściga się incognito, więc proszę o dyskrecję.|Wicehrabia ściga się incognito, więc muszę prosić Cię o dyskrecję.
82|Geralt|Dare harm me... and against you will rise... all the powers of nature…|Ghost In The Tree|The sisters are older than the oldest trees… Velen is their realm… All life here serves them…|Ghost In The Tree|The Crones? Whaddaya know about them?|Wiedźmy? Co o nich wiesz?|Siostry są starsze od najstarszych drzew… Velenn jest ich królestwem… Wszelkie życie tutaj im służy…
83|Dandelion|Viscount? Come on, everybody calls you Dandelion…|Witch Hunter 04|Now, if you could just unbind…|Dandelion|That, my friend, is what we call an assumed identity. Can't expect me to reveal my full title to every goitered idiot I run across.|To dla niepoznaki. Nie będę się przecież każdemu zaplutemu ordynusowi przedstawiał.|To, mój przyjacielu, nazywamy przybraną tożsamością. Nie mogę oczekiwać, że ujawnię swoje pełne tytuły każdemu zdeformowanemu idiocie, którego spotykam.
84|Nilfgaardian Officer 01|Too big a hassle?|Geralt|I cannot disperse my forces. Temeria's army we have crushed, but its common folk remain, ready to answer a call to arms. So as to this griffin, I can sit on my hands… or hire a professional.|Nilfgaardian Officer 01|No. Too high a risk.|Nie. Za duże ryzyko.|Nie. Zbyt duże ryzyko.
85|Geralt|Bahumum…|Skellige Fisherman 02|Cause that kind of expedition needs a true leader. And a whelp lookin' to collect bumps on his skull can only be its doom. Once I--|Navigator|Javor's from there, or so he claims, and you seem to know these waters. Why didn't you sail with Hjalmar?|Jawor jest miejscowy, a ty znasz te wody. Dlaczego nie popłynęliście z Hjalmarem?|Javor's stamtąd, jak twierdzi, a ty zdajesz się znać te wody. Dlaczego nie popłynąłeś z Hjalmarem?
86|Keira Metz|Hm, I lifted the curse, so the island's clear. Anabelle's soul is free. Thing is, turned out she's a pesta. Graham's dead.|Geralt|||"And you failed to notice? You're losing your touch. Be that as it may, Fyke Isle is free of its curse. That's important. I'm almost inclined to say, ""good work."""|I ty się nie zorientowałeś? No nic, najważniejsze, że udało się odczarować Kłomnicę. Dobra robota.|"A ty nie zauważyłeś? Tracisz swój dotyk. Mimo wszystko, Wyspa Fyke jest wolna od klątwy. To ważne. Jestem prawie skłonna powiedzieć, ""dobra robota""."
87|Geralt|Ooh, this one's got bollocks, don't he.|Novigrad Thug Strong 01|Right cheeky whoreson if I seen one.|Novigrad Thug Strong 01|Faulty memory. I've been here before.|Masz słabą pamięć. Już tu bywałem.|Wadliwa pamięć. Byłem tu już wcześniej.
88|Geralt|Huh? They tell you? Clowns.|Talar|Maybe you'd be willing? Gesture of gratitude?|Geralt|Kinda. Didn't offer any details, though.|Tak jakby. Ale bez szczegółów.|Raczej. Nie podali żadnych szczegółów.
89|Holger Blackhand|He's dead.|Hjort|Crach! Where'd those bears come from?! Heh?! Answer! Now!|Lugos The Mad|Raaaaaaaaah!|Raaaaaaaaah!|Raaaaaaaaah!
90|Scoiatael Elf Man 31|I'd not overstay my welcome if I were you.|Scoiatael Man 02|I don't like you, witcher.|Scoiatael Elf Man 31|Ahh...|Ach.|Ahh...
91|Tower|||||Failure to leave when summoned.|Brak reakcji na wezwanie do opuszczenia terenu.|Niepowodzenie w opuszczeniu miejsca po wezwaniu.
92|Novigrad Rich Woman 01|You think it a good idea - not to pay Cleaver now?|Novigrad Rich Woman 01|How do you feel?|Novigrad Rich Woman 01|Honestly? I don't know.|Szczerze? Nie wiem.|Naprawdę nie wiem.
93|Emhyr|Warm welcome. Thank you, Your Majesty.|Geralt|Where is she?|Emhyr|You should have come with my daughter, your welcome would have been different.|Byłoby inne, gdybyś przyprowadził moją córkę.|Powinieneś był przyjść z moją córką, twoje powitanie byłoby inne.
94|Skellige Warrior 01|It were dark. Kaspar thought he saw somethin', but--|Skellige Warrior 02|It was huge, its maw all blood-smeared! Bugger gutted Ungi with one claw, near spliced 'im in two.|Skellige Warrior 01|Cause I did!|Bo widziałem!|Cause I did!
95|Novigrad Poor Woman 01|Lights out, curfew, mage is done… His eyes need closin', you're the one!|Novigrad Girl 02|Grant my plea, bring my husband back to health.|Novigrad Poor Woman 01|Eternal Fire… Father of all… Hear my prayer…|Wieczny Ogniu... Ojcze wszechrzeczy... Wysłuchaj mej modlitwy...|Wieczny ogniu... Ojcze wszystkich... Wysłuchaj mojej modlitwy...
96|Skellige Blacksmith Helper 02|At your service!|Skellige Blacksmith Helper 02|Eeeh?|Skellige Blacksmith Helper 02|Favorable winds to ye!|Wiatr ci w żagle!|Pomyślnych wiatrów!
97|Udalryk|You always asleep when they speak to you?|Geralt|What do you see then? Do they try to summon you anywhere specific?|Geralt|Always.|Zawsze.|Zawsze.
98|Coroner|I underestimated you. You almost caught me in flagrante delicto, now you've seen through my bluff with Nathaniel…|Coroner|Who… What are you?|Geralt|Although… you've not divined all, I see. Had you, you would've drawn your silver sword.|Chociaż... Widzę, że nie wszystko jeszcze odgadłeś. Bo wyciągnąłbyś srebrny miecz.|Chociaż... nie przejrzałeś wszystkiego, widzę. Gdybyś tak było, wyciągnąłbyś swój srebrny miecz.
99|Witch Whispess|He lived a life of love, and knew no bitterness.|Witch Weavess|||Yum-yum.|Mniam. Mniam.|Yum-yum.
100|Cirilla|A bit different.|Cirilla|I wasn't very good at controlling it. So I had to concentrate intensely and hope I didn't land in the crater of an active volcano.|Cirilla|It was hard going at first.|Na początku było ciężko.|Było trudno na początku.
101|Geralt|Folk say an omen, a beautiful phantom rides the fields at night. Looks as you described her. Armies follow her, and all who cross her path meet with misfortune.|Novigrad Nobleman 01|No. Facts interest me, not fairytales.|Novigrad Nobleman 01|I can vouch for the last bit. Know where they saw her?|Za to ostatnie ręczę osobiście... Wiesz, gdzie dokładnie ją widziano?|Mogę potwierdzić ostatni fragment. Wiesz gdzie ją widziano?
102|Novigrad Citizen Man 02|Ahh, nothing hurts as much as life.|Novigrad Citizen Man 02|Run, good folk! We've a madman!|Novigrad Citizen Man 02|All right!|Juuuż!|W porządku!
103|Verden Peasant 03|Hm?|Verden Peasant 03|What about my reward?|Geralt|Figured ye could use that copper after all, eh?|A jednak grosz by się przydał, co?|Myślałem, że możesz użyć tej miedzi jednak, co?
