speaker|prev_text|prev_speaker|next_text|next_speaker|en_text|pl_text|default|dialog|dialog2|dialog3|dialog4
Geralt|Hm-hm, what the fuck do I care what happens to some Pruhsilly? We short o' wenches in this town?|Eustace|Aye. When I load you into me wheelbarrow.|Eustace|We'll meet again.|Jeszcze się zobaczymy.|Spotkamy się ponownie.|Spotkamy się ponownie.|Spotkamy się ponownie.|Spotkamy się ponownie.|Spotkamy się ponownie.
Novigrad Rich Man 03|Tis an offence to nature! Does the Temple Guard know what goes on there?|Novigrad Old Man 03|Hmm… And you say the price is reasonable?|Novigrad Old Man 03|Shh! The Guard is well aware.|Ćsii! Straż wie bardzo dobrze...|Cicho! Straż dobrze wie.|Tss! Straż świątynna jest dobrze zorientowana.|Tss! Straż dobrze wie, co się tam dzieje.|Ciii! Straż dobrze wie, co się tam dzieje.|Cicho! Straż świątynna dobrze o tym wie.
Chorus Skellige|One cup. Then may their memory fade into oblivion.|Skellige Warrior 04|I hear Olaf's been off meat for two days.|Skellige Warrior 02|Værthu Hemdall hael.|Værthu Hemdall hael.|Witaj Hemdall.|Niech pamięć o nim trwa wiecznie.|Niech pamięć o nich zaginie.|Niech pamięć o nim zaginie.|Niech pamięć o nich zaginie w otchłani zapomnienia.
Novigrad Trader 01|Any mages in your family? Alchemists? Herbalists?|Eternal Fire Guard 03|What about elves? Any elves?|Eternal Fire Guard 03|No. Father was a stove-fitter. Mother… Mother stayed home.|Nie. Ojciec był zdunem. Matka... Matka w domu siedziała.|Numer. Ojciec był monterem pieców. Matka... Matka siedziała w domu.|Nie. Ojciec był blacharzem. Matka... Matka siedziała w domu.|'Nie. Ojciec był blacharzem. Matka... Matka siedziała w domu.'|Nie. Ojciec był zdunem. Matka... Matka siedziała w domu.|Nie. Ojciec był zdunem. Matka... Matka siedziała w domu.
Geralt|Your bloody choice. It's not what we agreed, though. So you'll not see a copper out of me.|Karl Varese|Not what we agreed. But Cleaver's a dwarf both loyal and fair. Anyone would tell you that.|Karl Varese|Wasn't expecting anything.|Niczego nie oczekiwałem.|Nie spodziewałem się niczego.|Nie spodziewałem się niczego.|Nie spodziewałem się niczego.|Nie spodziewałem się niczego.|Nie spodziewałem się niczego.
Verden Peasant 04|Ever fish on Wyndamer Lake?|Verden Peasant 03|Hmm. Folk tell stories about that place…|Verden Peasant 03|No. Don't plan to, either.|Nie. I nie mam zamiaru.|Nie. Nie planuj tego również.|Nie. Nie mam też zamiaru.|Nie. Nie mam takich planów.|Nie. Nie mam też zamiaru.|Nie. Nie mam takich planów.
Novigrad Rich Woman 02|Hmm, are you certain?|Novigrad Rich Woman 02|I doubt it.|Novigrad Rich Woman 02|Do you think the hierarch supports the Temerian guerillas? With coin?|Myślisz ze hierarcha wspiera funduszami temerskich partyzantów?|Czy myślisz, że hierarcha wspiera temeriańskich partyzantów pieniędzmi?|Czy myślisz, że hierarcha wspiera temerskich partyzantów? Za pomocą monety?|Czy myślisz, że hierarcha wspiera temerskich partyzantów? Za pomocą monet?|Myślisz, że hierarcha wspiera temerskich partyzantów pieniędzmi?|Myślisz, że hierarch wspiera temerskich partyzantów pieniędzmi?
Geralt|Have you met the man?|Graden|Neither have I.|Graden|No.|Nie.|Nie.|Nie.|Nie.|Nie.|Nie.
Geralt|Looks to me like a locked portal.|Geralt|Damage looks fresh. Wonder what happened?|Geralt|Wonder if I can open it using one of Aeramas' items…|Może otwiera go jeden z przedmiotów należących do Aeramasa?|Zastanawiam się, czy mogę to otworzyć, używając jednego z przedmiotów Aeramasa...|Czy mogę je otworzyć używając jednego z przedmiotów Aeramasa...|Ciekawe, czy uda mi się otworzyć je za pomocą jednego z przedmiotów Aeramasa...|Ciekawe, czy mogę otworzyć go używając jednego z przedmiotów Aeramasa...|Zastanawiam się, czy mogę otworzyć go używając jednego z przedmiotów Aeramasa...
Skellige Bandit 03|Aaaaah!|Skellige Bandit 03|Give us all you got!|Skellige Bandit 03|Snake-eyed prat!|Chamie żmijooki!|Wąż z okiem!|Wążogoniasty dureń!|'Wężooki dureń!'|- Głupi wężooki!|Przeklęty wąż!
Donar An Hindar|As the eldest of the jarls I cleanse the name of Clan an Craite… and you, Birna Bran, I sentence to death.|Donar An Hindar|You're making a big mistake.|Geralt|You will be chained to a rock to perish of hunger and thirst, and sea fowl will peck apart your remains.|Zostaniesz przykuta do skał. Umrzesz z głodu i pragnienia, a twoje szczątki rozdziobią ptaki.|Będziesz przykuty do skały, aby umrzeć z głodu i pragnienia, a morskie ptaki rozdziobią twoje szczątki.|Będziesz przykuty do skały, aby umrzeć z głodu i pragnienia, a mewy rozdziobią twoje ciało.|Będziesz przykuta do skały, aby umrzeć z głodu i pragnienia, a mewy rozdziobią twoje ciało.|Skazuję cię na śmierć przez przykucie do skały, gdzie umrzesz z głodu i pragnienia, a mewy rozdziobią twoje ciało.|Ty, Birno Bran, skazuję cię na śmierć. Będziesz przykuta do skały, aby umrzeć z głodu i pragnienia, a mewy rozdziobią twoje ciało.
Verden Girl 03|When I grow up, I wanna be a lad!|Verden Girl 03|I've been a good girl!|Verden Girl 03|That hurt!|Au! Boli!|To zabolało!|To zabolało!|To zabolało!|To zabolało!|To zabolało!
Redanian Officer 01|Avenge your comrade!|Redanian Officer 01|Vile in appearance and reeking of dead men's bile, it's rotting flesh they truly crave.|Redanian Officer 01|Witchers, good folk, are like necrophages.|Wiedźmin, ludzie, podobnym jest do trupojada.|Czarodzieje, dobrzy ludzie, są jak nekrofagi.|Wiedźmini, dobrzy ludzie, są jak nekrofagi.|Czarodzieje, dobrzy ludzie, są jak nekrofagi.|Czarodzieje, dobrzy ludzie, są jak nekrofagi.|Czarodzieje, dobrzy ludzie, są jak nekrofagi.
Novigrad Drunk 06|Drinkin', or you a fuckin' thief?|Novigrad Drunk 06|Fuck off…|Novigrad Drunk 11|I'll drink another, then fuck the innkeep.|Wypiję jeszcze jednego, to wyrucham karczmarza|Wypiję jeszcze jeden, a potem przelecę karczmarza.|Wypiję jeszcze jednego, a potem przelecę karczmarza.|Wypiję jeszcze jednego, a potem pieprzę karczmarza.|Wypiję jeszcze jednego, a potem przelecę karczmarza.|Wypiję jeszcze jednego, a potem zerżnę karczmarza.
Geralt|Quiet, boy!|Verden Woman 01|Ach. 'Twere like this - I was awaitin' in the old smokehouse, with horses. Cold as hell and so dark, couldn't see past two ells in front of ye.|Verden Peasant 05|What happened to Tamara's mother?|Co się stało z matką Tamary?|Co się stało z matką Tamary?|Co się stało z matką Tamary?|Co się stało z matką Tamary?|Co się stało z matką Tamary?|Ach. Tak to było - czekałem w starej wędzarni, z końmi. Zimno jak diabli i tak ciemno, że nie widziałem dalej niż na dwa kroki przed sobą.
Baron Bandit Weak 01|My old lady'll know. Got a knack for herbs, she does.|Baron Bandit Weak 01|Heheheh, Edric's dumb as your milker. Should suit 'im.|Baron Bandit Strong 01|The other shite, mallow, ought to have that, too. Chops it, adds it to our milker's feed.|To drugie też będzie miała, bo krasuli do paszy dodaje.|Drugie gówno, mlecz, też powinno to mieć. Sieka je, dodaje do paszy naszego dojnika.|"Druga wypowiedź po polsku:

""To inne gówno, mlecz, też powinno to mieć. Sieka je i dodaje do paszy naszego dojnika."""|"""To inne gówno, mlecz, też powinno to mieć. Kroi je i dodaje do paszy naszego dojnika."""|Ta druga rzecz, mlecz, powinna mieć to też. Sieka ją i dodaje do paszy naszego dojnika.|Ten drugi, mleczny, powinien mieć to również. Sieka go, dodaje do paszy naszego mleczarza.
Cirilla|Oof. That was close.|Cirilla|She needs help.|Cirilla|I must leave this place.|Muszę się stąd wydostać.|Muszę opuścić to miejsce.|Muszę stąd odejść.|Muszę opuścić to miejsce.|Muszę stąd odejść.|Muszę stąd odejść.
Skellige Old Man 02|Jarl won't like this.|Skellige Old Man 02|Blessed is he who sang, blessed is he who knows.|Skellige Old Man 02|Gods, save me!|Bogowie ratujcie!|Bogowie, ratujcie mnie!|Boże, zbaw mnie!|"""Boże, ratuj mnie!"""|Boże, zachowaj mnie!|Boże, ratuj mnie!
Dreamer Corine Tilly|I have more to say.|Geralt|Speak, please…|Dreamer Corine Tilly|Then please do.|W takim razie mów, proszę.|Następnie proszę zrób to.|Więc proszę mów.|Więc proszę, zrób to.|Proszę mówić...|Proszę mówić...
Geralt|Meaning he knew they were looking for him.|Keira Metz|The potion I gave him. Seems he saw a use for it, drank it.|Keira Metz|What's this?|Co to jest?|Co to jest?|Co to jest?|Co to jest?|Co to jest?|To jest mikstura, którą mu dałam. Wygląda na to, że znalazł dla niej zastosowanie i wypił ją.
Ermion|Go in health, Ermion.|Geralt|I regret I did not know him better.|Ermion|Till we meet again.|Do zobaczenia.|Do zobaczenia ponownie.|Do zobaczenia ponownie.|Do zobaczenia ponownie.|Do zobaczenia.|"Żegnaj w zdrowiu, Ermion.
Do zobaczenia ponownie.
Żałuję, że go lepiej nie poznałem."
Dwarf Sleepy|C'mon, get up.|Geralt|All right! I'm up!|Dwarf Sleepy|Oh, Nibbles, yousa naughty kitty, aren't ye?|Mruczek, no zo dzi choci?|Och, Mruczku, jesteś niegrzecznym kotkiem, prawda?|Oh, Nibbles, jesteś niegrzecznym kotkiem, prawda?|Oh, Nibbles, jesteś niegrzecznym kotkiem, prawda?|Oh, Nibbles, ty niegrzeczny kotku, prawda?|"Oh, Mruczek, ty niegrzeczna koteczko, nieprawdaż?
All right! Jestem już na nogach!"
