speaker|prev_text|prev_speaker|next_text|next_speaker|en_text|pl_text|dialog_prototype1|dialog_prototype2|default
Lambert|||||Not bad.|Nieźle.|Nie najgorzej.|Nieźle.|Niezłe.
Cirilla|Are you?|Verden Girl 02|Then I'm not either.|Verden Girl 02|No.|Nie.|Nie.|Nie.|Nie.
Succubus 03|That it? No heartrending story about human hatred for all things different, all things strange?|Geralt|||I'm not one to lie. Nor do I kill without reason.|Nie zwykłam kłamać. Nie zwykłam też zabijać bez powodu.|Nie jestem taka, która by kłamała. Ani też nie zabijam bez powodu.|Nie jestem osobą, która kłamie. Ani też nie zabijam bez powodu.|Nie jestem kimś, kto kłamie. Ani nie zabijam bez powodu.
Yennefer|That's about all I've learned.|Geralt|I'm not done searching in Velen yet.|Geralt|Good. You'll need to tell me more when we have some time.|Dobrze. Wrócimy do tematu, gdy będziemy mieli więcej czasu.|Dobrze. Opowiesz mi więcej, gdy będziemy mieć trochę czasu.|Dobrze. Opowiesz mi więcej, gdy będziemy mieć trochę czasu.|Dobrze. Musisz mi powiedzieć więcej, kiedy będziemy mieli trochę czasu.
Novigrad Peasant Woman 01|They did - to defend them from monsters. And humans who can be monsters.|Geralt|Are you?|Geralt|And you believe me to be such?|A ty uwierzyłeś, że ja to potrafię.|I uważasz, że ja mogę być takim potworem?|Czy uważasz się za jedną z takich osób?|I uważasz mnie za takiego?
Yennefer|How could I forget. Member of the Lodge… Elven Sage.|Geralt|Hmph… Your sorceress friends - the sage and not so sage - they've let me down before. But if we gotta, we gotta.|Geralt|Exactly. A Sage. As the name suggests, she should know a great deal. I'd like to ask her for advice about Uma. Satisfied?|Właśnie. Wiedząca, jak sama nazwa wskazuje, dużo wie – więc poradzę się jej w sprawie Umy. Zadowolony?|Dokładnie. Członek loży... Elfi uczony. Jak sama nazwa wskazuje, powinna dużo wiedzieć. Chciałabym poprosić ją o radę w sprawie Umy. Zadowolony?|Dokładnie. Mędrczyni. Jak sama nazwa wskazuje, powinna dużo wiedzieć. Chciałabym poprosić ją o radę w sprawie Umy. Zadowolony?|Dokładnie. Mędrzec. Jak sugeruje jej imię, powinna wiedzieć bardzo dużo. Chciałbym poprosić ją o radę dotyczącą Umy. Zadowolony?
Yennefer|Change of plans.|Geralt|Yeah. Gotta find him.|Geralt|So Dandelion knows what happened to Ciri?|Czyli Jaskier wie co z Ciri?|Tak. Trzeba go znaleźć.|Tak. Musimy go znaleźć.|Czy Dandelion wie, co stało się z Ciri?
Geralt|"""Was"" - precisely. Zoltan lost her in a card game a few days ago."|Triss|I'll rest easier when they're both here, with us.|Triss|We will. We have to.|Musi nam się udać.|Musimy ich odnaleźć. Nie mamy wyboru.|Myślałam, że już po niej.|My zrobimy. My musimy.
Dwarf Man 01|At 'em!|Dwarf Man 02|||All together!|Kupą!|Wszystkie razem!|Wszyscy razem!|Wszyscy razem!
Geralt|You must speak to the quartermaster. He is dismissive of me, but he will be more candid with you. I can feel it. A mother feels these things.|Nilfgaardian Woman Old 01|I have come from far away… I… to seek my son. He served in the Nazairi cavalry. I must find him. I simply must.|Nilfgaardian Woman Old 01|Guess we'll see…|Ano, zobaczymy...|Chyba się przekonamy…|Przyjdźmy więc zobaczyć...|Zobaczymy...
Skellige Guard 03|Surround him!|Skellige Guard 03|Sweet Freya…|Skellige Guard 03|No fear!|Nie bać się!|Nie ma się czego bać!|Nie ma się czego bać!|Bez strachu!
Yennefer|Of course I'm right.|Yennefer|Need a bit more time.|Geralt|Go. I'll wait here.|Idź, czekam tutaj.|Idź. Zaczekam tutaj.|Idź. Zaczekam tutaj.|Idź. Poczekam tutaj.
Verden Warchild Boy 01|Owwww!|Verden Warchild Boy 01|Aaaaah!|Verden Warchild Boy 01|Hide!|Kryć się!|Ukryj się!|Ukryj się!|Ukryj się!
Mage 02|Ah yes, good day.|Mage 01|He blew himself up. Understand? Exploded. Took a good lot with him…|Mage 02|Aaaaaah.|Aaaaaah.|Z tego co wiem, w Novigradzie elfy nie są zbyt dobrze traktowane.|Z tego co wiem, w Novigradzie elfy nie są zbyt dobrze traktowane.|Aaaaaah.
Novigrad Refugee Woman 02|Heeeeelp!|Novigrad Refugee Woman 02|They've these special units that do naught but travel from village to village, murderin' folk…|Novigrad Refugee Woman 02|Oaf.|Łamaga.|Gbur.|Gbur.|"Oaf.

(Tłumaczenie dosłowne, ponieważ ""oaf"" to angielskie słowo oznaczające osobę niemądrą lub nieokrzesaną, które nie ma bezpośredniego odpowiednika w języku polskim.)"
Crach|What's this about the Nilfgaardians?|Geralt|We've yet to capture any of their crew, but only a fool wouldn't know they're planning something.|Crach|Of late, look seaward and you'll see their sun on a sail, starin' right back.|Ostatnio widujemy coraz więcej okrętów ze znakiem słońca na żaglu.|Ostatnio patrz na morze, a zobaczysz ich słońce na żaglu, gapiące się prosto w ciebie.|Ostatnio patrz na morze, a zobaczysz ich słońce na żaglu, gapiące się prosto na ciebie.|Ostatnio spójrz w morze, a zobaczysz ich słońce na żaglu, gapiące się prosto w ciebie.
Geralt|I told you, I said I love her with all my heart! Take me to her, please.|Graham|Course. I'm no coward, I'll not run this time.|Graham|It's dangerous, there are risks involved. Understand that, don't you?|To będzie ryzykowna wyprawa. Zdajesz sobie z tego sprawę?|To jest niebezpieczne, wiąże się z ryzykiem. Rozumiesz to, prawda?|To niebezpieczne, wiąże się z ryzykiem. Rozumiesz to, prawda?|To jest niebezpieczne, wiąże się z ryzykiem. Rozumiesz to, prawda?
Dijkstra|Why don't you handle this? Gotta have connections in the underworld. Whaddaya need a witcher for?|Geralt|For reasons that should be obvious, I'd prefer it if my temporary liquidity problems remained private… So I need an outsider.|Dijkstra|Agh. The gold wasn't mine alone. See, I run a members-only savings club, a bank for the initiated.|Widzisz... Te pieniądze nie należały wyłącznie do mnie. Można powiedzieć, że prowadzę taki bank dla wtajemniczonych.|Ach. Złoto nie było tylko moje. Widzisz, prowadzę ekskluzywny klub oszczędnościowy, bank dla wtajemniczonych.|Z tego co wiem, w Novigradzie elfy nie są zbyt dobrze traktowane.|Ach. Złoto nie należało tylko do mnie. Widzisz, prowadzę klub oszczędnościowy dla członków, bank dla wtajemniczonych.
Skellige Fisherman 04|Wonder where types like that come from?|Skellige Fisherman 04|Mind yer own arse.|Skellige Fisherman 04|Someone Crach summoned?|Kogóż to Crach sprowadził?|Ktoś wezwał Cracha?|Ktoś wezwał Cracha?|Ktoś przywołał kogoś do kraksy?
Skellige Woman 05|Ye daft, woman? What would I say to me mates?|Skellige Warrior 01|This quiet worries me. It's the calm before the storm, I can feel it in me bones.|Skellige Villager 05|Maybe that your wife's with child…?|Że twoja żona jest przy nadziei…|Może że twoja żona jest w ciąży...?|Może że twoja żona spodziewa się dziecka…?|Może że twoja żona jest w ciąży...?
Skellige Villager 03|Lemme have a look.|Geralt|What're you offering?|Geralt|Greetings, stranger. Have a drink with us.|Witaj, nieznajomy. Napij się z nami.|Witaj, obcy. Napij się z nami.|Witaj, obcy. Napij się z nami.|Cześć, nieznajomy. Napij się z nami.
Geralt|Remember the preacher who spoke of witches and witchers? A man you humiliated before his faithful? He asked that we administer a sacrament on his behalf - your last rites.|Eternal Fire Guard 02|Mhm. Drawin' it up for you now.|Eternal Fire Guard 01|This is a misunderstanding… but fine, take them. Though I'll need a receipt, wouldn't wanna lose anything.|To jakieś nieporozumienie... No, ale trudno, bierzcie. Tylko chcę jakieś pokwitowanie, żeby nic się nie zgubiło.|To nieporozumienie… ale dobrze, bierzcie je. Tylko potrzebuję paragonu, nie chciałbym niczego stracić.|To nieporozumienie… ale dobrze, weźcie je. Tylko będę potrzebował paragonu, nie chciałbym niczego stracić.|To jest nieporozumienie... ale dobrze, weź je. Chociaż będę potrzebować paragonu, nie chciałbym niczego stracić.
Vampire Medic 01|I've got a turtle stone!|Temerian Guard 03|Well, well. A witcher.|Vampire Medic 01|Mhm?|Mhm?|Mhm?|Mhm?|Mhm?
Geralt|Telling you Geralt, since you and Hjalmar defeated the Ice Giant together, I see you as one of our own.|Crach|You've got the heart of an an Craite.|Crach|I got the look of a Skelliger?|Wyglądam na mieszkańca Skellige?|Czyżbym miał spojrzenie Skellige?|Masz serce prawdziwego Craite.|Dostałem spojrzenie Skelligera?
Novigrad Female Bard 02|Bravo, witcher! I've material for another ballad!|Novigrad Female Bard 01|We've a sack of mushrooms for you! For helping us!|Halfling Man 02|You're on everyone's tongues, you know! Coin and fame aplenty now, eh?|Wiesz, ostatnio dostałeś się na języki! Sława i pieniądze, co?|Jesteś na ustach wszystkich! Pewnie teraz masz pełno pieniędzy i sławy, co?|Jesteś na ustach wszystkich! Pewnie teraz masz pełno pieniędzy i sławy, co?|Jesteś na językach wszystkich, wiesz! Monety i sławy teraz pod dostatkiem, co?
Novigrad Old Woman 15|Well, well, well.|Novigrad Old Woman 14|Looking for work, master witcher? In Novigrad?|Novigrad Old Woman 15|The White Wolf.|Biały Wilk.|Biały Wilk.|Biały Wilk.|Biały Wilk.
Triss|We're right under the main square. Next to Carlo 'The Cleaver' Varese's headquarters. Can't be a coincidence.|Geralt|||His debtors have tended to disappear without a trace.|No tak. Jego dłużnicy mieli skłonność do znikania bez śladu.|Jego dłużnicy mają tendencję do znikania bez śladu.|Jego dłużnicy mają tendencję do znikania bez śladu.|Jego dłużnicy mieli tendencję do znikania bez śladu.
Elf Man 02|Help…|Elf Man 02|Can't afford it anyway.|Elf Man 02|Eternal Fire which is our hope…|Wieczny Ogień, który jest nadzieją...|Wieczny ogień, który jest naszą nadzieją...|Wieczny ogień, który jest naszą nadzieją...|Wieczny ogień, który jest naszą nadzieją...
Verden Woman 01|Don't wanna know what happened to her?|Geralt|Hanna's dead for certain. Niellen ought to accept his loss, move on with his life.|Verden Woman 01|I've no illusions, witcher. In Velen, you're gone as long as she's been, you don't come back.|Nie mam złudzeń, wiedźminie. Tu w Velen, jak ktoś znika na tyle czasu, to już nie wraca.|Nie mam żadnych złudzeń, wiedźminie. W Velen, jeśli ktoś zaginął tak dawno temu jak ona, to już nie wróci.|Nie chcesz wiedzieć, co się z nią stało?|Nie mam złudzeń, wiedźminie. W Velen jesteś tak długo, jak ona, nie wrócisz.
Geralt|Name's Muggs, Rostan Muggs. Need your help in a grave matter.|Dwarf Man 02|Why wouldn't it be?|Dwarf Man 02|And you think this is witchers' work because…?|I to jest według ciebie zlecenie dla wiedźmina?|I ty tak myślisz, bo...?|Dlaczego by nie miało być?|I myślisz, że to jest praca wiedźminów, ponieważ...?
Baron Bandit Strong 02|I heard.|Baron Bandit Strong 02|Later, later.|Baron Bandit Strong 02|Wanna hop over the village? Remind the bumpkins who we are?|Chcesz ze mną do wsi wyskoczyć? Chłopom się przypomnieć?|Chcesz przejechać przez wieś? Przypomnieć kmiotkom kim jesteśmy?|Chcesz przejechać przez wieś? Przypomnieć kmiotkom kim jesteśmy?|Chcesz przeskoczyć przez wieś? Przypomnieć kmiotkom kim jesteśmy?
Novigrad Old Woman 02|"""The Doppler's Salvation"" - your performance was mag-ni-fi-cent!"|Novigrad Old Woman 02|Lots of fuss over lots of rain.|Novigrad Old Woman 03|A Changeling Rescued, or the Witcher's Triumph - your performance was mag-ni-fi-cent!|"Twoja gra w ""Zmienniku wybawionym albo tryumfie Wiedźmina"" była im-po-nu-jąca!"|A Changeling Rescued, or the Witcher's Triumph - twoja gra była mag-ni-fi-cent!|Łatwo rozpoznana. Jestem z tego dumna, nigdy nie zamierzałam tego ukrywać.|Ocalone pacholę lub triumf wiedźmina - twoje przedstawienie było ma-gicz-ne!
Geralt|Hmm… two methods that work. In theory.|Geralt|Good decision.|Cerys|Hmm… Trying the trick can't hurt.|Hmm... Spróbować nie zaszkodzi.|Spróbować tej sztuczki nie zaszkodzi.|Z tego co wiem, w Novigradzie elfy nie są zbyt dobrze traktowane.|Hmm... Spróbowanie sztuczki nie zaszkodzi.
Geralt|Don't know yet.|Geralt|Hahah! Hahaha! You helped me, too. Let's call it evenin' the odds, and leave the rest for the gods to decide.|Hjalmar|Your father asked me to, but… what if I help her, and she wins, and they crown her queen of Skellige?|Twój ojciec mnie o to prosił, ale... co jeśli dzięki mnie Cerys zwycięży i zostanie królową Skellige?|Twój ojciec poprosił mnie o to, ale... co jeśli jej pomogę, a ona wygra i koronują ją królową Skellige?|Twój ojciec poprosił mnie o to, ale... co jeśli jej pomogę, a ona wygra i koronują ją królową Skellige?|Poprosił mnie o to twój ojciec, ale... co jeśli jej pomogę, a ona wygra i koronują ją na królową Skellige?
Dwarf Sleepy|Oh, Nibbles, yousa naughty kitty, aren't ye?|Dwarf Sleepy|Wake up.|Geralt|All right! I'm up!|No już, już.|Wstaw tłumaczenie tutaj|Wszystko w porządku! Obudziłem się!|W porządku! Jestem gotowy!
Geralt|1245 to 1254…|Geralt|Old vintages… 1235 to 1244.|Geralt|Vintages from 1255 to 1264…|Tu są butelki z lat 1255-1264...|Wina z lat 1255 do 1264...|Wina z lat 1255 do 1264...|Wina z lat od 1255 do 1264...
Novigrad Thug Strong 01|What do ya want?|Novigrad Thug Strong 01|Bloody hell!|Novigrad Thug Strong 01|Got a problem?|Masz jakiś problem?|Masz jakiś problem?|Masz jakiś problem?|Masz problem?
Cirilla|It's yours.|Geralt|Like it?|Geralt|A witcher's silver sword…|Srebrny wiedźmiński miecz...|To miecz srebrny wiedźmina...|Ładna?|Srebrny miecz wiedźmina...
Skellige Woman 05|Twas the most horrible night of me life… I remember fire, cries, and the clink of iron 'gainst iron… They herded us on a longship.|Skellige Woman 05|Greetings, what brings ye here?|Skellige Woman 05|Toward dawn a storm broke. It was mayhem, so I took advantage and jumped overboard.|Nad ranem rozpętał się sztorm. Wykorzystałam zamieszanie i wyskoczyłam za burtę.|Wkrótce po zmierzchu rozszalała się burza. Zapanował chaos, więc skorzystałam z okazji i wyskoczyłam za burtę.|Wkrótce po zmierzchu rozszalała się burza. Zapanował chaos, więc skorzystałam z okazji i wyskoczyłam za burtę.|Nadciągnęła burza od dawna. Panował chaos, więc skorzystałem z okazji i wyskoczyłem za burtę.
Novigrad Boy 01|That ain't real fire…|Novigrad Boy 03|They just smear ash on their lips first, that's why it don't hurt.|Novigrad Boy 01|Nuh-huh! It is too!|A właśnie, że tak!|To nie jest prawdziwy ogień...|Nie, to nie jest prawdziwy ogień...|Aha! Tak jest!
Geralt|Whoa! What the devil's this? Get outta my 'ouse!|Novigrad Thug Strong 01|What the-?! She's my betrothed!|Novigrad Thug Strong 01|Watch it. And leave the woman alone.|Zmień ton. I zostaw tę kobietę w spokoju.|Uważaj. I zostaw tę kobietę w spokoju.|Uważaj. I zostaw tę kobietę w spokoju.|Popatrz na to. I zostaw kobietę w spokoju.
Skellige Hunter 03|Argh, shut your gobs before someone hears you.|Skellige Villager 02|Strange. Never heard of anythin' similar.|Skellige Hunter 02|Same thing each time - snares sprung, earth trampled, blood, bits o' flesh… But no game in sight.|Wszędzie to samo. Wnyki zatrzaśnięte, zryta ziemia, krew, resztki skóry... A zwierzyny nie ma.|To samo za każdym razem - sidła się zatrzasnęły, ziemia stratowana, krew, strzępy mięsa… Ale ani śladu zwierzyny.|To samo za każdym razem - sidła się zatrzasnęły, ziemia stratowana, krew, strzępy mięsa… Ale żadnej zwierzyny w zasięgu wzroku.|To samo za każdym razem - potrzaski się zatrzaskują, ziemia jest stratowana, krew, kawałki mięsa... Ale ani śladu zwierzyny.
Skellige Warrior 03|She wasn't worth it.|Geralt|Valgard wins!|Skellige Warrior 03|You've two bouts more 'fore you can challenge for the title of best in Skellige. You've got to defeat Einar, to be found on Faroe, and one Grim of Helmstein, a village on Ard Skellig. Good luck to ye.|Czekają cię dwa kolejne pojedynki, zanim otrzymasz szansę zostania mistrzem Skellige. Jeden z przeciwników to Einar. Znajdziesz go na Faroe. Drugim jest Grim z wioski Helmstein na Ard Skellig.|Musisz stoczyć jeszcze dwie walki, zanim będziesz mógł walczyć o tytuł najlepszego wojownika w Skellige. Musisz pokonać Einara, którego możesz znaleźć na Faroe, oraz jednego Grima z Helmstein, wioski na Ard Skellig. Powodzenia.|Musisz stoczyć jeszcze dwie walki, zanim będziesz mógł walczyć o tytuł najlepszego wojownika w Skellige. Musisz pokonać Einara, którego możesz znaleźć na Faroe, i jednego Grima z Helmstein, wioski na Ard Skellig. Powodzenia.|Masz jeszcze dwie walki do pokonania, zanim będziesz mógł rzucić wyzwanie o tytuł najlepszego w Skellige. Musisz pokonać Einara, którego można znaleźć na Faroe, oraz jednego z Grimów z Helmstein, wioski na Ard Skellig. Powodzenia.
Geralt|Hmm… Maybe oughta let her unwind?|Geralt|Hmm… Try a merchant nearby…?|Geralt|Damn. Forgot the wine.|Cholera, zapomniałem o winie.|Cholera. Zapomniałem wina.|Cholera. Zapomniałem wina.|Cholera. Zapomniałem wina.
Crach|||That's not Hjalmar. Let's go.|Geralt|Hear that? Dammit, Hjalmar's probably started another row.|Słyszałeś? Cholera, Hjalmar zaczął pewnie jakąś burdę...|Słyszysz to? Cholera, pewnie Hjalmar znowu zaczął awanturę.|To nie Hjalmar. Chodźmy.|Słyszysz to? Cholera, Hjalmar pewnie znowu zaczął awanturę.
Novigrad Old Woman 02|Odd though he is, girls can't seem to look away.|Novigrad Old Woman 02|Devils take you!|Novigrad Old Woman 02|Hey, now!|Ej no!|Hej, teraz!|Hej, teraz!|Cześć, teraz!
Novigrad Thug Strong 02|You know him?|Novigrad Thug Strong 01|Tut-tut - you people, honestly. Got nerve comin' to the front door. You're brazen, it ain't right.|Novigrad Thug Strong 02|Can't say I do.|Nie znam.|Nie mogę powiedzieć, żebym go znał.|Nie mogę powiedzieć, żebym go znał.|Nie mogę powiedzieć, że tak.
Geralt|Hah! Lambert claimed you'd forget. Thanks, brother.|Eskel|Eskel.|Geralt|Did everything to deserve it. Well, Scorpion did. But I'm not about to ply your horse with vodka.|Zasłużyłeś sobie. No, Wojsiłek raczej... Ale koniowi przecież nie dam wódki.|Zrobiłem wszystko, żeby sobie na to zasłużyć. Ale nie zamierzam poić twojego konia wódką.|Zrobiłem wszystko, żeby sobie na to zasłużyć. Ale Scorpionowi też się udało. Ale nie zamierzam poić twojego konia wódką.|Zrobiłem wszystko, by na to zasłużyć. No cóż, Skorpion to zrobił. Ale nie zamierzam poić twojego konia wódką.
Skellige Fisherman 02|||He's alive, all right - and swimmin'.|Skellige Woman 04|Whoo-eey, that's some thunderin'. Think he's still alive?|Ło, ale gruchnął. Myślicie, że żyje?|Whoo-eey, to chyba prawdziwa burza! Myślicie, że on nadal żyje?|Myślisz, że on jeszcze żyje?|Ojej, ale grzmi! Myślisz, że on jeszcze żyje?
Menge|More or less. Just offer a different range of services. Where's the treasure?|Geralt|Got information about Philippa. Thought you might want to buy it…|Geralt|Secure in a Koviri bank. Far and safe from you, far and safe from Reuven.|W kovirskim banku. I nie dostaniesz go ani ty, ani Reuven.|Skarb jest bezpieczny w banku w Kovirze. Daleki od ciebie, daleki od Reuvena.|Z tego co wiem, w Novigradzie elfy nie są zbyt dobrze traktowane.|Bezpieczne w banku Koviri. Dalekie i bezpieczne od ciebie, dalekie i bezpieczne od Reuwena.
Hjalmar|Hang in there, Leif! I'll soon finish them off!|Hjalmar|Ploughin' fish-bitches!|Hjalmar|I'll gut you!|Wypatroszę was!|Wybebeszę cię!|Wybebeszę cię!|Wypatroszę cię!
Radovid|You do not because you are not a king. Pawns see only their comrades at their sides and their foes across the field.|Radovid|You see, witcher, chess is the art of sacrificing your own pieces.|Radovid|A king has a different view of the chessboard. His greatest foes surround him. His own chessmen might trap him. And that is check - and death.|Król widzi szachownicę inaczej. Najwięksi wrogowie są dookoła niego. Każda bierka może zamknąć króla w matni. A wtedy szach – i śmierć.|Król ma inne spojrzenie na szachownicę. Jego najwięksi wrogowie go otaczają. Jego własne figury mogą go schwytać w pułapkę. I to jest szach i mat – śmierć.|Król ma inne spojrzenie na szachownicę. Jego najwięksi wrogowie go otaczają. Jego własne figury mogą go schwytać w pułapkę. I to jest szach i mat – śmierć.|Król ma inny widok szachownicy. Jego najwięksi wrogowie go otaczają. Jego własne figury mogą go schwytać w pułapkę. I to jest szach - i śmierć.
Priscilla|Now we're here, but no decision's been made. And the lady's horribly surprised she's to choose, though apparently this whole renovation's for her sake.|Dwarf Man 01|Well it's not for me. Now would ye please decide 'fore I burst a vessel?!|Dwarf Man 01|For me?|Jak to dla mnie?|Dla mnie?|Dla mnie?|Dla mnie?
Yennefer|This'll be tough to open.|Geralt|Hard not to.|Geralt|Surprises never end. See the ravens?|To jeszcze nie koniec niespodzianek. Widzisz te kruki?|Zaskoczenia nigdy za wiele. Spójrz na te kruki.|Zaskoczenia nigdy za wiele. Spójrz na te kruki.|Niespodzianki nigdy się nie kończą. Widzisz kruki?
Geralt|||||Akh akh. Dammit, gotta hold my breath.|Zaraza, muszę wstrzymać oddech.|Dammit, gotta hold my breath.|Dammit, gotta hold my breath.|Ach ach. Cholera, muszę wstrzymać oddech.
Skellige Warrior 02|Don't say that! Me brother was good!|Skellige Girl 02|Begone, man. Let us mourn in peace.|Skellige Old Woman 03|Quiet, dear, you don't know what you're sayin'. Your brother was a vile man, a criminal. The quicker you forget him, the better.|Cicho, mała, nie wiesz, co mówisz. Twój brat to był podły człowiek, zbrodniarz. Im szybciej o nim zapomnisz, tym lepiej.|Cicho, kochana, nie wiesz co mówisz. Twój brat był podłym człowiekiem, przestępcą. Im szybciej o nim zapomnisz, tym lepiej.|Cicho, kochana, nie wiesz co mówisz. Twój brat był podłym człowiekiem, przestępcą. Im szybciej o nim zapomnisz, tym lepiej.|Cicho, kochanie, nie wiesz, co mówisz. Twój brat był podłym człowiekiem, przestępcą. Im szybciej o nim zapomnisz, tym lepiej.
Novigrad Citizen Man 18|Eternal Fire, pounding in my skull.|Novigrad Citizen Man 18|Hic-cup! Ooh! Gonna be sick.|Novigrad Citizen Man 18|Got right cabbaged last night. Head feels like it's full of sauerkraut.|Tak się wczoraj schlałem, że jeszcze mi się we łbie kręci.|Popiłem się wczoraj wieczorem i teraz głowa mi ciąży jakby była pełna kapusty kiszonej.|Popiłem się wczoraj wieczorem i teraz głowa mi ciąży jakby była pełna kapusty kiszonej.|Dostałem porządnie po głowie wczoraj wieczorem. Moja głowa czuje się, jakby była pełna kiszonej kapusty.
