speaker|prev_text|prev_speaker|next_text|next_speaker|en_text|pl_text|dialog_prototype
Novigrad Rich Man 01|Then trap your own rats.|Geralt|||Well, now I know why she brought you along. Fine. A full purse of Novigrad crowns. As proof of my good will.|Teraz już wiem, po co cię tu przyprowadziła. Ale dobrze. Macie tu pełny mieszek novigradzkich koron. W dowód mojego zaufania.|Teraz już wiem, dlaczego cię tu sprowadziła.
Geralt|Shhh. I know.|Triss|Mhm. But also baths, balms, body massages… You could make up for all those years you slept in the bushes and bathed in mountain streams.|Triss|"That would mean balls and banquets and other boring things that start with a ""b."""|To by oznaczało bale, bankiety, biesiady... I inne nudne rzeczy na b.|"To oznaczałoby jaja i uczty oraz inne nudne rzeczy zaczynające się na literę ""b""."
Novigrad Sailor 03|Die, gray arse.|Novigrad Sailor 03|Argh.|Novigrad Sailor 03|Uh-huh?|Ehe?|Hmm?
Margarita Laux Antille|As before? I'm to marry some princeling and become your puppet?|Cirilla|This time we offer you a partnership.|Margarita Laux Antille|You were a child then, and we… misjudged the situation.|Wtedy byłaś dzieckiem, a my... źle oceniłyśmy sytuację.|Byłaś wtedy dzieckiem, a my... źle oceniliśmy sytuację.
Godling Johnny|I believe I qualify.|Cirilla|Pretty damned good at finding lost voices.|Geralt|But he's old and ugly. What good is he?|Ale on jest stary i brzydki. Jaki z niego pożytek?|Ale on jest stary i brzydki. Do czego on się nadaje?
Cirilla|Ahh. You don't look good in black.|Geralt|Think he wants to meet you because he missed you? As I see it, he's got plans for you.|Geralt|What do you mean?|O czym ty mówisz?|Co masz na myśli?
Skellige Woman 01|Those're worms for kids who ask too many questions!|Skellige Villager 01|Soothsayin' like that, well, it'd normally be done with a flower, child.|Skellige Old Woman 04|He loves me… He loves me not… He loves me… He loves me not…|Kocha... Nie kocha... Kocha... Nie kocha...|Kocha mnie... Nie kocha mnie... Kocha mnie... Nie kocha mnie...
Cerys|||Birna?|Geralt|Did you see their tartans? Clan Tuirseach colors.|Widziałeś ich tartany? To barwy rodu Tuirseach.|Widziałeś ich tartany? Kolory klanu Tuirseach.
Geralt|Took a hatchet, laid in ambush for the shrieker beyond the moat, where the fields start. It's where we found 'im, guts stretched o'er the crown of a tree like gossamer. Took half a day to collect the parts, put 'em in a grave.|Verden Old Man 03|Yeah?|Verden Old Man 03|Greetings.|Witaj.|Cześć.
Geralt|What? This 'un fly in from the moon? We're makin' offerin's to the Allgod, clearly.|Verden Peasant 04|What've you done! The Allgod warned us… Said if he ever departed death would await us all! C'mon, Trebor, we must tell the others… Only group prayer can save us now.|Verden Peasant 04|Got good news. Your god's dead. It was actually a run-of-the-mill monster - sentient but mean, took advantage of you. You went hungry, while it grew new chins.|Mam dobre wieści. Bóg umarł. To był zwykły potwór, który wykorzystał waszą naiwność. Wyście głodowali... A on obrastał w kolejne podbródki.|Mam dobre wieści. Wasz bóg nie żyje. To była zwykła bestia - świadoma, ale złośliwa, wykorzystała was. Wy głodowaliście, a on robił sobie nowe podbródki.
Scoiatael Man 02|Squaess'me.|Scoiatael Man 02|Akh akh akh…|Scoiatael Man 02|Glaeddyv vort.|Glaeddyv vort.|Niech się stanie.
Yennefer|Think so? Maybe I can have some of my armor lined with it. Hm. Good luck, Yen.|Geralt|And Geralt, I know it's wartime, but try not to be a hero, all right? Just check those leads and come back to me - in one piece.|Yennefer|Same to you. And if you wish to learn what's happened in the world while you and Vesemir roamed the wilderness, talk to Ambassador var Attre. That's him, over there.|I wzajemnie. Słuchaj, jeżeli chcesz się dowiedzieć, co się działo na świecie, gdy włóczyłeś się z Vesemirem po bezdrożach, porozmawiaj z ambasadorem var Attre. To on, o tam.|To samo dla ciebie. A jeśli chcesz dowiedzieć się, co działo się na świecie, gdy ty i Vesemir włóczyliście się po pustkowiach, porozmawiaj z ambasadorem var Attre. To on, tam dalej.
Triss|Sooner we get out of here, the better.|Geralt|I hear the statues there are completely… entirely…|Triss|Oh, no! I plan to have a good look at this famous maze of theirs first…|O nie! Mam zamiar najpierw dokładnie obejrzeć sobie ten ich słynny labirynt...|Och, nie! Planuję najpierw dokładnie obejrzeć ten słynny labirynt ich zamku…
Novigrad Trader 03|Twas you let the beast in there! 'Cause me bales o' silk were drivin' ye mad with jealousy!|Dwarf Man 02|Shut it! Or I'll lock you both up!|Novigrad Guard 01|Shove your bales up your arse!|W rzyć se je wsadź!|Wsadź swoje bele w tyłek.
Verden Ghost Peasant M 03|||||Who's that? Show yourself! Anyone there?|Kto tu? Odezwij się... Jest tu kto?|Kto tam? Pokaż się! Jest tu ktoś?
Ghost In The Tree|The beast and I shall be as one… As when I lived... We shall be a gale... Nothing to stop us.|Ghost In The Tree|Dare harm me... and against you will rise... all the powers of nature…|Ghost In The Tree|A wild steed... From meadows moist…|Dzikie konie znajdziesz... Na podmokłych łąkach...|Dziki rumak... Z wilgotnych łąk...
Redanian Townsman 03|"Why don't they play the one about ""the fresher who caught his arm in a thresher""?"|Redanian Townsman 02|Heresies? How's that? I don't remember anything…|Redanian Townsman 02|They can't sing that anymore. Contains heresies.|Tego już nie można śpiewać. Tam są herezje.|Nie mogą już śpiewać tej piosenki. Zawiera herezje.
Geralt|It'll show today. I'm sure of it.|Eyvind|Eh? Oh, yes! The pyre. All that chattin'…|Eyvind|Forgetting anything?|Chyba o czymś zapomniałeś...|Czy o czymś nie zapomniałeś?
Dwarf Sneezy|||||Achoo!|Apsik!|Ach!
Geralt|I cry... I wail... None listen…|Ghost In The Tree|I've been waiting... You've returned... Your decision?|Ghost In The Tree|I'm back.|Wróciłem.|Wróciłem.
Redanian Townsman 01|What's an oddity like that doing here?|Redanian Townsman 01|Good folk! Murderer!|Redanian Townsman 01|You needn't shove!|Nie pchaj się!|Nie musisz się tak pchać.
Novigrad Cook 31|No offense, but, uh, you're scaring my customers away.|Novigrad Cook 31|Hate workin' in the rain.|Novigrad Dockworker 01|A beverage, maybe?|Może coś do picia?|Może coś do picia?
Novigrad Thug Strong 02|You all right, darlin'?|Novigrad Prostitute 02|Ugh, see what you've done?! He's broken character now.|Novigrad Prostitute 02|This masquerade… just not a good idea, I don't think.|Ta przebieranka to chyba nie był dobry pomysł.|Ten bal maskowy… po prostu nie wydaje mi się dobrym pomysłem.
Novigrad Female Bard 01|Have you heard? Some circus troupe's angered Menge!|Novigrad Female Bard 01|I wonder if anyone in Novigrad would stage the work of a novice.|Novigrad Female Bard 01|I'd rather not hear this.|Nie chce o tym słuchać.|Wolałabym tego nie słyszeć.
Geralt|You must go and get the creature. I don't know - buy him, kidnap him…|Yennefer|Now tell me - do you…? No, never mind.|Yennefer|Won't be necessary. Baron owes me a favor. A big one.|Nie będzie trzeba. Mam u Barona dług wdzięczności.|Nie będzie konieczne.
Skellige Boatbuilder 03|Hey there.|Skellige Boatbuilder 03|Whew.|Skellige Boatbuilder 03|Man can't work five minutes and not be interrupted.|No nie pozwolą się człowiekowi skupić na robocie.|Nie da się pracować pięć minut bez przerwy.
Skellige Old Man 03|Oh, yeah… Won't get a peep outta you. Let's go.|Lugos The Glaucous|||C'mon, men! Whosoever brings me Uve Jabberjaw's head will get a longship to command!|Dalej, ludzie! Kto mi da głowę Uwe Milczka, dostanie pod komendę własny drakkar!|Chodźcie, mężowie! Ktokolwiek przyniesie mi głowę Uve Jabberjawa, ten dostanie okręt do dowodzenia!
Dreamer Corine Tilly|It's hard to describe… To start with, I must gain an understanding of the bond between the person and the object I'm to dream about.|Dreamer Corine Tilly|What do you see in your dreams?|Geralt|I ask questions, try to flesh out feelings, emotions… Truth is essential in this, and though most who come to me acknowledge that, many refuse to speak openly of certain matters. Apart from which they remain unaware of others, further obscuring things.|Zadaję dużo pytań, staram się nazwać uczucia, emocje... Ważna jest szczerość, ale i tak ludzie nie chcą opowiadać o niektórych sprawach. A innych nawet sobie nie uświadamiają.|Zadaję pytania, staram się uzupełnić uczucia, emocje... Prawda jest istotna w tym, a choć większość tych, którzy do mnie przychodzą, uznaje to, wielu odmawia otwartego mówienia o pewnych sprawach. Poza tym pozostają nieświadomi innych, co dodatkowo zaciemnia sytuację.
Geralt|Find my mum.|Tamara|Don't worry, I'm not daft enough to believe I can do it alone. I've got some new friends now. Powerful friends. They'll help me.|Tamara|You realize that might not be that easy.|Wiesz, że to może nie być takie proste...?|Wiesz, że to może nie być takie proste.
Guslar|||I'm… sorry.|Geralt|Trusted you, the pellar did. Help you promised!|Guślarz wam zaufał, obiecaliście pomoc!|Ufał ci, ten peleryniarz. Pomóc obiecałeś!
Geralt|Aye. Jabberin' the whole time.|Gnome Man 02|Truth be told, there is…|Dwarf Man 01|Mhm, Dandelion. So, hunter's barricaded himself inside? There another way in?|To na pewno Jaskier. Łowca zabarykadował się od środka? Jest jakieś inne wyjście?|Mhm, Dandelion. Więc myśliwy zabarykadował się wewnątrz? Czy jest inny sposób, żeby tam wejść?
Redanian Officer 01|A bit too much, mate… but just a bit. We might still strike a deal.|Redanian Officer 01|Give me, give me, give me. Sound more like a beggar than a witcher. You'll get what I say, and this here's my final word!|Redanian Officer 01|I'd 'ave gone to hunt the beast meself if I'd known you wanted this much. Hard luck. So be it.|Gdybym wiedział, że tyle sobie zaśpiewasz, sam bym na bestię poszedł... No, ale trudno. Niech będzie.|Chciałbym sam ruszyć na polowanie na bestię, gdybym wiedział, że tak bardzo ci na tym zależy. Pech. Cóż, niech i tak będzie.
Geralt|Decide quickly, please. There's a race about to begin.|Novigrad Rich Man 01|They're run as per Erasmus Vegelbud's dying wish. He came into his fortune by gambling and remained proud of the fact to the end.|Novigrad Rich Man 01|These races - tell me about them.|Opowiedz mi o tych wyścigach.|Powiedz mi coś więcej o tych wyścigach.
Geralt|Dare harm me... and against you will rise... all the powers of nature…|Ghost In The Tree|This is my prison... A fortress besieged...|Ghost In The Tree|I was attacked.|Zostałem zaatakowany.|Zostałem zaatakowany.
Dandelion|Sit there. There, I said! And shut it!|Witch Hunter 04|Quiet!|Witch Hunter 04|All right, all right. But what then? How long do you think you can keep me in this hut?|Jasne, jasne. Ale co dalej? Ile masz zamiar mnie trzymać w tej chacie?|Dobrze, dobrze. Ale co potem? Jak długo twoim zdaniem możesz mnie trzymać w tej chacie?
Geralt|Got good news and bad news.|Geralt|And the bad's that we have to kill the griffin for him.|Vesemir|Good news first - captain of the Nilfgaardian garrison knows where Yennefer went.|Dobra jest taka, że kapitan nilfgaardzkiego obozu wie, gdzie szukać Yennefer...|Dobre wieści najpierw - kapitan nilfgaardzkiego garnizonu wie, dokąd udała się Yennefer.
Skellige Fisherman 02|… you'd rather sit on your arse, nose in the air, you Zerrikanian princess?! Brave lad comes along, you sail with 'im!|Skellige Fisherman 02|You'd sail with anyone who'd let you aboard - Crach's daughter included.|Navigator|I'd 'ave sailed with Hjalmar if only those sea-whores hadn't banjaxed my knee. Woulda sailed 'stead of sharin' a table with a grumpy barnacle like you.|Gdyby mi te morskie kurwy nóg nie poszarpały, sam bym popłynął z Hjalmarem, zamiast dzielić stół z taką zrzędą jak ty...|Popłynąłbym z Hjalmarem, gdyby te morskie świnie nie uszkodziły mi kolana. Wolałbym płynąć, zamiast dzielić stół z takim marudnym krabem jak ty.
Geralt|||||Kept in there until the end.|Tych ludzi trzymano w klatkach aż umarli...|Trzymano go tam do samego końca.
Geralt|Ooh, this one's got bollocks, don't he.|Novigrad Thug Strong 01|Tut-tut - you people, honestly. Got nerve comin' to the front door. You're brazen, it ain't right.|Novigrad Thug Strong 02|Wanna see Junior.|Nieważne. Chcę się widzieć z Juniorem.|Chcesz zobaczyć Juniora?
Geralt|How'd you even wind up out here?|Geralt|You sayin' the Black Ones have no use for cobblers?|Talar|Nilfgaard occupied land now.|To teraz ziemie Nilfgaardu.|Nilfgaard zajmuje teraz te ziemie.
Donar An Hindar|Then come here! C'mon! Put you down like a rabid dog!|Lugos The Mad|Someone brought these beasts here to murder our sons and brothers. We cannot restore their lives.|Donar An Hindar|Calm down! Calm down! Enough blood's been spilt!|Spokój! Spokój!!! Dość już krwi rozlano!|Uspokój się! Uspokój się! Wystarczy już tej krwi.
Scoiatael Elf Man 31|I don't like you, witcher.|Scoiatael Elf Man 31|You bitch!|Scoiatael Elf Man 31|Blah, blah, blah.|Bla, bla, bla.|Blablabla, blablabla, blablabla.
Geralt|Mhm. The library might be a logical place to start. The key should be in the laboratory.|Mage 02|As you enter the room opposite, you'll see the laboratory to your left, the library straight ahead. But remember - you're an intruder. The tower is certain to want to stop you, make things difficult, at the least.|Mage 02|Where's that?|A gdzie to jest?|Gdzie to jest?
Novigrad Rich Woman 01|My regards to your mother!|Novigrad Rich Woman 01|Yes, master?|Novigrad Rich Woman 01|Unbelievable, a witcher in Novigrad. What will the priests say?|Nie wierzę, wiedźmin w Novigradzie. Co na to kapłani?|Nie do wiary, czarodziej w Nowym Mieście. Co powiedzą kapłani?
Emhyr|Close, White Wolf, is what you are to decapitation.|Emhyr|Yet that will change one day. When you are no longer indispensable but… disposable.|Emhyr|You're insolent because you believe I cannot afford to hurt you. And you're right.|Jesteś bezczelny – bo sądzisz, że nie zrobię ci teraz krzywdy. I masz rację.|Jesteś bezczelny, ponieważ uważasz, że nie mogę cię skrzywdzić. I masz rację.
Skellige Warrior 01|Hm, interesting. Thanks.|Geralt|Still here, witcher? Cut the beast down, have ye?|Skellige Warrior 01|Huh? For what?|Ale niby za co?|Co? Za co?
Novigrad Poor Woman 01|He's a good man. Honest… Righteous…|Novigrad Poor Woman 01|Longer it lasts, worse it gets. Radovid was late with our pay a whole week.|Novigrad Thug Strong 02|Eternal Fire, you're my only hope… Grant what I ask, and I'll spare no offerin'…|Wieczny Ogniu, w tobie ostatnia nadzieja... Nie poskąpię ofiary, jeżeli wysłuchasz mej prośby.|Eternal Fire, jesteś moją jedyną nadzieją... Udziel tego, o co proszę, a nie oszczędzę żadnej ofiary...
Skellige Blacksmith Helper 02|Eeeh?|Skellige Blacksmith Helper 02|Hey now…|Skellige Blacksmith Helper 02|Foreign lad. Well, well.|Zagranicznik. No, no.|Cudzoziemiec. No cóż.
Cerys|||I… I had to. The gods commanded it.|Udalryk|But why? Why'd you do it?!|Ale czemu? Czemu to zrobiłeś?!|Ale dlaczego? Dlaczego to zrobiłeś?!
Coroner|Good to know this was the work of a monster, not a human.|Geralt|Afraid you won't get the chance to tell me about them. 'Cause I'm gonna kill you.|Geralt|Believe me. Worse things go on in this city than my little… spectacles. Far worse.|Uwierz mi. W tym mieście dzieją się rzeczy znacznie gorsze od moich... inscenizacji.|Wierz mi. W tym mieście dzieją się gorsze rzeczy niż moje... okulary. Znacznie gorsze.
Cirilla|Your taste lingers on our tongues.|Witch Brewess|||You've talked enough.|Koniec gadania.|Wystarczy już tych rozmów.
Novigrad Boy 01|||You stink!|Novigrad Boy 02|Stupid old goat!|Stary cap!|Ty śmierdzisz!
Novigrad Nobleman 01|Not a place I'd ever expect to find a scholar. Take it you're fleeing the war?|Geralt|Tired of life?|Geralt|Quite the opposite. Chasing it. I'm headed for the front.|Wręcz przeciwnie. Jadę na front.|Dokładnie odwrotnie. Gonię je. Jadę na front.
Novigrad Citizen Man 02|Run, good folk! We've a madman!|Novigrad Citizen Man 02|Eternal Fire burn bright in my heart.|Novigrad Citizen Man 02|Eternal Fire!|Wieczny Ogniuuuu!|Ogień wieczny!
Verden Peasant 03|It's taken care of. It was a grave hag that dug up the graves and snatched the child.|Geralt|What about my reward?|Geralt|Aye, so… how is the little tyke?|A właśnie – co z tym małym?|No cóż... Jak się ma ten mały urwis?
Geralt|Right. Gotta pack.|Dwarf Man 01|||Good luck, then. Farewell.|No to powodzenia. Bywaj.|Powodzenia. Żegnaj.
