speaker|prev_text|prev_speaker|next_text|next_speaker|en_text|pl_text|dialog_prototype
Skellige Woman 05|Ye daft, woman? What would I say to me mates?|Skellige Warrior 01|This quiet worries me. It's the calm before the storm, I can feel it in me bones.|Skellige Villager 05|Maybe that your wife's with child…?|Że twoja żona jest przy nadziei…|Może że twoja żona jest w ciąży...?
Skellige Villager 03|Lemme have a look.|Geralt|What're you offering?|Geralt|Greetings, stranger. Have a drink with us.|Witaj, nieznajomy. Napij się z nami.|Witaj, obcy. Napij się z nami.
Geralt|Remember the preacher who spoke of witches and witchers? A man you humiliated before his faithful? He asked that we administer a sacrament on his behalf - your last rites.|Eternal Fire Guard 02|Mhm. Drawin' it up for you now.|Eternal Fire Guard 01|This is a misunderstanding… but fine, take them. Though I'll need a receipt, wouldn't wanna lose anything.|To jakieś nieporozumienie... No, ale trudno, bierzcie. Tylko chcę jakieś pokwitowanie, żeby nic się nie zgubiło.|To nieporozumienie… ale dobrze, weźcie ich. Tylko potrzebuję pokwitowania, nie chciałbym niczego stracić.
Vampire Medic 01|I've got a turtle stone!|Temerian Guard 03|Well, well. A witcher.|Vampire Medic 01|Mhm?|Mhm?|Mhm?
Geralt|Telling you Geralt, since you and Hjalmar defeated the Ice Giant together, I see you as one of our own.|Crach|You've got the heart of an an Craite.|Crach|I got the look of a Skelliger?|Wyglądam na mieszkańca Skellige?|Czyżbym miał wygląd Skelligeńczyka?
Novigrad Female Bard 02|Bravo, witcher! I've material for another ballad!|Novigrad Female Bard 01|We've a sack of mushrooms for you! For helping us!|Halfling Man 02|You're on everyone's tongues, you know! Coin and fame aplenty now, eh?|Wiesz, ostatnio dostałeś się na języki! Sława i pieniądze, co?|Jesteś na ustach wszystkich! Teraz masz pełno pieniędzy i sławy, co?
Novigrad Old Woman 15|Well, well, well.|Novigrad Old Woman 14|Looking for work, master witcher? In Novigrad?|Novigrad Old Woman 15|The White Wolf.|Biały Wilk.|Biały Wilk.
Triss|We're right under the main square. Next to Carlo 'The Cleaver' Varese's headquarters. Can't be a coincidence.|Geralt|||His debtors have tended to disappear without a trace.|No tak. Jego dłużnicy mieli skłonność do znikania bez śladu.|Jego dłużnicy mają tendencję do znikania bez śladu.
Elf Man 02|Help…|Elf Man 02|Can't afford it anyway.|Elf Man 02|Eternal Fire which is our hope…|Wieczny Ogień, który jest nadzieją...|Wieczny ogień, który jest naszą nadzieją...
Verden Woman 01|Don't wanna know what happened to her?|Geralt|Hanna's dead for certain. Niellen ought to accept his loss, move on with his life.|Verden Woman 01|I've no illusions, witcher. In Velen, you're gone as long as she's been, you don't come back.|Nie mam złudzeń, wiedźminie. Tu w Velen, jak ktoś znika na tyle czasu, to już nie wraca.|Nie mam złudzeń, wiedźminie. W Velen, jeśli ktoś zaginął tak dawno temu, już go nie ma.
Geralt|Name's Muggs, Rostan Muggs. Need your help in a grave matter.|Dwarf Man 02|Why wouldn't it be?|Dwarf Man 02|And you think this is witchers' work because…?|I to jest według ciebie zlecenie dla wiedźmina?|I myślisz, że to nasza robota, ponieważ...?
Baron Bandit Strong 02|I heard.|Baron Bandit Strong 02|Later, later.|Baron Bandit Strong 02|Wanna hop over the village? Remind the bumpkins who we are?|Chcesz ze mną do wsi wyskoczyć? Chłopom się przypomnieć?|Chcesz przejechać przez wieś? Przypomnieć kmiotkom kim jesteśmy?
Novigrad Old Woman 02|"""The Doppler's Salvation"" - your performance was mag-ni-fi-cent!"|Novigrad Old Woman 02|Lots of fuss over lots of rain.|Novigrad Old Woman 03|A Changeling Rescued, or the Witcher's Triumph - your performance was mag-ni-fi-cent!|"Twoja gra w ""Zmienniku wybawionym albo tryumfie Wiedźmina"" była im-po-nu-jąca!"|A Changeling Rescued, or the Witcher's Triumph - twoja gra była mag-ni-fi-cent!
Geralt|Hmm… two methods that work. In theory.|Geralt|Good decision.|Cerys|Hmm… Trying the trick can't hurt.|Hmm... Spróbować nie zaszkodzi.|Spróbować tej sztuczki nie zaszkodzi.
Geralt|Don't know yet.|Geralt|Hahah! Hahaha! You helped me, too. Let's call it evenin' the odds, and leave the rest for the gods to decide.|Hjalmar|Your father asked me to, but… what if I help her, and she wins, and they crown her queen of Skellige?|Twój ojciec mnie o to prosił, ale... co jeśli dzięki mnie Cerys zwycięży i zostanie królową Skellige?|Twój ojciec poprosił mnie o pomoc, ale... co jeśli jej pomogę, a ona wygra i koronują ją na królową Skellige?
Dwarf Sleepy|Oh, Nibbles, yousa naughty kitty, aren't ye?|Dwarf Sleepy|Wake up.|Geralt|All right! I'm up!|No już, już.|Wstań.
Geralt|1245 to 1254…|Geralt|Old vintages… 1235 to 1244.|Geralt|Vintages from 1255 to 1264…|Tu są butelki z lat 1255-1264...|Vintages from 1255 to 1264...
Novigrad Thug Strong 01|What do ya want?|Novigrad Thug Strong 01|Bloody hell!|Novigrad Thug Strong 01|Got a problem?|Masz jakiś problem?|Masz jakiś problem?
Cirilla|It's yours.|Geralt|Like it?|Geralt|A witcher's silver sword…|Srebrny wiedźmiński miecz...|To srebrny miecz wiedźmina...
Skellige Woman 05|Twas the most horrible night of me life… I remember fire, cries, and the clink of iron 'gainst iron… They herded us on a longship.|Skellige Woman 05|Greetings, what brings ye here?|Skellige Woman 05|Toward dawn a storm broke. It was mayhem, so I took advantage and jumped overboard.|Nad ranem rozpętał się sztorm. Wykorzystałam zamieszanie i wyskoczyłam za burtę.|Tuż przed świtem rozpętała się burza. Panował chaos, więc skorzystałam z okazji i wyskoczyłam za burtę.
Novigrad Boy 01|That ain't real fire…|Novigrad Boy 03|They just smear ash on their lips first, that's why it don't hurt.|Novigrad Boy 01|Nuh-huh! It is too!|A właśnie, że tak!|Nie, nie! To prawdziwy ogień!
Geralt|Whoa! What the devil's this? Get outta my 'ouse!|Novigrad Thug Strong 01|What the-?! She's my betrothed!|Novigrad Thug Strong 01|Watch it. And leave the woman alone.|Zmień ton. I zostaw tę kobietę w spokoju.|Uważaj. I zostaw tę kobietę w spokoju.
Skellige Hunter 03|Argh, shut your gobs before someone hears you.|Skellige Villager 02|Strange. Never heard of anythin' similar.|Skellige Hunter 02|Same thing each time - snares sprung, earth trampled, blood, bits o' flesh… But no game in sight.|Wszędzie to samo. Wnyki zatrzaśnięte, zryta ziemia, krew, resztki skóry... A zwierzyny nie ma.|To samo za każdym razem - sidła się uruchamiają, ziemia jest stratowana, krew, strzępy mięsa… Ale żadnej zwierzyny w zasięgu wzroku.
Skellige Warrior 03|She wasn't worth it.|Geralt|Valgard wins!|Skellige Warrior 03|You've two bouts more 'fore you can challenge for the title of best in Skellige. You've got to defeat Einar, to be found on Faroe, and one Grim of Helmstein, a village on Ard Skellig. Good luck to ye.|Czekają cię dwa kolejne pojedynki, zanim otrzymasz szansę zostania mistrzem Skellige. Jeden z przeciwników to Einar. Znajdziesz go na Faroe. Drugim jest Grim z wioski Helmstein na Ard Skellig.|Musisz pokonać Einara, którego możesz znaleźć na Faroe, i jednego Grima z Helmstein, wioski na Ard Skellig. Powodzenia.
Geralt|Hmm… Maybe oughta let her unwind?|Geralt|Hmm… Try a merchant nearby…?|Geralt|Damn. Forgot the wine.|Cholera, zapomniałem o winie.|Cholera. Zapomniałem wina.
Crach|||That's not Hjalmar. Let's go.|Geralt|Hear that? Dammit, Hjalmar's probably started another row.|Słyszałeś? Cholera, Hjalmar zaczął pewnie jakąś burdę...|Słyszysz to? Cholera, pewnie Hjalmar znowu zaczął awanturę.
Novigrad Old Woman 02|Odd though he is, girls can't seem to look away.|Novigrad Old Woman 02|Devils take you!|Novigrad Old Woman 02|Hey, now!|Ej no!|Hey, now!
Novigrad Thug Strong 02|You know him?|Novigrad Thug Strong 01|Tut-tut - you people, honestly. Got nerve comin' to the front door. You're brazen, it ain't right.|Novigrad Thug Strong 02|Can't say I do.|Nie znam.|Nie mogę powiedzieć, żebym go znał.
Geralt|Hah! Lambert claimed you'd forget. Thanks, brother.|Eskel|Eskel.|Geralt|Did everything to deserve it. Well, Scorpion did. But I'm not about to ply your horse with vodka.|Zasłużyłeś sobie. No, Wojsiłek raczej... Ale koniowi przecież nie dam wódki.|Zrobiłem wszystko, by sobie na to zasłużyć. No cóż, Skorpion dał radę. Ale nie zamierzam poić twojego konia wódką.
Skellige Fisherman 02|||He's alive, all right - and swimmin'.|Skellige Woman 04|Whoo-eey, that's some thunderin'. Think he's still alive?|Ło, ale gruchnął. Myślicie, że żyje?|Co za burza! Myślisz, że on jeszcze żyje?
Menge|More or less. Just offer a different range of services. Where's the treasure?|Geralt|Got information about Philippa. Thought you might want to buy it…|Geralt|Secure in a Koviri bank. Far and safe from you, far and safe from Reuven.|W kovirskim banku. I nie dostaniesz go ani ty, ani Reuven.|Skarb jest bezpieczny w banku w Kovirze. Daleki od ciebie, daleki od Reuvena.
Hjalmar|Hang in there, Leif! I'll soon finish them off!|Hjalmar|Ploughin' fish-bitches!|Hjalmar|I'll gut you!|Wypatroszę was!|Wytnę cię!
Radovid|You do not because you are not a king. Pawns see only their comrades at their sides and their foes across the field.|Radovid|You see, witcher, chess is the art of sacrificing your own pieces.|Radovid|A king has a different view of the chessboard. His greatest foes surround him. His own chessmen might trap him. And that is check - and death.|Król widzi szachownicę inaczej. Najwięksi wrogowie są dookoła niego. Każda bierka może zamknąć króla w matni. A wtedy szach – i śmierć.|Król widzi szachownicę inaczej. Jego najwięksi wrogowie otaczają go ze wszystkich stron. Jego własne figury mogą go uwięzić. I to jest szach mat – śmierć.
Priscilla|Now we're here, but no decision's been made. And the lady's horribly surprised she's to choose, though apparently this whole renovation's for her sake.|Dwarf Man 01|Well it's not for me. Now would ye please decide 'fore I burst a vessel?!|Dwarf Man 01|For me?|Jak to dla mnie?|Dla mnie?
Yennefer|This'll be tough to open.|Geralt|Hard not to.|Geralt|Surprises never end. See the ravens?|To jeszcze nie koniec niespodzianek. Widzisz te kruki?|Trudno będzie otworzyć.
Geralt|||||Akh akh. Dammit, gotta hold my breath.|Zaraza, muszę wstrzymać oddech.|Ach, ach. Cholera, muszę wstrzymać oddech.
Skellige Warrior 02|Don't say that! Me brother was good!|Skellige Girl 02|Begone, man. Let us mourn in peace.|Skellige Old Woman 03|Quiet, dear, you don't know what you're sayin'. Your brother was a vile man, a criminal. The quicker you forget him, the better.|Cicho, mała, nie wiesz, co mówisz. Twój brat to był podły człowiek, zbrodniarz. Im szybciej o nim zapomnisz, tym lepiej.|Cicho, kochana, nie wiesz co mówisz. Twój brat był podłym człowiekiem, przestępcą. Im szybciej o nim zapomnisz, tym lepiej.
Novigrad Citizen Man 18|Eternal Fire, pounding in my skull.|Novigrad Citizen Man 18|Hic-cup! Ooh! Gonna be sick.|Novigrad Citizen Man 18|Got right cabbaged last night. Head feels like it's full of sauerkraut.|Tak się wczoraj schlałem, że jeszcze mi się we łbie kręci.|Głowa mi pęka od wczorajszego wieczora.
Skellige Villager 06|Keep your distance, vagrant!|Skellige Warrior 02|Hahaha! I won!|Skellige Warrior 02|No one can outrace Speedy Osvald!|Nikt nie prześcignie Szybkiego Osvalda!|Nikt nie dogoni Szybkiego Osvalda!
Cirilla|Hmm… There!|Cirilla|I'm here.|Geralt|Valdo!|Valdo!|Valdo!
Yennefer|She's stopped.|Yennefer|Philippa's turned pale!|Yennefer|She's saying something.|Coś mówi.|Ona przestała.
Geralt|Hah! Look who we have here!|Baron Bandit Weak 01|Life's short, but art's eternal.|Baron Bandit Weak 01|Business seems good, even with the baron gone.|Nawet bez Barona interes kwitnie.|Interesy idą dobrze, nawet bez barona.
Hallgrim|Strong blood? What're you talking about?|Geralt|We've talked enough.|Hjalmar|I speak of the she-bear and her cub.|O niedźwiedzicy i jej młodym.|Mówię o niedźwiedzicy i jej młodym.
Cirilla|Really, there's no need… I feel fine now.|Cirilla|Fine? You can't stand on your own two feet…|Skellige Woman 04|Hey!|Heej!|Hey!
Dandelion|||||Ugh… You're better than I thought…|Uch... Jest lepszy, niż myślałem...|Uff... Jesteś lepszy niż myślałem...
Priscilla|We have, but can't really say how it'll turn out without Polly here… The girls claim they know what they're doing, but it all looks a little like an orchestra without a conductor.|Dandelion|Well, well… see the crew's been hard at work. Not bad.|Geralt|Don't worry, they'll be fine. And if anything goes wrong, we can wave them off the stage, start our concert early.|Nie martw się, poradzą sobie. A jak coś pójdzie nie tak, damy im znać, żeby zeszły ze sceny, i zaczniemy nasz koncert wcześniej.|Nie przejmuj się, poradzą sobie. A jeśli coś pójdzie nie tak, możemy je odwołać ze sceny i zacząć nasz koncert wcześniej.
Geralt|||I've no clue! First time I've laid eyes on 'em. Maybe… well, recently someone's been tryin' to question our messengers... 'bout the young count.|Novigrad Poor Man 03|What'd they want from you?|Czego od ciebie chcieli?|Czego od ciebie chcieli?
Novigrad Poor Man 03|Mornin'.|Novigrad Poor Man 03|You'd do well not to pester folk.|Novigrad Poor Man 03|How is everyone?|W domu wszyscy zdrowi?|Jak się macie?
Geralt|Peter Piper picked Prince Proximo a peck of pickled peppers by the Pontar. Hahaha.|Godling Johnny|"My favorite words... Life without savoring the sound of ""surreptitious shananacking"" is like licking snails through a cloth."|Godling Johnny|Done celebrating?|Już się nacieszyłeś?|Czy już świętowanie skończone?
Geralt|"""Give me the first thing you see when you get home."" My life… For the life of that prick? I say fuck that kinda destiny."|Lambert|Isn't it? Real side-splitter, I think.|Lambert|Wow… truly great story.|Faktycznie... Wyborna opowieść.|Wow… naprawdę świetna historia.
Geralt|||||Anyone there?! You can come out! It's safe now!|Jest tam ktoś żywy?! Jeżeli tak, to może wyjść! Jest już bezpiecznie!|Czy ktoś tam jest?! Możecie wyjść! Teraz jest bezpiecznie!
Elf Man 37|Good day.|Elf Man 36|What are you looking at?|Elf Man 37|I wonder if the river's rising.|Ciekawe, czy rzeka przybierze?|Czy rzeka wzbiera?
Temerian Woman 01|Do I know it? Can't remember how many times I've been there, how many times Mother Nenneke stitched me up.|Geralt|Hm… I was but eighteen when they took me in. An age at which teachings interest one far less than love.|Temerian Woman 01|We must've missed each other. I studied to become a healer under Mother Nenneke.|Musieliśmy się mijać. Uczyłam się u niej na uzdrowicielkę.|Musiałam cię minąć. Uczyłam się u Matki Nenneke, by zostać uzdrowicielką.
Geralt|Hahahahahahah! Now why would I help you?|Elf Female 03|And what will I get out of it?|Elf Female 03|It's really important to my friend here.|Mojemu przyjacielowi bardzo na tym zależy.|To bardzo ważne dla mojego przyjaciela.
Geralt|I… I didn't want to… Aki fell in the water… I… the gods will be angry.|Udalryk|They are that just.|Udalryk|Angry you want to make peace with your brother? Are the gods of Skellige that cruel?|Rozgniewają się, że chcesz pogodzić się z bratem? Skelliscy bogowie są aż tak okrutni?|Chcesz obrazić bogów, żeby pogodzić się ze swoim bratem? Czy bogowie Skellige są aż tak okrutni?
Triss|Don't know. No idea, honestly.|Geralt|No. It's just, instead of dwelling on the future, I'd rather live in the moment. Like we are now.|Geralt|Trying to weasel out of answering again. You rascal.|Znowu się próbujesz wymigać. Nieładnie.|Próbujesz ponownie wykręcać się od odpowiedzi. Ty łotrze.
Yennefer|Come on. Triss? That's the past. You know that.|Geralt|Very well… On to more pressing matters. We've a great deal of work to do.|Yennefer|I do. But that does not mean I've forgotten it.|Wiem. Co nie oznacza, że o tym zapomniałam.|Wiem o tym. Ale to nie znaczy, że o tym zapomniałam.
Verden Old Man 03|Gimme the key to the door.|Geralt|No, wanna pour wax through its head, tell you your fortune. Now gimme the key.|Geralt|You'd go in?|Chcesz tam wejść?|Chcesz wejść?
Geralt|||||Fur shreds.|Strzępy futra.|Fur strzępy.
Geralt|Hmm, no man did this…|Geralt|Tuft of fur… Ugh, whatever lost it hasn't bathed in a while.|Geralt|Hmm. Cuts… made with long claws. Flesh torn clear off.|Hmm... Rany cięte, jak od długich szponów... A tu wyrwane kawałki ciała...|Cięcia... Zrobione długimi pazurami. Mięso oderwane od ciała.
Novigrad Dockworker 01|Call the Guard!|Novigrad Dockworker 01|Seems you're trim and healthy.|Novigrad Dockworker 02|Skellige's got a new king? What of it? Not a man in the Isles can be trusted!|Na Skellige nowy król? I co z tego? Żadnemu z Wyspiarzy nie wolno ufać!|Co z tego, że Skellige ma nowego króla? Żaden mieszkaniec Wysp nie jest godny zaufania!
Skellige Woman 01|Fire!|Skellige Woman 01|Modron Freya, protect us from all evil!|Skellige Woman 01|Aaaaaaah!|Aaaaaaa!|Aaaaaaah!
Nilfgaardian Soldier 01|Huh, you Black Ones aren't so scary after all. Can even be nice if you want to.|Geralt|To the tower. Go.|Nilfgaardian Soldier 03|Don't get accustomed, Nordling.|Nie przyzwyczajaj się, Nordlingu.|Nie przyzwyczajaj się, Nordlingu.
Skellige Warrior 01|Crach entrustin' his doin's to continentals - that's why he's damn impossible to reason with.|Skellige Warrior 02|Folk say the whelp would've returned from Undvik as gnawed bones if not for that witcher.|Skellige Warrior 02|I'd even 'ave thought Hjalmar worthy of the crown if he'd slain the giant himself.|Może bym i uwierzył, że Hjalmar nadaje się na króla, gdyby sam tego giganta ubił.|I'd even have thought Hjalmar worthy of the crown if he'd slain the giant himself.
Scoiatael Man 02|Do you think I fear death?|Scoiatael Man 02|At him from both sides!|Scoiatael Man 02|Aen Seidhe!|Aen Seidhe!|Aen Seidhe!
Geralt|Expense? Expense?! Not a word 'bout the help I give in return - blessin's, absolutions, enlightened advice? Believe me, these folks need all of it! I'd watch over 'em still if they fulfilled their end. But lately they offer these pathetic scraps.|Fugas|And I'll not lift it till they bring me worthy offerings! I'm to settle for curds and whey? Not a chance. And you can tell them that!|Fugas|…That they steal from the mouths of their children. And to make matters worse, you cast a curse on them.|...które odjęli od ust własnym dzieciom. A ty jeszcze rzucasz na nich klątwę.|Że okradają usta swoich dzieci. A sprawy mają się jeszcze gorzej – rzuciłeś na nich klątwę.
Geralt|||Magic accessories. Alchemy ingredients, potions, and much more.|Halfling Man 01|All right. What've you got there?|No, co tam masz?|Co tam masz?
Skellige Woman 05|And heard screams and poundin'!|Skellige Villager 02|||Ye got pissed on mead! 'Twas your own thick skull poundin'!|Miodu się opiłeś, to ci we łbie łomotało!|To było twoje pijane łebsko, które tak waliło!
Geralt|Hrr those who come hrr hrrr rrarrely introduce themselves. Hrr hrr hrr what hrr did he look like? Hrrr…|Morkvarg Warewolf|Hrr then I cannot hrr help you! Hrr I've shredded hrrr hrr many! Hrr hrr…|Morkvarg Warewolf|Uhh, no idea.|Nie mam pojęcia.|Uhh, no idea.
Crach|Aaaaaaaaaaaaaaa!|Lady Bran|Tuirseach!|Holger Blackhand|Tuirseach!|Tuirseach!|Tuirseach!
Keira Metz|Let's go, then.|Geralt|Missed a spot.|Geralt|Yes, let's.|Tak, chodźmy.|Tak, chodźmy.
Novigrad Noblewoman 02|Haha! Look at the redhead!|Novigrad Old Woman 02|||Go on, chase her! When a woman runs it means she wishes to be caught, desperately!|Eej, goń ją! Kiedy kobieta ucieka, to tylko po to, żeby ją łapać!|Goni ją! Kiedy kobieta ucieka, oznacza to, że chce być złapana, bardzo tego pragnie!
Voorhis|So, talked to the emperor.|Geralt|So not even you know.|Geralt|Hm. Why did he summon you?|Mhm. I czemu cię wezwał?|Dlaczego cię wezwał?
Triss|Knew exactly what he was signing up for.|Geralt|This is no time to mourn. Come with me.|Triss|Small comfort…|Marna pociecha...|Mała pociecha…
Novigrad Dockworker 02|Ah, don't give a flyin' fuck.|Novigrad Dockworker 02|Killed the scag, then slit her fancy man open like a prime porker!|Novigrad Dockworker 02|Milk in his belly makes a man smelly.|Kto pija mleko, ten rzyga daleko.|Mleko w brzuchu sprawia, że człowiek śmierdzi.
