speaker|prev_text|prev_speaker|next_text|next_speaker|en_text|pl_text|dialog_prototype|default
Nilfgaardian Officer 01|||||You have grown lazy, shit-heels, drinking your Temerian wheat beer!|Rozleniwiliście się, gamonie, przy temerskim pszenicznym!|Staliście się leniwi, gnidy, pijąc swoje temerskie piwo pszeniczne!|Stałeś się leniwy, chujki, pijąc swoje Temeriańskie piwo pszeniczne!
Triss|Everything all right?|Geralt|Need to clean your wounds. Infection'll set in otherwise.|Geralt|A few bites on my feet and calves. Nothing, really.|Mam pokąsane stopy i łydki. Ale to nic.|Kilka ugryzień na stopach i łydkach. Nic takiego.|Kilka ugryzień w stopy i łydki. Nic takiego naprawdę.
Triss|Don't worry about that. He'll fit right in with a good number of the other mages.|Geralt|Let's go find him.|Triss|Geralt!|Geralt!|Geralt!|Geralt!
Lady Bran|||||I've no time for you.|Nie mam dla ciebie czasu.|Nie mam dla ciebie czasu.|Nie mam czasu dla ciebie.
Skellige Druid 04|Sure, I'll help. Provided you go see Gremist afterwards.|Geralt|Yes, Geralt?|Skellige Druid 04|Agreed. Now follow me. Time for a little storm.|No, to przybijmy targu. A teraz chodź ze mną – pora na małą burzę.|Umowa stoi. Teraz chodź za mną. Czas na małą burzę.|Zgoda. Teraz chodź za mną. Czas na małą burzę.
Geralt|Everything's ready at my end.|Lambert|No. Booze. From potato peels.|Lambert|What's this? Brewing potions?|Co tam? Warzysz jakieś eliksiry?|Co to ma być? Warzenie mikstur?|Co to jest? Warzenie mikstur?
Yennefer|I must unwind. I'll go for a walk.|Cirilla|What're you talking about?|Geralt|Foot in mouth, as usual.|Jak zwykle coś palniesz.|Stopa w usta, jak zwykle.|Jak zwykle, stopa w ustach.
Geralt|What do you want now? I've taught you all I know.|Gremista|I do. But it's expensive.|Gremista|Got anything to sell?|Masz coś na sprzedaż?|Czy masz coś na sprzedaż?|Masz coś do sprzedania?
Geralt|Yes, luck stood with you! B-but the next time we meet…|Redanian Soldier 01|You so sure o' that?|Redanian Soldier 01|Challenge me again - raise your hand, draw your sword, look at me the wrong way… and I'll kill you.|Jeżeli jeszcze raz rzucisz mi wyzwanie, podniesiesz na mnie rękę, wyciągniesz miecz lub choćby krzywo spojrzysz... Zabiję cię.|Wyzwij mnie ponownie - unieś rękę, dobyj miecza, spójrz na mnie krzywo... i cię zabiję.|Wyzywaj mnie ponownie - podnieś rękę, dobyj miecza, spójrz na mnie krzywo... a cię zabiję.
Novigrad Prostitute 01|Pff. Tryin' to impress me with that… sword?|Novigrad Prostitute 01|Give me strength…|Novigrad Prostitute 01|Don't kill me!|Nie zabijajcie!|Nie zabijaj mnie!|Nie zabijaj mnie!
Philippa Eilhart|||||Keep looking. It must be here.|Szukaj dalej. Musi gdzieś tu być.|Kontynuuj poszukiwania. Musi tu być.|Szukaj dalej. Musi tu być.
Zoltan Chivay|Too suspicious. Think about it - Menge disappears, then shows up with a scar on his face to release Dandelion?|Geralt|Priscilla? What're you doing here?|Geralt|Ehh, I suppose you're right.|No, może i racja.|Ehh, chyba masz rację.|Ehh, chyba masz rację.
Yennefer|I'll come back - with Ciri.|Geralt|Agored, teirgane agored!|Yennefer|I know.|Wiem.|Wiem.|Wiem.
Novigrad Rich Man 01|Then trap your own rats.|Geralt|||Well, now I know why she brought you along. Fine. A full purse of Novigrad crowns. As proof of my good will.|Teraz już wiem, po co cię tu przyprowadziła. Ale dobrze. Macie tu pełny mieszek novigradzkich koron. W dowód mojego zaufania.|No cóż, teraz już wiem, dlaczego cię tu sprowadziła. Dobrze. Pełna sakiewka novigradzkich koron jako dowód mojej dobrej woli.|Dobrze, teraz wiem, dlaczego cię ze sobą zabrała. W porządku. Pełna sakiewka novigradzkich koron. Jako dowód mojej dobrej woli.
Geralt|Shhh. I know.|Triss|Mhm. But also baths, balms, body massages… You could make up for all those years you slept in the bushes and bathed in mountain streams.|Triss|"That would mean balls and banquets and other boring things that start with a ""b."""|To by oznaczało bale, bankiety, biesiady... I inne nudne rzeczy na b.|"To oznaczałoby jaja i uczty oraz inne nudne rzeczy zaczynające się na literę ""b""."|"To oznaczałoby kule i uczty oraz inne nudne rzeczy zaczynające się na literę ""b""."
Novigrad Sailor 03|Die, gray arse.|Novigrad Sailor 03|Argh.|Novigrad Sailor 03|Uh-huh?|Ehe?|Hmm?|Eh-he?
Margarita Laux Antille|As before? I'm to marry some princeling and become your puppet?|Cirilla|This time we offer you a partnership.|Margarita Laux Antille|You were a child then, and we… misjudged the situation.|Wtedy byłaś dzieckiem, a my... źle oceniłyśmy sytuację.|Byłaś wtedy dzieckiem, a my... źle oceniliśmy sytuację.|Byłeś wtedy dzieckiem, a my... źle oceniliśmy sytuację.
Godling Johnny|I believe I qualify.|Cirilla|Pretty damned good at finding lost voices.|Geralt|But he's old and ugly. What good is he?|Ale on jest stary i brzydki. Jaki z niego pożytek?|Ale on jest stary i brzydki. Jaki z niego pożytek?|Ale on jest stary i brzydki. Do czego się nadaje?
Cirilla|Ahh. You don't look good in black.|Geralt|Think he wants to meet you because he missed you? As I see it, he's got plans for you.|Geralt|What do you mean?|O czym ty mówisz?|Co masz na myśli?|Co masz na myśli?
Skellige Woman 01|Those're worms for kids who ask too many questions!|Skellige Villager 01|Soothsayin' like that, well, it'd normally be done with a flower, child.|Skellige Old Woman 04|He loves me… He loves me not… He loves me… He loves me not…|Kocha... Nie kocha... Kocha... Nie kocha...|On mnie kocha... On mnie nie kocha... On mnie kocha... On mnie nie kocha...|On mnie kocha... On mnie nie kocha... On mnie kocha... On mnie nie kocha...
Cerys|||Birna?|Geralt|Did you see their tartans? Clan Tuirseach colors.|Widziałeś ich tartany? To barwy rodu Tuirseach.|Czy widziałeś ich tartany? Kolory klanu Tuirseach.|Czy widziałeś ich kraty? Kolory klanu Tuirseach.
Geralt|Took a hatchet, laid in ambush for the shrieker beyond the moat, where the fields start. It's where we found 'im, guts stretched o'er the crown of a tree like gossamer. Took half a day to collect the parts, put 'em in a grave.|Verden Old Man 03|Yeah?|Verden Old Man 03|Greetings.|Witaj.|Cześć.|Pozdrowienia.
Geralt|What? This 'un fly in from the moon? We're makin' offerin's to the Allgod, clearly.|Verden Peasant 04|What've you done! The Allgod warned us… Said if he ever departed death would await us all! C'mon, Trebor, we must tell the others… Only group prayer can save us now.|Verden Peasant 04|Got good news. Your god's dead. It was actually a run-of-the-mill monster - sentient but mean, took advantage of you. You went hungry, while it grew new chins.|Mam dobre wieści. Bóg umarł. To był zwykły potwór, który wykorzystał waszą naiwność. Wyście głodowali... A on obrastał w kolejne podbródki.|Mam dobre wieści. Wasz bóg nie żyje. To była zwykła bestia - świadoma, ale złośliwa, wykorzystywała was. Wy głodowaliście, a on robił sobie nowe brody.|Dobre wieści. Twój bóg nie żyje. To był właściwie zwykły potwór - świadomy, ale złośliwy, wykorzystywał cię. Ty głodowałeś, a on obrastał w nowe podbródki.
Scoiatael Man 02|Squaess'me.|Scoiatael Man 02|Akh akh akh…|Scoiatael Man 02|Glaeddyv vort.|Glaeddyv vort.|Niech się stanie.|"Dziękuję za podziękowania.

Tłumaczenie:
Glaeddyv vort.

Dziękuję."
Yennefer|Think so? Maybe I can have some of my armor lined with it. Hm. Good luck, Yen.|Geralt|And Geralt, I know it's wartime, but try not to be a hero, all right? Just check those leads and come back to me - in one piece.|Yennefer|Same to you. And if you wish to learn what's happened in the world while you and Vesemir roamed the wilderness, talk to Ambassador var Attre. That's him, over there.|I wzajemnie. Słuchaj, jeżeli chcesz się dowiedzieć, co się działo na świecie, gdy włóczyłeś się z Vesemirem po bezdrożach, porozmawiaj z ambasadorem var Attre. To on, o tam.|To samo dla ciebie. A jeśli chcesz dowiedzieć się, co działo się w świecie, gdy ty i Vesemir wędrowaliście po dziczy, porozmawiaj z ambasadorem var Attre. To on, tam dalej.|To samo do ciebie. A jeśli chcesz dowiedzieć się, co działo się na świecie podczas twojej wędrówki z Vesemirem przez dzikie ostępy, porozmawiaj z ambasadorem var Attre. To on, tam dalej.
Triss|Sooner we get out of here, the better.|Geralt|I hear the statues there are completely… entirely…|Triss|Oh, no! I plan to have a good look at this famous maze of theirs first…|O nie! Mam zamiar najpierw dokładnie obejrzeć sobie ten ich słynny labirynt...|Oh, nie! Planuję najpierw dokładnie obejrzeć ten słynny labirynt.|Och, nie! Planuję najpierw dobrze przyjrzeć się ich słynnemu labiryntowi...
Novigrad Trader 03|Twas you let the beast in there! 'Cause me bales o' silk were drivin' ye mad with jealousy!|Dwarf Man 02|Shut it! Or I'll lock you both up!|Novigrad Guard 01|Shove your bales up your arse!|W rzyć se je wsadź!|Wsadź sobie te bele jedwabiu w dupę!|Wpychaj swoje bele do dupy!
Verden Ghost Peasant M 03|||||Who's that? Show yourself! Anyone there?|Kto tu? Odezwij się... Jest tu kto?|Kto tam jest? Pokaż się! Jest tu ktoś?|Kto tam jest? Pokaż się! Jest tu kto?
Ghost In The Tree|The beast and I shall be as one… As when I lived... We shall be a gale... Nothing to stop us.|Ghost In The Tree|Dare harm me... and against you will rise... all the powers of nature…|Ghost In The Tree|A wild steed... From meadows moist…|Dzikie konie znajdziesz... Na podmokłych łąkach...|Dziki rumak... Z wilgotnych łąk...|Dziki koń... Z wilgotnych łąk...
Redanian Townsman 03|"Why don't they play the one about ""the fresher who caught his arm in a thresher""?"|Redanian Townsman 02|Heresies? How's that? I don't remember anything…|Redanian Townsman 02|They can't sing that anymore. Contains heresies.|Tego już nie można śpiewać. Tam są herezje.|Nie mogą już śpiewać tej piosenki. Zawiera herezje.|Nie mogą już tego śpiewać. Zawiera herezje.
Geralt|It'll show today. I'm sure of it.|Eyvind|Eh? Oh, yes! The pyre. All that chattin'…|Eyvind|Forgetting anything?|Chyba o czymś zapomniałeś...|Czy coś ci uciekło z pamięci?|Zapominasz o czymkolwiek?
Dwarf Sneezy|||||Achoo!|Apsik!|A psik!|Ach!
Geralt|I cry... I wail... None listen…|Ghost In The Tree|I've been waiting... You've returned... Your decision?|Ghost In The Tree|I'm back.|Wróciłem.|Wróciłem.|Jestem z powrotem.
Redanian Townsman 01|What's an oddity like that doing here?|Redanian Townsman 01|Good folk! Murderer!|Redanian Townsman 01|You needn't shove!|Nie pchaj się!|Nie musisz się tak pchać.|Nie musisz pchać!
Novigrad Cook 31|No offense, but, uh, you're scaring my customers away.|Novigrad Cook 31|Hate workin' in the rain.|Novigrad Dockworker 01|A beverage, maybe?|Może coś do picia?|Może coś do picia?|Napój, może?
Novigrad Thug Strong 02|You all right, darlin'?|Novigrad Prostitute 02|Ugh, see what you've done?! He's broken character now.|Novigrad Prostitute 02|This masquerade… just not a good idea, I don't think.|Ta przebieranka to chyba nie był dobry pomysł.|Ten bal maskowy... po prostu nie wydaje mi się dobrym pomysłem, myślę.|Ten kamuflaż... po prostu nie jest dobrym pomysłem, myślę.
Novigrad Female Bard 01|Have you heard? Some circus troupe's angered Menge!|Novigrad Female Bard 01|I wonder if anyone in Novigrad would stage the work of a novice.|Novigrad Female Bard 01|I'd rather not hear this.|Nie chce o tym słuchać.|Wolałabym tego nie słyszeć.|Wolałbym tego nie słyszeć.
Geralt|You must go and get the creature. I don't know - buy him, kidnap him…|Yennefer|Now tell me - do you…? No, never mind.|Yennefer|Won't be necessary. Baron owes me a favor. A big one.|Nie będzie trzeba. Mam u Barona dług wdzięczności.|Nie będzie to konieczne. Baron winien mi jest dużą przysługę.|Nie będzie konieczne. Baron jest mi winien przysługę. Dużą.
Skellige Boatbuilder 03|Hey there.|Skellige Boatbuilder 03|Whew.|Skellige Boatbuilder 03|Man can't work five minutes and not be interrupted.|No nie pozwolą się człowiekowi skupić na robocie.|Nie da się pracować pięć minut bez przerwy.|Człowiek nie może pracować pięć minut bez przerwy.
Skellige Old Man 03|Oh, yeah… Won't get a peep outta you. Let's go.|Lugos The Glaucous|||C'mon, men! Whosoever brings me Uve Jabberjaw's head will get a longship to command!|Dalej, ludzie! Kto mi da głowę Uwe Milczka, dostanie pod komendę własny drakkar!|Chodźcie, mężowie! Ktokolwiek przyniesie mi głowę Uve Jabberjawa, ten otrzyma długi statek do dowodzenia!|No dalej, ludzie! Ktokolwiek przyniesie mi głowę Uve Jabberjawa, otrzyma okręt do dowodzenia!
Dreamer Corine Tilly|It's hard to describe… To start with, I must gain an understanding of the bond between the person and the object I'm to dream about.|Dreamer Corine Tilly|What do you see in your dreams?|Geralt|I ask questions, try to flesh out feelings, emotions… Truth is essential in this, and though most who come to me acknowledge that, many refuse to speak openly of certain matters. Apart from which they remain unaware of others, further obscuring things.|Zadaję dużo pytań, staram się nazwać uczucia, emocje... Ważna jest szczerość, ale i tak ludzie nie chcą opowiadać o niektórych sprawach. A innych nawet sobie nie uświadamiają.|Pytając, staram się uzupełnić uczucia, emocje... Prawda jest kluczowa w tym, co robię, a choć większość osób przychodzących do mnie zdaje sobie z tego sprawę, wiele z nich odmawia otwartego mówienia o pewnych kwestiach. Poza tym pozostają nieświadomi innych rzeczy, co dodatkowo komplikuje sytuację.|Zadaję pytania, staram się rozwijać uczucia, emocje... Prawda jest w tym kluczowa, a choć większość przychodzących do mnie to uznaje, wielu odmawia otwartego mówienia o pewnych sprawach. Poza tym pozostają nieświadomi innych, co jeszcze bardziej zaciemnia sytuację.
Geralt|Find my mum.|Tamara|Don't worry, I'm not daft enough to believe I can do it alone. I've got some new friends now. Powerful friends. They'll help me.|Tamara|You realize that might not be that easy.|Wiesz, że to może nie być takie proste...?|Wiesz, że to może nie być takie proste.|Zdajesz sobie sprawę, że to może nie być takie proste.
Guslar|||I'm… sorry.|Geralt|Trusted you, the pellar did. Help you promised!|Guślarz wam zaufał, obiecaliście pomoc!|Ufał ci, ten peleryniarz. Pomóc obiecałeś!|Ufałem ci, piekarzu. Pomóc obiecałeś!
Geralt|Aye. Jabberin' the whole time.|Gnome Man 02|Truth be told, there is…|Dwarf Man 01|Mhm, Dandelion. So, hunter's barricaded himself inside? There another way in?|To na pewno Jaskier. Łowca zabarykadował się od środka? Jest jakieś inne wyjście?|Mhm, Dandelion. Więc myśliwy zabarykadował się wewnątrz? Czy jest inny sposób, żeby się tam dostać?|Mhm, mniszek lekarski. Więc myśliwy zabarykadował się w środku? Jest inny sposób wejścia?
Redanian Officer 01|A bit too much, mate… but just a bit. We might still strike a deal.|Redanian Officer 01|Give me, give me, give me. Sound more like a beggar than a witcher. You'll get what I say, and this here's my final word!|Redanian Officer 01|I'd 'ave gone to hunt the beast meself if I'd known you wanted this much. Hard luck. So be it.|Gdybym wiedział, że tyle sobie zaśpiewasz, sam bym na bestię poszedł... No, ale trudno. Niech będzie.|Chciałbym sam ruszyć na polowanie na bestię, gdybym wiedział, że tak bardzo ci na tym zależy. Pech. Cóż, niech i tak będzie.|Szedłbym sam upolować bestię, gdybym wiedział, że tak bardzo tego chcesz. Pech. Trudno.
Geralt|Decide quickly, please. There's a race about to begin.|Novigrad Rich Man 01|They're run as per Erasmus Vegelbud's dying wish. He came into his fortune by gambling and remained proud of the fact to the end.|Novigrad Rich Man 01|These races - tell me about them.|Opowiedz mi o tych wyścigach.|Te wyścigi - opowiedz mi o nich.|Te wyścigi - opowiedz mi o nich.
Geralt|Dare harm me... and against you will rise... all the powers of nature…|Ghost In The Tree|This is my prison... A fortress besieged...|Ghost In The Tree|I was attacked.|Zostałem zaatakowany.|Zostałem zaatakowany.|Zostałem zaatakowany.
Dandelion|Sit there. There, I said! And shut it!|Witch Hunter 04|Quiet!|Witch Hunter 04|All right, all right. But what then? How long do you think you can keep me in this hut?|Jasne, jasne. Ale co dalej? Ile masz zamiar mnie trzymać w tej chacie?|Dobrze, dobrze. Ale co potem? Jak długo twoim zdaniem możesz mnie trzymać w tej chacie?|Dobrze, dobrze. Ale co potem? Jak długo myślisz, że możesz mnie trzymać w tej chacie?
Geralt|Got good news and bad news.|Geralt|And the bad's that we have to kill the griffin for him.|Vesemir|Good news first - captain of the Nilfgaardian garrison knows where Yennefer went.|Dobra jest taka, że kapitan nilfgaardzkiego obozu wie, gdzie szukać Yennefer...|Dobre wieści najpierw - kapitan nilfgaardzkiego garnizonu wie, dokąd udała się Yennefer.|Dobre wieści najpierw - kapitan nilfgaardzkiego garnizonu wie, dokąd udała się Yennefer.
