speaker|prev_text|prev_speaker|next_text|next_speaker|en_text|pl_text|dialog_prev|dialog_next
Novigrad Poor Man 03|Present what you've got, what you aim to bring into the city.|Eternal Fire Guard 02|Search 'im. Find anythin' suspect, to the dungeon with 'im. Next!|Eternal Fire Guard 02|Oh, small things, sundries. This, that, the other. Truly, officer, naught to fret about 'ere, because--|A, takie drobiazgi. Trochę tego, trochę tamtego. Naprawdę, panie władzo, nie ma się co kłopotać, bo...|Nic takiego, drobiazgi. To, tamto, różne rzeczy. Naprawdę, oficerze, nie ma się czym przejmować tutaj, ponieważ...|Ach, drobiazgi, różne rzeczy. To, tamto, inne. Naprawdę, oficerze, nie ma się czym przejmować tutaj, bo...
Geralt|To keep malicious forces at bay. You must watch they do not go out! Or else, it shall come!|Guslar|Evil.|Guslar|What'll come?|Co przyjdzie?|Co się stanie?|Co się stanie?
Novigrad Boy 01|What happened, kid?|Geralt|Hel… Help.|Novigrad Boy 01|They… They…|Oni... Oni...|Oni... Oni...|Oni... Oni...
Novigrad Rich Woman 03|Will you see what specter haunts me? I've gold, it's no object, I'll spare no amount!|Novigrad Rich Woman 03|Here… A key to a treasure. There are three in all. Follow the hunters to find the other two. I… must flee. Now.|Novigrad Rich Woman 03|You must go now. I've no time for you, I must gather my things.|Idźcie już. Nie mam czasu, muszę się spakować.|Musisz teraz iść. Nie mam dla ciebie czasu, muszę spakować swoje rzeczy.|Musisz teraz iść. Nie mam dla ciebie czasu, muszę spakować swoje rzeczy.
Geralt|See this sword? You know by its crafter's mark that it was forged in the isles. Belonged to Lars, who woulda been the same age as I.|Skellige Blacksmith Helper 02|His wife went missin' durin' a nasty storm. It was said the goddess smiled fondly on her, so Lars refused to believe she was truly dead.|Skellige Blacksmith Helper 02|What happened to him?|I co się z nim stało?|Co się z nim stało?|Co się z nim stało?
Troll_3|I need that man.|Geralt|I figure riddle.|Troll_2|No! We win human from Myrhyff!|Nie. Człowiek wygrany od Myrhyffa.|Nie! Mamy człowieka z Myrhyff!|No! Zwyciężamy człowieka z Myrhyff!
Verden Peasant 04|Spirit - speak! This time is yours! Tell us of your ghostly woes!|Guslar|Should I drive him away?|Geralt|Tis old man Ambros!|Kurwa, to stary Jamroz!|To stary pan Ambros!|To stary pan Ambros!
Temerian Woman 02|Well, he started twistin' and squirmin' so wham-bam - they knocked his head off!|Temerian Woman 01|What did the folk do?|Temerian Woman 03|Aye, so it were. 'Cept it was some drowner that had supped on the kid. Witcher had naught to do with it!|Tak było. Tyle że dzieciaka jakiś utopiec zeżarł i wiedźmak nic do tego nie miał!|Ach, tak było. Ale to był jakiś topielec, który najadł się dziecka. Czarownica nie miała z tym nic wspólnego!|Tak, tak było. Ale to był jakiś topielec, który najadł się dziecka. Czarodziej nie miał z tym nic wspólnego!
Novigrad Traveler Woman 01|You try returning by sea, what with those accursed pirates…|Novigrad Traveler Woman 01|What're you…? What on earth are you doing?!|Novigrad Traveler Woman 01|You--! You boor!|Ty... ty chamie!|Ty chamie!|Ty...! Ty chamie!
Geralt|Thanks for the advice, but… I can't take it.|Geralt|Heard enough from this whoreson.|Witch Hunter 01|All right. We've talked. Do what you gotta. Just remember… I can't help but get in your way.|Dosyć gadania. Róbcie co do was należy i pamiętajcie... Będę wam w tym przeszkadzał.|Dobrze. Porozmawialiśmy. Rób co musisz. Tylko pamiętaj... Nie mogę się powstrzymać przed wchodzeniem ci w drogę.|Dobrze. Porozmawialiśmy. Rób co musisz. Tylko pamiętaj... Nie mogę się powstrzymać od wchodzenia ci w drogę.
Voorhis|Well, if Molly'll be there…|Geralt|This Baroness la Valette's villa?|Geralt|On our way, then.|No to w drogę.|W drogę, więc.|W drogę, więc.
Blacksmith Woman|Er, you know how it is, general. Good help's hard to come by. We should go outside, there's business to discuss…|Fergus Graem|Enough?|Geralt|It's always the same! I've had enough!|Zawsze to samo! Mam już tego dość!|To zawsze jest tak samo! Mam już dosyć!|To zawsze jest tak samo! Mam już dosyć!
Dandelion|Polly and her half-brained fiancé - they're fighting. She's the only one in this town who knows anything about choreography… and that lummox won't let her work for me.|Dandelion|We were, but you didn't show. Priscilla started to worry, so I came to see how you were doing.|Geralt|Ho-ho-hold on - what're you doing here? We were gonna meet at the Rosemary.|Ale zaraz, właściwie co ty tu robisz? Mieliśmy się spotkać w Szałwii.|Co jest? Co ty tu robisz? Mieliśmy się spotkać w Różanej.|Ho-ho-poczekaj - co ty tutaj robisz? Mieliśmy się spotkać u Rosemary.
Geralt|We have to talk to Vienne. Must've had enough to drink by now. Let's go.|Lambert|I intend to get even with the bastards who did it. Karadin most of all.|Lambert|What do you intend to do?|I co zamierzasz?|Co zamierzasz zrobić?|Co zamierzasz zrobić?
Eskel|"Someone starts by saying ""I've never…"" - and finishing the sentence however they want. Whosever done that thing, downs a shot. Then it's the next guy's turn."|Lambert|I've never… slept with a succubus.|Lambert|Sounds great. You start.|Brzmi dobrze... Zaczynaj.|Brzmi świetnie. Ty zaczynasz.|Brzmi świetnie. Zaczynaj.
Geralt|Hm-hm, what the fuck do I care what happens to some Pruhsilly? We short o' wenches in this town?|Eustace|Aye. When I load you into me wheelbarrow.|Eustace|We'll meet again.|Jeszcze się zobaczymy.|Spotkamy się ponownie.|Spotkamy się ponownie.
Novigrad Rich Man 03|Tis an offence to nature! Does the Temple Guard know what goes on there?|Novigrad Old Man 03|Hmm… And you say the price is reasonable?|Novigrad Old Man 03|Shh! The Guard is well aware.|Ćsii! Straż wie bardzo dobrze...|Ciii! Straż jest dobrze świadoma sytuacji.|Cicho! Strażnik jest dobrze świadomy.
Chorus Skellige|One cup. Then may their memory fade into oblivion.|Skellige Warrior 04|I hear Olaf's been off meat for two days.|Skellige Warrior 02|Værthu Hemdall hael.|Værthu Hemdall hael.|Niech pamięć o nich trwa wiecznie.|Witaj Hemdall, słyszę.
Novigrad Trader 01|Any mages in your family? Alchemists? Herbalists?|Eternal Fire Guard 03|What about elves? Any elves?|Eternal Fire Guard 03|No. Father was a stove-fitter. Mother… Mother stayed home.|Nie. Ojciec był zdunem. Matka... Matka w domu siedziała.|Nie. Ojciec był monterem pieców. Matka... Matka zajmowała się domem.|No. Ojciec był monterem pieców. Matka... Matka siedziała w domu.
Geralt|Your bloody choice. It's not what we agreed, though. So you'll not see a copper out of me.|Karl Varese|Not what we agreed. But Cleaver's a dwarf both loyal and fair. Anyone would tell you that.|Karl Varese|Wasn't expecting anything.|Niczego nie oczekiwałem.|Nie spodziewałem się niczego.|Niczego się nie spodziewałem.
Verden Peasant 04|Ever fish on Wyndamer Lake?|Verden Peasant 03|Hmm. Folk tell stories about that place…|Verden Peasant 03|No. Don't plan to, either.|Nie. I nie mam zamiaru.|Nie. Nie mam też takich planów.|Nie. Nie planuj tego również.
Novigrad Rich Woman 02|Hmm, are you certain?|Novigrad Rich Woman 02|I doubt it.|Novigrad Rich Woman 02|Do you think the hierarch supports the Temerian guerillas? With coin?|Myślisz ze hierarcha wspiera funduszami temerskich partyzantów?|Myślisz, że hierarcha wspiera temerskich partyzantów? Za pomocą monet?|Czy myślisz, że hierarcha wspiera temeriańskich partyzantów? Za pomocą monet?
Geralt|Have you met the man?|Graden|Neither have I.|Graden|No.|Nie.|Nie.|Nie.
Geralt|Looks to me like a locked portal.|Geralt|Damage looks fresh. Wonder what happened?|Geralt|Wonder if I can open it using one of Aeramas' items…|Może otwiera go jeden z przedmiotów należących do Aeramasa?|Ciekawe czy uda mi się otworzyć je za pomocą jednego z przedmiotów Aeramasa...|Ciekawe, czy mogę to otworzyć używając jednego z przedmiotów Aeramy...
Skellige Bandit 03|Aaaaah!|Skellige Bandit 03|Give us all you got!|Skellige Bandit 03|Snake-eyed prat!|Chamie żmijooki!|Gadziooki dureń!|Wężooki dureń!
Donar An Hindar|As the eldest of the jarls I cleanse the name of Clan an Craite… and you, Birna Bran, I sentence to death.|Donar An Hindar|You're making a big mistake.|Geralt|You will be chained to a rock to perish of hunger and thirst, and sea fowl will peck apart your remains.|Zostaniesz przykuta do skał. Umrzesz z głodu i pragnienia, a twoje szczątki rozdziobią ptaki.|Będziesz przykuta do skały, aby umrzeć z głodu i pragnienia, a mewy rozszarpią twoje ciało.|Będziesz przykuty do skały, aby umrzeć z głodu i pragnienia, a mewy rozdziobią twoje ciało.
Verden Girl 03|When I grow up, I wanna be a lad!|Verden Girl 03|I've been a good girl!|Verden Girl 03|That hurt!|Au! Boli!|To zabolało!|To bolało!
Redanian Officer 01|Avenge your comrade!|Redanian Officer 01|Vile in appearance and reeking of dead men's bile, it's rotting flesh they truly crave.|Redanian Officer 01|Witchers, good folk, are like necrophages.|Wiedźmin, ludzie, podobnym jest do trupojada.|Czarodzieje, dobrzy ludzie, są jak padlinożercy.|Wiedźmini, dobrzy ludzie, są jak nekrofagi.
Novigrad Drunk 06|Drinkin', or you a fuckin' thief?|Novigrad Drunk 06|Fuck off…|Novigrad Drunk 11|I'll drink another, then fuck the innkeep.|Wypiję jeszcze jednego, to wyrucham karczmarza|Wypiję jeszcze jednego, a potem przelecę karczmarza.|Wypiję jeszcze jeden, a potem przelecę karczmarza.
Geralt|Quiet, boy!|Verden Woman 01|Ach. 'Twere like this - I was awaitin' in the old smokehouse, with horses. Cold as hell and so dark, couldn't see past two ells in front of ye.|Verden Peasant 05|What happened to Tamara's mother?|Co się stało z matką Tamary?|Co się stało z matką Tamary?|Co się stało z matką Tamary?
Baron Bandit Weak 01|My old lady'll know. Got a knack for herbs, she does.|Baron Bandit Weak 01|Heheheh, Edric's dumb as your milker. Should suit 'im.|Baron Bandit Strong 01|The other shite, mallow, ought to have that, too. Chops it, adds it to our milker's feed.|To drugie też będzie miała, bo krasuli do paszy dodaje.|Pokrzywa też powinna mieć to samo. Kroi ją i dodaje do paszy naszego dojnika.|To gówno, mlecz, też powinno to mieć. Kroi się je i dodaje do paszy naszego dojnika.
Cirilla|Oof. That was close.|Cirilla|She needs help.|Cirilla|I must leave this place.|Muszę się stąd wydostać.|Muszę stąd odejść.|Muszę opuścić to miejsce.
Skellige Old Man 02|Jarl won't like this.|Skellige Old Man 02|Blessed is he who sang, blessed is he who knows.|Skellige Old Man 02|Gods, save me!|Bogowie ratujcie!|Boże, ratuj mnie!|Boże, ratuj mnie!
Dreamer Corine Tilly|I have more to say.|Geralt|Speak, please…|Dreamer Corine Tilly|Then please do.|W takim razie mów, proszę.|Proszę mów dalej.|Proszę, rób to.
Geralt|Meaning he knew they were looking for him.|Keira Metz|The potion I gave him. Seems he saw a use for it, drank it.|Keira Metz|What's this?|Co to jest?|Co to jest?|Co to jest?
Ermion|Go in health, Ermion.|Geralt|I regret I did not know him better.|Ermion|Till we meet again.|Do zobaczenia.|Do zobaczenia ponownie.|Do zobaczenia
Dwarf Sleepy|C'mon, get up.|Geralt|All right! I'm up!|Dwarf Sleepy|Oh, Nibbles, yousa naughty kitty, aren't ye?|Mruczek, no zo dzi choci?|Oh, Nibbles, ty niegrzeczny kotku, prawda?|Oh, Nibbles, ty niegrzeczny koteczku, prawda?
Skellige Warrior 01|A surprise? What kind?|Geralt|You again? Thought you'd wised up.|Skellige Warrior 01|You'll see… so long as ye get to the end. So long as the harpies don't get ye.|Zobaczysz... O ile dopłyniesz do końca. O ile nie rozszarpią cię harpie.|Zobaczysz... pod warunkiem, że dotrzesz do końca. Pod warunkiem, że harpie cię nie dostaną.|Zobaczysz... pod warunkiem, że dotrzesz do końca. Pod warunkiem, że harpie cię nie dorwą.
Geralt|So? Had enough?|Skellige Woman 04|Ugh… I thought I'd finally found a man who could best me.|Skellige Woman 04|Yes.|Tak.|Tak.|Tak
Geralt|Dunno… The Garden of Liberty, maybe?|King Beggar|"You say ""tribute,"" I say ""taxes."" You say ""thieves,"" I say ""hard-workin' street clerks."""|King Beggar|For a man who shakes down beggars and thieves for tribute, you're quite the romantic.|Jak na człowieka, który ściąga haracz od żebraków i złodziei, jesteś całkiem romantyczny.|Dla mężczyzny, który wymusza haracz od żebraków i złodziei, jesteś całkiem romantyczny.|Dla mężczyzny, który wymusza haracz od żebraków i złodziei, jesteś całkiem romantyczny.
Yennefer|Due to an edict Hemmelfart issued some years ago. But I managed to find two brawny and obliging passers-by who agreed to remove the impediment. For a modest fee, naturally.|Yennefer|What is this?|Geralt|Here.|Trzymaj.|Tutaj.|Tutaj.
Keira Metz|Hm?|Geralt|Never heard of a xenovox.|Geralt|Thank you.|Dziękuję.|Dziękuję.|Dziękuję.
Keira Metz|Geralt!|Keira Metz|Are you coming?|Keira Metz|Come on!|No chodź!|Chodźmy!|Chodźmy!
Novigrad Thug Weak 32|Oh, no.|Novigrad Thug Weak 32|I'll be damned!|Novigrad Thug Weak 32|Muuurdeeeer!|Mooorduuuj!|Morderca!|Murderer!
Novigrad Old Woman 02|Take care, now!|Novigrad Old Woman 02|Odd though he is, girls can't seem to look away.|Novigrad Old Woman 02|Oh, you frightened me!|Aleś mnie przestraszył!|Och, wystraszyłeś mnie!|Oh, wystraszyłeś mnie!
Witch Hunter 04|Think Philippa's still here?|Geralt|Poxy mutant!|Witch Hunter 04|Can't rightly know. Sure, we searched a few caverns, but hidden nooks abound. If someone wanted to hide in here, they could, easily. Even if they weren't an owl.|Bo ja wiem? Niby przeszukaliśmy kilka pomieszczeń, ale tu jest mnóstwo zakamarków. Jakby chciała, to mogłaby się schować. Szczególnie w postaci sowy.|Nie możemy być pewni. Szukaliśmy w kilku jaskiniach, ale ukrytych zakamarków jest tu mnóstwo. Jeśli ktoś chciałby się tutaj schować, mógłby to zrobić bez trudu. Nawet jeśli nie byłby sową.|Nie mogę dokładnie powiedzieć. Oczywiście, przeszukaliśmy kilka jaskiń, ale ukrytych zakamarków jest tu mnóstwo. Gdyby ktoś chciał się tutaj schować, mógłby to zrobić bez trudu. Nawet jeśli nie byłby sową.
Verden Ghost Peasant 03|What are you doing here?|Keira Metz|What's this? What's he saying about rats?|Geralt|"…but nay, the mage, he says, ""Bring me rats! An' healthy ones! Not somethin' the cat dragged in."""|...ale nie, czarownik mówi: przynieś mi szczurów, ino zdrowe mają być, nie kotu z gardła wyłuskane.|Przynieście mi szczury! I zdrowe! Nie coś, co kot przyciągnął za sobą.|"…ale nie, czarodziej mówi, ""Przynieście mi szczury! I zdrowe! Nie coś, co kot przyciągnął."""
Geralt|Our races differ from those on the Continent. We are beholden to one rule alone - first across the line wins. Sometimes he's the swiftest. Other times, it is the one who knocks his opponents off their mounts.|Skellige Priestess 03|Courage. If you do not lack it, hang a horseshoe.|Skellige Priestess 03|Explains the name… There an entry fee?|To tłumaczy nazwę... Jakie jest wpisowe?|Wyjaśnia nazwę... Czy jest opłata za wstęp?|Wyjaśnia nazwę... Czy jest opłata za wejście?
Ermion|Can hear you two clear on the other side of the island.|Geralt|Control yourself, druid. I haven't stolen anything. I've merely borrowed something and fully intend to return it.|Yennefer|Good! May all Skellige know Yennefer of Vengerberg is a common thief!|I bardzo dobrze! Niech całe Skellige się dowie, że Yennefer z Vengerbergu to zwykła złodziejka!|Niech całe Skellige pozna Yennefer z Vengerbergu jako pospolitą złodziejkę!|Dobrze! Niech całe Skellige wie, że Yennefer z Vengerbergu jest pospolitym złodziejem!
Skellige Fisherman 03|Could you tell a trout from a charr?|Skellige Fisherman 03|I don't wanna die…|Skellige Fisherman 03|Hey!|Hola!|Hej!|Cześć!
Geralt|Dandelion's life's on the line… Ciri's too. No such thing as too risky.|Triss|This might come as a surprise to you, but shackles do have uses outside the bedroom.|Triss|Uh, Triss… Sure you want to do this? Out here? With everyone watching?|Triss... To chyba nie czas na takie zabawy. Ani miejsce.|Uh, Triss… Na pewno chcesz to zrobić? Tutaj? Z wszystkimi patrzącymi?|Uh, Triss... Na pewno chcesz to robić? Tutaj? Z tymi wszystkimi ludźmi patrzącymi?
Cirilla|Barely. How'd it go down there?|Geralt|The third fled… with Vesemir's medallion. My sole memento.|Cirilla|I slew only two of the Crones.|Zabiłam tylko dwie wiedźmy.|Pokonałem tylko dwie z Kruków.|Zabiłem tylko dwie z Kruków.
Cirilla|So why'd you return?|Geralt|Got a minute?|Geralt|Ah, it was too much, I almost drowned in it. When everything is possible, it quickly becomes a lot less alluring.|Bo się nią zachłysnęłam. Kiedy wszystko jest w zasięgu ręki, nagle staje się mniej kuszące.|Ach, było tego za dużo, prawie się utopiłem w tym. Kiedy wszystko jest możliwe, szybko staje się znacznie mniej pociągające.|Ach, to było za dużo, prawie się utopiłem w tym. Kiedy wszystko jest możliwe, szybko staje się znacznie mniej pociągające.
Eternal Fire Guard 01|Bet you're sweaty in all that armor…|Novigrad Prostitute 01|Wouldn't you rather sweat on me?|Novigrad Prostitute 01|Why you care?|Bo co?|Dlaczego cię to obchodzi?|Dlaczego cię to obchodzi?
Luiza La Valette|Thank you. It was a good race against a worthy opponent.|Voorhis|Not all appreciate it. The races are a privilege of the wealthy.|Voorhis|Soothing, the scent of the freshly cut lawn.|Zapach świeżo skoszonej murawy działa na mnie kojąco.|Uspokajający zapach świeżo skoszonego trawnika.|Uspokajający, zapach świeżo skoszonego trawnika.
Novigrad Thug Weak 02|Whoreson's men raided the Putrid Grove.|Novigrad Thug Weak 01|Word is some mages died.|Novigrad Thug Weak 01|Ooh, must've pissed off Bedlam!|To się musiał Bedlam wkurwić.|Och, musiało rozwścieczyć Bedlama!|Och, musiało rozwścieczyć Bedlama!
Redanian Soldier 03|Aaaaah!|Redanian Soldier 03|Redania!|Redanian Soldier 03|Gut the mutant!|Zatłuc mutanta!|Dobra robota z mutantem!|Giń mutancie!
Geralt|Hmm, no man did this…|Geralt|Tuft of fur… Ugh, whatever lost it hasn't bathed in a while.|Geralt|This is getting interesting…|Robi się interesująco...|To robi się interesujące...|To robi się interesujące...
Geralt|Yes. Birna Bran.|Arnvald|It's obvious. She schemed this up to get rid of the other claimants, slander our clan in the process.|Cerys|What was her motive?|Jaki miała motyw?|Co było jej motywem?|Co było jej motywem?
Geralt|Probably drawn by the corpses of drowned crew. Then made their nest here.|Geralt|Not the right ship. Come back up.|Yennefer|There's also a Clan Drummond figurehead.|Jest też galion klanu Drummond.|Jest też figura dziobowa Clan Drummond.|Jest też figura dziobowa Clan Drummond.
Geralt|Miss Merigold! At last! So sorry we are forced to meet under such incredibly inopportune circumstances…|Novigrad Rich Man 01|… but I'm sure we'll make up for it another time. I absolutely must show you my alchemical formulae…|Novigrad Rich Man 01|You can say that again.|Dobrze powiedziane.|Możesz tak powiedzieć.|Możesz to powtórzyć.
Dijkstra|Probably shouldn't ask, but… Dijkstra, how the hell do you know all this?|Geralt|Your sarcasm - it gets tiring, you know?|Geralt|I draw it all from the flight patterns of birds.|Odczytuję z lotu ptaków.|Czerpię to wszystko z wzorców lotu ptaków.|Czerpię to wszystko z wzorców lotu ptaków.
Redanian Townsman 03|Lost it in the end, it seems… Just after they'd taken his third finger. And once he'd spilled where he kept his gold, they cut off the rest.|Redanian Townsman 04|So? Nothing to cheer about, as I see things.|Redanian Townsman 04|You heard? He finally met his match! Some cutthroat, a witcher, I think, gave Junior his due!|Słyszałeś? Trafiła w końcu kosa na kamień! Jakiś zabijaka, wiedźmin zdaje się, policzył się z Juniorem!|Słyszałeś? Wreszcie spotkał godnego siebie przeciwnika! Jakiś bezwzględny typ, chyba czarodziej, dał Juniorowi to, na co zasłużył!|Słyszałeś? Wreszcie spotkał godnego siebie przeciwnika! Jakiś bezwzględny czarodziej, myślę, dał Juniorowi to, na co zasłużył!
Edna Var Attre|Oh, even children know Novigrad's home to the world's largest fleet.|Rosa Var Attre|On occasion, yes. But then Rosa would quickly set him straight.|Edna Var Attre|And they say the city treasury's bursting with enough to equip two armies.|I powiadają, że za to, co jest w miejskim skarbcu, można uzbroić ze dwie armie.|I mówią, że skarbiec miasta pęka w szwach od wystarczających funduszy, by wyposażyć dwa wojska.|I mówią, że skarbiec miasta jest przepełniony wystarczającymi funduszami, by wyposażyć dwa armie.
Skellige Old Man 02|Knew you were thick, Brambling, but that thick? To waltz into me… Who the hell's this?|Skellige Warrior 01|He's come to kill ye.|Skellige Old Man 02|Geralt of Rivia. A witcher.|Geralt z Rivii. Wiedźmin.|Geralt z Rivii. Wiedźmin.|Geralt z Rivii. Wiedźmin.
Novigrad Rich Man 03|Humblest greetings.|Novigrad Rich Man 03|Pardon me.|Novigrad Rich Man 03|Greetings to you, sir.|Moje uszanowanie.|Pozdrawiam cię, panie.|Pozdrawiam pana.
Dijkstra|Now that we've professed our feelings for each other… How'd you figure it out?|Geralt|That makes one of us.|Geralt|Sensed from the start you were up to something. You didn't haggle about your pay. And then I heard from my sources that Margrave Henckel and Dandelion had rubbed elbows. Wasn't hard to connect the dots.|Od początku czułem, że coś kombinujesz. Nie targowałeś się o wynagrodzenie. A potem, jak dowiedziałem się swoimi kanałami, że w domu margrabiego Henckla widywano Jaskra... Złożyłem sobie wszystko w całość.|Wyczuwałem od początku, że coś knujesz. Nie targowałeś się o swoją płacę. A potem usłyszałem od moich źródeł, że Margrave Henckel i Dandelion mieli ze sobą do czynienia. Nie było trudno poskładać elementy układanki.|Wyczuwałem od początku, że coś knujesz. Nie targowałeś się o swoją płacę. A potem dowiedziałem się ze swoich źródeł, że Margrave Henckel i Dandelion mieli bliski kontakt. Nie było trudno połączyć fakty.
Temerian Peasant 03|Where'd she go?|Geralt|Farewell.|Geralt|Not far. Over yonder.|A tu, niedaleko.|Niezbyt daleko. Tam po drugiej stronie.|Niezbyt daleko. Tam naprzeciwko.
