en_text|pl_text|default|no_details|translation_extraction_llm|translation_extraction_brackets
That's right.|Nie zastaniemy.|"To prawda.

Tłumaczenie ""That's right"" na język polski to ""To jest w porządku"" lub ""To prawda"". W zależności od kontekstu, może być używane jako potwierdzenie czegoś poprawnego lub jako wyrażenie aprobaty."|To prawda.|To prawda.|To prawda.
Oh! Sure you're not gettin' carried away there…?|Chyba cię trochę poniosło...|"Och! Na pewno nie przesadzasz tam trochę...?

To tłumaczenie oddaje sens oryginalnego zdania w języku angielskim, zachowując jego ton i intencję. Wypowiedź ta wyraża lekkie zdziwienie lub niedowierzanie mówiącego wobec czegoś, co zostało powiedziane przez rozmówcę. Może być użyta w różnych kontekstach, gdy ktoś chce delikatnie zasugerować, że dana sytuacja może być przedstawiona w sposób bardziej dramatyczny niż jest w rzeczywistości."|Och! Na pewno nie dajesz się ponieść emocjom tam...?|Och! Na pewno nie przesadzasz tam trochę...?|Och! Na pewno nie przesadzasz tam...?
What? Why, beer, mead and strong spirits. Whaddaya expect in a tavern? Jump rope?|No... piwo, miód i gorzałkę. A coś ty chciał w karczmie robić? W łapki grać?|"Tłumaczenie na język polski:

Co? Dlaczego piwo, miód i mocne alkohole? Czego się spodziewasz w karczmie? Skakanki?

To zdanie jest humorystycznym komentarzem, który sugeruje, że oczywistym wyborem napojów w karczmie są różne rodzaje alkoholu, a nie np. skakanka czy inny sprzęt sportowy."|Co? Dlaczego piwo, miód pitny i mocne alkohole. Czego się spodziewasz w karczmie? Skakanki?|"Co? Dlaczego piwo, miód i mocne alkohole? Czego się spodziewasz w karczmie? Skakanki?

To zdanie jest humorystycznym komentarzem, który sugeruje, że oczywistym wyborem napojów w karczmie są różne rodzaje alkoholu, a nie np. skakanka czy inny sprzęt sportowy."|Co? Dlaczego? Piwo, miód pitny i mocne alkohole. Czego się spodziewasz w karczmie? Skakanki?
Hahahaha!|Ha, ha!|"Hahahaha!

To słowo nie wymaga tłumaczenia, ponieważ ""hahahaha"" to onomatopeja wyrażająca śmiech i jest używane w języku polskim dokładnie tak samo jak w angielskim. Oznacza głośny, radosny śmiech."|Hahahaha!|"Hahahaha!

To słowo nie wymaga tłumaczenia, ponieważ hahahaha to onomatopeja wyrażająca śmiech i jest używane w języku polskim dokładnie tak samo jak w angielskim. Oznacza głośny, radosny śmiech."|Jestem bardzo dobrym kucharzem.
Heard you're a man with troubles…|Z tego co słyszę, masz jakiś problem...|"Tłumaczenie tego zdania na język polski brzmi:

""Słyszałem, że masz kłopoty...""

To zdanie jest w formie pytającej lub stwierdzającej, zależnie od kontekstu. Może być użyte jako pytanie, aby dowiedzieć się więcej o czyichś problemach, lub jako stwierdzenie, które wyraża współczucie lub zainteresowanie sytuacją danej osoby."|Słyszałem, że masz kłopoty...|Słyszałem, że masz kłopoty...|Słyszałem, że masz problemy...
Cerys. Where's Cerys.|Cerys. Gdzie jest Cerys?|"Tekst ""Cerys. Where's Cerys"" można przetłumaczyć na język polski jako:

""Cerys. Gdzie jest Cerys?""

Wyjaśnienie:
- ""Cerys"" to imię własne, które pozostaje bez zmian w tłumaczeniu.
- ""Where's"" to skrócona forma pytania ""Where is"", co w języku polskim brzmi ""Gdzie jest"".
- Całe zdanie ""Where's Cerys"" oznacza ""Gdzie jest Cerys?"" i tak też zostało przetłumaczone."|Cerys. Gdzie jest Cerys?|Cerys. Gdzie jest Cerys?|Cerys. Gdzie jest Cerys?
Celain, celain, deffraen!|Celain, celain, deffraen!|"Tłumaczenie tego zdania na język polski brzmi: ""Celuj, celuj, strzelaj!""

To popularne hasło używane w grach komputerowych i innych symulacjach, które zachęca do celowania i oddawania strzału. Jest to proste polecenie, które ma na celu pobudzić gracza do działania i skupienia się na celowaniu oraz wykonaniu strzału."|Celain, celain, defraen!|Celuj, celuj, strzelaj!|Cela, cela, defraudacja!
Arvid an Tordarroch. He was dead set on comin' with us…|Arvid an Tordarroch. Tak się upierał, żeby z nami płynąć...|"Arvid an Tordarroch. Był zdecydowany, że idzie razem z nami...

To zdanie w języku angielskim zostało przetłumaczone na język polski, zachowując znaczenie i kontekst oryginału. Warto zauważyć, że imię ""Arvid"" pozostaje bez zmian, ponieważ jest to nazwisko lub pseudonim osoby, natomiast reszta zdania została przetłumaczona dosłownie i zgodnie z gramatyką języka polskiego."|Arvid an Tordarroch. Był zdecydowany przyjść z nami...|Arvid an Tordarroch. Był zdecydowany, że idzie razem z nami...|Arvid an Tordarroch. Był zdeterminowany, żeby pójść z nami...
Let us hope you're right, wanderer, let us hope you're right.|Obyś miał rację, wędrowcze, obyś miał rację.|"Oto tłumaczenie na język polski:

""Niechaj mamy nadzieję, że masz rację, wędrowcze, niechaj mamy nadzieję, że masz rację.""

To zdanie jest dosłownym tłumaczeniem oryginalnego tekstu angielskiego i zachowuje jego strukturę oraz znaczenie."|Miejmy nadzieję, że masz rację, wędrowcze, miejmy nadzieję, że masz rację.|Niechaj mamy nadzieję, że masz rację, wędrowcze, niechaj mamy nadzieję, że masz rację.|Niechaj mamy nadzieję, że masz rację, wędrowcze, niechaj mamy nadzieję, że masz rację.
I mind fools. No matter where they're from.|Drażnią mnie głupcy. Niezależnie od tego, skąd pochodzą.|"Tłumaczenie na polski:

""Głupców nie lubię. Bez względu skąd pochodzą.""

To tłumaczenie zachowuje sens oryginalnego zdania, jednocześnie dostosowując je do bardziej naturalnego brzmienia w języku polskim."|Lubię głupców. Nie ważne skąd są.|Głupców nie lubię. Bez względu skąd pochodzą.|Nie lubię głupców. Niezależnie od tego, skąd pochodzą.
Thanks. Farewell.|Dzięki. Bywaj.|"Dziękuję. Żegnaj.

To tłumaczenie jest dosłowne i odpowiada oryginalnemu tekstowi w języku angielskim. ""Thanks"" to po prostu ""dziękuję"", a ""Farewell"" oznacza ""żegnaj"". W języku polskim, podobnie jak w angielskim, te słowa są używane do wyrażenia wdzięczności oraz pożegnania się z kimś."|Dziękuję. Żegnaj.|Dziękuję. Żegnaj.|Jestem bardzo dobrym kucharzem.
So… what're you doin' on Undvik?|Aa... co robisz na Undvik?|"Tłumaczenie tego zdania na język polski brzmi:

""No więc... co robisz na Undvik?""

To zdanie jest nieformalne i może być użyte jako pytanie skierowane do kogoś, kto przebywa na miejscu o nazwie ""Undvik"". Można je również dostosować do kontekstu, np. zastąpić słowo ""undvik"" innym miejscem lub aktywnością."|No więc... co robisz na Undvik?|No więc... co robisz na Undvik?|No więc... co robisz na Undvik?
Seems they went that way.|Poszli chyba w tamtą stronę.|"Tłumaczenie tego zdania na język polski brzmi:

""Wydaje się, że poszli tamtędy.""

To zdanie wyraża przypuszczenie lub domysł co do kierunku, w którym ktoś mógł pójść. Może być użyte w różnych kontekstach, na przykład gdy ktoś zauważy ślady stóp na piasku lub gdy próbuje odtworzyć trasę czyjegoś spaceru."|Wydaje się, że poszli tamtędy.|Wydaje się, że poszli tamtędy.|Wydaje się, że poszli tamtędy.
We're looking for a young woman, name of Ciri. Ashen hair, green eyes...|Szukamy dziewczyny o imieniu Ciri. Młoda... Szare włosy, zielone oczy.|"Tłumaczenie na język polski:

Szukamy młodej kobiety o imieniu Ciri. Włosy szare, oczy zielone...

To tłumaczenie odzwierciedla oryginalny tekst w języku angielskim, który został podany do przetłumaczenia."|Szukamy młodej kobiety o imieniu Ciri. Włosy szare, oczy zielone...|Szukamy młodej kobiety o imieniu Ciri. Włosy szare, oczy zielone...|Szukamy młodej kobiety imieniem Ciri. Popielate włosy, zielone oczy...
We meet again. So? Ye change your mind? Wanna hunt the Grossbart brothers with me? Easy coin for ye.|Znowu się spotykamy. To jak? Zmieniłeś zdanie? Zapolujemy razem na braci Grossbart? Dla ciebie to będzie łatwy grosz.|"Tłumaczenie na język polski:

""Spotykamy się ponownie. Więc? Zmieniłeś zdanie? Chcesz polować na braci Grossbart razem ze mną? Łatwe pieniądze dla ciebie.""

To tłumaczenie oddaje sens oryginalnego tekstu w języku angielskim, zachowując jego nieformalny i bezpośredni charakter."|Spotykamy się ponownie. Więc? Zmieniłeś zdanie? Chcesz polować na braci Grossbart razem ze mną? Łatwe pieniądze dla ciebie.|Spotykamy się ponownie. Więc? Zmieniłeś zdanie? Chcesz polować na braci Grossbart razem ze mną? Łatwe pieniądze dla ciebie.|Spotykamy się ponownie. No więc? Zmieniłeś zdanie? Chcesz polować na braci Grossbart razem ze mną? Łatwe pieniądze dla ciebie.
What?! I'll not give ye that, one dragon or many!|Co? Tyle to nawet za smoka nie dam!|"Co takiego?! Nie dam ci tego, jednego smoka czy wielu!

To zdanie jest wykrzyknikiem i wyraża silną odmowę lub sprzeciw wobec czegoś. W języku polskim można to przetłumaczyć jako ""Co?!"" lub ""Jak to?!"" z dodatkowym podkreśleniem stanowczości, np. ""Nie ma mowy!""."|Co?! Nie dam ci tego, jeden smok czy wiele!|Co?! lub Jak to?! z dodatkowym podkreśleniem stanowczości, np. Nie ma mowy!|Co?! Nie dam ci tego, jeden smok czy wiele!
Tried to give me one or two orders, but I do believe she's done with that now.|Kilka razy próbowała mi rozkazywać, ale chyba już jej przeszło.|"Spróbowała mi dać jeden lub dwa rozkazy, ale naprawdę wierzę, że już z tym skończyła.

To tłumaczenie oddaje sens oryginalnego zdania, uwzględniając kontekst i intencję mówiącego. Warto zauważyć, że w języku polskim często używamy bardziej bezpośrednich form wyrażania myśli niż w języku angielskim, co może wpływać na ostateczne brzmienie tłumaczenia."|Próbowała dać mi jedno lub dwa zamówienia, ale wierzę, że teraz już z tym skończyła.|Spróbowała mi dać jeden lub dwa rozkazy, ale naprawdę wierzę, że już z tym skończyła.|Próbowała dać mi jedno lub dwa zamówienia, ale myślę, że już z tym skończyła.
Greetings.|Witaj.|"Dzień dobry!

Tłumaczenie ""Greetings"" na język polski to ""Pozdrowienia"" lub ""Witajcie"". W zależności od kontekstu i sytuacji, można użyć różnych form powitania, takich jak ""Dzień dobry"", ""Cześć"", ""Hej"", ""Witam"" itp. Jeśli masz na myśli bardziej formalne pozdrowienie, ""Dzień dobry"" jest najczęściej używaną formą w Polsce."|Pozdrowienia.|Pozdrowienia lub Witajcie|Pozdrowienia.
Died at Castle Tuirseach when the Black Ones o'erran An Skellig.|Zginął na zamku Tuirseach, jak Czarni An Skellig najechali.|"Tłumaczenie tego zdania na język polski brzmi:

""Zmarł w zamku Tuirseach, gdy Czarni przebiegli przez An Skellig.""

To zdanie pochodzi z irlandzkiej tradycji ustnej i odnosi się do wydarzeń historycznych lub legendarnych związanych z konfliktami między różnymi grupami ludności w Irlandii. ""Czarni"" mogą odnosić się do wikingów lub innych najeźdźców, a ""An Skellig"" to prawdopodobnie nazwa jakiegoś miejsca lub regionu. Zamek Tuirseach jest miejscem, gdzie ktoś zmarł w wyniku tych wydarzeń."|Zmarł w Zamku Tuirseach, gdy Czarni zbiegli ze Skellingu.|Zmarł w zamku Tuirseach, gdy Czarni przebiegli przez An Skellig.|Zmarł w Zamku Tuirseach, gdy Czarni przejęli An Skellig.
It's not just about this place. There's someone, someone cursed. Gotta find them.|Nie chodzi tylko o to miejsce. Jest jeszcze ktoś – ktoś przeklęty. I muszę go znaleźć.|"Tłumaczenie na polski:

To nie tylko o tym miejscu. Jest ktoś, ktoś przeklęty. Muszę ich znaleźć.

Wyjaśnienie:
- ""It's not just about this place"" zostało przetłumaczone jako ""To nie tylko o tym miejscu"".
- ""There's someone, someone cursed"" zostało przetłumaczone jako ""Jest ktoś, ktoś przeklęty"".
- ""Gotta find them"" zostało przetłumaczone jako ""Muszę ich znaleźć"".

Całe zdanie zachowuje oryginalny sens i strukturę, oddając intencję mówiącego w sposób naturalny dla języka polskiego."|To nie chodzi tylko o to miejsce. Jest ktoś, ktoś przeklęty. Muszę ich znaleźć.|To nie tylko o tym miejscu. Jest ktoś, ktoś przeklęty. Muszę ich znaleźć.|Nie chodzi tylko o to miejsce. Jest ktoś, kogo dotknęła klątwa. Musimy ich znaleźć.
I can help you.|Mogę ci pomóc.|"Mogę ci pomóc.

To tłumaczenie jest dosłowne i bezpośrednie, zachowujące znaczenie oryginalnego zdania w języku angielskim."|Mogę ci pomóc.|Mogę ci pomóc.|Mogę ci pomóc.
Yeah…|Bywaj.|"Tak...

""Yeah..."" to potoczne wyrażenie w języku angielskim, które może być używane jako reakcja na coś, co jest prawdziwe lub zgadzające się z czyjąś opinią. W języku polskim odpowiednikiem mogłoby być ""Tak..."", ale należy pamiętać, że kontekst i intonacja są kluczowe przy tłumaczeniu takich wyrażeń. Czasem można też użyć ""No cóż..."" lub ""Ano..."" w zależności od sytuacji."|Tak...|Tak...|Tak...
You might find torches there.|Może znajdziesz tam pochodnie.|Możesz tam znaleźć pochodnie.|Możesz tam znaleźć pochodnie.|Możesz tam znaleźć pochodnie.|Możesz znaleźć tam pochodnie.
Got anything you're willing to sell?|Masz coś na sprzedaż?|"Tłumaczenie tego zdania na język polski brzmi:

""Masz coś, co chciałbyś sprzedać?""

To pytanie jest często używane w kontekście sprzedaży rzeczy osobistych lub przedmiotów, które ktoś już nie potrzebuje. Może być zadawane w sytuacji, gdy ktoś szuka okazji do pozbycia się niepotrzebnych przedmiotów lub chce dowiedzieć się, czy dana osoba ma coś, co mogłoby go zainteresować."|Czy masz coś, co jesteś skłonny sprzedać?|Masz coś, co chciałbyś sprzedać?|Czy masz coś, czego chciałbyś się pozbyć?
I'm busy.|Zajęta jestem.|"Tłumaczenie tego zdania na język polski brzmi:

""Jestem zajęty.""

To jest najbardziej dosłowne tłumaczenie, które oddaje znaczenie oryginalnego angielskiego wyrażenia ""I'm busy"". Warto jednak zauważyć, że w języku polskim istnieją również inne sposoby wyrażenia tej myśli, takie jak:

- ""Mam dużo pracy.""
- ""Jestem bardzo zajęty.""
- ""Nie mam czasu.""

Wybór konkretnej formy może zależeć od kontekstu i stopnia intensywności zajętości, którą chcemy przekazać."|Jestem zajęty.|Jestem zajęty.|Jestem zajęty/zajęta.
Cerys, we need to talk.|Cerys, musimy pogadać.|"Tłumaczenie tego zdania na język polski brzmi:

""Cerys, musimy porozmawiać.""

To jest bezpośrednie tłumaczenie, które zachowuje znaczenie oryginalnego zdania w języku angielskim. Zdanie to wyraża potrzebę rozmowy lub omówienia czegoś ważnego z osobą o imieniu Cerys."|Cerys, musimy porozmawiać.|Cerys, musimy porozmawiać.|Cerys, musimy porozmawiać.
Do I need to talk to him?|Mam z nim porozmawiać?|"Czy muszę z nim rozmawiać?

To tłumaczenie odpowiada bezpośrednio na pytanie ""Do I need to talk to him?"" w języku angielskim, przekształcając je na jego polskie odpowiedniki. Pytanie to wyraża wątpliwość co do konieczności lub potrzeby prowadzenia rozmowy z określoną osobą, w tym przypadku mężczyzną (stąd użycie zaimka ""him"")."|Czy muszę z nim rozmawiać?|Czy muszę z nim rozmawiać?|Czy muszę z nim porozmawiać?
And if not for me, you'd have sat on that rock till you died and rotted.|A gdybym ja nie pomógł tobie, siedziałbyś na tej skale do usranej śmierci.|"A gdyby nie ja, to siedziałbyś na tym kamieniu aż do śmierci i zgnicia.

To tłumaczenie oddaje sens oryginalnego zdania w języku angielskim, choć może brzmieć nieco mniej dosłownie niż dosłowne tłumaczenie. Warto pamiętać, że tłumaczenia często muszą być dostosowane do kontekstu kulturowego i językowego docelowego odbiorcy, aby były zrozumiałe i naturalnie brzmiące."|A gdyby nie ja, siedziałbyś na tym kamieniu aż do śmierci i zgnicia.|Gdyby nie ja, to siedziałbyś na tym kamieniu aż do śmierci i zgnicia.|Gdyby nie ja, siedziałbyś na tym kamieniu, umierając i gnijąc.
Betting he'll listen to his father's counsel. And probably sink any possible accord with Nilfgaard.|Myślę, że będzie się liczył ze zdaniem ojca. I raczej nie doprowadzi do zgody z Nilfgaardem.|"Tłumaczenie na polski:

""Stawiając na to, że posłucha rady ojca. I prawdopodobnie zatopi każdy możliwy układ z Nilfgaardem.""

To tłumaczenie oddaje sens oryginalnego zdania w języku angielskim, uwzględniając kontekst i znaczenie poszczególnych słów oraz struktur gramatycznych."|Stawiam na to, że posłucha rady swojego ojca. I prawdopodobnie zatopi każdą możliwą ugodę z Nilfgaardem.|Stawiając na to, że posłucha rady ojca. I prawdopodobnie zatopi każdy możliwy układ z Nilfgaardem.|Stawiam na to, że posłucha rady swojego ojca. I prawdopodobnie zatopi każdy możliwy układ z Nilfgaardem.
*Sighs* Ehh.|Ech.|"Tłumaczenie tego wyrażenia na język polski to po prostu ""Ehh."" Jest to onomatopeja, która oddaje dźwięk westchnięcia lub reakcji emocjonalnej, często używanej w mowie potocznej do wyrażania frustracji, zmęczenia lub rozczarowania."|Wzdycha. Ehh.|Tłumaczenie tego wyrażenia na język polski to Ehh.|Jestem bardzo dobrym kucharzem.
Morkvarg? What's that?|Morkvarg? Co to?|"Tłumaczenie na polski:

Morkvarg? Co to takiego?

To zdanie w języku szwedzkim, które można przetłumaczyć jako ""Co to jest morkvarg?"" lub ""Czym jest morkvarg?"". Słowo ""morkvarg"" oznacza ""morchella"", czyli popularny grzyb jadalny znany również pod nazwą smardz. W Polsce często używa się określenia ""smardzówka"".

Warto zauważyć, że w języku polskim nie ma bezpośredniego odpowiednika dla słowa ""morkvarg"", ale grzyby te są dobrze znane i cenione za swoje walory smakowe oraz wartości odżywcze. Smardze są często wykorzystywane w kuchniach europejskich, zwłaszcza we Francji i Skandynawii."|Morkvarg? Co to jest?|"Co to jest morkvarg? lub Czym jest morkvarg?

Słowo morkvarg oznacza morchella, czyli popularny grzyb jadalny znany również pod nazwą smardz. W Polsce często używa się określenia smardzówka."|Co to jest morkvarg?
Spawn of a slave and an eyeless goat!|Bękarcie niewolnicy i bezokiego kozła!|"""Potomek niewolnika i ślepej kozy!""

To tłumaczenie odnosi się do dosłownego znaczenia wyrażenia, które jest używane w języku angielskim jako przekleństwo lub obelga. Warto zauważyć, że takie sformułowania mogą być uznawane za obraźliwe i nieodpowiednie w wielu kontekstach społecznych i kulturowych."|Potomek niewolnika i ślepej kozy!|Potomek niewolnika i ślepej kozy!|Potomek niewolnika i ślepego kozła!
What of it? We've a barn to build, not a palace!|I co z tego? Przecież szopę będziemy z nich zbijać, nie pałac!|"Tłumaczenie tego zdania na język polski brzmi:

""Co z tego? Mamy budować stodołę, nie pałac!""

To popularne powiedzenie używane w sytuacji, gdy ktoś proponuje coś bardzo ambitnego lub kosztownego, a rozmówca odpowiada, że nie ma na to środków ani potrzeby. Zdanie to wyraża pragmatyczny i realistyczny punkt widzenia, podkreślając, że należy dostosować plany do rzeczywistych możliwości."|Co z tego? Mamy budować stodołę, nie pałac!|Co z tego? Mamy budować stodołę, nie pałac!|Co z tego? Mamy stodołę do zbudowania, nie pałac!
A fine beauty, golden-haired and ruddy-cheeked…|Taka z niej ślicznotka, złotokosa i rumiana...|"Tłumaczenie tego zdania na język polski brzmi:

""Piękność wytworna, złotowłosa i rumianolica...""

To klasyczne tłumaczenie początku ""Pieśni o żołnierzu tułaczu"" Adama Mickiewicza. W oryginale jest to pierwsze zdanie tej pieśni, które opisuje postać kobiety spotkanej przez głównego bohatera podczas jego wędrówki."|Piękność złotowłosa i rumianolica...|Piękność wytworna, złotowłosa i rumianolica...|Piękna dziewczyna, złotowłosa i rumianolica...
Aye, it's there. But tain't so easy to get it out.|Mieć niby mamy. Ale zabrać go nie idzie.|"Tak, jest tam. Ale nie tak łatwo to wydostać.

To tłumaczenie zachowuje oryginalny styl i brzmienie wypowiedzi, używając potocznego języka i dialektu charakterystycznego dla angielskiego slangu. Warto zauważyć, że w języku polskim nie ma dokładnego odpowiednika tej frazy, ale próbuje ona oddać sens oryginału, sugerując trudność lub komplikację w uzyskaniu czegoś."|Tak, jest tam. Ale nie tak łatwo to wydostać.|Tak, jest tam. Ale nie tak łatwo to wydostać.|Tak, jest tam. Ale nie tak łatwo to wydostać.
Ghost|Duch|"Duch

To słowo ""Ghost"" w języku angielskim tłumaczy się na polski jako ""Duch"". Jest to istota niematerialna, często przedstawiana jako biała postać lub mglista forma, która pojawia się w miejscach związanych ze śmiercią lub dziwnymi zdarzeniami. W kulturze popularnej duchy są często przedstawiane jako postacie straszące ludzi lub próbujące przekazać jakąś wiadomość."|Duch|Duch|Duch
Let's do it.|Do dzieła.|"Dobrze, oto tłumaczenie na język polski:

Zróbmy to.

To jest dosłowne tłumaczenie frazy ""Let's do it"" z języka angielskiego na polski. Fraza ta może być używana w różnych kontekstach jako zachęta lub propozycja wykonania jakiegoś działania."|Zróbmy to.|"Tłumaczenie:

Zróbmy to."|Zróbmy to.
Fret not, I'm certain they await you.|Nie martw się, na pewno na ciebie czekają.|"Nie martw się, jestem pewny, że cię oczekują.

To tłumaczenie z języka angielskiego ""Fret not, I'm certain they await you"" na język polski."|Nie martw się, jestem pewien, że cię oczekują.|Nie martw się, jestem pewny, że cię oczekują.|Nie martw się, jestem pewny/pewna, że cię oczekują.
And yet bother us he does.|A jednak wciąż nęka...|"A jednak nas niepokoi.

To tłumaczenie odnosi się do angielskiego zdania ""And yet bother us he does"", które można przetłumaczyć jako ""A jednak nas niepokoi"". Zdanie to wyraża pewien paradoks lub sprzeczność, sugerując, że ktoś (lub coś) mimo swojej pozornej nieszkodliwości lub neutralności wciąż ma negatywny wpływ lub powoduje problemy."|A jednak nas niepokoi.|A jednak nas niepokoi.|A jednak on nas denerwuje.
Agreed to meet a sorceress here - Yennefer of Vengerberg. She's supposed to be on Ard Skellig.|Umówiłem się na Ard Skellig z czarodziejką Yennefer z Vengerbergu.|"Tłumaczenie na polski:

Umówiliśmy się tutaj na spotkanie z czarodziejką - Yennefer z Vengerbergu. Podobno miała być na Wyspie Skellige.

To tłumaczenie oddaje sens oryginalnego zdania, jednocześnie dostosowując je do kontekstu i stylu języka polskiego."|Umówiłem się na spotkanie z czarodziejką tutaj - Yennefer z Vengerbergu. Ma być na Ard Skellig.|"Umówiliśmy się tutaj na spotkanie z czarodziejką - Yennefer z Vengerbergu. Podobno miała być na Wyspie Skellige.

To jest samo tłumaczenie bez dodatkowych informacji."|Umówiłem się na spotkanie z czarodziejką tutaj - Yennefer z Vengerbergu. Ma być na Ard Skellig.
