en_text|pl_text|result_one_shot|translation_one_shot|result_three_shot|translation_three_shot
That's right.|Nie zastaniemy.|"Zdanie po angielsku: That's right.

Tłumaczenie: [To jest prawidłowe.]

W tym przypadku, ""That's right"" można również przetłumaczyć jako ""To jest poprawne"", ale ""To jest prawidłowe"" brzmi bardziej naturalnie w kontekście potwierdzania czegoś."|To jest prawidłowe.|"To zdanie jest krótkie i proste, więc jego tłumaczenie na język polski brzmi:

[To prawda.]"|To prawda.
Oh! Sure you're not gettin' carried away there…?|Chyba cię trochę poniosło...|"Zdanie po angielsku: Oh! Sure you're not gettin' carried away there…?

Tłumaczenie: [Ach! Pewnie nie dajesz się ponieść emocjom tam...?]"|Ach! Pewnie nie dajesz się ponieść emocjom tam...?|"Oczywiście! Oto tłumaczenie podanego zdania na język polski:

[Och! Na pewno nie dajesz się ponieść emocjom tam...?]"|Och! Na pewno nie dajesz się ponieść emocjom tam...?
What? Why, beer, mead and strong spirits. Whaddaya expect in a tavern? Jump rope?|No... piwo, miód i gorzałkę. A coś ty chciał w karczmie robić? W łapki grać?|"Zdanie po angielsku: What? Why, beer, mead and strong spirits. Whaddaya expect in a tavern? Jump rope?

Tłumaczenie: [Co? Dlaczego, piwo, miód pitny i mocne alkohole. Czego się spodziewasz w karczmie? Skakanki?]"|Co? Dlaczego, piwo, miód pitny i mocne alkohole. Czego się spodziewasz w karczmie? Skakanki?|Tłumaczenie: [Co? Dlaczego piwo, miód pitny i mocne alkohole? Czego się spodziewasz w karczmie? Skakanki?]|Co? Dlaczego piwo, miód pitny i mocne alkohole? Czego się spodziewasz w karczmie? Skakanki?
Hahahaha!|Ha, ha!|"Zdanie ""Hahahaha!"" jest onomatopeją, która nie ma bezpośredniego tłumaczenia na inny język, ponieważ jej celem jest oddanie dźwięku śmiechu. W języku polskim można to zapisać jako:

[Ha ha ha!]

To samo słowo używane jest zarówno w języku angielskim, jak i polskim, aby oddać dźwięk śmiechu."|Ha ha ha!|"Zdanie po angielsku: Hahahaha!

Tłumaczenie: [Hahahaha!]

To zdanie jest onomatopeją śmiechu i nie ma bezpośredniego tłumaczenia na język polski. W języku polskim również używa się ""haha"" lub ""hihi"" jako dźwięków naśladujących śmiech."|Hahahaha!
Heard you're a man with troubles…|Z tego co słyszę, masz jakiś problem...|"Zdanie po angielsku: Heard you're a man with troubles…

Tłumaczenie: [Słyszałem, że masz problemy...]"|Słyszałem, że masz problemy...|Tłumaczenie: [Słyszałem, że masz problemy...]|Słyszałem, że masz problemy...
Cerys. Where's Cerys.|Cerys. Gdzie jest Cerys?|"Zdanie po angielsku: ""Where's Cerys?""

Tłumaczenie: [Gdzie jest Cerys?]

W tym przypadku nie ma potrzeby używania nawiasów kwadratowych, ponieważ to jest już ostateczne tłumaczenie. Nawiasy kwadratowe są używane w przykładzie, aby oddzielić oryginalny tekst od tłumaczenia. W rzeczywistym tłumaczeniu nie są one konieczne."|Gdzie jest Cerys?|"Tłumaczenie: [Gdzie jest Cerys?]

W tym przypadku nie mamy pełnego zdania po angielsku, ale dwa fragmenty: ""Cerys"" (imię) oraz ""Where's Cerys?"" (pytanie o miejsce pobytu). Tłumaczymy je jako pytanie o lokalizację osoby o imieniu Cerys."|Gdzie jest Cerys?
Celain, celain, deffraen!|Celain, celain, deffraen!|"Zdanie ""Celain, celain, deffraen!"" nie jest poprawne gramatycznie ani nie ma sensownego znaczenia w żadnym znanym języku. Ponieważ nie można dokonać rzeczywistego tłumaczenia, nie mogę dostarczyć prawidłowego tłumaczenia w nawiasach kwadratowych. Jeśli to zdanie miało być częścią zagadki lub żartu językowego, proszę o dodatkowe informacje, które mogłyby pomóc w jego interpretacji."||"Przetłumaczone zdanie na język polski:

[Celain, celain, defraen!]

To zdanie wydaje się być niepoprawne lub może być fragmentem tekstu w innym języku. Bez kontekstu trudno jest dokładnie określić jego znaczenie w języku polskim. Jeśli jednak chodzi o dosłowne tłumaczenie, ""celain"" i ""deffraen"" mogłyby być transkrypcją fonetyczną słów z innego języka, ale bez dodatkowych informacji nie można ich poprawnie przełożyć na polski."|Celain, celain, defraen!
Arvid an Tordarroch. He was dead set on comin' with us…|Arvid an Tordarroch. Tak się upierał, żeby z nami płynąć...|"Zdanie po angielsku: Arvid an Tordarroch. He was dead set on comin' with us…

Tłumaczenie: [Arvid an Tordarroch. Był zdecydowany iść z nami…]"|Arvid an Tordarroch. Był zdecydowany iść z nami…|Tłumaczenie: [Arvid i Tordarroch. Był zdeterminowany, żeby pójść z nami...]|Arvid i Tordarroch. Był zdeterminowany, żeby pójść z nami...
Let us hope you're right, wanderer, let us hope you're right.|Obyś miał rację, wędrowcze, obyś miał rację.|"Zdanie po angielsku: Let us hope you're right, wanderer, let us hope you're right.

Tłumaczenie: [Miejmy nadzieję, że masz rację, wędrowcze, miejmy nadzieję, że masz rację.]"|Miejmy nadzieję, że masz rację, wędrowcze, miejmy nadzieję, że masz rację.|"Oto tłumaczenie podanego zdania na język polski:

[Niechaj mamy nadzieję, że masz rację, wędrowcze, niechaj mamy nadzieję, że masz rację.]"|Niechaj mamy nadzieję, że masz rację, wędrowcze, niechaj mamy nadzieję, że masz rację.
I mind fools. No matter where they're from.|Drażnią mnie głupcy. Niezależnie od tego, skąd pochodzą.|"Zdanie po angielsku: I mind fools. No matter where they're from.

Tłumaczenie: [Nie lubię głupców. Niezależnie od tego, skąd pochodzą.]"|Nie lubię głupców. Niezależnie od tego, skąd pochodzą.|Tłumaczenie: [Nie lubię głupców. Nie ważne skąd są.]|Nie lubię głupców. Nie ważne skąd są.
Thanks. Farewell.|Dzięki. Bywaj.|"Dziękuję. Do widzenia.

Tłumaczenie: [Dziękuję. Do widzenia.]"|Dziękuję. Do widzenia.|"Dziękuję za prośbę o tłumaczenie. Oto tłumaczenie podanego zdania:

Zdanie po angielsku: Thanks. Farewell.
Tłumaczenie: [Dziękuję. Do widzenia.]"|Dziękuję. Do widzenia.
So… what're you doin' on Undvik?|Aa... co robisz na Undvik?|"Zdanie po angielsku: So… what're you doin' on Undvik?

Tłumaczenie: [No więc... co robisz na Undvik?]"|No więc... co robisz na Undvik?|Tłumaczenie: [Więc... co robisz na Undvik?]|Więc... co robisz na Undvik?
Seems they went that way.|Poszli chyba w tamtą stronę.|"Zdanie po angielsku: Seems they went that way.

Tłumaczenie: [Wydaje się, że poszli tamtędy.]"|Wydaje się, że poszli tamtędy.|Tłumaczenie: [Wygląda na to, że poszli tamtędy.]|Wygląda na to, że poszli tamtędy.
We're looking for a young woman, name of Ciri. Ashen hair, green eyes...|Szukamy dziewczyny o imieniu Ciri. Młoda... Szare włosy, zielone oczy.|"Zdanie po angielsku: We're looking for a young woman, name of Ciri. Ashen hair, green eyes...

Tłumaczenie: [Szukamy młodej kobiety o imieniu Ciri. Popielate włosy, zielone oczy...]"|Szukamy młodej kobiety o imieniu Ciri. Popielate włosy, zielone oczy...|Tłumaczenie: [Szukamy młodej kobiety o imieniu Ciri. Siwe włosy, zielone oczy...]|Szukamy młodej kobiety o imieniu Ciri. Siwe włosy, zielone oczy...
We meet again. So? Ye change your mind? Wanna hunt the Grossbart brothers with me? Easy coin for ye.|Znowu się spotykamy. To jak? Zmieniłeś zdanie? Zapolujemy razem na braci Grossbart? Dla ciebie to będzie łatwy grosz.|"Zdanie po angielsku: We meet again. So? Ye change your mind? Wanna hunt the Grossbart brothers with me? Easy coin for ye.

Tłumaczenie: [Spotykamy się ponownie. No więc? Zmieniłeś zdanie? Chcesz polować na braci Grossbart razem ze mną? Łatwe pieniądze dla ciebie.]"|Spotykamy się ponownie. No więc? Zmieniłeś zdanie? Chcesz polować na braci Grossbart razem ze mną? Łatwe pieniądze dla ciebie.|Tłumaczenie: [Spotykamy się ponownie. No więc? Zmieniłeś zdanie? Chcesz ze mną tropić braci Grossbart? Łatwe pieniądze dla ciebie.]|Spotykamy się ponownie. No więc? Zmieniłeś zdanie? Chcesz ze mną tropić braci Grossbart? Łatwe pieniądze dla ciebie.
What?! I'll not give ye that, one dragon or many!|Co? Tyle to nawet za smoka nie dam!|"Zdanie po angielsku: What?! I'll not give ye that, one dragon or many!

Tłumaczenie: [Co?! Nie dam ci tego, jeden smok czy wiele!]"|Co?! Nie dam ci tego, jeden smok czy wiele!|Tłumaczenie: [Co?! Nie dam ci tego, jeden smok czy wiele!]|Co?! Nie dam ci tego, jeden smok czy wiele!
Tried to give me one or two orders, but I do believe she's done with that now.|Kilka razy próbowała mi rozkazywać, ale chyba już jej przeszło.|"Zdanie po angielsku: Tried to give me one or two orders, but I do believe she's done with that now.

Tłumaczenie: [Spróbowała dać mi jedno lub dwa zamówienia, ale myślę, że teraz z tym skończyła.]"|Spróbowała dać mi jedno lub dwa zamówienia, ale myślę, że teraz z tym skończyła.|Tłumaczenie: [Próbowała dać mi jedno lub dwa zamówienia, ale myślę, że teraz już z tym skończyła.]|Próbowała dać mi jedno lub dwa zamówienia, ale myślę, że teraz już z tym skończyła.
Greetings.|Witaj.|"Zdanie po angielsku: Greetings.

Tłumaczenie: [Witajcie.]

[Witajcie.]"|Witajcie.|"Przetłumaczone zdanie na język polski:

[Witajcie.]"|Witajcie.
Died at Castle Tuirseach when the Black Ones o'erran An Skellig.|Zginął na zamku Tuirseach, jak Czarni An Skellig najechali.|"Zdanie po irlandzku: Died at Castle Tuirseach when the Black Ones o'erran An Skellig.

Tłumaczenie na polski: [Umarł w Zamku Tuirseach, gdy Czarne Jednostki zaatakowały Skellig.]

Warto zauważyć, że to zdanie zawiera kilka specyficznych elementów:
- ""Castle Tuirseach"" to nazwa miejsca (zamek), która pozostaje nieprzetłumaczona.
- ""Black Ones"" to prawdopodobnie odniesienie do jakiejś grupy lub organizacji, której dokładne znaczenie może być trudne do ustalenia bez kontekstu.
- ""An Skellig"" to również nazwa miejsca (Skała), która pozostaje nieprzetłumaczona.

Jeśli potrzebujesz dodatkowego kontekstu lub wyjaśnienia dotyczącego tych elementów, daj mi znać!"|Umarł w Zamku Tuirseach, gdy Czarne Jednostki zaatakowały Skellig.|"Tłumaczenie: [Umarł w Zamku Tuirseach, gdy Czarni przejęli Skellig.]

To zdanie wydaje się być fragmentem opowieści lub legendy irlandzkiej, odnoszącej się do historycznych wydarzeń lub postaci. W języku polskim zostało ono przetłumaczone dosłownie, zachowując oryginalną strukturę i znaczenie."|Umarł w Zamku Tuirseach, gdy Czarni przejęli Skellig.
It's not just about this place. There's someone, someone cursed. Gotta find them.|Nie chodzi tylko o to miejsce. Jest jeszcze ktoś – ktoś przeklęty. I muszę go znaleźć.|"Zdanie po angielsku: It's not just about this place. There's someone, someone cursed. Gotta find them.

Tłumaczenie: [To nie jest tylko o tym miejscu. Jest ktoś, ktoś przeklęty. Muszę ich znaleźć.]"|To nie jest tylko o tym miejscu. Jest ktoś, ktoś przeklęty. Muszę ich znaleźć.|Tłumaczenie: [To nie chodzi tylko o to miejsce. Jest ktoś, ktoś przeklęty. Muszę ich znaleźć.]|To nie chodzi tylko o to miejsce. Jest ktoś, ktoś przeklęty. Muszę ich znaleźć.
I can help you.|Mogę ci pomóc.|"Zdanie po angielsku: I can help you.

Tłumaczenie: [Mogę ci pomóc.]"|Mogę ci pomóc.|"Oczywiście! Oto tłumaczenie podanego zdania na język polski:

Zdanie po angielsku: I can help you.
Tłumaczenie: [Mogę ci pomóc.]"|Mogę ci pomóc.
Yeah…|Bywaj.|"Zdanie po angielsku: Yeah…

Tłumaczenie: [Tak...]"|Tak...|"Zdanie po angielsku: Yeah…

Tłumaczenie: [Tak...]

Uwaga: ""Yeah"" jest potocznym słowem używanym w języku angielskim jako odpowiednik ""tak"", ale często może być używane w różnych kontekstach, aby wyrazić zgodę, potwierdzenie lub nawet niepewność. W języku polskim najlepszym odpowiednikiem jest ""tak"", ale czasami może być też użyte ""aha"" lub ""no cóż"". W tym przypadku, ze względu na brak pełnego kontekstu, użyliśmy prostego ""tak""."|Tak...
You might find torches there.|Może znajdziesz tam pochodnie.|"Zdanie po angielsku: You might find torches there.

Tłumaczenie: [Możesz tam znaleźć pochodnie.]"|Możesz tam znaleźć pochodnie.|Tłumaczenie: [Możesz tam znaleźć pochodnie.]|Możesz tam znaleźć pochodnie.
Got anything you're willing to sell?|Masz coś na sprzedaż?|"Zdanie po angielsku: Got anything you're willing to sell?

Tłumaczenie: [Czy masz coś, co chciałbyś sprzedać?]"|Czy masz coś, co chciałbyś sprzedać?|Tłumaczenie: [Czy masz coś, co chciałbyś sprzedać?]|Czy masz coś, co chciałbyś sprzedać?
I'm busy.|Zajęta jestem.|"Zdanie po angielsku: I'm busy.

Tłumaczenie: [Jestem zajęty/zajęta.]"|Jestem zajęty/zajęta.|Tłumaczenie: [Jestem zajęty/zajęta.]|Jestem zajęty/zajęta.
Cerys, we need to talk.|Cerys, musimy pogadać.|"Zdanie po angielsku: Cerys, we need to talk.

Tłumaczenie: [Cerys, musimy porozmawiać.]"|Cerys, musimy porozmawiać.|Tłumaczenie: [Cerys, musimy porozmawiać.]|Cerys, musimy porozmawiać.
Do I need to talk to him?|Mam z nim porozmawiać?|"Zdanie po angielsku: Do I need to talk to him?

Tłumaczenie: [Czy muszę z nim porozmawiać?]"|Czy muszę z nim porozmawiać?|Tłumaczenie: [Czy muszę z nim porozmawiać?]|Czy muszę z nim porozmawiać?
And if not for me, you'd have sat on that rock till you died and rotted.|A gdybym ja nie pomógł tobie, siedziałbyś na tej skale do usranej śmierci.|"Zdanie po angielsku: And if not for me, you'd have sat on that rock till you died and rotted.

Tłumaczenie: [I gdyby nie ja, siedziałbyś na tym kamieniu, aż byś umarł i zgnił.]

[I gdyby nie ja, siedziałbyś na tym kamieniu, aż byś umarł i zgnił.]"|I gdyby nie ja, siedziałbyś na tym kamieniu, aż byś umarł i zgnił.|Tłumaczenie: [A gdyby nie ja, siedziałbyś na tym kamieniu aż byś umarł i zgnił.]|A gdyby nie ja, siedziałbyś na tym kamieniu aż byś umarł i zgnił.
Betting he'll listen to his father's counsel. And probably sink any possible accord with Nilfgaard.|Myślę, że będzie się liczył ze zdaniem ojca. I raczej nie doprowadzi do zgody z Nilfgaardem.|"Zdanie po angielsku: Betting he'll listen to his father's counsel. And probably sink any possible accord with Nilfgaard.

Tłumaczenie: [Licząc, że posłucha rady swojego ojca. I prawdopodobnie zatopi każdą możliwą ugodę z Nilfgaardem.]"|Licząc, że posłucha rady swojego ojca. I prawdopodobnie zatopi każdą możliwą ugodę z Nilfgaardem.|Tłumaczenie: [Licząc na to, że posłucha rady swojego ojca. I prawdopodobnie zniszczy każdą możliwą ugodę z Nilfgaardem.]|Licząc na to, że posłucha rady swojego ojca. I prawdopodobnie zniszczy każdą możliwą ugodę z Nilfgaardem.
*Sighs* Ehh.|Ech.|"Zdanie po angielsku: *Sighs* Ehh.

Tłumaczenie: [Wzdycha] Eh."|Wzdycha|"Zdanie po angielsku: *Sighs* Ehh.

Tłumaczenie: [Wzdycha*] Ehh.

*Uwaga: W tym przypadku ""Sighs"" (wzdycha) jest użyte jako onomatopeja, czyli dźwięk naśladujący rzeczywisty odgłos, który nie ma bezpośredniego tłumaczenia na inny język. Dlatego pozostaje ono w formie oryginalnej, ale z polskim opisem.*"|Wzdycha*
Morkvarg? What's that?|Morkvarg? Co to?|"Zdanie po angielsku: Morkvarg? What's that?

Tłumaczenie: [Morkvarg? Co to jest?]"|Morkvarg? Co to jest?|Tłumaczenie: [Morkvarg? Co to jest?]|Morkvarg? Co to jest?
Spawn of a slave and an eyeless goat!|Bękarcie niewolnicy i bezokiego kozła!|"Spawn of a slave and an eyeless goat!

Tłumaczenie: [Potomek niewolnika i ślepej kozy!]"|Potomek niewolnika i ślepej kozy!|Tłumaczenie: [Potomek niewolnika i ślepego kozła!]|Potomek niewolnika i ślepego kozła!
What of it? We've a barn to build, not a palace!|I co z tego? Przecież szopę będziemy z nich zbijać, nie pałac!|"Zdanie po angielsku: What of it? We've a barn to build, not a palace!

Tłumaczenie: [Co z tego? Mamy stodołę do zbudowania, nie pałac!]"|Co z tego? Mamy stodołę do zbudowania, nie pałac!|Tłumaczenie: [Co z tego? Mamy stodołę do zbudowania, nie pałac!]|Co z tego? Mamy stodołę do zbudowania, nie pałac!
A fine beauty, golden-haired and ruddy-cheeked…|Taka z niej ślicznotka, złotokosa i rumiana...|"Zdanie po angielsku: A fine beauty, golden-haired and ruddy-cheeked...

Tłumaczenie: [Piękna dziewczyna, złotowłosa i rumianolica...]"|Piękna dziewczyna, złotowłosa i rumianolica...|Tłumaczenie: [Piękna dziewczyna, złotowłosa i rumianolica...]|Piękna dziewczyna, złotowłosa i rumianolica...
Aye, it's there. But tain't so easy to get it out.|Mieć niby mamy. Ale zabrać go nie idzie.|"Zdanie po angielsku: Aye, it's there. But tain't so easy to get it out.

Tłumaczenie: [Tak, jest tam. Ale nie tak łatwo go stamtąd wydostać.]

Warto zauważyć, że ""tain't"" to potoczna forma kontrakcji ""isn't"", czyli ""it is not"". W tym kontekście można by również użyć formy ""nie jest to takie proste"", aby lepiej oddać znaczenie oryginalnego zdania."|Tak, jest tam. Ale nie tak łatwo go stamtąd wydostać.|Tłumaczenie: [Tak, jest tam. Ale nie tak łatwo je stamtąd wydostać.]|Tak, jest tam. Ale nie tak łatwo je stamtąd wydostać.
Ghost|Duch|"Zdanie po angielsku: Ghost

Tłumaczenie: [Duch]"|Duch|"Zdanie po angielsku: Ghost

Tłumaczenie: [Duch]"|Duch
Let's do it.|Do dzieła.|"Zdanie po angielsku: Let's do it.

Tłumaczenie: [Zróbmy to.]"|Zróbmy to.|"Zdanie po angielsku: Let's do it.

Tłumaczenie: [Zróbmy to.]"|Zróbmy to.
Fret not, I'm certain they await you.|Nie martw się, na pewno na ciebie czekają.|"Zdanie po angielsku: Fret not, I'm certain they await you.

Tłumaczenie: [Nie martw się, jestem pewny/pewna, że na ciebie czekają.]"|Nie martw się, jestem pewny/pewna, że na ciebie czekają.|"Oto tłumaczenie podanego zdania na język polski:

Fret not, I'm certain they await you.

Tłumaczenie: [Nie martw się, jestem pewien, że cię oczekują.]"|Nie martw się, jestem pewien, że cię oczekują.
And yet bother us he does.|A jednak wciąż nęka...|"Zdanie po angielsku: And yet bother us he does.

Tłumaczenie: [A jednak on nas niepokoi.]"|A jednak on nas niepokoi.|Tłumaczenie: [A jednak nas niepokoi.]|A jednak nas niepokoi.
Agreed to meet a sorceress here - Yennefer of Vengerberg. She's supposed to be on Ard Skellig.|Umówiłem się na Ard Skellig z czarodziejką Yennefer z Vengerbergu.|"Zdanie po angielsku: Agreed to meet a sorceress here - Yennefer of Vengerberg. She's supposed to be on Ard Skellig.

Tłumaczenie: [Umówiłem się na spotkanie z czarodziejką tutaj - Yennefer z Vengerbergu. Ma być na Ard Skellig.]"|Umówiłem się na spotkanie z czarodziejką tutaj - Yennefer z Vengerbergu. Ma być na Ard Skellig.|Tłumaczenie: [Umówił się na spotkanie z czarodziejką tutaj - Yennefer z Vengerbergu. Podobno miała być na Ard Skellig.]|Umówił się na spotkanie z czarodziejką tutaj - Yennefer z Vengerbergu. Podobno miała być na Ard Skellig.
Greetings, stranger. Salt air gives a man a powerful thirst, don't it?|Witaj, nieznajomy. Od słonego powietrza chce się pić, co?|"Zdanie po angielsku: Greetings, stranger. Salt air gives a man a powerful thirst, don't it?

Tłumaczenie: [Witaj, nieznajomy. Morskie powietrze sprawia, że człowiekowi chce się pić, prawda?]"|Witaj, nieznajomy. Morskie powietrze sprawia, że człowiekowi chce się pić, prawda?|Tłumaczenie: [Witaj, nieznajomy. Morskie powietrze sprawia, że człowiekowi chce się pić, prawda?]|Witaj, nieznajomy. Morskie powietrze sprawia, że człowiekowi chce się pić, prawda?
Same scales as on the altar.|Takie same łuski jak na ołtarzu.|"Zdanie po angielsku: Same scales as on the altar.

Tłumaczenie: [Te same wagi co na ołtarzu.]

W nawiasach kwadratowych: [Te same wagi co na ołtarzu.]"|Te same wagi co na ołtarzu.|Tłumaczenie: [Te same wagi co na ołtarzu.]|Te same wagi co na ołtarzu.
So did everyone in that room who's not completely deaf.|Podobnie jak trzydzieści innych osób, które stało najbliżej.|"Zdanie po angielsku: So did everyone in that room who's not completely deaf.

Tłumaczenie: [Tak samo zrobiła każda osoba w tym pokoju, która nie jest całkowicie głucha.]"|Tak samo zrobiła każda osoba w tym pokoju, która nie jest całkowicie głucha.|Tłumaczenie: [Tak samo jak każdy w tym pokoju, kto nie jest całkowicie głuchy.]|Tak samo jak każdy w tym pokoju, kto nie jest całkowicie głuchy.
Donar was a babe in swaddling clothes when this buckler landed here.|Kiedy ten puklerz tu osiadł, Donar był malcem w pieluchach.|"Zdanie po angielsku: Donar was a babe in swaddling clothes when this buckler landed here.

Tłumaczenie: [Donar był niemowlęciem owiniętym w becik, gdy ta tarcza wylądowała tutaj.]"|Donar był niemowlęciem owiniętym w becik, gdy ta tarcza wylądowała tutaj.|Tłumaczenie: [Donar był niemowlęciem w powijakach, gdy ta tarcza wylądowała tutaj.]|Donar był niemowlęciem w powijakach, gdy ta tarcza wylądowała tutaj.
That's just it - your 'please' is never a request, only ever a command. But let's move on.|Nie, właśnie chodzi o to, że ty nigdy o nic nie prosisz. Ale mniejsza z tym.|"Zdanie po angielsku: That's just it - your 'please' is never a request, only ever a command. But let's move on.

Tłumaczenie: [Właśnie o to chodzi - twoje ""proszę"" nigdy nie jest prośbą, zawsze jedynie rozkazem. Ale przejdźmy dalej.]"|"Właśnie o to chodzi - twoje ""proszę"" nigdy nie jest prośbą, zawsze jedynie rozkazem. Ale przejdźmy dalej."|"Tłumaczenie: [Właśnie tak - twoje ""proszę"" nigdy nie jest prośbą, zawsze jedynie rozkazem. Ale przejdźmy dalej.]"|"Właśnie tak - twoje ""proszę"" nigdy nie jest prośbą, zawsze jedynie rozkazem. Ale przejdźmy dalej."
Well? What is it?|No? O co chodzi?|"Zdanie po angielsku: Well? What is it?

Tłumaczenie: [No więc? Co to jest?]"|No więc? Co to jest?|Tłumaczenie: [No więc? Co to jest?]|No więc? Co to jest?
