|speaker_gender|listener_gender|en_text|pl_text|chain1
22|mężczyzna|mężczyzna|I cooked dinner, did you bring the drinks?|Ugotowałem obiad, czy przyniosłeś napoje?|Przygotowałem kolację, czy przyniosłeś napoje?
23|kobieta|kobieta|I cooked dinner, did you bring the drinks?|Ugotowałam obiad, czy przyniosłaś napoje?|Ugotowałam kolację, czy przyniosłaś napoje?
24|mężczyzna|kobieta|I watched that movie last night, did you like it?|Obejrzałem ten film wczoraj wieczorem, spodobał ci się?|Obejrzałam ten film wczoraj wieczorem, podobał ci się?
25|kobieta|mężczyzna|I watched that movie last night, did you like it?|Obejrzałam ten film wczoraj wieczorem, spodobał ci się?|Obejrzałem ten film wczoraj wieczorem, podobał ci się?
26|mężczyzna|mężczyzna|I watched that movie last night, did you like it?|Obejrzałem ten film wczoraj wieczorem, spodobał ci się?|Obejrzałem ten film wczoraj wieczorem, podobał ci się?
27|kobieta|kobieta|I watched that movie last night, did you like it?|Obejrzałam ten film wczoraj wieczorem, spodobał ci się?|
28|mężczyzna|kobieta|I cleaned the kitchen, did you take out the trash?|Posprzątałem kuchnię, czy wyniosłaś śmieci?|Posprzątałam kuchnię, czy wyrzuciłaś śmieci?
29|kobieta|mężczyzna|I cleaned the kitchen, did you take out the trash?|Posprzątałam kuchnię, czy wyniosłeś śmieci?|Posprzątałem kuchnię, czy wyniosłeś śmieci?
30|mężczyzna|mężczyzna|I cleaned the kitchen, did you take out the trash?|Posprzątałem kuchnię, czy wyniosłeś śmieci?|Posprzątałem kuchnię, czy wyniosłeś śmieci?
31|kobieta|kobieta|I cleaned the kitchen, did you take out the trash?|Posprzątałam kuchnię, czy wyniosłaś śmieci?|Posprzątałam kuchnię, czy wyniosłaś śmieci?
32|mężczyzna|kobieta|I bought the tickets, did you remember to book the hotel?|Kupiłem bilety, czy pamiętałaś zarezerwować hotel?|Kupiłam bilety, czy pamiętałaś o rezerwacji hotelu?
33|kobieta|mężczyzna|I bought the tickets, did you remember to book the hotel?|Kupiłam bilety, czy pamiętałeś zarezerwować hotel?|Kupiłem bilety, czy pamiętałeś o rezerwacji hotelu?
34|mężczyzna|mężczyzna|I bought the tickets, did you remember to book the hotel?|Kupiłem bilety, czy pamiętałeś zarezerwować hotel?|Kupiłem bilety, czy pamiętałeś o rezerwacji hotelu?
35|kobieta|kobieta|I bought the tickets, did you remember to book the hotel?|Kupiłam bilety, czy pamiętałaś zarezerwować hotel?|Kupiłam bilety, czy pamiętałaś o zarezerwowaniu hotelu?
36|mężczyzna|kobieta|I found the keys, did you find your wallet?|Znalazłem klucze, czy znalazłaś swój portfel?|Znalazłam klucze, czy ty znalazłaś swoją portmonetkę?
37|kobieta|mężczyzna|I found the keys, did you find your wallet?|Znalazłam klucze, czy znalazłeś swój portfel?|Znalazłem klucze, a ty znalazłeś swój portfel?
38|mężczyzna|mężczyzna|I found the keys, did you find your wallet?|Znalazłem klucze, czy znalazłeś swój portfel?|Znalazłem klucze, a ty znalazłeś swój portfel?
39|kobieta|kobieta|I found the keys, did you find your wallet?|Znalazłam klucze, czy znalazłaś swój portfel?|Znalazłam klucze, a ty znalazłaś swoją portmonetkę?
40|mężczyzna|kobieta|I sent the email, did you call the client?|Wysłałem maila, czy zadzwoniłaś do klienta?|
41|kobieta|mężczyzna|I sent the email, did you call the client?|Wysłałam maila, czy zadzwoniłeś do klienta?|Wysłałem/wysłałam e-maila, czy ty zadzwoniłeś/zadzwoniłaś do klienta?
42|mężczyzna|mężczyzna|I sent the email, did you call the client?|Wysłałem maila, czy zadzwoniłeś do klienta?|Wysłałem e-maila, czy dzwoniłeś do klienta?
43|kobieta|kobieta|I sent the email, did you call the client?|Wysłałam maila, czy zadzwoniłaś do klienta?|Wysłałam e-maila, czy dzwoniłaś do klientki?
44|mężczyzna|kobieta|I finished the report, did you complete the presentation?|Skończyłem raport, czy ukończyłaś prezentację?|Skoczyłam raport, a Ty skończyłaś prezentację?
45|kobieta|mężczyzna|I finished the report, did you complete the presentation?|Skończyłam raport, czy ukończyłeś prezentację?|Skoczyłem raport, czy skończyłeś prezentację?
46|mężczyzna|mężczyzna|I finished the report, did you complete the presentation?|Skończyłem raport, czy ukończyłeś prezentację?|
47|kobieta|kobieta|I finished the report, did you complete the presentation?|Skończyłam raport, czy ukończyłaś prezentację?|Skoczyłam raport, a ty skompletowałaś prezentację?
48|mężczyzna|kobieta|I repaired the sink, did you fix the door?|Naprawiłem zlew, czy naprawiłaś drzwi?|Naprawiłam zlew, a ty naprawiłaś drzwi?
49|kobieta|mężczyzna|I repaired the sink, did you fix the door?|Naprawiłam zlew, czy naprawiłeś drzwi?|Naprawiłem zlew, a ty naprawiłeś drzwi?
50|mężczyzna|mężczyzna|I repaired the sink, did you fix the door?|Naprawiłem zlew, czy naprawiłeś drzwi?|
51|kobieta|kobieta|I repaired the sink, did you fix the door?|Naprawiłam zlew, czy naprawiłaś drzwi?|Naprawiłam zlew, a ty naprawiłaś drzwi?
52|mężczyzna|kobieta|I wrote the letter, did you send it?|Napisałem list, czy go wysłałaś?|Napisałam list, czy go wysłałaś?
53|kobieta|mężczyzna|I wrote the letter, did you send it?|Napisałam list, czy go wysłałeś?|Napisałam list, czy go wysłałeś?
54|mężczyzna|mężczyzna|I wrote the letter, did you send it?|Napisałem list, czy go wysłałeś?|Napisałem list, czy go wysłałeś?
55|kobieta|kobieta|I wrote the letter, did you send it?|Napisałam list, czy go wysłałaś?|Napisałam list, czy go wysłałaś?
56|mężczyzna|kobieta|I repaired my laptop, did you back up your files?|Naprawiłem laptopa, czy zrobiłaś kopię zapasową plików?|Naprawiłam swój laptop, czy zrobiłaś kopię zapasową swoich plików?
57|kobieta|mężczyzna|I repaired my laptop, did you back up your files?|Naprawiłam laptopa, czy zrobiłeś kopię zapasową plików?|Naprawiłem swój laptop, czy zrobiłaś kopię zapasową swoich plików?
58|mężczyzna|mężczyzna|I repaired my laptop, did you back up your files?|Naprawiłem laptopa, czy zrobiłeś kopię zapasową plików?|Naprawiłem swój laptop, czy zrobiłeś kopię zapasową swoich plików?
59|kobieta|kobieta|I repaired my laptop, did you back up your files?|Naprawiłam laptopa, czy zrobiłaś kopię zapasową plików?|Naprawiłam swój laptop, czy zrobiłaś kopię zapasową swoich plików?
60|mężczyzna|kobieta|I sent the documents you asked for yesterday, but you still haven't replied, could you please check your inbox?|Wysłałem wczoraj dokumenty, o które prosiłaś, ale nadal mi nie odpisałaś, czy mogłabyś sprawdzić swoją skrzynkę?|Wysłałam dokumenty, o które prosiłaś wczoraj, ale nadal nie odpisałaś. Czy mogłabyś sprawdzić swoją skrzynkę odbiorczą?
61|kobieta|mężczyzna|I sent the documents you asked for yesterday, but you still haven't replied, could you please check your inbox?|Wysłałam wczoraj dokumenty, o które prosiłeś, ale nadal mi nie odpisałeś, czy mógłbyś sprawdzić swoją skrzynkę?|Wysłałem dokumenty, o które prosiłeś wczoraj, ale nadal nie odpisałeś. Mógłbyś sprawdzić swoją skrzynkę odbiorczą?
62|mężczyzna|mężczyzna|I sent the documents you asked for yesterday, but you still haven't replied, could you please check your inbox?|Wysłałem wczoraj dokumenty, o które prosiłeś, ale nadal mi nie odpisałeś, czy mógłbyś sprawdzić swoją skrzynkę?|Wysłałem dokumenty, o które prosiłeś wczoraj, ale nadal nie odpisałeś. Mógłbyś sprawdzić swoją skrzynkę odbiorczą?
63|kobieta|kobieta|I sent the documents you asked for yesterday, but you still haven't replied, could you please check your inbox?|Wysłałam wczoraj dokumenty, o które prosiłaś, ale nadal mi nie odpisałaś, czy mogłabyś sprawdzić swoją skrzynkę?|Wysłałam dokumenty, o które prosiłaś wczoraj, ale nadal nie odpisałaś. Czy mogłabyś sprawdzić swoją skrzynkę odbiorczą?
64|mężczyzna|kobieta|I stayed up all night preparing the presentation because you promised to help me, why didn't you show up?|Siedziałem całą noc przygotowując prezentację, bo obiecałaś, że mi pomożesz — dlaczego się nie pojawiłaś?|Czekałam całą noc, przygotowując prezentację, bo obiecałaś mi pomóc, dlaczego nie przyszłaś?
65|kobieta|mężczyzna|I stayed up all night preparing the presentation because you promised to help me, why didn't you show up?|Siedziałam całą noc przygotowując prezentację, bo obiecałeś, że mi pomożesz — dlaczego się nie pojawiłeś?|Czułem się odpowiedzialny za tę prezentację, dlatego spędziłem całą noc na jej przygotowywaniu, ponieważ obiecałeś mi pomóc. Dlaczego więc się nie pojawiłeś?
66|mężczyzna|mężczyzna|I stayed up all night preparing the presentation because you promised to help me, why didn't you show up?|Siedziałem całą noc przygotowując prezentację, bo obiecałeś, że mi pomożesz — dlaczego się nie pojawiłeś?|Całą noc spędziłem przygotowując prezentację, bo obiecałeś mi pomóc, dlaczego się nie pojawiłeś?
67|kobieta|kobieta|I stayed up all night preparing the presentation because you promised to help me, why didn't you show up?|Siedziałam całą noc przygotowując prezentację, bo obiecałaś, że mi pomożesz — dlaczego się nie pojawiłaś?|Czekałam na ciebie całą noc, przygotowując prezentację, bo obiecałaś mi pomóc, dlaczego nie przyszłaś?
68|mężczyzna|kobieta|I bought everything for the party and decorated the room, were you able to invite all our friends?|Kupiłem wszystko na przyjęcie i udekorowałem pokój, czy udało ci się zaprosić wszystkich naszych przyjaciół?|Kupiłam wszystko na imprezę i udekorowałam pokój, czy udało ci się zaprosić wszystkich naszych przyjaciół?
69|kobieta|mężczyzna|I bought everything for the party and decorated the room, were you able to invite all our friends?|Kupiłam wszystko na przyjęcie i udekorowałam pokój, czy udało ci się zaprosić wszystkich naszych przyjaciół?|Kupiłem wszystko na imprezę i udekorowałem pokój, czy udało ci się zaprosić wszystkich naszych przyjaciół?
70|mężczyzna|mężczyzna|I bought everything for the party and decorated the room, were you able to invite all our friends?|Kupiłem wszystko na przyjęcie i udekorowałem pokój, czy udało ci się zaprosić wszystkich naszych przyjaciół?|Kupiłem wszystko na imprezę i udekorowałem pokój, czy udało ci się zaprosić wszystkich naszych przyjaciół?
71|kobieta|kobieta|I bought everything for the party and decorated the room, were you able to invite all our friends?|Kupiłam wszystko na przyjęcie i udekorowałam pokój, czy udało ci się zaprosić wszystkich naszych przyjaciół?|Kupiłam wszystko na imprezę i udekorowałam pokój, czy udało ci się zaprosić wszystkich naszych przyjaciół?
72|mężczyzna|kobieta|I cleaned the kitchen, did you at least take out the trash?|Posprzątałem kuchnię, wyniosłaś chociaż śmieci?|Posprzątałam kuchnię, czy chociaż wyniosłaś śmieci?
73|kobieta|mężczyzna|I cleaned the kitchen, did you at least take out the trash?|Posprzątałam kuchnię, wyniosłeś chociaż śmieci?|
74|mężczyzna|mężczyzna|I cleaned the kitchen, did you at least take out the trash?|Posprzątałem kuchnię, wyniosłeś chociaż śmieci?|Posprzątałem kuchnię, czy chociaż wyniosłeś śmieci?
75|kobieta|kobieta|I cleaned the kitchen, did you at least take out the trash?|Posprzątałam kuchnię, wyniosłaś chociaż śmieci?|I cleaned the kitchen, did you at least take out the trash?
76|mężczyzna|kobieta|I told you not to forget the tickets, did you bring them or not?|Mówiłem ci, żebyś nie zapomniała biletów — masz je czy nie?|Powiedziałam ci, żebyś nie zapomniała o biletach, czy je wzięłaś?
77|kobieta|mężczyzna|I told you not to forget the tickets, did you bring them or not?|Mówiłam ci, żebyś nie zapomniał biletów — masz je czy nie?|Powiedziałem ci, żebyś nie zapomniał o biletach, przyniosłeś je czy nie?
78|mężczyzna|mężczyzna|I told you not to forget the tickets, did you bring them or not?|Mówiłem ci, żebyś nie zapomniał biletów — masz je czy nie?|Powiedziałem ci, żebyś nie zapomniał o biletach, przyniosłeś je czy nie?
79|kobieta|kobieta|I told you not to forget the tickets, did you bring them or not?|Mówiłam ci, żebyś nie zapomniała biletów — masz je czy nie?|Powiedziałam ci, żebyś nie zapomniała o biletach, przyniosłaś je czy nie?
80|mężczyzna|kobieta|I bought all the groceries like you asked, but you forgot to make the list, didn't you?|Kupiłem wszystkie zakupy, jak prosiłaś, ale zapomniałaś zrobić listę, prawda?|Kupiłam wszystkie zakupy tak, jak prosiłaś, ale zapomniałaś sporządzić listę, prawda?
81|kobieta|mężczyzna|I bought all the groceries like you asked, but you forgot to make the list, didn't you?|Kupiłam wszystkie zakupy, jak prosiłeś, ale zapomniałeś zrobić listę, prawda?|Kupiłem wszystkie zakupy tak, jak prosiłeś, ale zapomniałeś sporządzić listę, prawda?
82|mężczyzna|mężczyzna|I bought all the groceries like you asked, but you forgot to make the list, didn't you?|Kupiłem wszystkie zakupy, jak prosiłeś, ale zapomniałeś zrobić listę, prawda?|Kupiłem wszystkie zakupy tak, jak prosiłeś, ale zapomniałeś sporządzić listę, prawda?
83|kobieta|kobieta|I bought all the groceries like you asked, but you forgot to make the list, didn't you?|Kupiłam wszystkie zakupy, jak prosiłaś, ale zapomniałaś zrobić listę, prawda?|Kupiłam wszystkie zakupy tak, jak prosiłaś, ale zapomniałaś sporządzić listę, prawda?
84|mężczyzna|kobieta|I finally fixed the shower, so now you can't complain anymore!|W końcu naprawiłem prysznic, więc teraz już nie możesz narzekać!|Wreszcie naprawiłam prysznic, więc teraz już nie możesz narzekać!
85|kobieta|mężczyzna|I finally fixed the shower, so now you can't complain anymore!|W końcu naprawiłam prysznic, więc teraz już nie możesz narzekać!|I finally fixed the shower, so now you can't complain anymore!
86|mężczyzna|mężczyzna|I finally fixed the shower, so now you can't complain anymore!|W końcu naprawiłem prysznic, więc teraz już nie możesz narzekać!|Wreszcie naprawiłem prysznic, więc teraz już nie możesz narzekać!
87|kobieta|kobieta|I finally fixed the shower, so now you can't complain anymore!|W końcu naprawiłam prysznic, więc teraz już nie możesz narzekać!|Wreszcie naprawiłam prysznic, więc teraz już nie możesz narzekać!
88|mężczyzna|kobieta|I called you three times this morning, why didn't you pick up?|Dzwoniłem do ciebie trzy razy rano, czemu nie odebrałaś?|Dzwoniłam do ciebie trzy razy rano, dlaczego nie odebrałaś?
89|kobieta|mężczyzna|I called you three times this morning, why didn't you pick up?|Dzwoniłam do ciebie trzy razy rano, czemu nie odebrałeś?|Dzwoniłem do ciebie trzy razy dziś rano, dlaczego nie odebrałeś?
90|mężczyzna|mężczyzna|I called you three times this morning, why didn't you pick up?|Dzwoniłem do ciebie trzy razy rano, czemu nie odebrałeś?|Dzwoniłem do ciebie trzy razy rano, dlaczego nie odebrałeś?
91|kobieta|kobieta|I called you three times this morning, why didn't you pick up?|Dzwoniłam do ciebie trzy razy rano, czemu nie odebrałaś?|Dzwoniłam do ciebie trzy razy rano, dlaczego nie odebrałaś?
92|mężczyzna|kobieta|I finished all my tasks at work today, but you still owe me that coffee, remember?|Skończyłem dziś wszystkie zadania w pracy, a ty wciąż jesteś mi winna tę kawę, pamiętasz?|Wykończyłam dziś wszystkie swoje zadania w pracy, ale nadal jesteś mi winna tę kawę, pamiętasz?
93|kobieta|mężczyzna|I finished all my tasks at work today, but you still owe me that coffee, remember?|Skończyłam dziś wszystkie zadania w pracy, a ty wciąż jesteś mi winien tę kawę, pamiętasz?|Skończyłem wszystkie moje zadania w pracy dzisiaj, ale nadal jesteś mi winien tę kawę, pamiętasz?
94|mężczyzna|mężczyzna|I finished all my tasks at work today, but you still owe me that coffee, remember?|Skończyłem dziś wszystkie zadania w pracy, a ty wciąż jesteś mi winien tę kawę, pamiętasz?|Skończyłem dziś wszystkie swoje zadania w pracy, ale nadal jesteś mi winien tę kawę, pamiętasz?
95|kobieta|kobieta|I finished all my tasks at work today, but you still owe me that coffee, remember?|Skończyłam dziś wszystkie zadania w pracy, a ty wciąż jesteś mi winna tę kawę, pamiętasz?|Wykończyłam dziś wszystkie swoje zadania w pracy, ale nadal jesteś mi winna tę kawę, pamiętasz?
96|mężczyzna|kobieta|I cleaned the whole garage today, can you believe it?|Posprzątałem dziś cały garaż, możesz w to uwierzyć?|
97|kobieta|mężczyzna|I cleaned the whole garage today, can you believe it?|Posprzątałam dziś cały garaż, możesz w to uwierzyć?|Posprzątałem dzisiaj cały garaż, możesz w to uwierzyć?
98|mężczyzna|mężczyzna|I cleaned the whole garage today, can you believe it?|Posprzątałem dziś cały garaż, możesz w to uwierzyć?|Posprzątałem dzisiaj cały garaż, możesz w to uwierzyć?
99|kobieta|kobieta|I cleaned the whole garage today, can you believe it?|Posprzątałam dziś cały garaż, możesz w to uwierzyć?|Posprzątałam dzisiaj cały garaż, czy możesz w to uwierzyć?
100|mężczyzna|kobieta|I spent the whole day fixing your laptop, and you didn't even say thank you!|"Spędziłem cały dzień naprawiając twój laptop, a ty nawet nie powiedziałaś ""dziękuję""!"|Poświęciłam cały dzień na naprawę twojego laptopa, a ty nawet mi nie podziękowałaś!
101|kobieta|mężczyzna|I spent the whole day fixing your laptop, and you didn't even say thank you!|"Spędziłam cały dzień naprawiając twój laptop, a ty nawet nie powiedziałeś ""dziękuję""!"|Poświęciłem cały dzień na naprawę twojego laptopa, a ty nawet mi nie podziękowałeś!
102|mężczyzna|mężczyzna|I spent the whole day fixing your laptop, and you didn't even say thank you!|"Spędziłem cały dzień naprawiając twój laptop, a ty nawet nie powiedziałeś ""dziękuję""!"|Spendziłem cały dzień naprawiając twój laptop, a ty nawet mi nie podziękowałeś!
103|kobieta|kobieta|I spent the whole day fixing your laptop, and you didn't even say thank you!|"Spędziłam cały dzień naprawiając twój laptop, a ty nawet nie powiedziałaś ""dziękuję""!"|Poświęciłam cały dzień na naprawę twojego laptopa, a ty nawet mi nie podziękowałaś!
104|mężczyzna|kobieta|I stayed up all night helping you with your project, and now you don't even remember it?|Siedziałem całą noc pomagając ci z projektem, a teraz nawet tego nie pamiętasz?|Pomagałam ci całą noc przy projekcie, a teraz nawet tego nie pamiętasz?
105|kobieta|mężczyzna|I stayed up all night helping you with your project, and now you don't even remember it?|Siedziałam całą noc pomagając ci z projektem, a teraz nawet tego nie pamiętasz?|I stayed up all night helping you with your project, and now you don't even remember it?
106|mężczyzna|mężczyzna|I stayed up all night helping you with your project, and now you don't even remember it?|Siedziałem całą noc pomagając ci z projektem, a teraz nawet tego nie pamiętasz?|Pomagałem ci całą noc przy projekcie, a teraz nawet tego nie pamiętasz?
107|kobieta|kobieta|I stayed up all night helping you with your project, and now you don't even remember it?|Siedziałam całą noc pomagając ci z projektem, a teraz nawet tego nie pamiętasz?|Pomagałam ci całą noc przy projekcie, a teraz nawet tego nie pamiętasz?
108|mężczyzna|kobieta|I picked up your parcel from the post office, did you forget to thank me again?|Odebrałem twoją paczkę z poczty, znowu zapomniałaś mi podziękować?|Podniosłam twoją paczkę z poczty, czy zapomniałaś mi ponownie podziękować?
109|kobieta|mężczyzna|I picked up your parcel from the post office, did you forget to thank me again?|Odebrałam twoją paczkę z poczty, znowu zapomniałeś mi podziękować?|Podniosłem twoją paczkę z poczty, czy zapomniałeś mi ponownie podziękować?
110|mężczyzna|mężczyzna|I picked up your parcel from the post office, did you forget to thank me again?|Odebrałem twoją paczkę z poczty, znowu zapomniałeś mi podziękować?|Podniosłem twoją paczkę z poczty, czy zapomniałeś mi ponownie podziękować?
111|kobieta|kobieta|I picked up your parcel from the post office, did you forget to thank me again?|Odebrałam twoją paczkę z poczty, znowu zapomniałaś mi podziękować?|Odebrałam twoją paczkę z poczty, czy zapomniałaś mi ponownie podziękować?
112|mężczyzna|kobieta|"I waited for you for almost an hour in the rain, and you just texted ""sorry""?"|Czekałem na ciebie prawie godzinę w deszczu, a ty tylko napisałaś „sorry”?|"Czekałam na ciebie prawie godzinę w deszczu, a ty po prostu napisałaś ""przepraszam""?"
113|kobieta|mężczyzna|"I waited for you for almost an hour in the rain, and you just texted ""sorry""?"|Czekałam na ciebie prawie godzinę w deszczu, a ty tylko napisałeś „sorry”?|"Czekałem na ciebie prawie godzinę w deszczu, a ty mi tylko napisałaś ""przepraszam""?"
114|mężczyzna|mężczyzna|"I waited for you for almost an hour in the rain, and you just texted ""sorry""?"|Czekałem na ciebie prawie godzinę w deszczu, a ty tylko napisałeś „sorry”?|"Czekałem na ciebie prawie godzinę w deszczu, a ty po prostu napisałeś ""przepraszam""?"
115|kobieta|kobieta|"I waited for you for almost an hour in the rain, and you just texted ""sorry""?"|Czekałam na ciebie prawie godzinę w deszczu, a ty tylko napisałaś „sorry”?|"Czekałam na ciebie prawie godzinę w deszczu, a ty po prostu napisałaś ""przepraszam""?"
116|mężczyzna|kobieta|I thought we agreed to clean the house together today, so why am I doing everything alone?|Myślałem, że umówiliśmy się na wspólne sprzątanie, więc czemu wszystko robię sam?|Myślałam, że umówiłyśmy się na sprzątanie domu razem dzisiaj, więc dlaczego robię wszystko sama?
117|kobieta|mężczyzna|I thought we agreed to clean the house together today, so why am I doing everything alone?|Myślałam, że umówiliśmy się na wspólne sprzątanie, więc czemu wszystko robię sama?|Myślałem, że umówiliśmy się na sprzątanie domu razem dzisiaj, więc dlaczego robię wszystko sam?
118|mężczyzna|mężczyzna|I thought we agreed to clean the house together today, so why am I doing everything alone?|Myślałem, że umówiliśmy się na wspólne sprzątanie, więc czemu wszystko robię sam?|Myślałem, że umówiliśmy się na sprzątanie domu razem dzisiaj, więc dlaczego robisz wszystko sam?
119|kobieta|kobieta|I thought we agreed to clean the house together today, so why am I doing everything alone?|Myślałam, że umówiliśmy się na wspólne sprzątanie, więc czemu wszystko robię sama?|Myślałam, że umówiłyśmy się na sprzątanie domu razem dzisiaj, więc dlaczego robię wszystko sama?
