en_text|pl_text|bielik_translation_0.0|mixtral-8x22B_translation_0.0|llama3.1_translation_0.0|bielik_translation_0.1|mixtral-8x22B_translation_0.1|llama3.1_translation_0.1|bielik_translation_0.2|mixtral-8x22B_translation_0.2|llama3.1_translation_0.2|bielik_translation_0.3|mixtral-8x22B_translation_0.3|llama3.1_translation_0.3|bielik_translation_0.4|mixtral-8x22B_translation_0.4|llama3.1_translation_0.4|bielik_translation_0.5|mixtral-8x22B_translation_0.5|llama3.1_translation_0.5|bielik_translation_0.6|mixtral-8x22B_translation_0.6|llama3.1_translation_0.6|bielik_translation_0.7|mixtral-8x22B_translation_0.7|llama3.1_translation_0.7|bielik_translation_0.8|mixtral-8x22B_translation_0.8|llama3.1_translation_0.8|bielik_translation_0.9|mixtral-8x22B_translation_0.9|llama3.1_translation_0.9|bielik_translation_1.0|mixtral-8x22B_translation_1.0|llama3.1_translation_1.0
Welcome to the Temple of Freya. I'm Kurisu. How can I help?|Witaj w świątyni Freyji. Jestem Kurisu. W czym mogę ci pomóc?|Witaj w świątyni Freyi. Jestem Kurisu. W czym mogę pomóc?| Witamy w Świątyni Frei. Jestem Kurisu. W jaki sposób mogę Ci pomóc?|Witaj w Świątyni Freyi. Jestem Kurisu. W jaki sposób mogę Ci pomóc?|Witaj w świątyni Freyi. Jestem Kurisu. W czym mogę pomóc?| Witamy w Świątyni Frei. Jestem Kurisu. W jaki sposób mogę Ci pomóc?|Witaj w Świątyni Freyi. Jestem Kurisu. W jaki sposób mogę Ci pomóc?|Witaj w świątyni Freyi. Jestem Kurisu. W czym mogę pomóc?| Witamy w Świątyni Frei. Jestem Kurisu. W jaki sposób mogę Ci pomóc?|Witaj w Świątyni Freyi. Jestem Kurisu. W jaki sposób mogę Ci pomóc?|Witaj w świątyni Freyi. Jestem Kurisu. W czym mogę pomóc?| Witamy w Świątyni Frei. Jestem Kurisu. W jaki sposób mogę Ci pomóc?|Witaj w Świątyni Freyi. Jestem Kurisu. W jaki sposób mogę Ci pomóc?|Witaj w świątyni Freyi. Jestem Kurisu. W czym mogę pomóc?| Witamy w Świątyni Frei. Jestem Kurisu. W jaki sposób mogę Ci pomóc?|Witaj w Świątyni Freyi. Jestem Kurisu. Jak mogę Ci pomóc?|Witaj w świątyni Freyi. Jestem Kurisu. W czym mogę pomóc?| Witamy w Świątyni Frei. Jestem Kurisu. W jaki sposób mogę pomóc?|Witaj w Świątyni Freyi. Jestem Kurisu. W jaki sposób mogę Ci pomóc?|Witaj w świątyni Frei. Jestem Kurisu. W czym mogę pomóc?| Witajcie w Świątyni Frei. Jestem Kurisu. W jaki sposób mogę pomóc?|Witaj w Świątyni Freyi. Jestem Kurisu. W jaki sposób mogę Ci pomóc?|Witaj w świątyni Freyi. Jestem Kurisu. W czym mogę ci pomóc?| Witamy w Świątyni Frei. Jestem Kurisu. W czym mogę pomóc?|Witaj w Świątyni Freyi. Jestem Kurisu. Jak mogę Ci pomóc?|Witaj w świątyni Freyi. Jestem Kurisu. W czym mogę pomóc?| Witamy w Świątyni Frei. Jestem Kurisu. W jaki sposób mogę Ci pomóc?|Witaj w Świątyni Freyi. Jestem Kurisu. W jaki sposób mogę Ci pomóc?|Witaj w Świątyni Freyi. Jestem Kurisu. W czym mogę pomóc?| Witamy w Świątyni Frei. Jestem Kurisu. W czym mogę Ci pomóc?|Witaj w Świątyni Freyi. Jestem Kurisu. W jaki sposób mogę pomóc?|Witaj w świątyni Frei. Jestem Kurisu. Jak mogę pomóc?| Witamy w Świątyni Frei. Jestem Kurisu. W czym mogę pomóc?|Witaj w Świątyni Freyi. Jestem Kurisu. W jaki sposób mogę pomóc?
And a most humble greeting to you, sir. Name's Karl, but Whistling Whacker they call me.|Kłaniam się uniżenie. Jestem Karl, zwany Świszczącą Pałą.|I bardzo pokorne pozdrowienia dla pana. Nazywam się Karl, ale wołają na mnie Gwiżdżący Łobuz.| I bardzo skromne pozdrowienia dla Pana. Nazywam się Karl, ale ludzie mnie nazywają Gwizdającym Batem.|I najpokorniejsze pozdrowienia dla ciebie, panie. Nazywam się Karl, ale nazywają mnie Świszczącym Dzierżawcą.|I bardzo pokorne pozdrowienia dla pana. Nazywam się Karl, ale wołają na mnie Gwiżdżący Łobuz.| I bardzo skromne pozdrowienia dla Pana. Nazywam się Karl, ale ludzie mnie nazywają Gwizdającym Batem.|I najpokorniejsze pozdrowienia dla pana. Nazywam się Karl, ale nazywają mnie Świszczący Rozłupacz.|I bardzo pokorne pozdrowienia dla pana. Nazywam się Karl, ale wołają na mnie Gwiżdżący Łobuz.| I bardzo pokorny pozdrowienie dla Pana. Nazywam się Karl, ale ludzie mnie nazywają Gwizdającym Bijącym.|I najpokorniejsze pozdrowienia dla pana. Nazywam się Karl, ale nazywają mnie Świszczący Młotek.|I bardzo pokorne pozdrowienia dla pana. Nazywam się Karl, ale wołają mnie Gwiżdżący Łobuz.| I bardzo pokorny pozdrowienie dla Pana. Nazywam się Karl, ale ludzie mnie nazywają Gwizdającym Łopatą.|I najpokorniejsze pozdrowienia dla pana. Nazywam się Karl, ale nazywają mnie Świszczący Rozłupywacz.|I bardzo pokorne pozdrowienia dla pana. Nazywam się Karl, ale wołają na mnie Gwiżdżący Łobuz.| I bardzo skromne pozdrowienia dla Pana. Mam na imię Karl, ale nazywają mnie Świszczącym Łopatą.|I najpokorniejsze pozdrowienia dla pana. Nazywam się Karl, ale nazywają mnie Świszczący Whacker.|I bardzo pokorne pozdrowienia dla pana. Nazywam się Karl, ale wołają na mnie Gwiżdżący Łobuz.| I bardzo skromne pozdrowienia dla Pana. Nazywam się Karl, ale nazywają mnie Świszczącym Łomem.|I najpokorniejsze pozdrowienie dla ciebie, panie. Mam na imię Karl, ale nazywają mnie Świszczącym Rozbójnikiem.|I bardzo pokorne pozdrowienia dla pana. Nazywam się Karl, ale wołają na mnie Gwiżdżący Łobuz.| I bardzo uprzejmy pozdrowienie dla Pana. Nazywam się Karl, ale nazywają mnie Gwizdającym Łopatą.|I najpokorniejsze pozdrowienia dla ciebie, panie. Nazywam się Karl, ale nazywają mnie Świstającym Szczeniarzem.|I bardzo pokorne pozdrowienia dla pana. Nazywam się Karl, ale wołają na mnie Gwiżdżący Łobuz.|" I przełożeniu na polski: ""I najskromniejsze pozdrowienia dla Pana. Nazywam się Karl, ale ludzie nazywają mnie Gwizdującym Zawadiakiem."""|I najskromniejsze pozdrowienie dla Pana. Nazywam się Karl, ale nazywają mnie Świszczący Młocarz.|I bardzo pokorne pozdrowienia dla pana. Nazywam się Karl, ale wołają mnie Gwiżdżący Łobuz.|" I tłumaczeniu: ""I najbardziej pokorny pozdrowienie dla Pana. Nazywam się Karl, ale zwą mnie Szeptający Zawadiaka."""|A najpokorniejsze pozdrowienia dla ciebie, proszę pana. Nazywam się Karl, ale nazywają mnie Świsty Walnięty.|I bardzo pokorne pozdrowienia dla pana. Nazywam się Karl, ale wołają na mnie Gwiżdżący Łobuz.| I szczerych pozdrowień, panie. Mam na imię Karl, ale mnie znają jako Gwizdający Łopatacz.|"""A bardzo skromne pozdrowienie dla ciebie, szanowny panie. Nazywam się Karl, ale mówią na mnie Gwiżdżący Dzierżawca."""|I bardzo pokorne pozdrowienia dla pana. Nazywam się Karl, ale wołają na mnie Gwiżdżący Łobuz.| Bardzo skromne pozdrowienia, panie. Mam na imię Karl, ale mówią na mnie Gwizdający Miotacz.|I najskromniejsze pozdrowienie dla pana, proszę. Nazywam się Karl, ale nazywają mnie Świszczący Przyprawiający Trwogę.
Berserkers… But how'd they come to be here?|Berserkowie... Tylko skąd się tutaj wzięli?|Berserkerzy... Ale jak się tutaj dostali?| Berserkerzy... Ale jak się tu znaleźli?|Bestie… Ale jak oni tu się znaleźli?|Berserkerzy... Ale jak się tutaj dostali?| Berserkerzy... Ale jak się tu znaleźli?|Bestie… Ale jak oni tu się znaleźli?|Berserkowie... Ale jak się tutaj znaleźli?| Berserkerzy... Ale jak się tu znaleźli?|Bestie… Ale jak oni się tu znaleźli?|Berserkowie... Ale jak się tutaj znaleźli?| Berserkerzy... Ale jak się tu znaleźli?|Bestie... Ale jak oni się tu znaleźli?|Berserkerzy... Ale jak się tutaj dostali?| Berserkerzy... Ale jak oni tu trafili?|Bestie… Ale jak oni tu się znaleźli?|Berserkowie... Ale jak się tutaj znaleźli?| Berserkerzy... Ale jak się tu znaleźli?|'Berserkerzy... Ale jak oni się tu znaleźli?'|Berserkerzy... Ale jak się tutaj dostali?| Berserkerzy... Ale jak się znaleźli tutaj?|'Berserkerzy... Ale jak oni tu się znaleźli?'|Berserkowie... Ale jak się tutaj znaleźli?| Bezprawni... Ale jak się znaleźli tutaj?|Bestie... Ale jak się tu znaleźli?|Berserkerzy... Ale jak się tutaj dostali?| Berserkerzy... Ale jak oni tu trafili?|Szałowcy... Ale jakim cudem oni tu się znaleźli?|Berserkerzy... Ale jak się tutaj znaleźli?| Berserkerzy... Ale jak się znaleźli tu?|Bestiariusze... Ale jak się tu dostali?|Berserkerzy... Ale jak się tutaj znaleźli?| Berserkerzy… Ale jak się znalazły tutaj?|Szałowcy... Ale jakim sposobem tu się znaleźli?
Dammit. Probably marked one of the villagers.|Zraza. Pewnie naznaczył kogoś w wiosce.|Cholera. Prawdopodobnie oznaczył jednego z mieszkańców wioski.| Cholera. Prawdopodobnie oznaczyłem jednego z mieszkańców wioski.|Cholera. Prawdopodobnie oznaczyłem jednego z mieszkańców wioski.|Cholera. Prawdopodobnie oznaczył jednego z mieszkańców wioski.| Kurczę. Prawdopodobnie oznaczyłem jednego z wioski.|Cholera. Prawdopodobnie oznaczyłem jednego z mieszkańców wioski.|Cholera. Prawdopodobnie oznaczył jednego z mieszkańców wsi.| Cholera. Prawdopodobnie oznaczyłem jednego z mieszkańców wioski.|Cholera. Prawdopodobnie oznaczyłem jednego z mieszkańców wioski.|Cholera. Prawdopodobnie oznaczył jednego z mieszkańców wioski.| Kurczę. Prawdopodobnie oznaczyłem jednego z wioski.|Cholera. Prawdopodobnie oznaczyłem jednego z mieszkańców wioski.|Cholera. Prawdopodobnie oznaczył jednego z mieszkańców wioski.| Kurczę. Prawdopodobnie oznaczyłem jednego z wioski.|Cholera. Prawdopodobnie oznaczyłem jednego z wieśniaków.|Cholera. Prawdopodobnie oznaczył jednego z mieszkańców wioski.| Kurczę. Prawdopodobnie oznaczyłem jednego z wioski.|Cholera. Prawdopodobnie oznaczyłem jednego z mieszkańców wioski.|Cholera. Prawdopodobnie oznaczyło jednego z wieśniaków.| Cholera. Prawdopodobnie oznaczyłem jednego z mieszkańców wioski.|Cholera. Prawdopodobnie oznaczyłem jednego z mieszkańców wioski.|Cholera. Prawdopodobnie oznaczył jednego z mieszkańców wioski.| Cholera. Prawdopodobnie oznaczyłem jednego z wioskowców.|Cholera. Prawdopodobnie oznaczyłem jednego z wiosłochów.|Cholera. Prawdopodobnie oznaczył jednego z wieśniaków.| Cholera. Prawdopodobnie zaznaczyłem jednego z mieszkańców wioski.|Do diabła. Prawdopodobnie oznaczyłem jednego z wieśniaków.|Cholera. Prawdopodobnie oznaczył jednego z mieszkańców wsi.| Cholera. Prawdopodobnie oznaczyłem jednego z mieszkańców wioski.|Cholera jasna, najpewniej oznaczyłem jednego z wioski.|Cholera. Prawdopodobnie oznaczył jednego z mieszkańców wioski.| Kurczę! Prawdopodobnie oznaczyłem jednego z wsi.|Choleria. Prawdopodobnie oznaczyłem jednego z wiosłowiczów.
You've seen Udalryk. It won't be an easy fight.|Widziałaś Udalryka. To nie będzie łatwa walka.|Widziałeś Udalryka. To nie będzie łatwa walka.| Widziałeś Udalryka. Nie będzie to łatwa walka.|Widziałeś Udalka. Nie będzie to łatwa walka.|Widziałeś Udalryka. To nie będzie łatwa walka.| Widziałeś Udalryka. Nie będzie to łatwa walka.|Widziałeś Udalka. Nie będzie to łatwa walka.|Widziałeś Udalryka. To nie będzie łatwa walka.| Widziałeś Udalryka. Nie będzie to łatwa walka.|'Widziałeś Udalka. Nie będzie to łatwa walka.'|"""Widziałeś Udalryka. To nie będzie łatwa walka."""| Widziałeś Udalryka. Nie będzie to łatwa walka.|Widziałeś Udalsryka. Nie będzie to łatwa walka.|"""Widziałeś Udalryka. To nie będzie łatwa walka."""| Widziałeś Udalryka. Nie będzie to łatwa walka.|Zobaczyłeś Udalerika. Nie będzie to łatwa walka.|Widziałeś Udalryka. To nie będzie łatwa walka.| Widziałeś Udalryka. Nie będzie to łatwa walka.|Widziałeś Udalka. Nie będzie to łatwa walka.|"""Widziałeś Udalryka. To nie będzie łatwa walka."""| Widziałeś Udalryka. Nie będzie to łatwa walka.|Widziałeś Udalka. Nie będzie łatwa walka.|Widziałeś Udalryka. To nie będzie łatwa walka.| Widziałeś Udalryka. Nie będzie to łatwa walka.|Widziałeś Udalryka. Będzie to ciężka walka.|Widziałeś Udalryka. To nie będzie łatwa walka.| Widziałeś Udalryka. Nie będzie to łatwa walka.|Zobaczyłeś już Udalaruka. Nie będzie to łatwa walka.|"""Widziałeś Udalryka. To nie będzie łatwa walka."""| Widziałeś Udalryka. Nie będzie to łatwa walka.|'Zobaczyłeś już Udalgiera. Nie będzie to łatwa walka.'|Widziałeś Udalryka. To nie będzie łatwa walka.| Widziałeś Udalryka. Nie będzie to łatwa walka.|"""Widziałeś już Udala. Bitwa nie będzie łatwa."""
Clouds obscure the sky and turmoil grips the sea. Defend us, Great Mother.|Niebo jest pochmurne, a morze wzburzone. Matko, stań w naszej obronie.|Chmury zaciemniają niebo i nawałnica ogarnia morze. Broń nas, Wielka Matko.| 'Chmury zasnuwają niebo, a zamęt ogarnia morze. Bronić nas, Wielka Macio.'|Chmury przesłaniają niebo i burza ogarnia morze. Obroni nas, Wielka Matko.|Chmury zaciemniają niebo i nawałnica ogarnia morze. Broń nas, Wielka Matko.| 'Chmury zasnuwają niebo, a zamęt ogarnia morze. Bronić nas, Wielka Macio.'|Chmury przesłaniają niebo i burza ogarnia morze. Obroni nas, Wielka Matko.|Chmury przesłaniają niebo, a burza szaleje na morzu. Chroń nas, Wielka Matko.| 'Chmury zasnuwają niebo, a zamęt ogarnia morze. Bronić nas, Wielka Macio.'|Chmury przesłaniają niebo i burza ogarnia morze. Obroni nas, Wielka Matko.|Chmury zaciemniają niebo i nawałnica ogarnia morze. Broń nas, Wielka Matko.| 'Chmury zakrywają niebo, a zamęt ogarnia morze. Bronić nas, Wielka Macio.'|Chmury przesłaniają niebo i burza ogarnia morze. Obroni nas, Wielka Matko.|Chmury zaciemniają niebo i nawałnica ogarnia morze. Broń nas, Wielka Matko.| 'Chmury zasnuwają niebo, a zamęt ogarnia morze. Bronić nas, Wielka Macio.'|Chmury przesłaniają niebo i burza ogarnia morze. Obron nas, Wielka Matko.|Chmury zaciemniają niebo i nawałnica ogarnia morze. Broń nas, Wielka Matko.| 'Chmury zasnuwają niebo, a zamęt ogarnia morze. Bronią nas, Wielka Macierzy.'|Chmury przesłaniają niebo, a morze ogarnia burza. Obroni nas, Wielka Matko.|Chmury zaciemniają niebo i nawałnica ogarnia morze. Broń nas, Wielka Matko.| 'Chmury zasnuwają niebo, a zamęt ogarnia morze. Bronię nas, Wielka Macio.'|Chmury przesłaniają niebo i burza ogarnia morze. Obronij nas, Wielka Matko.|Chmury przesłaniają niebo, a burza szaleje na morzu. Chroń nas, Wielka Matko.| Chmury zakrywają niebo, a zamęt ogarnia morze. Broni nas, Wielka Macierzy.|Chmury przesłaniają niebo, a morze ogarnia burza. Obron nas Wielka Matko.|Chmury przesłaniają niebo i burza ogarnia morze. Chroń nas, Wielka Matko.| Chmury zakrywają niebo, a zamęt ogarnia morze. Bronię nas, Wielka Macio!|Chmury zakrywają niebo i zamęt ogarnia morze. Broni nas, Wielka Matko.|Chmury przesłaniają niebo i burza ogarnia morze. Chronić nas, Wielka Matko.| Chmury zakrywają niebo, a zamęt ogarnia morze. Bronią nas, Wielka Macio.|Chmury przesłaniają niebo a burza ogarnia morze. Obroni nas, Wielka Matko.|Chmury zasłaniają niebo i burza ogarnia morze. Broń nas, Wielka Matko.| 'Chmury zakrywają niebo, a zamęt ogarniał morze. Bronię nas, wielka matko.'|Chmury przesłaniają niebo i zamęt ogarnia morze. Obronic nas, Wielka Matko.
Water Hag|Baba wodna|Wodna Wiedźma| Wodna Wiedźma|Wodna Wróżka|Wodna Wiedźma| Wodna Wiedźma|Wodna Wróżka|Wodna Wiedźma| Wodna Wiedźma|Wodna Wróżka|Wodna Wiedźma| Wodna Wiedźma|Wodna Wróżka|Wodna Wiedźma| Wodna Czarownica|Wodna Wróżka|Wodna Wiedźma| Wodna Czarownica|Wodna Wróżka|Wodna Wiedźma|" ""Wodna Wiedźma"""|Wodna wróżka|Wodna Wiedźma| Wodna Czarownica|Wodna wiedźma.|Wodna Wiedźma| Wodna Czarownica|Wodna Baba|Wodna Wiedźma| Wodna Wiedźma|Wodna Wiedźma|Wodna Wiedźma|" ""Żabołak"""|Wodna Wróżka
What is it? That a name?|O co chodzi? To jakieś imię?|Co to jest? Czy to imię?| Co to jest? To imię?|Co to jest? To nazwa?|Co to jest? Czy to imię?| Co to jest? To imię?|Co to jest? To nazwa?|Co to jest? Czy to imię?| Co to jest? To imię?|Co to jest? To nazwa?|Co to jest? Czy to imię?| Co to jest? To imię?|Co to jest? To nazwa?|Co to jest? Czy to imię?| Co to jest? To imię?|Co to jest? To nazwa?|Co to jest? Czy to imię?| Co to jest? To nazwa?|Co to jest? To imię?|Co to jest? Czy to imię?| Co to jest? To imię?|Co to jest? To nazwa?|Co to jest? Czy to imię?| Co to jest? To imię?|Co to jest? To nazwa?|Co to jest? Czy to imię?| Co to jest? To imię?|Co to jest? Czyli imię?|Co to jest? Że to nazwa?| Co to jest? Czy to imię?|Co to jest? To imię?|Co to jest? Czy to imię?| Co to jest? Czy to imię?|Co to jest? To imię?
It's not drowners this time. It's Cerys. I'm looking for her.|Tym razem nie chodzi o utopce, tylko o Cerys. Szukam jej.|To nie są topielice tym razem. To Cerys. Szukam jej.| Tym razem to nie utopcy. To Cerys. Szukam jej.|To nie topielce tym razem. To Cerys. Szukam jej.|To nie topielice tym razem. To Cerys. Szukam jej.| Tym razem nie są to utopce. To Cerys. Szukam jej.|To nie topielce tym razem. To Cerys. Szukam jej.|To nie są topielice tym razem. To Cerys. Szukam jej.| Tym razem to nie utopcy. To Cerys. Szukam jej.|To nie topielce tym razem. To Cerys. Szukam jej.|To nie są topielice tym razem. To Cerys. Szukam jej.| Tym razem to nie tonący. To Cerys. Szukam jej.|To nie topielcy tym razem. To Cerys. Szukam jej.|To nie są topielice tym razem. To Cerys. Szukam jej.| Tym razem nie są to utopce. To Cerys. Szukam jej.|To nie topielce tym razem. To Cerys. Szukam jej.|To nie są topielice tym razem. To Cerys. Szukam jej.| Tym razem to nie są utopcy. To Cerys. Szukam jej.|To nie topielcy tym razem. To Cerys. Szukam jej.|To nie są nurkowie tym razem. To Cerys. Szukam jej.| Tym razem to nie utopcy. To Cerys. Szukam jej.|Nie są to topielce tym razem. To Cerys. Szukam jej.|To nie są nurkowie tym razem. To Cerys. Szukam jej.| Nie są to utopce tym razem. To Cerys. Szukam jej.|To nie topielec tym razem. To Cerys. Szukam jej.|To nie utopce tym razem. To Cerys. Szukam jej.| Tym razem to nie są utopcy. To Cerys. Szukam jej.|Nie są to topielec tym razem. To Cerys. Szukam jej.|To nie utopce tym razem. To Cerys. Szukam jej.| Nie są to tym razem topielce. To Cerys. Szukam jej.|Nie są to topielce tym razem. To Cerys. Szukam jej.|To nie topielice tym razem. To Cerys. Szukam jej.| Tym razem nie są to topielce. To Cerys. Szukam jej.|Nie są to topielce tym razem. To Cerys. Szukam jej.
Hm, now that you mentioned him… just noticed Hjalmar's not here.|Skoro już się zgadało... Nie widzę wśród was Hjalmara.|Hm, teraz kiedy o nim wspomniałeś... właśnie zauważyłem, że Hjalmara tu nie ma.| Hm, teraz, gdy wspomniałeś o nim... zauważyłem, że Hjalmar nie jest tutaj.|Hm, teraz jak o nim wspomniałeś... właśnie zauważyłem, że Hjalmara tu nie ma.|Hm, teraz kiedy o nim wspomniałeś... właśnie zauważyłem, że Hjalmara tu nie ma.| Hm, teraz, gdy wspomniałeś o nim... zauważyłem, że Hjalmar nie jest tutaj.|Hm, teraz jak o nim wspomniałeś... właśnie zauważyłem, że Hjalmara tu nie ma.|Hm, teraz kiedy o nim wspomniałeś... właśnie zauważyłem, że Hjalmara tu nie ma.| Hm, teraz jak wspomniałeś o nim… dopiero zauważyłem, że Hjalmar nie jest tutaj.|Hm, teraz jak o nim wspomniałeś... właśnie zauważyłem, że Hjalmara tu nie ma.|Hm, teraz kiedy o nim wspomniałeś... właśnie zauważyłem, że Hjalmara tu nie ma.| Hm, teraz, gdy wspomniałeś o nim… zauważyłem, że Hjalmar nie jest tutaj.|Hm, teraz jak o nim wspomniałeś... właśnie zauważyłem, że Hjalmara tu nie ma.|Hm, teraz kiedy o nim wspomniałeś... właśnie zauważyłem, że Hjalmara tu nie ma.| Hm, teraz, gdy wspomniałeś o nim... zauważyłem, że Hjalmar nie jest tutaj.|Hm, teraz gdy o nim wspomniałeś... właśnie zauważyłem, że Hjalmara tu nie ma.|Hm, teraz kiedy o nim wspomniałeś... właśnie zauważyłem, że Hjalmara tu nie ma.| Hm, teraz, gdy wspomniałeś o nim... zauważyłem, że Hjalmar nie jest tutaj.|Hm, teraz gdy o nim wspomniałeś... zauważyłem, że Hjalmara tu nie ma.|Hm, teraz kiedy o nim wspomniałeś... właśnie zauważyłem, że Hjalmara tu nie ma.| Hm, teraz, gdy wspomniałeś o nim... dopiero zauważyłem, że Hjalmar nie ma tu.|Hm, teraz jak o nim wspomniałeś... Zauważyłem właśnie, że Hjalmara tu nie ma.|Hm, teraz kiedy o nim wspomniałeś... właśnie zauważyłem, że Hjalmara tu nie ma.| Hm, teraz, gdy wspomniałeś o nim... dopiero zauważyłam, że Hjalmar tu nie ma.|Ciekawe, skoro o nim wspomniałeś... właśnie zauważyłem, że Hjalmara nie ma tutaj.|Hm, teraz kiedy o nim wspomniałeś... właśnie zauważyłem, że Hjalmara tu nie ma.| Hm, teraz jak go wspomniałeś... dopiero zauważyłam, że Hjalmar nie jest tutaj.|Och, teraz jak wspomniałeś o nim... właśnie zauważyłem, że Hjalmara tu nie ma.|Hm, teraz kiedy o nim wspomniałeś... zauważyłem, że Hjalmara tu nie ma.| Hm, teraz, gdy wymieniłeś jego imię... dopiero zauważyłam, że Hjalmar tu nie ma.|Hm, teraz gdy o nim wspomniałeś... zauważyłem, że Hjalmara tu nie ma.|Hm, teraz kiedy o nim wspomniałeś... Właśnie zauważyłem, że Hjalmara tu nie ma.| Hm, teraz, gdy wspomniałeś o nim... zauważyłem, że Hjalmar nie jest tutaj.|Hm, teraz jak o nim wspomniałeś... zauważyłem, że Hjalmara tu nie ma.
Sorry, not interested.|Nie jestem zainteresowany.|Przepraszam, nie jestem zainteresowany.| Przepraszam, nie jestem zainteresowany.|Przepraszam, nie jestem zainteresowany.|Przepraszam, nie jestem zainteresowany.| Przepraszam, nie jestem zainteresowany.|Przepraszam, nie jestem zainteresowany.|Przepraszam, nie jestem zainteresowany.| Przepraszam, nie jestem zainteresowany.|Przepraszam, nie jestem zainteresowany.|Przepraszam, nie jestem zainteresowany.| Przepraszam, nie jestem zainteresowany.|Przepraszam, nie jestem zainteresowany.|Przepraszam, nie jestem zainteresowany.| Przepraszam, nie jestem zainteresowany.|Przepraszam, nie jestem zainteresowany.|Przepraszam, nie jestem zainteresowany.| Przepraszam, nie jestem zainteresowany.|Przepraszam, nie jestem zainteresowany.|Przepraszam, nie jestem zainteresowany.| Przepraszam, nie jestem zainteresowany.|Przepraszam, nie jestem zainteresowany.|Przepraszam, nie jestem zainteresowany.| Przepraszam, nie jestem zainteresowany.|Przepraszam, nie jestem zainteresowany/a.|Przepraszam, nie jestem zainteresowany.| Przepraszam, nie jestem zainteresowany.|Przepraszam, nie jestem zainteresowany/a.|Przepraszam, nie jestem zainteresowany.| Przepraszam, nie jestem zainteresowany.|Przepraszam, nie jestem zainteresowany.|Przepraszam, nie jestem zainteresowany.| Przepraszam, nie jestem zainteresowany.|Przepraszam, nie jestem zainteresowany.
He probably thought they'd take him someplace safe.|Pewnie myślał, że zabiorą go w bezpieczne miejsce.|Prawdopodobnie myślał, że zabiorą go gdzieś, gdzie będzie bezpieczny.| Prawdopodobnie myślał, że zabiorą go gdzieś w bezpieczne miejsce.|Prawdopodobnie myślał, że zabiorą go w bezpieczne miejsce.|Prawdopodobnie sądził, że zabiorą go w jakieś bezpieczne miejsce.| Prawdopodobnie myślał, że zabiorą go gdzieś w bezpieczne miejsce.|Prawdopodobnie myślał, że zabiorą go w bezpieczne miejsce.|Prawdopodobnie myślał, że zabiorą go w jakieś bezpieczne miejsce.| Prawdopodobnie sądził, że zabiorą go gdzieś w bezpieczne miejsce.|Prawdopodobnie sądził, że zabiorą go w bezpieczne miejsce.|Prawdopodobnie myślał, że zabiorą go gdzieś, gdzie będzie bezpieczny.| Prawdopodobnie myślał, że zabiorą go gdzieś w bezpieczne miejsce.|Prawdopodobnie myślał, że zabiorą go w bezpieczne miejsce.|Prawdopodobnie myślał, że zabiorą go gdzieś, gdzie będzie bezpieczny.| Prawdopodobnie myślał, że zabiorą go w bezpieczne miejsce.|Prawdopodobnie sądził, że zabiorą go w bezpieczne miejsce.|On prawdopodobnie myślał, że zabiorą go gdzieś, gdzie będzie bezpieczny.| Prawdopodobnie myślał, że zabiorą go w bezpieczne miejsce.|Prawdopodobnie myślał, że zabiorą go w bezpieczne miejsce.|Prawdopodobnie sądził, że zabiorą go w jakieś bezpieczne miejsce.| On prawdopodobnie myślał, że zabiorą go gdzieś w bezpieczne miejsce.|Prawdopodobnie myślał, że zabiorą go w bezpieczne miejsce.|Prawdopodobnie sądził, że zabiorą go w jakieś bezpieczne miejsce.| On prawdopodobnie myślał, że zabiorą go gdzieś w bezpieczne miejsce.|Prawdopodobnie myślał, że zabiorą go w bezpieczne miejsce.|Prawdopodobnie myślał, że zabiorą go w jakieś bezpieczne miejsce.| On prawdopodobnie sądził, że zabiorą go gdzieś w bezpieczne miejsce.|Prawdopodobnie myślał, że zabiorą go w bezpieczne miejsce.|Prawdopodobnie sądził, że zabiorą go w jakieś bezpieczne miejsce.| Prawdopodobnie myślał, że zaprowadzą go gdzieś w bezpieczne miejsce.|Prawdopodobnie myślał, że zabiorą go w bezpieczne miejsce.|On prawdopodobnie myślał, że zabiorą go gdzieś, gdzie będzie bezpieczny.| On prawdopodobnie myślał, że zabiorą go gdzieś w bezpieczne miejsce.|Prawdopodobnie myślał, że zabiorą go w bezpieczne miejsce.
What?|Co?|Co?| Co?|Co?|Co?| Co?|Co?|Co?| Co?|Co?|Co?| Co?|Co?|Co?| Co?|Co?|Co?| Co?|Co?|Co?| Co?|Co?|Co?| Co?|Co?|Co?| Co?|Co?|Co?| Co?|Co?|Co?| Co?|Co?
