en_text|pl_text|bielik_translation|mixtral-8x22B_translation|llama3.1_translation|google_translation
Elemental Empires - by Gianbattista.|„Mocarstwa żywiołów”, Gianbattista.|"""Empire Umiejętności - autorstwa Gianbattisty.""

**Ważne uwagi:**
1. Tekst oryginalny zawiera błąd w nazwie elementu (""Empowerment""), który został prawidłowo przetłumaczony jako ""Umiejętności"" (element umiejętności).
2. Nazwisko autora ""Gianbattista"" zostało zachowane bez zmian.
3. Pamiętaj, że ten tekst jest przeznaczony do zastosowania w grze planszowej, a nie ogólnej komunikacji. Zakładamy tu kontekst zrozumiały tylko w danym środowisku gry.

Jeśli potrzebujesz dodatkowych informacji lub interpretacji, proszę daj mi znać!"| Pierwotne Imperia - twórczość Gianbattisty.|Światy elementarne - przez Jan Baptysta.|Imperia Żywiołów - autorstwa Gianbattisty.
Swords, eh? Have it your way.|Na miecze? Jak chcesz.|Miecze, co? Miej swoją wolę.| Miecze, no tak? Niech tak będzie.|Szable, hmm? Miej to po swojemu.|Miecze, co? Zrób to po swojemu.
Who, then?|To kto?|Kto więc?| Kto wtedy?|Kto wtedy?|Kto zatem?
Greetings, White One.|Witaj, białowłosy.|Pozdrowienia, Biały Jeden.| Witaj, Biały.|Witaj, Biały.|Witaj, Biały.
Got back your stolen horn - and I, uh, killed the thieves.|Odzyskałem skradziony róg – i zabiłem złodziei.|Odzyskałem twoją skradzioną rogówkę - a ja, eh, zabiłem złodziei.| Odzyskałem twoje skradzione rogi - i, uhm, zabiłem złodziei.|Odzyskałeś swoją skradzioną róg - a ja, e... zabiłem złodziei.|Odzyskałem twój skradziony róg - i, uhm, zabiłem złodziei.
The guest room. Come.|Chodźmy do pokoju gościnnego.|Pokój gościnny. Witamy.| Pokój gościnny. Proszę.|Pokój gościnny. Chodź.|Pokój gościnny. Przyjdź.
Enter. Jarl's still speakin' to his seer, but they should finish soon.|Wejdź. Jarl rozmawia jeszcze z wróżem. Zaraz powinien skończyć.|Wpisz. Jarl wciąż rozmawia ze swoim wróżbitą, ale powinni skończyć niedługo.| Włóż się, Jarl ciągle rozmawia ze swoim prorokiem, ale powinni oni wkrótce skończyć.|Wejdźcie. Jarl wciąż rozmawia ze swoim wieszczem, ale powinni szybko skończyć.|Wejdź. Jarl wciąż rozmawia ze swoim jasnowidzem, ale niedługo powinni skończyć.
Save me!|Ratunku!|Uratuj mnie!| 'Uratuj mnie!'|Ratuj mnie!|Ratuj mnie!
We learned something about Ciri.|Dowiedzieliśmy się czegoś o Ciri.|Dowiedzieliśmy się czegoś o Ciri.| Dowiedzieliśmy się czegoś o Ciri.|Poznaliśmy coś o Cirze.|Dowiedzieliśmy się czegoś o Ciri.
We're gonna choke and die.|A mogliśmy zostać na uczcie.|"""Mamy zamiar się dławić i umrzeć."""| 'Zadusimy się i umrzemy.'|Zdechliśmy.|Udusimy się i umrzemy.
Go to the wake with me?|Zechcesz mi towarzyszyć na uczcie?|Pójdziesz ze mną na czuwanie?| Poprowadź mnie na czuwanie?|Czy pójdziesz ze mną na czuwanie?|Pójdziesz ze mną na stypę?
Told ye, he's a witcher, a cunning man. He knows these things!|Mówiłem ci, że to wiedźmin. Czarownik. Wie takie rzeczy.|Mówiłem ci, on jest wiedźminem, przebiegłą bestią. Zna te rzeczy!| Mówiłem wam, to jest wiedźmin, chytry człowiek. On to wie!|Powiedziałem wam, że jest wiedźminem, człowiekiem przebiegłym. Wie takie rzeczy!|Mówiłem ci, że to wiedźmin, przebiegły człowiek. On takie rzeczy wie!
Think the djinn killed him?|To dżinn go zabił?|Myślisz, że dżin zabił go?| 'Może dżinn go zabił?'|Czy sądzisz, że dżin go zabił?|Myślisz, że zabił go dżin?
Come. There's a ledge outside this window. We must pass along it.|Podejdź tutaj. Wyjdziemy przez okno i dalej przedostaniemy się po gzymsie.|Chodź. Jest gzyms na zewnątrz tej okna. Musimy przejść wzdłuż niego.| 'Chodź. Jest lista na zewnątrz tego okna. Musimy przejść po niej.'|Chodź. Jest tam parapecie przy tym oknie. Musimy przejść tędy.|Chodź. Za tym oknem jest półka. Musimy przejść wzdłuż niej.
Love.|Na miłość.|Miłość.| Miłość.|Miłość.|Miłość.
Thanks, mate. Fayrlund - you know the place? I've me forge there. Come and visit, I'll have a reward for ye.|Dzięki, chłopie... Wiesz, gdzie jest Ferlund? Mam tam kuźnię. Wpadnij w odwiedziny, a dam ci coś w nagrodę.|Dzięki, stary. Fayrlund - znasz to miejsce? Mam tam swoją kuźnię. Wpadnij z wizytą, czeka cię nagroda.| 'Dziękuję, kolego. Fayrlund - znasz to miejsce? Mam tam swoją kuźnię. Zawitaj, będę mieć nagrodę za Ciebie.'|Dziękuję, stary. Fayrlund - znasz to miejsce? Mam tam swoją kuźnię. Przyjdź, przyjmę Cię gościnnie. W nagrodę dostaniesz coś wartościowego'|Dzięki, kolego. Fayrlund - znasz to miejsce? Mam tam kuźnię. Przyjdź i odwiedź, będę miał dla ciebie nagrodę.
Welcome to the Temple of Freya. I'm Kurisu. How can I help?|Witaj w świątyni Freyji. Jestem Kurisu. W czym mogę ci pomóc?|Witaj w Świątyni Frei. Jestem Kurisu. W czym mogę pomóc?| Witamy w Świątyni Frei. Jestem Kurisu. W jakim coś pomóc?|Witamy w Świątyni Freyi. Jestem Kurisu. W czym mogę pomóc?|Witaj w Temple of Freya. Jestem Kurisu. Jak mogę pomóc?
And a most humble greeting to you, sir. Name's Karl, but Whistling Whacker they call me.|Kłaniam się uniżenie. Jestem Karl, zwany Świszczącą Pałą.|"""Bardzo uniżone pozdrowienia dla pana. Nazywam się Karl, ale wołają mnie też Wyjący Łamignat."""|" ""I najprawdopodobniej pryncypialne pozdrowienie dla Pana. Mam na imię Karl, ale zwą mnie Świszcząca Chusta."""|I najpokorniejsze pozdrowienia dla ciebie, sir. Nazywam się Karl, ale ludzie mówią o mnie Bzykający Zbir.|I najskromniejsze pozdrowienia dla pana. Nazywam się Karl, ale nazywają mnie Whistling Whacker.
Berserkers… But how'd they come to be here?|Berserkowie... Tylko skąd się tutaj wzięli?|Berserkers… Ale jak się tu znaleźli?| Berserkerzy… Ale skąd oni tu trafili?|'Berserkerzy… Ale jak oni tu trafili?'|Berserkerzy... Ale skąd się tu wzięli?
Dammit. Probably marked one of the villagers.|Zraza. Pewnie naznaczył kogoś w wiosce.|Cholera. Prawdopodobnie oznaczył jednego z mieszkańców wsi.| Zgn Clarkchanie. Prawdopodobnie opisuję jednego z mieszkańców wsi.|Do diabła, prawdopodobnie oznaczyłem jednego z mieszkańców.|Do cholery. Prawdopodobnie oznaczył jednego z mieszkańców wioski.
You've seen Udalryk. It won't be an easy fight.|Widziałaś Udalryka. To nie będzie łatwa walka.|Widziałeś Udalryka. To nie będzie łatwa walka.| Widziałeś Udalryka. Będzie to niełatwa walka.|"""Widziałeś już Udalkirka-To nie będzie łatwa walka."""|Widziałeś Udalryka. To nie będzie łatwa walka.
Clouds obscure the sky and turmoil grips the sea. Defend us, Great Mother.|Niebo jest pochmurne, a morze wzburzone. Matko, stań w naszej obronie.|Chmury zaciemniają niebo, a burza szaleje na morzu. Chroń nas, Wielka Matko.| 'Chmury zasnuwają niebo, a zamęt ogarnia morze. Chroni nas, Wielka Matko.'|'Chmury przesłaniają niebo, a burza szaleje w morzu. Broni nas Wielka Matko.'|Chmury przesłaniają niebo, a zamęt ogarnia morze. Broń nas, Wielka Matko.
Water Hag|Baba wodna|Wodna wiedźma| 'Wodna Babka'|"""Wróżka wodna"""|Wodna wiedźma
What is it? That a name?|O co chodzi? To jakieś imię?|Co to jest? Czy to nazwa?| Co to jest? Czy to imię?|Co to jest? Jest w tym jakiś sens?|Co to jest? To imię?
It's not drowners this time. It's Cerys. I'm looking for her.|Tym razem nie chodzi o utopce, tylko o Cerys. Szukam jej.|To nie są płetwonurkowie tym razem. To jest Cerys. Szukam jej.| Nie są to utopce tym razem. To Cerys. Szukam jej.|To nie topielcy tym razem. To Cerys. Szukam jej.|Tym razem to nie utopce. To Cerys. Szukam jej.
Hm, now that you mentioned him… just noticed Hjalmar's not here.|Skoro już się zgadało... Nie widzę wśród was Hjalmara.|Hm, teraz kiedy o nim wspomniałeś... dopiero zauważyłem, że Hjalmara tu nie ma.| Hm, teraz, gdy wspomniałeś o nim… zauważyłem, że Hjalmar nie ma tu.|"""Hmm, teraz gdy o nim wspomniałeś... zauważyłem, że Hjalmara tu nie ma."""|Hm, skoro o nim wspomniałeś… właśnie zauważyłem, że Hjalmara tu nie ma.
Sorry, not interested.|Nie jestem zainteresowany.|Przepraszam, nie jestem zainteresowany.| Przepraszam, nie interesuje mnie.|Przepraszam, nie jestem zainteresowany.|Przykro mi, nie jestem zainteresowany.
He probably thought they'd take him someplace safe.|Pewnie myślał, że zabiorą go w bezpieczne miejsce.|On prawdopodobnie myślał, że zabiorą go gdzieś w bezpieczne miejsce.| Prawdopodobnie sądził, że zaprowadzą go gdzieś w bezpieczne miejsce.|Prawdopodobnie sądził, że zabiorą go w bezpieczne miejsce.|Pewnie myślał, że zabiorą go w jakieś bezpieczne miejsce.
What?|Co?|Co?| Co?|Co?|Co?
I know you feel better, but you're yet too week to embark on a journey.|Wiem, że czujesz się lepiej, ale jesteś jeszcze zbyt słaba, żeby wyruszać w podróż.|Wiem, że czujesz się lepiej, ale jesteś nadal zbyt słaby/słaba, aby wyruszyć w podróż.| Wiem, że czujesz się lepiej, ale jeszcze nie masz sił na odbycie podróży.|Wiem, że się lepiej czujesz,但是 podroże jesteś zbyt słaby, aby wyruszyć w podróż.|Wiem, że czujesz się lepiej, ale jesteś jeszcze za słaby, żeby wyruszyć w podróż.
Wouldn't mind a look at your stock.|Chętnie się rozejrzę.|Nie miałbym nic przeciwko rzuceniu okiem na twój stan magazynowy.| Nie byłbym przeciwny przeglądowi twojego asortymentu.|Nie miałbym nic przeciwko zajrzeniu do twoich towarów.|Nie miałbym nic przeciwko obejrzeniu Twoich akcji.
Silence. 'Tis her decision.|Milczcie. To jej decyzja.|Cisza. To jest jej decyzja.| Cisza. To jej decyzja.|Milczenie. Jest to jej decyzja.|Cisza. To jej decyzja.
The witcher known as the White Wolf, I know. They tell stories about you every day 'round here. Lookin' for an open seat at the table?|Wiedźmin zwany Białym Wilkiem, wiem. Już zdążyli cię tu obgadać. Szukasz wolnego miejsca przy stole?|Wiedźmin znany jako Biały Wilk? Wiem. Opowiadają tu o tobie różne historie. Szukasz wolnego miejsca przy stole?| Translation: 'Wiedźmin znany jako Biały Wilk, znają cię. O tobie opowiadają historie tutaj codziennie. Szukasz wolnego miejsca przy stole?'|Wiedźmin zwany Białym Wilkiem, znam. Opowiadają o tobie każdego dnia w tych okolicach. Szukasz wolnego miejsca przy stole?|Wiedźmin znany jako Biały Wilk, wiem. Opowiadają o tobie historie każdego dnia &#39;w okolicy. Szukasz wolnego miejsca przy stole?
She's always liked competin' with me. I've always won in the end so far, though.|Zawsze lubiła się ze mną ścigać. Ale dotąd to zawsze ja wygrywałem.|Ona zawsze lubiła ze mną konkurować. Do tej pory udawało mi się wygrać.| Zawsze lubiła ze mną konkurować. Zawsze jednak wygrywałem jak na razie.|Zawsze lubiła ze mną rywalizować. Na razie jednak zawsze wychodziłem zwycięsko.|Zawsze lubiła ze mną rywalizować. Ale jak dotąd zawsze wygrywałem.
Lost to a witcher, Sparrowhawk. That'd likely happen to any of us.|Przegrałaś z wiedźminem, Przepiórko. Każdy z nas by przegrał.|Stracony dla wiedźmina, krogulec. To mogłoby się przydarzyć każdemu z nas.| 'Pokonany przez człowieka-wiedźmina, Jastrzębią Łapę. Możliwe, że by się tak wszystkim z nas przydarzyło.'|"""Przegrałeś z wiedźminem, Sępia Strzała. Nastąpiłoby to zapewne każdemu z nas."""|Stracony przez wiedźmina, Krogulec. To prawdopodobnie przytrafiłoby się każdemu z nas.
Wouldn't mind waiting if I had a free year or two. Sadly, I'm in a hurry.|Gdybym miał wolny rok czy dwa, mógłbym poczekać. Ale niestety się spieszę.|Nie miałbym nic przeciwko czekaniu, gdybym miał wolny rok lub dwa. Niestety, jestem w pośpiechu.| Nie miałbym nic przeciwko czekaniu, gdybym miał rok lub dwa wolnego czasu. Niestety, jestem w pośpiechu.|Nie miałbym nic przeciwko, gdybym miał wolny rok lub dwa. Niestety, jestem w pośpiechu.|Nie miałbym nic przeciwko czekaniu, gdybym miał wolny rok lub dwa. Niestety, spieszę się.
Why not? 'Cause I don't shriek threats and warn ye of your death? Well, that's simple enough - plain bored o' that.|Bo co? Bo nie wykrzykuję gróźb i nie straszę cię śmiercią? Cóż, zwyczajnie mi się znudziło.|"""Dlaczego nie? Bo nie wrzeszczę gróźb i nie ostrzegam was przed śmiercią? Cóż, to jest proste - po prostu jestem znudzony tym."""| Dlaczego nie? Bo nie krzyczę po to, by zagrażać i ostrzegać cię przed śmiercią? No, to jest na tyle proste – prostownie się nudziłem tego.|Czemu nie? Bo nie wy krzyczę gróźby i nie ostrzegam was przed śmiercią? To proste - po prostu jestem znużony tym.|Czemu nie? Bo nie krzyczę gróźb i nie ostrzegam was przed śmiercią? Cóż, to dość proste - po prostu mnie to nudzi.
Remember the wild men I sparred with? The ones we called Vildkaarls?|Pamiętasz tych osiłków, z którymi się biłem na pięści? Tych, co nazywają vildkaarlami?|Pamiętasz dzikich mężczyzn, z którymi się potykałem? Tych, których nazywaliśmy Vildkaarls?| Pamiętasz dzikich mężczyzn, z którymi toczyłem pojedynki? Tych, których nazywaliśmy Vildkaarlsami?|Pamiętasz dzikich mężczyzn z którymi walczyłem? Tych których zwaliśmy Wilkojeleniami?|Pamiętasz dzikich ludzi, z którymi się biłem? Tych, których nazywaliśmy Vildkaarls?
Why do you want this power?|Do czego ci ta moc?|Dlaczego pragniesz tej władzy?| Dlaczego chcesz tę moc?|Dlaczego chcesz tej mocy?|Dlaczego chcesz mieć tę moc?
Long live Hjalmar!|Wiwat Hjalmar!|Niech żyje długo Hjalmar!| Niech żyje Hjalmar!|Niech żyje Hjalmar!|Niech żyje Hjalmar!
Have a look at this diagram.|Rzuć okiem na ten schemat.|Spójrz na ten diagram.| Popatrz na ten diagram.|Zrób rysunek.|Przyjrzyj się temu diagramowi.
Maybe that's not entirely true. Cave of Dreams - supposed to be a dangerous place.|Może się myliłeś. Jaskinia Snów to podobno niebezpieczne miejsce.|Może to nie jest całkiem prawda. Jaskinia Snów - uważana za niebezpieczne miejsce.| Może to nie jest zupełnie prawda. Grota Marzeń - udaje się, że jest niebezpiecznym miejscem.|Może to nie do końca prawda. Grota snów - rzekomo jest to niebezpieczne miejsce.|Może to nie do końca prawda. Cave of Dreams - miało być niebezpiecznym miejscem.
Did you learn anything in Velen?|Dowiedziałeś się czegoś w Velen?|"""Czego się nauczyłeś w Velen?"""| Czy dowiedziałeś się czegokolwiek w Velen?|Czyś coś się nauczył w Velen?|Czy nauczyłeś się czegoś w Velen?
We'll see what our new king says. But it'd be strange to see those longships just sit in the harbor.|Zobaczymy, co powie nowy król. Ale zdziwiłbym się, gdyby drakkary zostały w porcie.|Zobaczymy, co powie nasz nowy król. Dziwnie byłoby widzieć te długie statki po prostu siedzące w porcie.| Zobaczymy, co powie nasz nowy król. Ale byłoby dziwne widzieć te długie łodzie prostu siedzące w porcie.|Zobaczymy co nasz nowy król powie. Ale byłoby dziwnym widzieć te długie statki stojące właśnie w porcie.|Zobaczymy, co powie nasz nowy król. Ale byłoby dziwne, gdyby te długie statki po prostu stały w porcie.
Ready when you are.|Jestem gotowy.|Gotowy kiedy jesteś.| Gotowy, kiedy Ty.|Gotowy, kiedy ty.|Jesteśmy gotowi, kiedy Ty będziesz.
Celandine would dull the pain.|Jaskółcze ziele uśmierzyłoby ból.|Cytrynian mrówczanu znieczulałby ból.| *Czemężnik by złagodził ból.*|Krawężnik przytłumi ból.|Glistnik uśmierza ból.
Custom demands pilgrims make an offering of their own blood before the tree. Craven surely did so… Unless he lacked not only courage but respect for Freya as well.|Zwyczaj nakazuje, by pielgrzymi złożyli pod drzewem ofiarę z własnej krwi. Tchórz też tak pewnie zrobił... Chyba że brak mu było nie tylko odwagi, ale i szacunku dla Freyji.|"""Pielgrzymi składający niestandardowe prośby ofiarowują własną krew pod drzewem. Na pewno tak zrobił Craven, chyba że brakowało mu nie tylko odwagi, ale i szacunku dla Frei."""| Tradycja wymaga, żeby pielgrzymi złożyli ofiarę ze swojej własnej krwi przed drzewem. Klaśnięciem na pewno tak uczynił... Chyba że poza odwagą brakowało mu również szacunku do Frei.|'Zwyczaje zobowiązują pielgrzymów do złożenia własnej krwi jako ofiary bogini przed drzewem. Z pewnością to uczynił i Crevan… chyba że brakowało mu nie tylko odwagi, lecz również szacunku dla bogini Freyi.'|Zwyczaj wymaga, aby pielgrzymi składali ofiarę z własnej krwi przed drzewem. Craven z pewnością to zrobił… Chyba że zabrakło mu nie tylko odwagi, ale i szacunku dla Freyi.
Talking won't get me anywhere…|Rozmowa chyba nic tu nie da...|Mówienie nigdzie mnie nie zaprowadzi...| Rozmawianie nie przyniesie mi nic...|...rozmowa niczego mi nie da.|Gadanie nic mi nie da…
There's no sense in going if you don't stay calm.|Musisz zachować spokój, inaczej w ogóle nie ma sensu się za to zabierać.|Nie ma sensu wyjeżdżać, jeśli się nie zachowa spokoju.| Nie ma sensu iść, jeśli nie zapanujesz nad sobą.|Nie ma sensu jechać jeśli się nie uspokoi.|Nie ma sensu iść, jeśli nie zachowasz spokoju.
Me gran always adds mallow.|Moja babka dodaje jeszcze prawoślazu.|Moja babcia zawsze dodaje malwę.| «Moja babcia zawsze dodaje słonecznicę.»|Babcia zawsze dodaje marcipan.|Moja babcia zawsze dodaje malwę.
First time for everything.|Kiedyś musi być ten pierwszy raz.|Pierwszy raz dla wszystkiego.| Na każdą rzecz przychodzi pierwszy raz.|Po raz pierwszy dla wszystkiego.|Pierwszy raz na wszystko.
Thank you. Nice to see you again.|Dziękuję. Miło znów cię widzieć.|Dziękuję. Miło cię znowu widzieć.| Dziękuję. Miło Cię znowu zobaczyć.|Dziękuję. Miło cię znowu widzieć.|Dziękuję. Miło cię znowu widzieć.
And I'll be on my guard.|Więc będę czujny.|I będę czujny.| I będę ostrożny.|Będę czuwać.|I będę czujny.
*Sighs* Ehh.|Ech.|Wzdycha *Ehh.*| *Wzdycha* Ej|*Szczęknięcie.* Ech.|*Westchnięcie* Ech.
I'm Geralt. A witcher.|Jestem Geralt, wiedźmin.|Jestem Geralt. Wiedźmin.| Jestem Geraltem. Wiedźminem.|Jestem Geralt. Wiedźmin.|Jestem Geralt. Wiedźmin.
What'd he do to you, Simun?|Czym ci podpadł ten człowiek, Simun?|Co on ci zrobił, Simun?| Co on zrobił Ci, Simunie?|Co on ci zrobił, Simun?|Co on ci zrobił, Simun?
Why won't they let you examine the zone?|Dlaczego cię nie dopuszczają?|Dlaczego nie pozwolą ci zbadać strefy?| Dlaczego nie pozwalają Ci zbadać strefy?'|Dlaczego nie pozwolą ci zbadać tej strefy?|Dlaczego nie pozwalają ci zbadać strefy?
You'd be surprised. But you needn't tell me if you don't want to.|Hm, mógłbyś się zdziwić. Ale nie musisz mi mówić, jeśli nie chcesz.|Byłbyś zaskoczony. Ale nie musisz mi mówić, jeśli nie chcesz.| Będiesz zaskoczony/zaskoczona. Ale nie potrzebujesz mi mówić, jeśli nie chcesz.|Będziesz zdziwiony. Ale nie musisz mi mówić, jeśli nie chcesz.|Byłbyś zaskoczony. Ale nie musisz mi mówić, jeśli nie chcesz.
Sven must be banished before the jarl learns of this.|Trzeba wygnać Svena, zanim jarl się dowie.|Svena należy wygnać, zanim jarl dowie się o tym.| Sven musi zostać wypędzony zanim jarl dowiedzie się o tym.|Svend musi być wygnany zanim jarl się o tym dowie.|Svena należy wygnać zanim jarl się o tym dowie.
Now we walk only as far as the tree the goddess planted. We place our offerings and make our pleas before it.|A teraz możemy przejść tylko do drzewa, które zasiała sama bogini. Tam składamy nasze dary i prośby.|Teraz chodzimy tylko tak daleko, jak do drzewa, które bogini zasadziła. Składamy nasze ofiary i składamy prośby przed nim.| Teraz chodzimy tylko tak daleko, jak drzewo, które posadziła bogini. Składamy nasze ofiary i zanosimy modły przed nim.|Teraz idziemy stąd aż do drzewa posadzonego przez boginię. Składamy nasze ofiary i wysławiamy ją przed nim.|Teraz idziemy tylko tak daleko, jak drzewo zasadziła bogini. Składamy nasze ofiary i zanosimy nasze prośby przed nim.
So her becoming queen of all Skellige - it's changed nothing?|Czyli nic się nie zmieniło po tym, jak została królową całego Skellige?|Więc jej zostanie królową wszystkich Skelligów - nic się nie zmieniło?| Tak więc jej zostanie królową całego Skellige - to nic nie zmieniło?|Więc to, że została królową całego Skellige - nie zmieniło nic?|Czyli to, że została królową całego Skellige, niczego nie zmieniło?
What do I do to complete the Path of Warriors? Remind me.|Przypomnij mi, co trzeba zrobić, żeby zakończyć próbę na szlaku wojowników?|Co muszę zrobić, aby ukończyć Ścieżkę Wojowników? Przypomnij mi.| Co muszę zrobić, żeby ukończyć Ścieżkę Wojowników? Przypomnij mi.|Co muszę zrobić, aby ukończyć Ścieżkę wojowników? Przypomnij mi.|Co mam zrobić, aby ukończyć Path of Warriors? Przypomnij mi.
Fine… We'll do as you say. If the need arises, I can cast spells from up here.|Dobrze. Zrobimy, jak mówisz. Jakby co, będę cię wspierać zaklęciami z murów.|Dobrze... Zrobimy jak mówisz. Jeśli zajdzie potrzeba, mogę rzucać zaklęcia stąd.| Dobrze... Postąpimy tak, jak pan mówi. Jeśli zajdzie potrzeba, mogę rzucać zaklęcia z tym miejsca.|W porządku... Zrobimy jak mówisz. Jeśli zajdzie potrzeba, potrafię rzucić czary stąd.|Dobrze… Zrobimy, jak mówisz. Jeśli zajdzie taka potrzeba, mogę rzucać czary stąd.
Just make sure you stay vigilant, listen to what I say.|Ważne, żebyś był czujny i słuchał moich poleceń.|Tylko upewnij się, że pozostaniesz czujny, słuchając tego, co mówię.|" ""Proszę, zawsze bądź czujny i słuchaj tego, co mówię."""|Tylko upewnij się, że pozostaniesz czujny, słuchaj tego co mówię.|Tylko zachowajcie czujność, posłuchajcie, co mówię.
What do I look for? Did Aki have anything that'll help me recognize him? Something he was wearing that could survive all this time under water?|Aki miał przy sobie coś, po czym mógłbym go rozpoznać? Coś, co wytrzymałoby pod wodą tyle czasu?|Czego szukam? Czy Aki miał coś, co pomoże mi go rozpoznać? Coś, co mogło przetrwać tak długi czas pod wodą?| Co powinienem szukać? Aki miał cokolwiek, co pomoże mi go rozpoznać? Czy coś, co miał na sobie, które mogłoby przetrwać tyle czasu pod wodą?|Co powinienem szukać? Czy Aki miał coś co mogłoby mi pomóc rozpoznać go? Czy mógł mieć na sobie coś czego stać się miało przy tak długim czasie w wodzie?|Czego mam szukać? Czy Aki miał coś, co pomoże mi go rozpoznać? Coś, co miał na sobie i co mogło przetrwać cały ten czas pod wodą?
So you don't actually know if it works, how it works?|Czyli właściwie nie wiadomo, czy ona działa?|Więc tak naprawdę nie wiesz, czy to działa, jak to działa?| Tak więc nie naprawdę wiesz, czy to działa, jak to działa?.|'Czyli tak naprawdę nie wiesz czy działa i jak to działa?'|Więc tak naprawdę nie wiesz czy to działa, ani jak to działa?
