en_text|pl_text|bielik_translation_0.0|bielik_translation_0.1|bielik_translation_0.2|bielik_translation_0.3|bielik_translation_0.4|bielik_translation_0.5|bielik_translation_0.6|bielik_translation_0.7|bielik_translation_0.8|bielik_translation_0.9|bielik_translation_1.0
Mhm. Guess I gotta investigate…|Mhm. A więc śledztwo...|Mhm. So the investigation...|Mhm. So the investigation...|Mhm. So the investigation...|Mhm. So the investigation...|Mhm. So the investigation...|Mhm. So the investigation...|Mhm. So the investigation...|Mhm. So the investigation...|Mhm. So the investigation...|Mhm. So the investigation...|Hmm. So the investigation...
Elemental Empires - by Gianbattista.|„Mocarstwa żywiołów”, Gianbattista.|"""The Powers of the Elements, Gianbattista."""|"""The Powers of the Elements, Gianbattista."""|"""Master of Elements,"" Gianbattista."|"""The Powers of the Elements,"" Gianbattista."|"""Master of Elements,"" Gianbattista."|"""The Powers of the Elements, Gianbattista."""|"""Master of Elements,"" Gianbattista."|"""The Powers of the Elements, Gianbattista."""|"""The Powers of the Elements, Gianbattista."""|"""The Powers of the Elements, Gianbattista."""|"""The Powers of the Elements, Gianbattista."""
Swords, eh? Have it your way.|Na miecze? Jak chcesz.|With swords? As you want.|With swords? As you want.|With swords? As you want.|With swords? As you want.|With swords? As you want.|With swords? As you want.|With swords? As you want.|With swords? As you want.|With swords? As you want.|For swords? As you want.|With swords? Whichever way you want.
Who, then?|To kto?|Who to?|Who to?|Who to?|Who to?|Who is it to?|Who to?|Who is it to?|Who to?|Who to?|Who is it to?|Who is it to?
Greetings, White One.|Witaj, białowłosy.|Hello, white-haired one.|Hello, white-haired one.|Hello, white-haired one.|Hello, white-haired one.|Hello, white-haired one.|Hello, white-haired one.|Hello, white-haired one.|Hello, fair-haired one.|Hello, white-haired one.|Hello, white-haired one.|Hello, white-haired one.
Got back your stolen horn - and I, uh, killed the thieves.|Odzyskałem skradziony róg – i zabiłem złodziei.|I retrieved the stolen horn - and killed the thieves.|I retrieved the stolen horn - and killed the thieves.|I retrieved the stolen horn - and killed the thieves.|I retrieved the stolen horn - and killed the thieves.|I retrieved the stolen horn - and killed the thieves.|I retrieved the stolen horn - and killed the thieves.|I recovered the stolen horn - and killed the thieves.|I regained the stolen horn - and killed the thieves.|I regained the stolen horn - and killed the thieves.|I retail the stolen horn - and killed the thieves.|I retrieved the stolen horn - and killed the thieves.
The guest room. Come.|Chodźmy do pokoju gościnnego.|Let's go to the guest room.|Let's go to the guest room.|Let's go to the guest room.|Let's go to the guest room.|Let's go to the guest room.|Let's go to the guest room.|Let's go to the guest room.|Let's go to the guest room.|Let's go to the guest room.|Let's go to the guest room.|Let's go to the guest room.
Enter. Jarl's still speakin' to his seer, but they should finish soon.|Wejdź. Jarl rozmawia jeszcze z wróżem. Zaraz powinien skończyć.|Enter. Jarl is still talking with the seer. He should finish soon.|Enter. Jarl is still talking with the seer. He should finish soon.|Enter. Jarl is still talking with the seer. He should finish soon.|Enter. Jarl is still talking with the seer. He should finish soon.|Enter. Jarl is still talking with the seer. He should finish soon.|Enter. Jarl is still talking with the seer. He should finish soon.|Enter. Jarl is still talking with the seer. He should finish soon.|Enter. Jarl is still talking with the seer. He should finish soon.|Enter. Jarl is still talking with the seer. He should finish soon.|Enter. The jarl is still talking to the seer. He should finish soon.|Enter. Jarl is still talking with the seer. He should finish soon.
Save me!|Ratunku!|Help!|Help!|Help!|Help!|Help!|Help!|Help!|Help!|Help!|Help!|Help!
We learned something about Ciri.|Dowiedzieliśmy się czegoś o Ciri.|We learned something about Ciri.|We learned something about Ciri.|We learned something about Ciri.|We learned something about Ciri.|We learned something about Ciri.|We learned something about Ciri.|We learned something about Ciri.|We learned something about Ciri.|We learned something about Ciri.|We learned something about Ciri.|We learned something about Ciri.
We're gonna choke and die.|A mogliśmy zostać na uczcie.|And we could have stayed at the feast.|And we could have stayed at the feast.|And we could have stayed at the feast.|And we could have stayed at the feast.|And we could have stayed at the feast.|And we could have stayed at the feast.|And we could have stayed at the feast.|And we could have stayed at the feast.|And we could have stayed at the feast.|And we could have stayed at the feast.|And we could have stayed at the feast.
Go to the wake with me?|Zechcesz mi towarzyszyć na uczcie?|Do you want to accompany me at the feast?|Do you want to accompany me at the feast?|Do you want to accompany me at the feast?|Do you want to accompany me at the feast?|Do you want to accompany me at the feast?|Do you want to accompany me at the feast?|Would you like to accompany me at the feast?|Do you want to accompany me at the feast?|Would you like to join me at the feast?|Would you like to accompany me to the feast?|Would you like to accompany me at the feast?
Told ye, he's a witcher, a cunning man. He knows these things!|Mówiłem ci, że to wiedźmin. Czarownik. Wie takie rzeczy.|I told you it was a witcher. A sorcerer. They know such things.|I told you it was a witcher. A sorcerer. They know such things.|I told you it was a witcher. A sorcerer. They know such things.|I told you it was a witcher. A sorcerer. They know such things.|I told you it was a witcher. A sorcerer. They know such things.|I told you it was a witcher. A sorcerer. They know such things.|I told you it was a witcher. A sorcerer. They know such things.|I told you it was a witcher. A sorcerer. They know such things.|I told you it was a witcher. A sorcerer. They know such things.|I told you it was a witcher. A sorcerer. They know such things.|I told you it was a witcher. A sorcerer. They know such things.
Think the djinn killed him?|To dżinn go zabił?|Did the genie kill him?|Did the genie kill him?|Did the genie kill him?|Did the genie kill him?|Did the genie kill him?|Did the genie kill him?|Did the genie kill him?|Did the genie kill him?|Did the genie kill him?|Did the genie kill him?|Did the genie kill him?
Come. There's a ledge outside this window. We must pass along it.|Podejdź tutaj. Wyjdziemy przez okno i dalej przedostaniemy się po gzymsie.|Come here. We will exit through the window and then we will move along the cornice.|Come here. We will exit through the window and then we will move along the cornice.|Come here. We will exit through the window and then we will move along the cornice.|Come here. We will leave through the window and then we will move along the cornice.|Come here. We will exit through the window and then we will move along the cornice.|Come here. We will exit through the window and then continue to move along the cornice.|Come here. We will leave through the window and then we will move along the cornice.|Come here. We will exit through the window and then proceed to move along the cornice.|Come here. We will exit through the window and then move along the cornice.|Come here. We will exit through the window and then we will move along the cornice.|Come here. We will leave through the window and then we will move along the ledge.
Love.|Na miłość.|For the love.|For love.|For love.|For the love.|For the love.|On love.|On my love.|For the love.|For the love.|For love.|"Translation: ""On love."""
Thanks, mate. Fayrlund - you know the place? I've me forge there. Come and visit, I'll have a reward for ye.|Dzięki, chłopie... Wiesz, gdzie jest Ferlund? Mam tam kuźnię. Wpadnij w odwiedziny, a dam ci coś w nagrodę.|Thank you, mate... Do you know where Ferlund is? I have a blacksmith shop there. Come visit, and I'll give you something as a reward.|Thank you, mate... Do you know where Ferlund is? I have a blacksmith shop there. Come visit, and I'll give you something as a reward.|Thank you, mate... Do you know where Ferlund is? I have a blacksmith shop there. Come visit, and I'll give you something as a reward.|Thank you, mate... Do you know where Ferlund is? I have a blacksmith shop there. Come visit, and I'll give you something as a reward.|Thank you, mate... Do you know where Ferlund is? I have a blacksmith shop there. Come visit, and I'll give you something as a reward.|Thank you, mate... Do you know where Ferlund is? I have a blacksmith shop there. Come visit, and I'll give you something as a reward.|Thanks, mate... Do you know where Ferlund is? I have a blacksmith there. Come visit, and I'll give you something as a reward.|Thank you, dude... Do you know where Ferlund is? I have a blacksmith shop there. Come visit, and I'll give you something as a reward.|Thanks, man... Do you know where Ferlund is? I have a blacksmith shop there. Come visit, and I'll give you something as a reward.|"""Thanks, guy... Do you know where Ferlund is? I have a blacksmith there. Come visit and I'll give you something as a reward."""|Thank you, mate... Do you know where Ferlund is? I have a blacksmith shop there. Come pay a visit and I'll give you something as a reward.
Welcome to the Temple of Freya. I'm Kurisu. How can I help?|Witaj w świątyni Freyji. Jestem Kurisu. W czym mogę ci pomóc?|Hello in the temple of Freyja. I am Kurisu. How can I help you?|Hello in the temple of Freyja. I am Kurisu. How can I help you?|Hello in the temple of Freyja. I am Kurisu. How can I help you?|Hello in the temple of Freyja. I am Kurisu. How can I help you?|Hello in the temple of Freyja. I am Kurisu. How can I help you?|Hello in the temple of Freyja. I am Kurisu. How can I help you?|Hello in the temple of Freyja. I am Kurisu. How can I help you?|Welcome to Freyja's temple. I am Kurisu. How can I help you?|Hello in the temple of Freya. I am Kurisu. How can I help you?|Hello in the temple of Freya. I am Kurisu. How can I help you?|Hello in the temple of Freyja. I am Kurisu. In what can I help you?
And a most humble greeting to you, sir. Name's Karl, but Whistling Whacker they call me.|Kłaniam się uniżenie. Jestem Karl, zwany Świszczącą Pałą.|I bow down humbly. My name is Karl, nicknamed Whistling Stick.|I bow down humbly. My name is Karl, known as the Whistling Stick.|I bow down humbly. My name is Karl, known as The Whistling Stick.|I bow down humbly. My name is Karl, called the Whistling Stick.|I bow down humbly. My name is Karl, nicknamed Whistling Stick.|I bow down humbly. My name is Karl, known as The Whistling Stick.|I bow down humbly. I am Karl, called the Whistling Stick.|I bow down humbly. I am Karl, known as the Whistling Stick.|I bow down humbly. I am Karl, known as The Whistling Stick.|I bow down humbly. My name is Karl, called Whistling Rod.|I bow down humbly. I am Karl, called Whistling Stick.
Berserkers… But how'd they come to be here?|Berserkowie... Tylko skąd się tutaj wzięli?|Berserkers... Only how did they get here?|Berserkers... Only how did they get here?|Berserkers... But how did they get here?|Berserkers... But how did they get here?|Berserkers... But how did they get here?|Berserkers... But where did they come from here?|Berserkers... But how did they get here?|Berserkers... Only how did they get here?|Berserkers... Only how did they get here?|Berserkers... But how did they get here?|Berserkers... But where did they come from here?
Dammit. Probably marked one of the villagers.|Zraza. Pewnie naznaczył kogoś w wiosce.|Rage. He probably marked someone in the village.|Rage. He probably marked someone in the village.|Rage. He probably marked someone in the village.|Rage. He probably marked someone in the village.|Rage. He probably marked someone in the village.|Rage. He probably marked someone in the village.|Rage. He probably marked someone in the village.|Rage. He probably marked someone in the village.|Rage. He probably marked someone in the village.|Rage. He probably marked someone in the village.|Anger. He probably marked someone in the village.
You've seen Udalryk. It won't be an easy fight.|Widziałaś Udalryka. To nie będzie łatwa walka.|You saw Udalric. This won't be an easy fight.|You saw Udalric. This won't be an easy fight.|You saw Udalric. This won't be an easy fight.|You saw Udalric. This won't be an easy fight.|You saw Udalric. This won't be an easy fight.|You saw Udalric. This won't be an easy fight.|You saw Udalric. This won't be an easy fight.|You saw Udalric. This won't be an easy fight.|You saw Udalric. This won't be an easy fight.|You saw Udalric. This won't be an easy fight.|You saw Udalric. This won't be an easy fight.
Clouds obscure the sky and turmoil grips the sea. Defend us, Great Mother.|Niebo jest pochmurne, a morze wzburzone. Matko, stań w naszej obronie.|The sky is cloudy, and the sea is stormy. Mother, stand in our defense.|The sky is cloudy, and the sea is stormy. Mother, stand in our defense.|The sky is cloudy, and the sea is stormy. Mother, stand in our defense.|The sky is cloudy, and the sea is stormy. Mother, stand in our defense.|The sky is cloudy, and the sea is stormy. Mother, stand in our defense.|The sky is cloudy, and the sea is stormy. Mother, stand in our defense.|The sky is cloudy, and the sea is choppy. Mother, stand in our defense.|The sky is cloudy, and the sea is stormy. Mother, stand in our defense.|The sky is cloudy, and the sea is turbulent. Mother, stand in our defense.|The sky is overcast, and the sea is choppy. Mother, stand in our defense.|The sky is overcast, and the sea is rough. Mother, stand in our defense.
Water Hag|Baba wodna|Water babka|Water babka|Water babka|Water babka|Water babka|Water babka|Water baboon|Water babka|Water babka|Water babka|Water babah
What is it? That a name?|O co chodzi? To jakieś imię?|What's going on? It's some kind of name?|What's going on? It's some kind of name?|What's going on? It's some kind of name?|What's going on? It's some kind of name?|What's going on? It's some kind of name?|What's going on? It's some kind of name?|What's going on? It's some kind of name?|What's going on? It's some kind of name?|What is it about? It's some name?|What's going on? It's some kind of name?|What's up? It's some name?
It's not drowners this time. It's Cerys. I'm looking for her.|Tym razem nie chodzi o utopce, tylko o Cerys. Szukam jej.|This time it's not about utopce, it's about Cerys. I am looking for her.|This time it's not about utopce, it's about Cerys. I am looking for her.|This time it's not about utopce, it's about Cerys. I am looking for her.|This time it's not about utopce, it's about Cerys. I am looking for her.|This time it's not about utopces, it's about Cerys. I am looking for her.|This time it's not about utopces, it's about Cerys. I am looking for her.|This time it's not about utopces, it's about Cerys. I'm looking for her.|This time it's not about utopians, it's about Cerys. I'm looking for her.|This time, it's not about utopcs, it's about Cerys. I am looking for her.|This time it's not about utopces, it's about Cerys. I am looking for her.|This time it's not about utopic, I'm looking for Cerys.
Hm, now that you mentioned him… just noticed Hjalmar's not here.|Skoro już się zgadało... Nie widzę wśród was Hjalmara.|Since the topic has come up... I don't see Hjalmar among you.|Since the topic has come up... I don't see Hjalmar among you.|Since the topic has come up... I don't see Hjalmar among you.|Since the topic has come up... I don't see Hjalmar among you.|Since the topic has come up... I don't see Hjalmar among you.|Since the topic has come up... I don't see Hjalmar among you.|Since the topic has come up... I don't see Hjalmar among you.|Since the topic has come up... I don't see Hjalmar among you.|Since the topic came up... I don't see Hjalmar among you.|Since the topic came up... I don't see Hjalmar among you.|Since the topic has come up... I don't see Hjalmar among you.
Sorry, not interested.|Nie jestem zainteresowany.|I am not interested.|I am not interested.|I am not interested.|I am not interested.|I am not interested.|I am not interested.|I am not interested.|I am not interested.|I am not interested.|I am not interested.|I am not interested.
He probably thought they'd take him someplace safe.|Pewnie myślał, że zabiorą go w bezpieczne miejsce.|He probably thought they would take him to a safe place.|He probably thought they would take him to a safe place.|He probably thought they would take him to a safe place.|He probably thought they would take him to a safe place.|He probably thought they would take him to a safe place.|He probably thought they would take him to a safe place.|He probably thought they would take him to a safe place.|He probably thought they would take him to a safe place.|He probably thought they would take him to a safe place.|He probably thought they would take him to a safe place.|He probably thought they would take him to a safe place.
What?|Co?|What?|What?|What?|What?|What?|What?|What?|What?|What?|What?|What?
I know you feel better, but you're yet too week to embark on a journey.|Wiem, że czujesz się lepiej, ale jesteś jeszcze zbyt słaba, żeby wyruszać w podróż.|I know you feel better, but you are still too weak to set off on a journey.|I know you feel better, but you are still too weak to set off on a journey.|I know you feel better, but you are still too weak to set off on a journey.|I know you feel better, but you are still too weak to set off on a journey.|I know you feel better, but you are still too weak to set off on a journey.|I know you feel better, but you are still too weak to travel.|I know you feel better, but you are still too weak to go on a journey.|I know you feel better, but you are still too weak to go on a journey.|I know you feel better, but you are still too weak to start a journey.|I know you feel better, but you are still too weak to embark on a journey.|I know you feel better, but you are still too weak to go on a journey.
Wouldn't mind a look at your stock.|Chętnie się rozejrzę.|I would happily look around.|I would happily look around.|I would happily look around.|I would happily look around.|I would happily look around.|I would gladly take a look.|I would happily look around.|I would happily look around.|I would gladly take a look around.|I would happily look around.|I would happily look around.
Silence. 'Tis her decision.|Milczcie. To jej decyzja.|"Translate to English: ""Be quiet. It's her decision."""|"translates to:

""Be quiet. It's her decision."""|"translates to:

""Be quiet. It's her decision."""|"Translate to English: ""Be quiet. It's her decision."""|"translates to: ""Be quiet. It's her decision."""|"Translate to English and don't add any explanations, write only translation: ""Be quiet. It's her decision."""|Silence. It's her decision.|"translates to: ""Be quiet. It's her decision."""|Be quiet. It's her decision.|Silence. It's her decision.|Silence. It's her decision.
The witcher known as the White Wolf, I know. They tell stories about you every day 'round here. Lookin' for an open seat at the table?|Wiedźmin zwany Białym Wilkiem, wiem. Już zdążyli cię tu obgadać. Szukasz wolnego miejsca przy stole?|"""The Witcher called the White Wolf, I know. You've already had time to talk about me here. Are you looking for a free seat at the table?"""|"""The Witcher called the White Wolf, I know. You've already had time to talk about me here. Are you looking for a free seat at the table?"""|"""The Witcher called the White Wolf, I know. You have already had time to talk about me here. Are you looking for a free seat at the table?"""|"""The Witcher called the White Wolf, I know. You've already had time to talk about me here. Are you looking for a free seat at the table?"""|"""The Witcher called the White Wolf, I know. You've already had time to talk about me here. Are you looking for a free seat at the table?"""|"""The Witcher called the White Wolf, I know. You've already had time to talk about me here. Are you looking for a free seat at the table?"""|"""The Witcher called the White Wolf, I know. You've already had time to gossip about me here. Are you looking for a free seat at the table?"""|I know. You've already had time to talk about me here. Are you looking for a free seat at the table?|"""The witcher called White Wolf, I know. You've already been talked about here. Are you looking for a empty seat at the table?"""|Witcher called White Wolf, I know. You've already been talked about here. Are you looking for a free spot at the table?|"""I know the Witcher called White Wolf. You've already had a chance to talk about me here. Are you looking for an empty seat at the table?"""
She's always liked competin' with me. I've always won in the end so far, though.|Zawsze lubiła się ze mną ścigać. Ale dotąd to zawsze ja wygrywałem.|She always liked to race with me. But so far, I've always won.|She always liked to race with me. But so far, I've always won.|She always liked to race with me. But so far, I've always won.|She always liked to race with me. But so far, I've always won.|She always liked to race with me. But so far, I've always won.|She always liked to race with me. But so far, I have always won.|She always liked to race with me. But so far, I've always won.|She always liked to race with me. But so far, I've always won.|She always liked to race with me. But so far, I've always won.|She always liked to race with me. But so far, I have always won.|She always liked to race with me. But so far, I've always won.
Lost to a witcher, Sparrowhawk. That'd likely happen to any of us.|Przegrałaś z wiedźminem, Przepiórko. Każdy z nas by przegrał.|You lost to the witcher, Sparrow. Each of us would lose.|You lost to the witcher, Sparrow. Each of us would lose.|You lost to the witcher, Sparrow. Each of us would lose.|You lost to the witcher, Sparrow. Each of us would lose.|You lost to the Witcher, Sparrow. Each of us would lose.|You lost to the Witcher, Sparrow. Each of us would lose.|You lost to the witcher, Sparrow. Each of us would lose.|You lost to the witcher, Sparrow. Each of us would lose.|You lost to the witcher, Sparrow. Each of us would lose.|You lost to the Witcher, Sparrow. Each of us would have lost.|You lost to the witcher, Sparrow. Each of us would lose.
Wouldn't mind waiting if I had a free year or two. Sadly, I'm in a hurry.|Gdybym miał wolny rok czy dwa, mógłbym poczekać. Ale niestety się spieszę.|If I had a free year or two, I could wait. But unfortunately, I am in a hurry.|If I had a free year or two, I could wait. But unfortunately, I am in a hurry.|If I had a free year or two, I could wait. But unfortunately, I am in a hurry.|If I had a free year or two, I could wait. But unfortunately, I am in a hurry.|If I had a free year or two, I could wait. But unfortunately, I am in a hurry.|If I had a free year or two, I could wait. But unfortunately, I am in a hurry.|If I had a free year or two, I could wait. But unfortunately, I am in a hurry.|If I had a free year or two, I could wait. But unfortunately, I am in a hurry.|If I had a free year or two, I could wait. But unfortunately, I am in a hurry.|If I had a free year or two, I could wait. But unfortunately, I'm in a hurry.|If I had a free year or two, I could wait. But unfortunately, I am in a hurry.
Why not? 'Cause I don't shriek threats and warn ye of your death? Well, that's simple enough - plain bored o' that.|Bo co? Bo nie wykrzykuję gróźb i nie straszę cię śmiercią? Cóż, zwyczajnie mi się znudziło.|So what? Because I'm not shouting threats and doesn't scare you to death? Well, it just got boring for me.|So what? Because I'm not shouting threats and doesn't scare you to death? Well, it just got boring for me.|So what? Because I don't shout threats and scare you to death? Well, it just got boring.|So what? Because I'm not shouting threats and doesn't scare you to death? Well, it just got boring for me.|So what? Because I don't shout threats and scare you to death? Well, it just got boring on me.|So what? Because I'm not shouting threats and not scaring you to death? Well, it just got boring on me.|So what? Because I don't shout threats and doesn't scare you to death? Well, it just got boring for me.|So what? Because I don't shout threats and scare you to death? Well, I just got bored with it.|"""So what? Because I don't shout threats and scare you with death? Well, it just got boring for me."""|So what? Because I don't shout threats and scare you to death? Well, it just got boring on me.|So what? Because I'm not screaming threats and doesn't scare you to death? Well, it just got bored me.
Remember the wild men I sparred with? The ones we called Vildkaarls?|Pamiętasz tych osiłków, z którymi się biłem na pięści? Tych, co nazywają vildkaarlami?|Do you remember those muscle guys I fought with fists? The ones who call themselves vildkaarls?|Do you remember those muscle guys I fought with fists? The ones who call themselves vildkaarls?|Do you remember those muscle guys I fought with fists? The ones who call themselves vildkaarls?|Do you remember those muscle guys I fought with fists? The ones who call themselves vildkaarls?|Do you remember those muscle guys I fought with fists? The ones who call themselves vildkaarls?|Do you remember those muscle guys I fought with fists? The ones who call themselves vildkaarls?|Do you remember those muscle guys I fought with fists? The ones who call themselves vildkaarls?|Do you remember those beefy guys I fought with fists? The ones who call themselves vildkaarlami?|Do you remember those beefy guys I fought with fists? The ones who call themselves vildkaarls?|Do you remember those meatheads with whom I fought with fists? The ones who call themselves vildkaarlami?|Do you remember those muscle guys who fought me in fists? The ones who call themselves vildkaarls?
Why do you want this power?|Do czego ci ta moc?|What do you need this power for?|What do you need this power for?|What do you need this power for?|What do you need this power for?|What do you need this power for?|What do you need this power for?|What do you need this power for?|What do you need this power for?|What do you need this power for?|What do you need this power for?|What do you need this power for?
Long live Hjalmar!|Wiwat Hjalmar!|Hail Hjalmar!|Hail Hjalmar!|Hail Hjalmar!|Hurray for Hjalmar!|Hurray for Hjalmar!|Hail Hjalmar!|Hurrah for Hjalmar!|Hail Hjalmar!|Hail Hjalmar!|Hail Hjalmar!|Hail Hjalmar!
Have a look at this diagram.|Rzuć okiem na ten schemat.|Take a look at this diagram.|Take a look at this diagram.|Take a look at this diagram.|Take a look at this diagram.|Take a look at this diagram.|Take a look at this diagram.|Take a look at this diagram.|Take a look at this diagram.|Take a look at this diagram.|Take a look at this diagram.|Take a look at this diagram.
Maybe that's not entirely true. Cave of Dreams - supposed to be a dangerous place.|Może się myliłeś. Jaskinia Snów to podobno niebezpieczne miejsce.|You might have been wrong. The Cave of Dreams is supposedly a dangerous place.|You might have been wrong. The Cave of Dreams is supposedly a dangerous place.|You might have been wrong. The Cave of Dreams is supposedly a dangerous place.|You might have been wrong. The Cave of Dreams is supposedly a dangerous place.|You might have been wrong. The Cave of Dreams is supposedly a dangerous place.|You might have been wrong. The Cave of Dreams is supposedly a dangerous place.|You might have been wrong. The Cave of Dreams is supposed to be a dangerous place.|You might have been wrong. The Cave of Dreams is supposedly a dangerous place.|You might have been wrong. The Cave of Dreams is supposed to be a dangerous place.|You might have been wrong. The Cave of Dreams is supposed to be a dangerous place.|You might have been wrong. The Cave of Dreams is said to be a dangerous place.
Did you learn anything in Velen?|Dowiedziałeś się czegoś w Velen?|Did you find out anything in Velen?|Did you find out anything in Velen?|Did you find out anything in Velen?|Did you find out anything in Velen?|Did you find out anything in Velen?|Did you find out anything in Velen?|Did you find out anything in Velen?|Did you find out anything in Velen?|Did you find out anything in Velen?|Did you find out anything in Velen?|Did you find out anything in Velen?
