en_text|pl_text|google_translation|bielik_translation_0.0|mixtral-8x22B_translation_0.0|llama3.1_translation_0.0|bielik_translation_0.1|mixtral-8x22B_translation_0.1|llama3.1_translation_0.1|bielik_translation_0.2|mixtral-8x22B_translation_0.2|llama3.1_translation_0.2|bielik_translation_0.3|mixtral-8x22B_translation_0.3|llama3.1_translation_0.3|bielik_translation_0.4|mixtral-8x22B_translation_0.4|llama3.1_translation_0.4|bielik_translation_0.5|mixtral-8x22B_translation_0.5|llama3.1_translation_0.5|bielik_translation_0.6|mixtral-8x22B_translation_0.6|llama3.1_translation_0.6|bielik_translation_0.7|mixtral-8x22B_translation_0.7|llama3.1_translation_0.7|bielik_translation_0.8|mixtral-8x22B_translation_0.8|llama3.1_translation_0.8|bielik_translation_0.9|mixtral-8x22B_translation_0.9|llama3.1_translation_0.9|bielik_translation_1.0|mixtral-8x22B_translation_1.0|llama3.1_translation_1.0
Thanks, mate. Fayrlund - you know the place? I've me forge there. Come and visit, I'll have a reward for ye.|Dzięki, chłopie... Wiesz, gdzie jest Ferlund? Mam tam kuźnię. Wpadnij w odwiedziny, a dam ci coś w nagrodę.|Dzięki, kolego. Fayrlund - znasz to miejsce? Mam tam kuźnię. Przyjdź i odwiedź, będę miał dla ciebie nagrodę.|Dzięki, kumpel. Fayrlund - znasz to miejsce? Mam tam swoją kuźnię. Wpadnij z wizytą, będę miał dla ciebie nagrodę.| Dzięki, kolego. Fayrlund - znasz to miejsce? Mój kuźnia jest tam. Zawitaj, przygotuję nagrodę dla ciebie.|Dzięki, przyjacielu. Fayrlund - znasz to miejsce? Mam tam swoją kuźnię. Przyjdź i odwiedź mnie, będę miał dla ciebie nagrodę.|Dzięki, kumpel. Fayrlund - znasz to miejsce? Mam tam swoją kuźnię. Wpadnij z wizytą, będę miał dla ciebie nagrodę.| Dzięki, kolego. Fayrlund - znasz to miejsce? Mój kuźnia jest tam. Zawitaj, przygotuję nagrodę dla ciebie.|Dzięki, przyjacielu. Fayrlund - znasz to miejsce? Mam tam swoją kuźnię. Przyjdź i odwiedź mnie, będę miał dla ciebie nagrodę.|Dzięki, kumpel. Fayrlund - znasz to miejsce? Mam tam swoją kuźnię. Wpadnij z wizytą, będę miał dla ciebie nagrodę.| Dziękuję, kolego. Fayrlund - znasz to miejsce? Mam tam swoją kuźnię. Odwiedź mnie, przygotuję nagrodę dla ciebie.|Dzięki, przyjacielu. Fayrlund - znasz to miejsce? Mam tam swoją kuźnię. Przyjdź i odwiedź mnie, będę miał dla ciebie nagrodę.|Dzięki, kumpel. Fayrlund - znasz to miejsce? Mam tam swoją kuźnię. Wpadnij z wizytą, będę miał dla ciebie nagrodę.| Dzięki, kolego. Fayrlund - znasz to miejsce? Mam tam swoją kuźnię. Odwiedź mnie, przygotuję nagrodę dla ciebie.|Dzięki, przyjacielu. Fayrlund - znasz to miejsce? Mam swoją kuźnię tam. Przyjdź i odwiedź mnie, będę miał dla ciebie nagrodę.|Dzięki, kumpel. Fayrlund - znasz to miejsce? Mam tam moją kuźnię. Wpadnij z wizytą, będę miał dla ciebie nagrodę.| Dzięki, kolego. Fayrlund - znasz to miejsce? Mam tam swoją kuźnię. Zawitaj, przygotuję nagrodę dla ciebie.|Dziękuję, przyjacielu. Fayrlund - znasz to miejsce? Mam tam swoją kuźnię. Przyjdź w odwiedziny, będę miał dla ciebie nagrodę.|Dzięki, ziomuś. Fayrlund - znasz to miejsce? Mam tam moją kuźnię. Wpadnij w odwiedziny, będę miał dla ciebie nagrodę.| Dzięki, kolego. Fayrlund - znasz to miejsce? Mój kuźnia jest tam. Spróbuj odwiedzić, przygotuję nagrodę dla ciebie.|Dzięki, przyjacielu. Fayrlund - znasz to miejsce? Mam tam swoją kuźnię. Przyjdź w odwiedziny, będę miał dla ciebie nagrodę.|Dzięki, kumpel. Fayrlund - znasz to miejsce? Mam tam moją kuźnię. Wpadnij z wizytą, będę miał dla ciebie nagrodę.| Dzięki, kolego. Fayrlund - znasz to miejsce? Moj warsztat jest tam. Zawitaj, przygotuje nagrodę dla ciebie.|Dzięki, kumple. Fayrlund - znasz to miejsce? Mam tam swoją kuźnię. Przyjdź w odwiedziny, będę miał dla ciebie nagrodę.|Dzięki, kumpel. Fayrlund - znasz to miejsce? Mam tam moją kuźnię. Wpadnij z wizytą, będę miał dla ciebie nagrodę.| Dzięki, kolego. Fayrlund - znasz to miejsce? Mam tam swoją kuźnię. Spróbuj przyjść i odwiedzić, dam Ci nagrodę.|Dzięki, przyjacielu. Fayrlund – znasz to miejsce? Mam tam swoją kuźnię. Przyjdź i mnie odwiedź, będę miał dla ciebie nagrodę.|Dzięki, kumpel. Fayrlund - znasz to miejsce? Mam tam swoją kuźnię. Wpadnij z wizytą, będę miał dla ciebie nagrodę.| Dzięki, kolego. Czy znasz Fayrlund? Mam tam swoją kuźnie. Proszę przyjść i odwiedzić, przygotuję nagrodę dla Ciebie.|Dziękuję przyjacielu. Fayrlund - znasz to miejsce? Mam tam swoją kuźnię. Zajrzyj w odwiedziny, będę miał dla ciebie nagrodę.|Dzięki, stary. Fayrlund - znasz to miejsce? Mam tam swoją kuźnię. Wpadnij z wizytą, mam dla ciebie nagrodę.| Dzięki, kolego. Czy znasz Fayrlund? Mój kuźni jest tam. Odwiedź mnie, przygotuję nagrodę dla ciebie.|Dziękuję, przyjacielu. Fayrlund - znasz to miejsce? Mam tam swoją kuźnię. Przyjdź i odwiedź mnie, będę miał dla ciebie nagrodę.|Dzięki, kumpel. Fayrlund - znasz to miejsce? Mam tam swoją kuźnię. Wpadnij z wizytą, będę miał dla ciebie nagrodę.| Dzięki, kolego. Fayrlund - ty znasz to miejsce? Mam tam swoją kuźnię. Popatrz i odwiedź, przygotuję nagrodę dla ciebie.|Dzięki, stary楚. Fayrlund – znasz to miejsce? Mam swoją kuźnię tam. Przyjdź, odwiedź mnie, będę miał dla ciebie nagrodę.
Welcome to the Temple of Freya. I'm Kurisu. How can I help?|Witaj w świątyni Freyji. Jestem Kurisu. W czym mogę ci pomóc?|Witaj w Temple of Freya. Jestem Kurisu. Jak mogę pomóc?|Witaj w świątyni Freyi. Jestem Kurisu. W czym mogę pomóc?| Witamy w Świątyni Freyi. Jestem Kurisu. W jaki sposób mogę pomóc?|Witamy w Świątyni Freyi. Jestem Kurisu. W czym mogę pomóc?|Witaj w świątyni Freyi. Jestem Kurisu. W czym mogę pomóc?| Witamy w Świątyni Freyi. Jestem Kurisu. W jaki sposób mogę pomóc?|Witamy w Świątyni Freyi. Jestem Kurisu. W czym mogę pomóc?|Witaj w świątyni Freyi. Jestem Kurisu. W czym mogę pomóc?| Witamy w Świątyni Freyi. Jestem Kurisu. W czym mogę pomóc?|Witamy w Świątyni Freyi. Jestem Kurisu. W czym mogę pomóc?|Witaj w świątyni Freyi. Jestem Kurisu. W czym mogę pomóc?| Witamy w Świątyni Frei. Jestem Kurisu. W czym mogę pomóc?|Witamy w Świątyni Freyi. Jestem Kurisu. Jak mogę pomóc?|Witaj w świątyni Frei. Jestem Kurisu. W czym mogę ci pomóc?| Witamy w Świątyni Frei. Jestem Kurisu. W jakim temacie mogę pomóc?|Witamy w Świątyni Freyi. Jestem Kurisu. W czym mogę pomóc?|Witaj w świątyni Freyi. Jestem Kurisu. Jak mogę ci pomóc?| Witamy w Świątyni Freyi. Jestem Kurisu. W jakim możemy Ci pomóc?|Witamy w Świątyni Freyi. Jestem Kurisu. W jaki sposób mogę pomóc?|Witaj w świątyni Freyi. Jestem Kurisu. W czym mogę ci pomóc?| Witamy w Świątyni Freyi. Jestem Kurisu. W jaki sposób mogę pomóc?|Witamy w Świątyni Freyi. Jestem Kurisu. W jaki sposób mogę pomóc?|Witaj w świątyni Freyi. Jestem Kurisu. W czym mogę ci pomóc?| Witamy w Świątyni Frei. Jestem Kurisu. W jaki sposób mogę pomóc?|Witamy w Świątyni Freyi. Jestem Kurisu. Jak mogę pomóc?|Witaj w świątyni Freyi. Jestem Kurisu. W czym mogę pomóc?| Witamy w świątyni Freyi. Jestem Kurisu. W jaki sposób mogę pomóc?|Witamy w świątyni Freyi. Jestem Kurisu. Jak mogę Ci pomóc?|Witaj w świątyni Freyi. Jestem Kurisu. Jak mogę ci pomóc?| Witamy w Świątyni Freyi. Jestem Kurisu. W czym mogę pomóc?|Witamy w Świątyni Freyi. Jestem Kurisu. W czym mogę pomóc?|Witamy w Świątyni Freyi. Jestem Kurisu. W jaki sposób mogę pomóc?| Witamy w Świątyni Frei. Jestem Kurisu. W jakimś temacie mogę pomóc?|Witaj w Świątyni Freji. Jestem Kurisu. Jak mogę pomóc?
And a most humble greeting to you, sir. Name's Karl, but Whistling Whacker they call me.|Kłaniam się uniżenie. Jestem Karl, zwany Świszczącą Pałą.|I najskromniejsze pozdrowienia dla pana. Nazywam się Karl, ale nazywają mnie Whistling Whacker.|I bardzo pokorne pozdrowienia dla pana. Nazywam się Karl, ale wołają mnie Gwiżdżący Łobuz.| I najbardziej pokorną poczciwość dla Pana. Mam na imię Karl, ale ludzie mówią na mnie Gwizdający Łupacz.|I najskromniejsze pozdrowienia dla ciebie, panie. Nazywam się Karl, ale nazywają mnie Świszczącym Dzierżycielem.|I bardzo pokorne pozdrowienia dla pana. Nazywam się Karl, ale wołają mnie Gwiżdżący Łobuz.| I najbardziej pokorną poczciwość dla Pana. Mam na imię Karl, ale ludzie mnie nazywają Gwizdającym Łupaczem.|I najskromniejsze pozdrowienia dla ciebie, panie. Nazywam się Karl, ale nazywają mnie Świszczącym Dzierżącym.|I bardzo pokorne pozdrowienia dla pana. Nazywam się Karl, ale wołają mnie Gwiżdżący Łobuz.| I najbardziej pokorną poczciwość dla Pana. Mam na imię Karl, ale nazywają mnie Gwizdającym Łupaczem.|I najskromniejsze pozdrowienia dla ciebie, panie. Nazywam się Karl, ale mówią na mnie Świszczący Miotacz.|I bardzo pokorne pozdrowienia dla pana. Nazywam się Karl, ale wołają mnie też Gwiżdżący Rozpruwacz.| I najbardziej skromne pozdrowienia dla Pana. Mam na imię Karl, ale ludzie nazywają mnie Gwizdającym Łupaczem.|I najskromniejsze pozdrowienie dla ciebie, panie. Nazywam się Karl, ale nazywają mnie Świszczącym Pogromcą.|I bardzo pokorne pozdrowienia dla pana. Nazywam się Karl, ale wołają mnie Gwiżdżący Wygwizdacz.| I najbardziej pokorną poczciwość dla Pana. Mam na imię Karl, ale ludzie mówią na mnie Gwizdający Chłosta.|I najpokorniejsze pozdrowienia dla ciebie, panie. Nazywam się Karl, ale nazywają mnie Świszczącym Rozwalaczem.|I bardzo pokorne pozdrowienia dla pana. Nazywam się Karl, ale wołają mnie Gwiżdżący Łobuz.| I najbardziej skromne pozdrowienia dla Pana. Mam na imię Karl, ale nazywają mnie Świszczącym Łapaczem.|I najbardziej pokorny pozdrowienie dla ciebie, panie. Nazywam się Karl, ale nazywają mnie Świszczącym Dziadem.|I bardzo pokorne pozdrowienia dla pana. Nazywam się Karl, ale wołają mnie Gwiżdżący Łobuz.| I najbardziej skromne pozdrowienia dla Pana. Mam na imię Karl, ale nazywają mnie Świszczącym Łopatą.|I najskromniejsze pozdrowienia dla ciebie, panie. Nazywam się Karl, ale nazywają mnie Świszczącym Mścicielem.|I bardzo uniżone pozdrowienia dla pana. Nazywam się Karl, ale wołają mnie Gwiżdżący Łachudra.| Najbardziej skromne pozdrowienie dla pana. Mam na imię Karl, ale nazywają mnie Gwizdaczem.|I najskromniejsze pozdrowienia dla ciebie, panie. Nazywam się Karl, ale mówią na mnie Świszczący Dzierżący.|I bardzo pokorne pozdrowienia dla pana. Nazywam się Karl, ale nazywają mnie Gwiżdżący Łamacz.| Najbardziej skromne pozdrowienia dla Pana. Nazywam się Karl, ale ludzie mnie nazywają Świszczącym Biłem.|I najpokorniejsze pozdrowienia dla pana, sir. Nazywam się Karl, ale oni nazywają mnie Świszczącym Waleniem.'|I bardzo pokorne pozdrowienia dla pana. Nazywam się Karl, ale wołają mnie Gwiżdżący Łamignat.| I najbardziej pokorną pozdrowienie dla ciebie, panie. Nazywam się Karl, ale ludzie nazywają mnie Świszczącym Zamachowcem.|I najpokorniejsze pozdrowienia dla pana, proszę bardzo. Nazywam się Karl, ale mówią na mnie Śpiewający Ostrzyżyn (Whistling Whacker).|"""And najpokorniejsze pozdrowienia dla pana. Nazywam się Karl, ale wołają mnie Gwiżdżący Łobuz."""|" ""I najbardziej pokorny pozdrowienie dla pana. Mam na imię Karl, ale ludzie mówią mi Gwizdający Łom."""|I najpokorniejsze pozdrowienia są Tobie, panie. Mam na imię Karl, ale nazywają mnie Świszczący Rozłupyvatel.
Berserkers… But how'd they come to be here?|Berserkowie... Tylko skąd się tutaj wzięli?|Berserkerzy... Ale skąd się tu wzięli?|Berserkowie... Ale jak się tutaj znaleźli?| 'Berserkerzy... Ale jak się tu znaleźli?'|"""Berserkerzy... Ale jak oni tu się znaleźli?"""|Berserkowie... Ale jak się tutaj znaleźli?| 'Berserkerzy... Ale jak się tu znaleźli?'|"""Berserkerzy... Ale jak oni się tu znaleźli?"""|Berserkowie... Ale jak się tutaj znaleźli?| 'Berserkerzy... Ale jak się tu znaleźli?'|Bestie… Ale jak się tu znalazły?|Berserkowie… Ale jak się tutaj znaleźli?| Berserkerzy... Ale jak się tu znaleźli?|"""Berserkerzy... Ale jak się tu znaleźli?"""|Berserkowie... Ale jak się tutaj znaleźli?| Berserkerzy… Ale jak się tu znaleźli?|Bestie… Ale jak się tu znalazły?|Berserkowie… Ale jak się tutaj dostali?| 'Berserkerzy... Ale jak się tu znaleźli?'|"""Berserkowie... Ale jakim sposobem się tu znaleźli?"""|Berserkowie... Ale jak się tutaj znaleźli?| 'Berserkerzy... Ale jak się znaleźli tu?'|'Berserkerowie … Ale jak oni tu się znaleźli?'|Bersekczycy... Ale jak tu dotarli?| Berserkerzy... Ale jakieś tam trafiły tu?|Bestie z zaświatów… Jakim cudem trafiły tu?|Berserkerzy... Ale jak się tutaj znaleźli?| Berserkerzy... Ale jak się znalazły tutaj?|"""Berserkerzy… Ale jak się tu znaleźli?"""|"""Berserkierzy... Ale jak się tutaj dostali?"""| 'Berserkerzy... Ale skąd oni tu trafili?'|"""Berserkerowie... Ale jakim cudem tu się pojawili?"""|Berserkerzy... Ale jak się tutaj znaleźli?| Berserkerzy… Ale skąd wzięli się tutaj?|Rabusie... Ale jak się tu znaleźli?
Dammit. Probably marked one of the villagers.|Zraza. Pewnie naznaczył kogoś w wiosce.|Do cholery. Prawdopodobnie oznaczył jednego z mieszkańców wioski.|Cholera. Prawdopodobnie oznaczył jednego z mieszkańców wioski.| Cholera. Prawdopodobnie oznaczyłem jednego z mieszkańców wioski.|Cholera. Prawdopodobnie oznaczyłem jednego z mieszkańców wioski.|Cholera. Prawdopodobnie oznaczył jednego z mieszkańców wioski.| Cholera. Prawdopodobnie oznaczyłem jednego z mieszkańców wioski.|Cholera. Prawdopodobnie oznaczyłem jednego z mieszkańców wioski.|Cholera. Prawdopodobnie oznaczył jednego z mieszkańców wioski.| Cholera. Prawdopodobnie oznaczyłem jednego z mieszkańców wioski.|Cholera. Prawdopodobnie oznaczyłem jednego z mieszkańców wioski.|Cholera. Prawdopodobnie oznaczył jednego z mieszkańców wioski.| Cholera. Prawdopodobnie oznaczyłem jednego z wioskańców.|Cholera. Prawdopodobnie oznaczyłem jednego z mieszkańców wioski.|Cholera. Prawdopodobnie oznaczył jednego z mieszkańców wsi.| Cholera. Prawdopodobnie oznaczyłem jednego z wioskowców.|Cholera. Prawdopodobnie oznaczyłem jednego z mieszkańców wioski.|Cholera. Prawdopodobnie oznaczył jednego z mieszkańców wioski.| Zatrzasnąłem. Prawdopodobnie oznaczyłem jednego z wioskańców.|Cholera. Prawdopodobnie oznaczyłem jednego z mieszkańców wioski.|Cholera. Prawdopodobnie oznaczył jednego z mieszkańców wioski.| Cholera. Prawdopodobnie oznaczyłem jednego z wioskańców.|Do diabła. Prawdopodobnie oznaczyłem jednego z mieszkańców wioski.|Cholera. Prawdopodobnie oznaczył jednego z mieszkańców wioski.| Kurde, prawdopodobnie oznaczyłem jednego z mieszkańców wioski.|Cholera. Prawdopodobnie oznaczyłem jednego z mieszkańców wioski.|Do licha. Prawdopodobnie oznaczył jednego z mieszkańców wsi.| Piekło. Prawdopodobnie oznaczyłem jednego z mieszkańców wioski.|Cholera. Prawdopodobnie oznaczyłem jednego z mieszkańców wioski.|Cholera. Prawdopodobnie oznaczył jednego z mieszkańców wioski.| Święte bębło. Prawdopodobnie oznaczyłem jednego z mieszkańców wioski.|Do cholery. Prawdopodobnie oznaczyłem jednego z mieszkańców wioski.|Cholera. Prawdopodobnie oznaczył jednego z mieszkańców wioski.| A może zaznaczyłem jednego ze wsiaków.|Do diabła. Prawdopodobnie oznaczyłem jednego z wioska.
You've seen Udalryk. It won't be an easy fight.|Widziałaś Udalryka. To nie będzie łatwa walka.|Widziałeś Udalryka. To nie będzie łatwa walka.|Widziałeś Udalryka. To nie będzie łatwa walka.| Widziałeś Udalryka. Nie będzie to łatwa walka.|'Widziałeś Udala. Nie będzie to łatwa walka.'|Widziałeś Udalryka. To nie będzie łatwa walka.| Widziałeś Udalryka. Nie będzie to łatwa walka.|'Widziałeś Udala. Nie będzie to łatwa walka.'|Widziałeś Udalryka. To nie będzie łatwa walka.| Widziałeś Udalryka. Nie będzie to łatwa walka.|'Widziałeś Udala. Nie będzie to łatwa walka.'|Widziałeś Udalryka. To nie będzie łatwa walka.| 'Widziałeś Udalryka. Nie będzie to łatwa walka.'|Widziałeś już Udalryka. Nie będzie to łatwa walka.|Widziałeś Udalryka. To nie będzie łatwa walka.| Widziałeś Udalryka. Nie będzie to łatwa walka.|'Widziałeś Udala. Nie będzie to łatwa walka.'|Widziałeś Udalryka. To nie będzie łatwa walka.| Widziałeś Udalryka. Nie będzie to łatwa walka.|'Widziałeś już Udalryka. Nie będzie to łatwa walka.'|Widziałeś Udalryka. To nie będzie łatwa walka.| Widziałeś Udalryka. Nie będzie to łatwa walka.|Widziałeś Udala. Nie będzie to łatwa walka.|Widziałeś Udalryka. To nie będzie łatwa walka.| Widziałeś Udalryka. Nie będzie to łatwa walka.|Widziałeś Udalryka. Nie będzie to łatwa walka.|Widziałeś Udalryka. To nie będzie łatwa walka.| Widziałeś Udalryka. Nie będzie to łatwa walka.|'Widziałeś już Udalaria. Nie będzie to łatwa walka.'|Widziałeś Udalryka. Nie będzie to łatwa walka.| Widziałeś Udalryka. Nie będzie to łatwa walka.|'Widziałeś już Udalryka. Nie będzie to łatwa walka.'|Widziałeś Udalryka. To nie będzie łatwa walka.| Widziałeś Udalryka. Nie będzie to łatwa walka.|'Zobaczyłeś Udaryka. Nie będzie to łatwa walka.'
Clouds obscure the sky and turmoil grips the sea. Defend us, Great Mother.|Niebo jest pochmurne, a morze wzburzone. Matko, stań w naszej obronie.|Chmury przesłaniają niebo, a zamęt ogarnia morze. Broń nas, Wielka Matko.|Chmury zasnuwają niebo, a burza szaleje na morzu. Chroń nas, Wielka Matko.| Chmury zasnuwają niebo, a zamęt ogarnia morze. Obron nas, Wielka Macio.|Chmury przesłaniają niebo, a morze ogarnia burza. Obronij nas, Wielka Matko.|Chmury zasnuwają niebo, a burza szaleje na morzu. Chroń nas, Wielka Matko.| Chmury zasnuwają niebo, a zamęt ogarnia morze. Obron nas, Wielka Macio.|Chmury przesłaniają niebo, a morze ogarnia burza. Obroni nas, Wielka Matko.|Chmury zasłaniają niebo, a burza szaleje na morzu. Chroń nas, Wielka Matko.| 'Chmury zasnuwają niebo, a zamęt ogarnia morze. Chroni nas, Wielka Macierzy.'|Chmury przesłaniają niebo, a morze ogarnia burza. Obron nas, Wielka Matko.|Chmury przesłaniają niebo, a burza szaleje na morzu. Chroń nas, Wielka Matko.| Chmury zasnuwają niebo, a zamęt ogarnia morze. Obronić nas, Wielka Macio.|Chmury zasłaniają niebo, a morze ogarnia burza. Obroni nas, Wielka Matko.|Chmury zasnuwają niebo i nawałnica ogarnia morze. Broń nas, Wielka Matko.| Chmury zasnuły niebo, a zamęt ogarnia morze. Chronią nas, Wielka Maciorze.|Chmury przesłaniają niebo, a morze ogarnia burza. Broni nas Wielka Matko.|Chmury przesłaniają niebo, a burza szaleje na morzu. Chroń nas, Wielka Matko.| Chmury zasnuły niebo, a zamęt ogarnia morze. Chronią nas, Wielka Macio.|Chmury przesłaniają niebo i morze ogarnia burza. Obroń nas, Wielka Matko.|Chmury przesłaniają niebo, a burza szaleje na morzu. Broń nas, Wielka Matko.| Chmury zasnuwają niebo, a zamęt ogarnia morze. Obron nas, Wielka Maciorze.|Chmury zasłaniają niebo, a morze ogarnia burza. Broni nas, Wielka Matko.|Chmury zasłaniają niebo, a burza szaleje na morzu. Broń nas, Wielka Matko.| Chmury zakrywają niebo, a zamęt ogarnia morze. Chroni nas, Wielka Macio!|Chmury przesłaniają niebo, a morze ogarnia zamęt. Obroni nas, Wielka Matko.|Chmury zaciemniają niebo, a burza ogarnia morze. Chroń nas, Wielka Matko.| Chmury zasnuły niebo, zamęt ogarnia morze. Chronić nas, Wielka Macio.|Chmury przesłaniają niebo, a zmęczenie ogarnia morze. Obroń nas, Wielka Matko.|Chmury przesłaniają niebo, a burza ogarnia morze. Chroń nas, Wielka Matko.| 'Chmury zakrywają niebo, a zamęt ogarnia morze. Chronisz nas, Wielka Macierzy.'|Chmury przysłaniają niebo i morze ogarnia burza. Obroni nas, Wielka Matko.|Chmury zasnuwają niebo, a sztorm szaleje na morzu. Chroń nas, Wielka Matko.| 'Chmury zasnuwają niebo, a zamęt ogarnia morze. Bronimy się, Wielka Macierzy.'|Chmury przesłaniają niebo, a burza ogarnia morze. Obron nas, Wielka Matko.
Water Hag|Baba wodna|Wodna wiedźma|Wodna wiedźma| Wodna Wiedźma|Wodna wiedźma|Wodna wiedźma| Wodna Wiedźma|Wodna Wiedźma|Wodna wiedźma| Wodna czarownica|Wodna Wiedźma|Wodna wiedźma| Wodna czarownica|Wodna Wiedźma|Wodna Wiedźma| Wodna Wiedźma|Wodna Baba|Wodna Wiedźma| Wodna czarownica|Wodna Wiedźma|Wodna Wiedźma|" ""Wodna Babka"""|Wodna wiedźma|Wodnica|" Wodna Wiedźma

Ten termin jest używany w grze The Witcher, gdzie jest to jeden z typów potworów. W polskiej wersji gry jest to ""Wodna Wiedźma""."|Wodna żebraka|Wodna Wiedźma| Wodna czarownica (Water Hag)|Wodna wiedźma|Wodna wiedźma| 'Wodna Wiedźma'|Wodna Baba|Wodnica| Wodna czarownica|"""Mokra żeńska czarownica"""
What is it? That a name?|O co chodzi? To jakieś imię?|Co to jest? To imię?|Co to jest? Czy to imię?| Co to jest? To imię?|Co to jest? To nazwa?|Co to jest? Czy to imię?| Co to jest? To imię?|Co to jest? To nazwa?|Co to jest? Czy to imię?| Co to jest? To jest imię?|Co to jest? To nazwa?|Co to jest? Czy to imię?| Co to jest? To jest imię?|Co to jest? To nazwa?|Co to jest? Czy to imię?| Co to jest? To nazwa?|Co to jest? To nazwa?|Co to jest? Czy to imię?| Co to jest? To imię?|Co to jest? To nazwa?|Co to jest? Czy to imię?| Co to jest? To imię?|Co to jest? Czyżby imię?|Co to jest? Czy to imię?| Co to jest? Czy to jest imię?|Cóż to jest? Czy to nazwa?|Co to jest? Imię?| 'Co to jest? To jest imię?'|Co to jest? To nazwa?|Co to jest? Czy to imię?| Co to jest? Czy to nazwa?|To co to jest? To nazwa?|Co to jest? Imię?| Co to jest? To nie jest nazwa?|Co to jest? Czy to nazwa?
It's not drowners this time. It's Cerys. I'm looking for her.|Tym razem nie chodzi o utopce, tylko o Cerys. Szukam jej.|Tym razem to nie utopce. To Cerys. Szukam jej.|To nie są nurkowie tym razem. To Cerys. Szukam jej.||To nie topielce tym razem. To Cerys. Szukam jej.|To nie są nurkowie tym razem. To Cerys. Szukam jej.| Tym razem nie są to utopce. To Cerys. Szukam jej.|To nie topielce tym razem. To Cerys. Szukam jej.|To nie są nurkowie tym razem. To Cerys. Szukam jej.| Nie są to tym razem topielce. To Cerys. Szukam jej.|To nie topielcy tym razem. To Cerys. Szukam jej.|To nie są nurkowie tym razem. To Cerys. Szukam jej.| Tym razem nie są to utopcy. To Cerys. Szukam jej.|To nie topielcy tym razem. To Cerys. Szukam jej.|To nie są nurkowie tym razem. To Cerys. Szukam jej.| Tym razem nie są to utopce. To Cerys. Szukam jej.|To nie topielcy tym razem. To Cerys. Szukam jej.|To nie są nurkowie tym razem. To Cerys. Szukam jej.| Tym razem nie są to topielce. To Cerys. Szukam jej.|To nie topielec tym razem. To Cerys. Szukam jej.|To nie są nurkowie tym razem. To Cerys. Szukam jej.| Nie są to tym razem topielce. To Cerys. Szukam jej.|Nie są to topielce tym razem. To Cerys. Szukam jej.|To nie są kamizelki ratunkowe tym razem. To Cerys. Szukam jej.| Tym razem nie są to utopce. To Cerys. Szukam jej.|To nie topielcy tym razem. To Cerys. Szukam jej.|To nie są nurkowie tym razem. To Cerys. Szukam jej.| Nie są to utopce tym razem. To Cerys. Szukam jej.|To tym razem nie topielcy. To Cerys. Szukam jej.|To nie są płetwonurkowie tym razem. To Cerys. Szukam jej.| Nie są to tym razem topielce. To Cerys. Szukam jej.|Nie są to potwory tym razem. Jest nią Cerys. Szukam ją.|To tym razem nie nurkowie. To Cerys. Szukam jej.| Tym razem to nie jest utopiec. To Cerys. Szukam jej.|To nie topielec tym razem. To Cerys. Szukam jej.
