en_text|pl_text|bielik_translation|mixtral-8x22B_translation|llama3.1_translation|google_translation
Remember the wild men I sparred with? The ones we called Vildkaarls?|Pamiętasz tych osiłków, z którymi się biłem na pięści? Tych, co nazywają vildkaarlami?|Pamiętasz dzikich mężczyzn, z którymi się siłowałem? Tych, których nazywaliśmy Vildkaarls?| Pamiętaj dzikich mężczyzn, z którymi walczyłem? Tych, których nazywaliśmy Vildkaarls.|Pamiętasz tych dzikich ludzi z którymi trenowałem walki? Tych które nazywaliśmy Wildkaarls?|Pamiętasz dzikich ludzi, z którymi się biłem? Tych, których nazywaliśmy Vildkaarls?
Why do you want this power?|Do czego ci ta moc?|Dlaczego chcesz tej władzy?| Dlaczego chcesz tę władzę?|Dlaczego chcesz tej mocy?|Dlaczego chcesz mieć tę moc?
Long live Hjalmar!|Wiwat Hjalmar!|"""Niech żyje Hjalmar!"""| Niech żyje Hjalmar!|Niech żyje Hjalmar!|Niech żyje Hjalmar!
Have a look at this diagram.|Rzuć okiem na ten schemat.|Spójrz na ten diagram.| Spojrzej na ten schemat.|Zobacz ten schemat.|Przyjrzyj się temu diagramowi.
Maybe that's not entirely true. Cave of Dreams - supposed to be a dangerous place.|Może się myliłeś. Jaskinia Snów to podobno niebezpieczne miejsce.|Może to nie jest całkowicie prawdziwe. Jaskinia Snów - rzekomo niebezpieczne miejsce.| Może to nie jest całkowicie prawda. Jaskinia Marzeń - ma być rzekomo niebezpiecznym miejscem.|Może to nie jest zupełnie prawda. Jaskinia Marzeń - miała być niebezpiecznym miejscem.|Może to nie do końca prawda. Cave of Dreams - miało być niebezpiecznym miejscem.
Did you learn anything in Velen?|Dowiedziałeś się czegoś w Velen?|Czy nauczyłeś się czegoś w Velen?| Czy coś nauczyłeś się w Velen?|Nauczyłam się czegoś w Velen?|Czy nauczyłeś się czegoś w Velen?
We'll see what our new king says. But it'd be strange to see those longships just sit in the harbor.|Zobaczymy, co powie nowy król. Ale zdziwiłbym się, gdyby drakkary zostały w porcie.|Zobaczymy, co powie nasz nowy król. Ale dziwnie byłoby widzieć te długie statki tak po prostu siedzące w porcie.| Przyszłość pokaże, co powie nasz nowy król. Ale dziwne jestoby było zobaczyć te długie łodzie, po prostu stojące na przystani.|Zobaczymy, co powie nasz nowy król. Ale jest dziwne widzieć te długie statki tylko uchodzące w porcie.|Zobaczymy, co powie nasz nowy król. Ale byłoby dziwne, gdyby te długie statki po prostu stały w porcie.
Ready when you are.|Jestem gotowy.|Gotowy kiedy ty.| Gotowy, gdy jesteś.|Gotów, gdy ty jesteś.|Jesteśmy gotowi, kiedy Ty będziesz.
Celandine would dull the pain.|Jaskółcze ziele uśmierzyłoby ból.|Celandyna tłumiłaby ból.|" ""Celandynę zmniejszyłoby ból."" Please note that I used Google Translate for this task, and there might be a better translation or variations depending on the context."|Nasenne znieczulałoby ból.|Glistnik uśmierza ból.
Custom demands pilgrims make an offering of their own blood before the tree. Craven surely did so… Unless he lacked not only courage but respect for Freya as well.|Zwyczaj nakazuje, by pielgrzymi złożyli pod drzewem ofiarę z własnej krwi. Tchórz też tak pewnie zrobił... Chyba że brak mu było nie tylko odwagi, ale i szacunku dla Freyji.|"""Niestandardowe wymagania pielgrzymów nakazują złożenie ofiary z własnej krwi przed drzewem. Craven na pewno tak uczynił... Chyba że brakowało mu nie tylko odwagi, ale też szacunku dla Freyi."""| 'Ślepe tradycje wymagają od pielgrzymów ofiarowania swojej krwi przed drzewem. Craven na pewno tak uczynił... Chyba że był pozbawiony nie tylko odwagi, ale także szacunku dla Freyi.'|'Należyte zwyczaje żądają od pielgrzymów złożenia przed drzewem ofiary własnej krwi. Z pewnością tak uczynił Craven… chyba że brakowało mu nie tylko odwagi, ale i szacunku dla Freyi.'|Zwyczaj wymaga, aby pielgrzymi składali ofiarę z własnej krwi przed drzewem. Craven z pewnością to zrobił… Chyba że zabrakło mu nie tylko odwagi, ale i szacunku dla Freyi.
Talking won't get me anywhere…|Rozmowa chyba nic tu nie da...|Mówienie nie zaprowadzi mnie nigdzie...| Rozmawianie niczego nie da...|Gadanie nic tu nie da...|Gadanie nic mi nie da…
There's no sense in going if you don't stay calm.|Musisz zachować spokój, inaczej w ogóle nie ma sensu się za to zabierać.|Nie ma sensu iść, jeśli nie zachowasz spokoju.| Brak sensu w tym, żeby pójść, jeśli nie pozostaniesz spokojny.|Nie ma sensu jechać, jeżeli nie zachowasz spokoju.|Nie ma sensu iść, jeśli nie zachowasz spokoju.
Me gran always adds mallow.|Moja babka dodaje jeszcze prawoślazu.|Moja babcia zawsze dodaje ślaz.| Moja babcia zawsze dodaje malwy.|Babcia zawsze dodaje marcipana.|Moja babcia zawsze dodaje malwę.
First time for everything.|Kiedyś musi być ten pierwszy raz.|Pierwszy raz dla wszystkiego.|" ""Pierwszy raz wszystko."""|Po raz pierwszy każdy może.|Pierwszy raz we wszystkim.
Thank you. Nice to see you again.|Dziękuję. Miło znów cię widzieć.|Dziękuję. Miło cię znów widzieć.| Dziękuję, miło znowu Cię widzieć.|Dziękuję. Miło Cię znowu thấy.|Dziękuję. Miło cię znowu widzieć.
And I'll be on my guard.|Więc będę czujny.|I będę na baczności.|" ""I będę na straży."""|I będę czuwać.|I będę czujny.
*Sighs* Ehh.|Ech.|Wzdycha *Ehh.*| Wdycha, hm... (Polish: *Sighs* Ehh.)|*Wzdycha* Ech.|*Westchnięcie* Ech.
I'm Geralt. A witcher.|Jestem Geralt, wiedźmin.|Jestem Geralt. Wiedźmin.| Jestem Geralt. Wiedźmin.|Jestem Geralt. Wiedźmin.|Jestem Geralt. Wiedźmin.
What'd he do to you, Simun?|Czym ci podpadł ten człowiek, Simun?|Co on ci zrobił, Simunie?| Co on zrobił ci, Simunie?|Co on ci zrobił, Simun?|Co on ci zrobił, Simun?
Why won't they let you examine the zone?|Dlaczego cię nie dopuszczają?|Dlaczego nie pozwolą ci zbadać strefy?| Dlaczego nie pozwalają Ci zbadać strefy?|Dlaczego nie pozwalają ci zbadać strefy?|Dlaczego nie pozwalają ci zbadać strefy?
You'd be surprised. But you needn't tell me if you don't want to.|Hm, mógłbyś się zdziwić. Ale nie musisz mi mówić, jeśli nie chcesz.|"""Byłbyś zaskoczony. Ale nie musisz mi mówić, jeśli nie chcesz."""| Byłoby to dla Ciebie zaskoczeniem. Ale nie musisz mi mówić, jeśli nie chcesz.|Byłbyś zdziwiony. Ale nie musisz mi mówić, jeśli nie chcesz.|Byłbyś zaskoczony. Ale nie musisz mi mówić, jeśli nie chcesz.
Sven must be banished before the jarl learns of this.|Trzeba wygnać Svena, zanim jarl się dowie.|Svena należy wygnać, zanim jarl dowie się o tym.| Sven musi zostać wygnany, zanim jarl dowiedział się o tym.|Sven musi zostać wygnany, zanim jarl się dowie.|Svena należy wygnać zanim jarl się o tym dowie.
Now we walk only as far as the tree the goddess planted. We place our offerings and make our pleas before it.|A teraz możemy przejść tylko do drzewa, które zasiała sama bogini. Tam składamy nasze dary i prośby.|Teraz chodzimy tylko tak daleko, jak do drzewa, które zasadziła bogini. Składamy nasze ofiary i zanosimy nasze prośby przed nim.| Teraz chodzimy tylko tak daleko, jak drzewo zasadzone przez boginię. Składamy nasze ofiary i prosimy przed nim.|Teraz idziemy tylko tak daleko, jak drzewo zasadzone przez boginię. Składamy nasze ofiary i przedstawiamy swoje prośby przed nim.|Teraz idziemy tylko tak daleko, jak drzewo zasadziła bogini. Składamy nasze ofiary i zanosimy nasze prośby przed nim.
So her becoming queen of all Skellige - it's changed nothing?|Czyli nic się nie zmieniło po tym, jak została królową całego Skellige?|Więc jej zostanie królową całego Skellige - nic nie zmieniło?| 'Więc jej królowanie - nie zmieniło niczego?'|"""Czyż więc jej zostanie królową całego Skellige niczego nie zmieniło?"""|Czyli to, że została królową całego Skellige, niczego nie zmieniło?
What do I do to complete the Path of Warriors? Remind me.|Przypomnij mi, co trzeba zrobić, żeby zakończyć próbę na szlaku wojowników?|Co muszę zrobić, aby ukończyć Ścieżkę Wojowników? Przypomnij mi.| Co muszę zrobić, żeby ukończyć Ścieżkę Wojowników? Przypomnij mi.|Co muszę zrobić, żeby hoànować Ścieżkę Wojownika? Przypomnij mi.|Co mam zrobić, aby ukończyć Path of Warriors? Przypomnij mi.
Fine… We'll do as you say. If the need arises, I can cast spells from up here.|Dobrze. Zrobimy, jak mówisz. Jakby co, będę cię wspierać zaklęciami z murów.|Dobrze... Zrobimy, jak mówisz. Jeśli zajdzie potrzeba, mogę rzucać zaklęcia stąd.| Dobrze... Zrobimy tak, jak ci mówisz. Jeśli będzie to konieczne, mogę rzucać zaklęcia z tego miejsca.|W porządku... Zrobimy jak mówisz. Jeśli zajdzie taka potrzeba, mogę rzucać zaklęcia stąd.|Dobrze… Zrobimy, jak mówisz. Jeśli zajdzie taka potrzeba, mogę rzucać czary stąd.
Just make sure you stay vigilant, listen to what I say.|Ważne, żebyś był czujny i słuchał moich poleceń.|Po prostu upewnij się, że zachowasz czujność i będziesz mnie słuchał.| Zapewnij jedynie, że pozostaniesz czujny i będziesz słuchał tego, co mówię.|Tylko uważaj, słuchaj co mówię.|Tylko zachowajcie czujność, posłuchajcie, co mówię.
What do I look for? Did Aki have anything that'll help me recognize him? Something he was wearing that could survive all this time under water?|Aki miał przy sobie coś, po czym mógłbym go rozpoznać? Coś, co wytrzymałoby pod wodą tyle czasu?|Czego szukam? Czy Aki miał coś, co pomoże mi go rozpoznać? Coś, co miał na sobie i mogło przetrwać tak długo pod wodą?| Co powinienem szukać? Czy Aki miał coś, co pomoże mi go rozpoznać? Czy był czymś ubrany, co mogłoby przetrwać tak długi czas pod wodą?|'Co mam szukać? Czy Aki miał coś, co może mi pomóc go rozpoznać. Coś, czego używał, co mogło przetrwać tak długo pod wodą?'|Czego mam szukać? Czy Aki miał coś, co pomoże mi go rozpoznać? Coś, co miał na sobie i co mogło przetrwać cały ten czas pod wodą?
So you don't actually know if it works, how it works?|Czyli właściwie nie wiadomo, czy ona działa?|Więc tak naprawdę nie wiesz, czy to działa i jak to działa?| Tak naprawdę nie wiesz, czy to działa, jak to działa?|Czyż tak naprawdę nie wiesz czy działa i jak działa?|Więc tak naprawdę nie wiesz czy to działa, ani jak to działa?
Leave that to me. Go, seek and find your Cirilla.|Ja z nim pogadam. A wy ruszajcie szukać Ciri.|Zostaw to mnie. Idź, szukaj i znajdź swoją Cirillę.| Zostaw to mnie. Idź, szukaj i znajdź swoją Cirillę.|Zostaw to mnie. Idź, szukaj i znajdź swoją Ciri.|Zostaw to mnie. Idź, poszukaj i znajdź swoją Cirillę.
