en_text,pl_text,dialog_extracted,chrf_dialog_extracted,bleu_dialog_extracted,bertscore_dialog_extracted,comet_dialog_extracted
"Oh… Welcome to the grove, brother.","Witaj w naszym gaju, bracie.","Witaj w gaju, bracie.",0.6127006518886986,0.18713114109010565,0.9276427030563354,0.9565143585205078
Uh-huh.,No i co?,Hmm.,1.0000000000000001e-16,0.0,0.6284238696098328,0.7479393482208252
Aha. And you thought I'd find this interesting because…?,"Mhm. I czemu uznałeś, że mnie to zainteresuje?","Aha. I pomyślałeś, że znajdę to interesujące, ponieważ...?",0.38468445528836986,0.03655552228545124,0.7866809368133545,0.8645691275596619
Cause I already know who nabbed your treasure. Commander of the Temple Guard. Caleb Menge.,"Bo wiem już, kto położył łapę na twoim skarbie. Szef straży świątynnej... Niejaki Kaleb Menge.","Ponieważ już wiem, kto ukradł twój skarb. Dowódca Gwardii Świątynnej. Caleb Menge.",0.3332226677055107,0.015775377779808884,0.7709743976593018,0.870733916759491
"I know it took her a while to gain control. And frankly, I doubt she controls her abilities fully to this day.","Wiem, że długo uczyła się kontrolować umiejętności, ale chyba dotąd nie panuje nad nimi w pełni.","Wiem, że zajęło jej trochę czasu, żeby odzyskać kontrolę. I szczerze mówiąc, wątpię, czy do dziś w pełni panuje nad swoimi umiejętnościami.",0.4355509952916144,0.027472210590938562,0.7637248039245605,0.8878433108329773
Nemrod - I fear I can choose no other.,Mój wybór nie może być inny – pojadę na Nemrodzie.,"Nemrod - Obawiam się, że nie mogę wybrać innego.",0.2682538374983428,0.02145851237135921,0.7278054356575012,0.6905838847160339
Sure Avallac'h's only interested in you for your magic abilities?,"Jesteś pewna, że Avallac’h interesuje się tobą tylko z powodu twoich zdolności?",Czyżby Avallac'h był zainteresowany tobą tylko ze względu na twoje umiejętności magiczne?,0.3706100693010573,0.03602080288207364,0.7870224118232727,0.9137501120567322
"Oh, small things, sundries. This, that, the other. Truly, officer, naught to fret about 'ere, because--","A, takie drobiazgi. Trochę tego, trochę tamtego. Naprawdę, panie władzo, nie ma się co kłopotać, bo...","Ach, drobiazgi, różne drobiazgi. To, tamto, inne. Naprawdę, oficerze, nie ma się czym przejmować tutaj, ponieważ...",0.4136284301279458,0.06917184228205472,0.8398046493530273,0.8127545118331909
What'll come?,Co przyjdzie?,Co się stanie?,0.13156565656565664,0.11362193664674995,0.8530626893043518,0.9238321781158447
They… They…,Oni... Oni...,Oni... Oni...,1.0,0.316227766016838,1.0,0.9905672073364258
"You must go now. I've no time for you, I must gather my things.","Idźcie już. Nie mam czasu, muszę się spakować.","Musisz teraz iść. Nie mam dla ciebie czasu, muszę spakować swoje rzeczy.",0.5698954029756196,0.05094110796339642,0.8316562175750732,0.9341121912002563
What happened to him?,I co się z nim stało?,Co się z nim stało?,0.8558388507985722,0.5475182535069453,0.9602872729301453,0.9812914729118347
No! We win human from Myrhyff!,Nie. Człowiek wygrany od Myrhyffa.,Nie! Mamy człowieka z Myrhyff!,0.3769108992565591,0.0,0.7812038660049438,0.6458402276039124
Tis old man Ambros!,"Kurwa, to stary Jamroz!",To stary pan Ambroży!,0.24535747791156215,0.08034284189446518,0.7900753021240234,0.5948712825775146
"Aye, so it were. 'Cept it was some drowner that had supped on the kid. Witcher had naught to do with it!",Tak było. Tyle że dzieciaka jakiś utopiec zeżarł i wiedźmak nic do tego nie miał!,"Ach, tak było. Ale to był jakiś topielec, który najadł się dziecka. Czarownica nie miała z tym nic wspólnego!",0.34012685632501977,0.014400124446705301,0.7450379133224487,0.7368730306625366
You--! You boor!,Ty... ty chamie!,Ty -! Ty chamie!,0.5072693053199476,0.08034284189446518,0.8694776892662048,0.9063262939453125
All right. We've talked. Do what you gotta. Just remember… I can't help but get in your way.,Dosyć gadania. Róbcie co do was należy i pamiętajcie... Będę wam w tym przeszkadzał.,Dobrze. Porozmawialiśmy. Rób co musisz. Tylko pamiętaj... Nie mogę się powstrzymać przed wchodzeniem ci w drogę.,0.2730850933604296,0.014628063653657535,0.7410048246383667,0.7865281701087952
"On our way, then.",No to w drogę.,"W drogę, więc.",0.2906832024884675,0.0,0.8205035328865051,0.9349525570869446
It's always the same! I've had enough!,Zawsze to samo! Mam już tego dość!,To zawsze jest tak samo! Mam już dosyć!,0.4830056215926488,0.1374708101760565,0.8735319375991821,0.9830287098884583
Ho-ho-hold on - what're you doing here? We were gonna meet at the Rosemary.,"Ale zaraz, właściwie co ty tu robisz? Mieliśmy się spotkać w Szałwii.",Co jest? Co robisz tutaj? Mieliśmy się spotkać w Różanej.,0.4130248297866636,0.2150731916129893,0.8420889377593994,0.8400370478630066
What do you intend to do?,I co zamierzasz?,Co zamierzasz zrobić?,0.7137041225975707,0.0,0.8101519346237183,0.9735769033432007
Sounds great. You start.,Brzmi dobrze... Zaczynaj.,Brzmi świetnie. Ty zaczynasz.,0.3128727428217688,0.08034284189446518,0.8270842432975769,0.9450077414512634
We'll meet again.,Jeszcze się zobaczymy.,Spotkamy się ponownie.,0.11057504873294353,0.11362193664674995,0.7931457161903381,0.9215470552444458
Shh! The Guard is well aware.,Ćsii! Straż wie bardzo dobrze...,Ciii! Straż jest dobrze świadoma sytuacji.,0.3860251480772205,0.040824829046386304,0.835111141204834,0.8601601123809814
Værthu Hemdall hael.,Værthu Hemdall hael.,Niech pamięć o nim trwa wiecznie.,0.07894736842105272,0.0,0.6168121099472046,0.3748849928379059
No. Father was a stove-fitter. Mother… Mother stayed home.,Nie. Ojciec był zdunem. Matka... Matka w domu siedziała.,Nie. Ojciec był monterem pieców. Matka... Matka zajmowała się domem.,0.5626927385686535,0.13134549472120793,0.8599509000778198,0.8022099733352661
Wasn't expecting anything.,Niczego nie oczekiwałem.,Nie spodziewałem się niczego.,0.37916479378367957,0.0,0.8140425682067871,0.9617476463317871
"No. Don't plan to, either.",Nie. I nie mam zamiaru.,Nie. Nie mam też takich planów.,0.2684687185107182,0.048549177170732344,0.8378618955612183,0.9171901345252991
Do you think the hierarch supports the Temerian guerillas? With coin?,Myślisz ze hierarcha wspiera funduszami temerskich partyzantów?,"Czy myślisz, że hierarcha wspiera temerskich partyzantów? Za pomocą pieniędzy?",0.6911044131033565,0.06311969078225892,0.8500329256057739,0.9273232221603394
No.,Nie.,Nie.,0.6666666666666666,0.1778279410038923,1.0,0.975537121295929
Wonder if I can open it using one of Aeramas' items…,Może otwiera go jeden z przedmiotów należących do Aeramasa?,"Ciekawe, czy uda mi się otworzyć to za pomocą jednego z przedmiotów Aeramasa...",0.3962656128398794,0.03285702044797773,0.7798392176628113,0.8845832943916321
Snake-eyed prat!,Chamie żmijooki!,Gadziooki dureń!,0.1641330891330892,0.0,0.7307534217834473,0.6630056500434875
"You will be chained to a rock to perish of hunger and thirst, and sea fowl will peck apart your remains.","Zostaniesz przykuta do skał. Umrzesz z głodu i pragnienia, a twoje szczątki rozdziobią ptaki.","Będziesz przykuta do skały, aby umrzeć z głodu i pragnienia, a mewy rozszarpią twoje ciało.",0.5214857984523519,0.2925612730731506,0.8461363911628723,0.8823358416557312
That hurt!,Au! Boli!,To zabolało!,0.08307201408373227,0.0,0.7343615293502808,0.8791427612304688
"Witchers, good folk, are like necrophages.","Wiedźmin, ludzie, podobnym jest do trupojada.","Czarodzieje, dobrzy ludzie, są jak nekrofagi.",0.23152855718645193,0.040824829046386304,0.7275218963623047,0.6217976808547974
"I'll drink another, then fuck the innkeep.","Wypiję jeszcze jednego, to wyrucham karczmarza","Wypiję jeszcze jednego, a potem przelecę karczmarza.",0.6881977333351944,0.16348126556655487,0.8207971453666687,0.7900030612945557
What happened to Tamara's mother?,Co się stało z matką Tamary?,Co się stało z matką Tamary?,1.0,1.0,1.0,0.9907869696617126
"The other shite, mallow, ought to have that, too. Chops it, adds it to our milker's feed.","To drugie też będzie miała, bo krasuli do paszy dodaje.",Pokrzywa też powinna mieć to samo. Kroi ją i dodaje do paszy naszego dojarza.,0.29716599089569445,0.03342866121562732,0.7617846131324768,0.655670166015625
I must leave this place.,Muszę się stąd wydostać.,Muszę stąd odejść.,0.3428989715378386,0.09681772177713914,0.9094521403312683,0.8982424139976501
"Gods, save me!",Bogowie ratujcie!,"Boże, ratuj mnie!",0.28141078573285877,0.0,0.8174546957015991,0.9741681814193726
Then please do.,"W takim razie mów, proszę.",Proszę mów.,0.1867286547091711,0.0,0.793683648109436,0.9110910892486572
What's this?,Co to jest?,Co to jest?,1.0,0.5623413251903491,1.0,0.9942288994789124
Till we meet again.,Do zobaczenia.,Do zobaczenia ponownie.,0.8489960036710024,0.11362193664674995,0.8824703097343445,0.9562874436378479
"Oh, Nibbles, yousa naughty kitty, aren't ye?","Mruczek, no zo dzi choci?","Oh, Nibbles, ty niegrzeczny kotku, prawda?",0.12605156779198087,0.0,0.7002905011177063,0.5555505752563477
You'll see… so long as ye get to the end. So long as the harpies don't get ye.,Zobaczysz... O ile dopłyniesz do końca. O ile nie rozszarpią cię harpie.,"Zobaczysz... pod warunkiem, że dotrzesz do końca. Pod warunkiem, że harpie cię nie dorwą.",0.4421347666367259,0.03798229226827674,0.7950974702835083,0.7535291314125061
Yes.,Tak.,Tak.,0.6666666666666666,0.1778279410038923,1.0,0.9804931879043579
"For a man who shakes down beggars and thieves for tribute, you're quite the romantic.","Jak na człowieka, który ściąga haracz od żebraków i złodziei, jesteś całkiem romantyczny.","Dla mężczyzny, który wymusza haracz od żebraków i złodziei, jesteś naprawdę romantyczny.",0.6043237743309842,0.41249148923121126,0.9085296392440796,0.8576992750167847
Here.,Trzymaj.,Tutaj.,0.16322532549713084,0.0,0.8010749220848083,0.5696918964385986
Thank you.,Dziękuję.,Dziękuję.,1.0,0.1778279410038923,1.0,0.98307865858078
Come on!,No chodź!,Chodźmy!,0.264484126984127,0.0,0.8638587594032288,0.93108069896698
Muuurdeeeer!,Mooorduuuj!,Morderca!,0.14712029592981982,0.0,0.7688122987747192,0.5874168872833252
"Oh, you frightened me!",Aleś mnie przestraszył!,"Och, wystraszyłeś mnie!",0.4813311874457385,0.0,0.8331432342529297,0.9376125931739807
"Can't rightly know. Sure, we searched a few caverns, but hidden nooks abound. If someone wanted to hide in here, they could, easily. Even if they weren't an owl.","Bo ja wiem? Niby przeszukaliśmy kilka pomieszczeń, ale tu jest mnóstwo zakamarków. Jakby chciała, to mogłaby się schować. Szczególnie w postaci sowy.","Nie możemy być pewni. Szukaliśmy w kilku jaskiniach, ale ukrytych zakamarków jest tu mnóstwo. Jeśli ktoś chciałby się tutaj schować, mógłby to zrobić bez trudu. Nawet jeśli nie byłby sową.",0.3738663466346092,0.009772992164303737,0.7861620783805847,0.8141456842422485
"…but nay, the mage, he says, ""Bring me rats! An' healthy ones! Not somethin' the cat dragged in.""","...ale nie, czarownik mówi: przynieś mi szczurów, ino zdrowe mają być, nie kotu z gardła wyłuskane.","Przynieście mi szczury! I zdrowe! Nie coś, co kot przyciągnął za sobą.",0.2456117435599919,0.012204811114796843,0.7312296032905579,0.6348262429237366
Explains the name… There an entry fee?,To tłumaczy nazwę... Jakie jest wpisowe?,Wyjaśnia nazwę... Czy jest opłata za wstęp?,0.27638295740277674,0.039281465090051315,0.8035671710968018,0.8253963589668274
Good! May all Skellige know Yennefer of Vengerberg is a common thief!,"I bardzo dobrze! Niech całe Skellige się dowie, że Yennefer z Vengerbergu to zwykła złodziejka!","Dobrze! Niech całe Skellige wie, że Yennefer z Vengerbergu jest pospolitym złodziejem!",0.6509024617942594,0.23879190165893138,0.908270537853241,0.920656144618988
Hey!,Hola!,Hej!,0.06802721088435383,0.0,0.8941389918327332,0.9734377264976501
"Uh, Triss… Sure you want to do this? Out here? With everyone watching?",Triss... To chyba nie czas na takie zabawy. Ani miejsce.,"Uh, Triss… Na pewno chcesz to zrobić? Tutaj? Na oczach wszystkich?",0.17285021908220413,0.0,0.6331590414047241,0.6085103154182434
I slew only two of the Crones.,Zabiłam tylko dwie wiedźmy.,Pokonałem tylko dwie z Kruków.,0.3759601924115279,0.11362193664674995,0.800355851650238,0.607115626335144
"Ah, it was too much, I almost drowned in it. When everything is possible, it quickly becomes a lot less alluring.","Bo się nią zachłysnęłam. Kiedy wszystko jest w zasięgu ręki, nagle staje się mniej kuszące.","Ach, było tego za dużo, prawie się utopiłem w tym. Kiedy wszystko jest możliwe, szybko staje się znacznie mniej pociągające.",0.431120424335578,0.06740258529346294,0.7676216959953308,0.8504073023796082
Why you care?,Bo co?,Dlaczego cię to obchodzi?,0.12874225364406047,0.0,0.6845002174377441,0.8553972244262695
"Soothing, the scent of the freshly cut lawn.",Zapach świeżo skoszonej murawy działa na mnie kojąco.,"Uspokajający, zapach świeżo skoszonego trawnika.",0.47181062978892235,0.029486824119076216,0.7748199701309204,0.8452157378196716
"Ooh, must've pissed off Bedlam!",To się musiał Bedlam wkurwić.,"Och, musiało to wkurzyć Bedlama!",0.3793072273044387,0.0,0.7633615732192993,0.8741751909255981
Gut the mutant!,Zatłuc mutanta!,Dobra robota z mutantem!,0.3299346451517063,0.0,0.8055106997489929,0.46272873878479004
This is getting interesting…,Robi się interesująco...,To robi się interesujące...,0.7880347595328926,0.08034284189446518,0.8742572069168091,0.9688161015510559
What was her motive?,Jaki miała motyw?,Jaki był jej motyw?,0.39393942807657023,0.09554427922043669,0.8982623815536499,0.9757234454154968
There's also a Clan Drummond figurehead.,Jest też galion klanu Drummond.,Jest też figura dziobowa Clan Drummond.,0.5026158185555619,0.09554427922043669,0.8020905256271362,0.6599626541137695
You can say that again.,Dobrze powiedziane.,Możesz tak powiedzieć.,0.39741468672100605,0.0,0.7984757423400879,0.6027202606201172
I draw it all from the flight patterns of birds.,Odczytuję z lotu ptaków.,Czerpię to wszystko z wzorców lotu ptaków.,0.47294996404468903,0.07730551756939454,0.7990144491195679,0.7795389294624329
"You heard? He finally met his match! Some cutthroat, a witcher, I think, gave Junior his due!","Słyszałeś? Trafiła w końcu kosa na kamień! Jakiś zabijaka, wiedźmin zdaje się, policzył się z Juniorem!","Słyszałeś? Wreszcie spotkał godnego siebie przeciwnika! Jakiś bezwzględny typ, chyba czarodziej, dał Juniorowi to, na co zasłużył!",0.28710039838752305,0.015138514598766055,0.7429677248001099,0.7403423190116882
And they say the city treasury's bursting with enough to equip two armies.,"I powiadają, że za to, co jest w miejskim skarbcu, można uzbroić ze dwie armie.","I mówią, że skarbiec miasta pęka w szwach od wystarczających funduszy, by wyposażyć dwa armie.",0.24365410510647886,0.018693000799960027,0.7564370632171631,0.8097501397132874
Geralt of Rivia. A witcher.,Geralt z Rivii. Wiedźmin.,Geralt z Rivii. Wiedźmin.,1.0,1.0,1.0,0.9838165044784546
"Greetings to you, sir.",Moje uszanowanie.,"Pozdrawiam Cię, panie.",0.20779216225201289,0.0,0.6631956100463867,0.5543685555458069
Sensed from the start you were up to something. You didn't haggle about your pay. And then I heard from my sources that Margrave Henckel and Dandelion had rubbed elbows. Wasn't hard to connect the dots.,"Od początku czułem, że coś kombinujesz. Nie targowałeś się o wynagrodzenie. A potem, jak dowiedziałem się swoimi kanałami, że w domu margrabiego Henckla widywano Jaskra... Złożyłem sobie wszystko w całość.","Wyczuwałem od początku, że coś knujesz. Nie targowałeś się o swoją płacę. A potem dowiedziałem się ze swoich źródeł, że Margrave Henckel i Dandelion mieli bliski kontakt. Nie było trudno połączyć fakty.",0.41620450677741744,0.10375099461814634,0.7867117524147034,0.7199302315711975
Not far. Over yonder.,"A tu, niedaleko.",Niezbyt daleko. Tam po drugiej stronie.,0.40856920856920853,0.0,0.7382972836494446,0.7105632424354553
Or monsters. It'd be no wonder there's no footprints.,"Albo potwory. Wtedy nie dziwne, że śladów brak.","A może potwory? Nie dziwiłoby mnie, gdyby nie było żadnych śladów stóp.",0.38248306195995535,0.020255986027125642,0.7728826403617859,0.8653347492218018
Hope filled both their hearts at the thought of him.,Myślały o nim z nadzieją.,Nadzieja wypełniła ich serca na myśl o nim.,0.33724508199834347,0.02777619034011792,0.7749359607696533,0.8807635307312012
"When Nilfgaard strikes, she'll hide her tail 'tween her legs. There'll be no glory, there'll be no loot.","Kiedy Nilfgaard uderzy, podkuli ogon i gówno będzie z chwały i łupów.","Kiedy Nilfgaard uderzy, schowa ogon między nogami. Nie będzie chwały, nie będzie łupów.",0.5658716120205975,0.09144626892372869,0.859195351600647,0.7041511535644531
"She's not as impulsive as Hjalmar. Thinks first, then acts. With Crach as her advisor, she has every chance to be a good queen.","Nie jest tak porywcza jak Hjalmar. Najpierw myśli, a potem działa. Mając doradcę w postaci Cracha, może być dobrą królową.","Nie jest tak impulsywna jak Hjalmar. Najpierw myśli, potem działa. Z Crachem jako doradcą ma szansę być dobrą królową.",0.6248528985367391,0.24047860794644352,0.8811036348342896,0.929222047328949
None of your business.,Nie twój interes.,To nie twoja sprawa.,0.17280920557026722,0.0,0.782351553440094,0.827261209487915
Wait!,Czekaj.,Poczekaj!,0.4508698813134297,0.0,0.7333669066429138,0.9321645498275757
"When someone pisses you off, you needn't ploughin' kill him. It's not your only arsebitin' recourse.","Jak was ktoś wkurwi, to nie musicie go od razu zabijać.","Kiedy ktoś cię zdenerwuje, nie musisz go od razu zabijać. To nie jest twoje jedyne wyjście.",0.4980070464075436,0.16943571815930883,0.7984590530395508,0.8925454020500183
With what coin?,Niby za co?,Za co?,0.22357580879612704,0.09069748827745895,0.873485267162323,0.9157281517982483
Ah. Me poor noggin'.,Au. Moja łepetyna,Ach. Moja biedna głowa.,0.2431946034151383,0.08034284189446518,0.7231027483940125,0.6885830760002136
Well… it's awful frightening. Awful.,No... Bardzo jest straszny. Bardzo.,To jest okropnie straszne. Okropne.,0.27153291715768535,0.05372849659117709,0.7629088759422302,0.8737081289291382
You've not been here five minutes and already you've offended me twice.,"Nie jesteście tu nawet pięć minut, a już zdążyliście mnie dwa razy obrazić.","Nie było cię tu pięciu minut, a już mnie dwa razy obraziłeś.",0.4417742889152354,0.14016825816534165,0.8539639115333557,0.9130706787109375
Sayin' I'm no good at givin'?!,Co?! Że ja nie umiem?!,"Czyżbyś sugerował, że nie jestem dobry w dawaniu?",0.167280418816264,0.02777619034011792,0.6848145723342896,0.6303612589836121
It's too deep here. You can't dive that long.,"Tu jest za głęboko, nie dasz rady zanurkować.",To jest za głęboko tutaj. Nie możesz nurkować tak długo.,0.487752232406881,0.0446323613785333,0.7928779721260071,0.900310754776001
Uh-huh. And I'll take your tongue if you don't shut up.,"Tak. A tobie odejmę język, jak się nie zamkniesz.","Uh-huh. A ja wezmę twój język, jeśli się nie zamkniesz.",0.5110847998053487,0.1186840521952098,0.830005943775177,0.6488694548606873
Not much. Empty vial.,Nic ciekawego.,Niewiele. Pusta strzykawka.,0.16980005550774427,0.0,0.7412892580032349,0.49263250827789307
"Still need to thank you, Geralt of Rivia. I'll never forget you came to my aid.","Jeszcze ci nie podziękowałem, Geralcie z Rivii. Nigdy nie zapomnę, żeś mi przyszedł z pomocą.","Wciąż muszę ci podziękować, Geralcie z Rivii. Nigdy nie zapomnę, że mi pomogłeś.",0.5854768853634266,0.350644032993456,0.8900101184844971,0.9259875416755676
Everlasting hunger - classic as curses go.,Wieczne łaknienie... Klasyka wśród klątw.,Wieczny głód - klasyka jeśli chodzi o przekleństwa.,0.2833851571133888,0.0,0.7129825353622437,0.8133314251899719
You seek someone?,A szukacie kogo?,Czy szukasz kogoś?,0.3350434677554823,0.0,0.8397820591926575,0.9302701354026794
Do you really see your son as a monk?,Naprawdę chcesz syna w mnichy posyłać?,Czy naprawdę widzisz swojego syna jako mnicha?,0.3403441449569797,0.033031643180138064,0.7963122725486755,0.8434240221977234
And an excellent chance of snappin' his leg off at the arse.,...i wyjątkową szansę na obcięcie nogi przy samej rzyci.,I świetną szansę na złamanie nogi w dupie.,0.27014098733886555,0.057367534172156044,0.8043714761734009,0.6278092265129089
Bad way to play it out.,Kiepsko to rozegrałeś.,To nie jest dobry sposób rozegrania tej sytuacji.,0.29798028672953186,0.0,0.663529634475708,0.8091055154800415
These vagabonds must be divine punishment.,Skaranie boskie z tymi przybłędami.,Ci włóczędzy muszą być boską karą.,0.1655016416571267,0.0,0.7135670185089111,0.5957782864570618
Next passage - when will it open?,Kiedy otworzy się następne przejście?,Kiedy otworzy się następny odcinek?,0.6732331167359743,0.26591479484724945,0.8943104147911072,0.8557202219963074
"We broke their spell temporarily, partly. Now it's gotta run its course.","Możliwe było tylko jej chwilowe przerwanie, ale koniec końców i tak musi się dopełnić.","Przerwaliśmy ich zaklęcie tymczasowo, częściowo. Teraz musi się ono dokonać.",0.2196357214731471,0.02991796653393773,0.7236066460609436,0.693056046962738
You mean to say… coin?,Znaczy... pieniądze?,Czyli pieniądze?,0.4870991218331399,0.1495348781221221,0.79013991355896,0.8990304470062256
"He said: ""How's that? You would strangle me with rope?"" And he wrenched the guard's sword away from him…",A on na to: jak to tak? Sznurem chcecie mnie dusić? Wyszarpnął więc strażnikowi miecz…,"Powiedział: ""Co to ma znaczyć? Chciałbyś mnie udusić liną?"" A potem wyrwał strażnikowi miecz z ręki…",0.35986742218506573,0.017395797375642234,0.7807278633117676,0.8411943316459656
That's all you're going to say? No wry remark? No scintillating joke?,Tylko tyle masz do powiedzenia? Żadnej soczystej puenty? Błyskotliwego żarciku?,"To wszystko, co masz do powiedzenia? Żadnej ciętej uwagi? Żadnego błyskotliwego żartu?",0.5800153292878135,0.21200626759025185,0.8489821553230286,0.9118812084197998
Hay-yah!,Aj jaa!,Hay-yah!,0.08064516129032268,0.0,0.8385677933692932,0.8220442533493042
Think we need ushers? A play about dopplers could be controversial… but are ushers absolutely necessary?,"Domyślam się, że sztuka o dopplerach może być kontrowersyjna... Ale żeby od razu wynajmować ochronę?",Czy potrzebujemy osób pilnujących porządku (ushers)? Sztuka o dopplerach może być kontrowersyjna... ale czy osoby pilnujące są absolutnie niezbędne?,0.49845158512470983,0.18951629567590741,0.7656398415565491,0.6790147423744202
"Thank ye, witcher! Don't know what would've become of us without ye!","Dzięki, wiedźminie, dzięki! Nie wiem, co by z nami było!","Dzięki ci, czarodzieju! Nie wiem, co by się z nami stało bez ciebie!",0.44039482927454693,0.22997519112894443,0.8368158340454102,0.9095648527145386
A katakan?,Katakana?,A katakan?,0.5207010582010582,0.0,0.8622287511825562,0.7034047245979309
"At Kaer Morhen. Minimum expression means maximum effect. Thanks for the coin. Take care, now.","W Kaer Morhen. Minimum środków wyrazu – maksymalny efekt. Dziękuję za pieniądze, do zobaczenia.",W Kaer Morhen. Mniej ekspresji oznacza maksymalny efekt. Dzięki za monetę. Uważaj teraz.,0.44694786287511906,0.09370905052462922,0.800369918346405,0.7247596979141235
"Here, in the grove. He's got a grotto. But Gremist's… well, he's a tad eccentric. And he stopped taking on apprentices ages ago.","Tutaj, w gaju ma swoją grotę. Ale Gremista jest... nieco ekscentryczny. I od dawna nie przyjmuje uczniów.","Tutaj, w zagajniku. Ma grotę. Ale Gremist... no cóż, jest trochę ekscentryczny. I przestał przyjmować uczniów wieki temu.",0.5474087477171391,0.039567167294524315,0.854965329170227,0.8782594203948975
"First you ask about a criminal's treasure… Now you want me to let loose a blaspheming degenerate. And here I had you for a man-- that is, a being… of some moral principle.","Najpierw wypytujesz mnie o pieniądze kryminalisty... Teraz chcesz, żebym wypuścił na wolność świętokradcę i degenerata. A miałem cię za człowieka... Cóż... Istotę... O pewnej moralności.","Najpierw pytasz o skarb przestępcy... Teraz chcesz, żebym puścił wolno bluźnierczego degenerata. A ja miałem cię za człowieka - czyli istotę... mającą jakieś zasady moralne.",0.47866743359322506,0.07575731225158963,0.8265097141265869,0.8730812668800354
Squaess'me.,Squaess’me,Nie rozumiem cię.,0.06349206349206359,0.0,0.6113408207893372,0.5842380523681641
We can meet her in two days if we hurry.,"Jeśli się uwiniemy, spotkamy się z nią za dwa dni.","Możemy się z nią spotkać za dwa dni, jeśli się pospieszymy.",0.5426574677797961,0.12278260149096115,0.85076504945755,0.8391954302787781
"I'm certain you'll find some way to agree. Geralt, please don't leave me this way.","Na pewno się dogadacie. Geralt, nie zostawiaj mnie tak.","Jestem pewien, że znajdziesz jakiś sposób, żeby się dogadać. Geralt, proszę, nie zostawiaj mnie w takiej sytuacji.",0.5992170396289751,0.06468490584192432,0.7850703001022339,0.9172360301017761
Ugh...,Eeeeh!,Ech...,0.05555555555555564,0.0,0.7416282892227173,0.8397306799888611
"He's talking to a dog, you talk to yourself… Huh, I don't know what's worse.","On gada z psem, ty do siebie... Nie wiem, co gorsze.","On rozmawia z psem, ty mówisz sam do siebie... Ech, nie wiem co jest gorsze.",0.5788434032407374,0.0925159978069645,0.8285069465637207,0.9197103381156921
Not the first time I'm hearin' that.,Już nie pierwszy raz o tym słyszę.,Nie pierwszy raz słyszę coś takiego.,0.5538688284465368,0.07308015504567583,0.8347370028495789,0.973737359046936
"You wanna take this one, then?",To może jednak sam do niej pójdziesz?,"Chcesz wziąć tę jedną, co?",0.11921600113894788,0.0,0.727576494216919,0.6102943420410156
"Oh, not much. It's not my kinda game.","O, niewiele. To nie zwierzyna dla mnie.",Niezbyt wiele. To nie mój rodzaj gry.,0.3449361645340608,0.06985342056580097,0.7275696992874146,0.7436175346374512
We'll talk inside.,Zapraszam.,Porozmawiamy w środku.,0.10757575757575764,0.0,0.6370991468429565,0.44592973589897156
Got someone particular in mind?,Masz kogoś konkretnego na myśli?,Masz kogoś konkretnego na myśli?,1.0,1.0,1.0,0.9942722916603088
