en_text,pl_text,dialog_prev,dialog_next,chrf_dialog_prev,bleu_dialog_prev,bertscore_dialog_prev,comet_dialog_prev,chrf_dialog_next,bleu_dialog_next,bertscore_dialog_next,comet_dialog_next
"Oh… Welcome to the grove, brother.","Witaj w naszym gaju, bracie.","Witaj w gaju, bracie.","Oh… Witaj w sadzie, bracie.",0.6127006518886986,0.18713114109010565,0.9276427030563354,0.9565143585205078,0.4313097353151174,0.12574334296829354,0.8547532558441162,0.8852662444114685
Uh-huh.,No i co?,Hmm.,Hmm.,1.0000000000000001e-16,0.0,0.6284238696098328,0.7479393482208252,1.0000000000000001e-16,0.0,0.6284238696098328,0.7479393482208252
Aha. And you thought I'd find this interesting because…?,"Mhm. I czemu uznałeś, że mnie to zainteresuje?","Aha. I myślałeś, że znajdę to interesujące, bo...?","Ach. I pomyślałeś, że uznam to za interesujące, ponieważ...?",0.36702267688437784,0.03655552228545124,0.7877177596092224,0.8426850438117981,0.49440873898085175,0.03155984539112946,0.7908027768135071,0.8803519606590271
Cause I already know who nabbed your treasure. Commander of the Temple Guard. Caleb Menge.,"Bo wiem już, kto położył łapę na twoim skarbie. Szef straży świątynnej... Niejaki Kaleb Menge.","Bo już wiem, kto ukradł twój skarb. Dowódca Gwardii Świątynnej. Caleb Menge.","Ponieważ już wiem, kto ukradł twój skarb. Dowódca Gwardii Świątynnej. Caleb Menge.",0.32517972639472553,0.0174583253653567,0.7975226044654846,0.886127233505249,0.3332226677055107,0.015775377779808884,0.7709743976593018,0.870733916759491
"I know it took her a while to gain control. And frankly, I doubt she controls her abilities fully to this day.","Wiem, że długo uczyła się kontrolować umiejętności, ale chyba dotąd nie panuje nad nimi w pełni.","Wiem, że zajęło jej trochę czasu, żeby odzyskać kontrolę. Szczerze mówiąc, wątpię, czy do dziś w pełni panuje nad swoimi umiejętnościami.","Wiem, że zajęło jej trochę czasu, aby odzyskać kontrolę. A szczerze mówiąc, wątpię, czy do dziś w pełni kontroluje swoje umiejętności.",0.436076362909467,0.028885583899290166,0.7652162313461304,0.8859449028968811,0.37048568810323596,0.021377723941583868,0.7626377940177917,0.8903750777244568
Nemrod - I fear I can choose no other.,Mój wybór nie może być inny – pojadę na Nemrodzie.,"Nemrod - Obawiam się, że nie mogę wybrać innego.","Nemrod - Obawiam się, że nie mogę wybrać inaczej.",0.2682538374983428,0.02145851237135921,0.7278054356575012,0.6905838847160339,0.25892068502787374,0.02145851237135921,0.7239078283309937,0.6700013279914856
Sure Avallac'h's only interested in you for your magic abilities?,"Jesteś pewna, że Avallac’h interesuje się tobą tylko z powodu twoich zdolności?",Czyżby Avallac'h był zainteresowany tobą tylko ze względu na twoje umiejętności magiczne?,Czyżby Avallac'h był zainteresowany tobą tylko ze względu na twoje umiejętności magiczne?,0.3706100693010573,0.03602080288207364,0.7870224118232727,0.9137501120567322,0.3706100693010573,0.03602080288207364,0.7870224118232727,0.9137501120567322
"Oh, small things, sundries. This, that, the other. Truly, officer, naught to fret about 'ere, because--","A, takie drobiazgi. Trochę tego, trochę tamtego. Naprawdę, panie władzo, nie ma się co kłopotać, bo...","Nic takiego, drobiazgi. To, tamto, różne rzeczy. Naprawdę, oficerze, nie ma się czym przejmować tutaj, ponieważ...","Ach, drobiazgi, różne rzeczy. To, tamto, inne. Naprawdę, oficerze, nie ma się czym przejmować tutaj, bo...",0.4257043778056217,0.06917184228205472,0.8384725451469421,0.8134406208992004,0.3849639170097014,0.06917184228205472,0.8574027419090271,0.842870831489563
What'll come?,Co przyjdzie?,Co się stanie?,Co się stanie?,0.13156565656565664,0.11362193664674995,0.8530626893043518,0.9238321781158447,0.13156565656565664,0.11362193664674995,0.8530626893043518,0.9238321781158447
They… They…,Oni... Oni...,Oni... Oni...,Oni... Oni...,1.0,0.316227766016838,1.0,0.9905672073364258,1.0,0.316227766016838,1.0,0.9905670881271362
"You must go now. I've no time for you, I must gather my things.","Idźcie już. Nie mam czasu, muszę się spakować.","Musisz teraz iść. Nie mam dla ciebie czasu, muszę spakować swoje rzeczy.","Musisz teraz iść. Nie mam dla ciebie czasu, muszę spakować swoje rzeczy.",0.5698954029756196,0.05094110796339642,0.8316562175750732,0.9341121912002563,0.5698954029756196,0.05094110796339642,0.8316562175750732,0.9341121912002563
What happened to him?,I co się z nim stało?,Co się z nim stało?,Co się z nim stało?,0.8558388507985722,0.5475182535069453,0.9602872729301453,0.9812914729118347,0.8558388507985722,0.5475182535069453,0.9602872729301453,0.9812914729118347
No! We win human from Myrhyff!,Nie. Człowiek wygrany od Myrhyffa.,Nie! Mamy człowieka z Myrhyff!,No! Zwyciężamy człowieka z Myrhyff!,0.3769108992565591,0.0,0.7812038660049438,0.6458402276039124,0.36965914176305975,0.0,0.7765690088272095,0.7156397104263306
Tis old man Ambros!,"Kurwa, to stary Jamroz!",To stary pan Ambros!,To stary pan Ambros!,0.24671273575584593,0.08034284189446518,0.8221195340156555,0.5180532336235046,0.24671273575584593,0.08034284189446518,0.8221195340156555,0.5180532336235046
"Aye, so it were. 'Cept it was some drowner that had supped on the kid. Witcher had naught to do with it!",Tak było. Tyle że dzieciaka jakiś utopiec zeżarł i wiedźmak nic do tego nie miał!,"Ach, tak było. Ale to był jakiś topielec, który najadł się dziecka. Czarownica nie miała z tym nic wspólnego!","Tak, tak było. Ale to był jakiś topielec, który najadł się dziecka. Czarodziej nie miał z tym nic wspólnego!",0.34012685632501977,0.014400124446705301,0.7450379133224487,0.7368730306625366,0.3576392999234675,0.014400124446705301,0.748416006565094,0.7432328462600708
You--! You boor!,Ty... ty chamie!,Ty chamie!,Ty...! Ty chamie!,0.5130983468902436,0.09069748827745895,0.8662335276603699,0.8262631893157959,0.660138765039234,0.11362193664674995,0.9395806789398193,0.9354664087295532
All right. We've talked. Do what you gotta. Just remember… I can't help but get in your way.,Dosyć gadania. Róbcie co do was należy i pamiętajcie... Będę wam w tym przeszkadzał.,Dobrze. Porozmawialiśmy. Rób co musisz. Tylko pamiętaj... Nie mogę się powstrzymać przed wchodzeniem ci w drogę.,Dobrze. Porozmawialiśmy. Rób co musisz. Tylko pamiętaj... Nie mogę się powstrzymać od wchodzenia ci w drogę.,0.2730850933604296,0.014628063653657535,0.7410048246383667,0.7865281701087952,0.26760699971583285,0.014628063653657535,0.740496039390564,0.7948062419891357
"On our way, then.",No to w drogę.,"W drogę, więc.","W drogę, więc.",0.2906832024884675,0.0,0.8205035328865051,0.9349525570869446,0.2906832024884675,0.0,0.8205035328865051,0.9349525570869446
It's always the same! I've had enough!,Zawsze to samo! Mam już tego dość!,To zawsze jest tak samo! Mam już dosyć!,To zawsze jest tak samo! Mam już dosyć!,0.4830056215926488,0.1374708101760565,0.8735319375991821,0.9830287098884583,0.4830056215926488,0.1374708101760565,0.8735319375991821,0.9830287098884583
Ho-ho-hold on - what're you doing here? We were gonna meet at the Rosemary.,"Ale zaraz, właściwie co ty tu robisz? Mieliśmy się spotkać w Szałwii.",Co jest? Co ty tu robisz? Mieliśmy się spotkać w Różanej.,Ho-ho-poczekaj - co ty tutaj robisz? Mieliśmy się spotkać u Rosemary.,0.5351434837372312,0.5210833656670609,0.8564760088920593,0.8439297080039978,0.49491416544334194,0.2547696540824902,0.8298183083534241,0.866649329662323
What do you intend to do?,I co zamierzasz?,Co zamierzasz zrobić?,Co zamierzasz zrobić?,0.7137041225975707,0.0,0.8101519346237183,0.9735769033432007,0.7137041225975707,0.0,0.8101519346237183,0.9735769033432007
Sounds great. You start.,Brzmi dobrze... Zaczynaj.,Brzmi świetnie. Ty zaczynasz.,Brzmi świetnie. Zaczynaj.,0.3128727428217688,0.08034284189446518,0.8270842432975769,0.9450077414512634,0.4920040274159268,0.13512001548070346,0.8590658903121948,0.9840686321258545
We'll meet again.,Jeszcze się zobaczymy.,Spotkamy się ponownie.,Spotkamy się ponownie.,0.11057504873294353,0.11362193664674995,0.7931457161903381,0.9215470552444458,0.11057504873294353,0.11362193664674995,0.7931457161903381,0.9215470552444458
Shh! The Guard is well aware.,Ćsii! Straż wie bardzo dobrze...,Ciii! Straż jest dobrze świadoma sytuacji.,Cicho! Strażnik jest dobrze świadomy.,0.3860251480772205,0.040824829046386304,0.835111141204834,0.8601601123809814,0.3262470706270775,0.0,0.8199380040168762,0.8239009976387024
Værthu Hemdall hael.,Værthu Hemdall hael.,Niech pamięć o nich trwa wiecznie.,"Witaj Hemdall, słyszę.",0.08726003490401407,0.0,0.6178283095359802,0.379324734210968,0.3054783976578856,0.0,0.7498369216918945,0.49961474537849426
No. Father was a stove-fitter. Mother… Mother stayed home.,Nie. Ojciec był zdunem. Matka... Matka w domu siedziała.,Nie. Ojciec był monterem pieców. Matka... Matka zajmowała się domem.,No. Ojciec był monterem pieców. Matka... Matka siedziała w domu.,0.5626927385686535,0.13134549472120793,0.8599509000778198,0.8022099733352661,0.6506085282123901,0.06674094719041482,0.9018359780311584,0.8220364451408386
Wasn't expecting anything.,Niczego nie oczekiwałem.,Nie spodziewałem się niczego.,Niczego się nie spodziewałem.,0.37916479378367957,0.0,0.8140425682067871,0.9617476463317871,0.4659179204348011,0.09554427922043669,0.8756120800971985,0.9658017158508301
"No. Don't plan to, either.",Nie. I nie mam zamiaru.,Nie. Nie mam też takich planów.,Nie. Nie planuj tego również.,0.2684687185107182,0.048549177170732344,0.8378618955612183,0.9171901345252991,0.18529293526170434,0.05372849659117709,0.8051034212112427,0.8688392043113708
Do you think the hierarch supports the Temerian guerillas? With coin?,Myślisz ze hierarcha wspiera funduszami temerskich partyzantów?,"Myślisz, że hierarcha wspiera temerskich partyzantów? Za pomocą monet?","Czy myślisz, że hierarcha wspiera temeriańskich partyzantów? Za pomocą monet?",0.7064743120672401,0.07171781507224269,0.8634419441223145,0.8956388235092163,0.640654249106149,0.04939382737115371,0.8362886905670166,0.8733752965927124
No.,Nie.,Nie.,Nie.,0.6666666666666666,0.1778279410038923,1.0,0.975537121295929,0.6666666666666666,0.1778279410038923,1.0,0.975537121295929
Wonder if I can open it using one of Aeramas' items…,Może otwiera go jeden z przedmiotów należących do Aeramasa?,Ciekawe czy uda mi się otworzyć je za pomocą jednego z przedmiotów Aeramasa...,"Ciekawe, czy mogę to otworzyć używając jednego z przedmiotów Aeramy...",0.400221263027575,0.03285702044797773,0.7933761477470398,0.892029881477356,0.3435882140635851,0.0446323613785333,0.7622742056846619,0.8389607667922974
Snake-eyed prat!,Chamie żmijooki!,Gadziooki dureń!,Wężooki dureń!,0.1641330891330892,0.0,0.7307534217834473,0.6630052924156189,0.1552266733387773,0.0,0.708927571773529,0.6517329216003418
"You will be chained to a rock to perish of hunger and thirst, and sea fowl will peck apart your remains.","Zostaniesz przykuta do skał. Umrzesz z głodu i pragnienia, a twoje szczątki rozdziobią ptaki.","Będziesz przykuta do skały, aby umrzeć z głodu i pragnienia, a mewy rozszarpią twoje ciało.","Będziesz przykuty do skały, aby umrzeć z głodu i pragnienia, a mewy rozdziobią twoje ciało.",0.5214857984523519,0.2925612730731506,0.8461363911628723,0.8823358416557312,0.5344368076505817,0.27668736912821895,0.8605764508247375,0.8728640079498291
That hurt!,Au! Boli!,To zabolało!,To bolało!,0.08307201408373227,0.0,0.7343615293502808,0.879142701625824,0.08520257346548432,0.0,0.7385482788085938,0.9169528484344482
"Witchers, good folk, are like necrophages.","Wiedźmin, ludzie, podobnym jest do trupojada.","Czarodzieje, dobrzy ludzie, są jak padlinożercy.","Wiedźmini, dobrzy ludzie, są jak nekrofagi.",0.24650591593323531,0.040824829046386304,0.7260533571243286,0.5829994678497314,0.34037479535486087,0.040824829046386304,0.7822237014770508,0.6352325081825256
"I'll drink another, then fuck the innkeep.","Wypiję jeszcze jednego, to wyrucham karczmarza","Wypiję jeszcze jednego, a potem przelecę karczmarza.","Wypiję jeszcze jeden, a potem przelecę karczmarza.",0.6881977333351944,0.16348126556655487,0.8207971453666687,0.7900030612945557,0.5747209752381744,0.06985342056580097,0.820476770401001,0.7908549904823303
What happened to Tamara's mother?,Co się stało z matką Tamary?,Co się stało z matką Tamary?,Co się stało z matką Tamary?,1.0,1.0,1.0,0.9907870292663574,1.0,1.0,1.0,0.9907869696617126
"The other shite, mallow, ought to have that, too. Chops it, adds it to our milker's feed.","To drugie też będzie miała, bo krasuli do paszy dodaje.",Pokrzywa też powinna mieć to samo. Kroi ją i dodaje do paszy naszego dojnika.,"To gówno, mlecz, też powinno to mieć. Kroi się je i dodaje do paszy naszego dojnika.",0.29716599089569445,0.03342866121562732,0.7579391598701477,0.6982424855232239,0.2937830126634023,0.030934588294313718,0.7499439716339111,0.5201529860496521
I must leave this place.,Muszę się stąd wydostać.,Muszę stąd odejść.,Muszę opuścić to miejsce.,0.3428989715378386,0.09681772177713914,0.9094521403312683,0.8982424139976501,0.17439613698373602,0.08034284189446518,0.7649497389793396,0.8850103616714478
"Gods, save me!",Bogowie ratujcie!,"Boże, ratuj mnie!","Boże, ratuj mnie!",0.28141078573285877,0.0,0.8174546957015991,0.9741681814193726,0.28141078573285877,0.0,0.8174546957015991,0.9741681814193726
Then please do.,"W takim razie mów, proszę.",Proszę mów dalej.,"Proszę, rób to.",0.19772423317507956,0.0,0.8294311165809631,0.860916793346405,0.16649724282891773,0.0,0.7937695384025574,0.77320396900177
What's this?,Co to jest?,Co to jest?,Co to jest?,1.0,0.5623413251903491,1.0,0.9942288994789124,1.0,0.5623413251903491,1.0,0.9942288994789124
Till we meet again.,Do zobaczenia.,Do zobaczenia ponownie.,Do zobaczenia,0.8489960036710024,0.11362193664674995,0.8824703097343445,0.9562874436378479,0.9110127936086042,0.1495348781221221,0.926432728767395,0.9790569543838501
"Oh, Nibbles, yousa naughty kitty, aren't ye?","Mruczek, no zo dzi choci?","Oh, Nibbles, ty niegrzeczny kotku, prawda?","Oh, Nibbles, ty niegrzeczny koteczku, prawda?",0.12605156779198087,0.0,0.7002905011177063,0.5555505752563477,0.1389470465859771,0.0,0.7060215473175049,0.5437192916870117
You'll see… so long as ye get to the end. So long as the harpies don't get ye.,Zobaczysz... O ile dopłyniesz do końca. O ile nie rozszarpią cię harpie.,"Zobaczysz... pod warunkiem, że dotrzesz do końca. Pod warunkiem, że harpie cię nie dostaną.","Zobaczysz... pod warunkiem, że dotrzesz do końca. Pod warunkiem, że harpie cię nie dorwą.",0.4433395934455004,0.03798229226827674,0.7898656725883484,0.7173291444778442,0.4421347666367259,0.03798229226827674,0.7950974702835083,0.7535291314125061
Yes.,Tak.,Tak.,Tak,0.6666666666666666,0.1778279410038923,1.0,0.9804931879043579,0.3308669551863744,0.0,0.7268825173377991,0.9223907589912415
"For a man who shakes down beggars and thieves for tribute, you're quite the romantic.","Jak na człowieka, który ściąga haracz od żebraków i złodziei, jesteś całkiem romantyczny.","Dla mężczyzny, który wymusza haracz od żebraków i złodziei, jesteś całkiem romantyczny.","Dla mężczyzny, który wymusza haracz od żebraków i złodziei, jesteś całkiem romantyczny.",0.72471895338189,0.5810588684968079,0.9301469922065735,0.8697347640991211,0.72471895338189,0.5810588684968079,0.9301469922065735,0.8697347640991211
Here.,Trzymaj.,Tutaj.,Tutaj.,0.16322532549713084,0.0,0.8010749220848083,0.5696918964385986,0.16322532549713084,0.0,0.8010749220848083,0.5696918964385986
Thank you.,Dziękuję.,Dziękuję.,Dziękuję.,1.0,0.1778279410038923,1.0,0.9830787181854248,1.0,0.1778279410038923,1.0,0.9830787181854248
Come on!,No chodź!,Chodźmy!,Chodźmy!,0.264484126984127,0.0,0.8638587594032288,0.93108069896698,0.264484126984127,0.0,0.8638587594032288,0.93108069896698
Muuurdeeeer!,Mooorduuuj!,Morderca!,Murderer!,0.14712029592981982,0.0,0.7688122987747192,0.5874168872833252,0.09416729654824901,0.0,0.7084194421768188,0.4966946542263031
"Oh, you frightened me!",Aleś mnie przestraszył!,"Och, wystraszyłeś mnie!","Oh, wystraszyłeś mnie!",0.4813311874457385,0.0,0.8331432342529297,0.9376125931739807,0.48389137348403793,0.0,0.8304652571678162,0.9530870914459229
"Can't rightly know. Sure, we searched a few caverns, but hidden nooks abound. If someone wanted to hide in here, they could, easily. Even if they weren't an owl.","Bo ja wiem? Niby przeszukaliśmy kilka pomieszczeń, ale tu jest mnóstwo zakamarków. Jakby chciała, to mogłaby się schować. Szczególnie w postaci sowy.","Nie możemy być pewni. Szukaliśmy w kilku jaskiniach, ale ukrytych zakamarków jest tu mnóstwo. Jeśli ktoś chciałby się tutaj schować, mógłby to zrobić bez trudu. Nawet jeśli nie byłby sową.","Nie mogę dokładnie powiedzieć. Oczywiście, przeszukaliśmy kilka jaskiń, ale ukrytych zakamarków jest tu mnóstwo. Gdyby ktoś chciał się tutaj schować, mógłby to zrobić bez trudu. Nawet jeśli nie byłby sową.",0.3738663466346092,0.009772992164303737,0.7861620783805847,0.8141456842422485,0.43818156093845095,0.01806193387447607,0.7847873568534851,0.813947856426239
"…but nay, the mage, he says, ""Bring me rats! An' healthy ones! Not somethin' the cat dragged in.""","...ale nie, czarownik mówi: przynieś mi szczurów, ino zdrowe mają być, nie kotu z gardła wyłuskane.","Przynieście mi szczury! I zdrowe! Nie coś, co kot przyciągnął za sobą.","…ale nie, czarodziej mówi, ""Przynieście mi szczury! I zdrowe! Nie coś, co kot przyciągnął.""",0.2456117435599919,0.012204811114796843,0.7312296032905579,0.6348262429237366,0.3651184524388984,0.014724959205415935,0.779657781124115,0.741601824760437
Explains the name… There an entry fee?,To tłumaczy nazwę... Jakie jest wpisowe?,Wyjaśnia nazwę... Czy jest opłata za wstęp?,Wyjaśnia nazwę... Czy jest opłata za wejście?,0.27638295740277674,0.039281465090051315,0.8035671710968018,0.8253963589668274,0.3082562108103111,0.039281465090051315,0.8017788529396057,0.849385142326355
Good! May all Skellige know Yennefer of Vengerberg is a common thief!,"I bardzo dobrze! Niech całe Skellige się dowie, że Yennefer z Vengerbergu to zwykła złodziejka!",Niech całe Skellige pozna Yennefer z Vengerbergu jako pospolitą złodziejkę!,"Dobrze! Niech całe Skellige wie, że Yennefer z Vengerbergu jest pospolitym złodziejem!",0.5281459317125284,0.10655048583177448,0.8804087042808533,0.8876610994338989,0.6509024617942594,0.23879190165893138,0.908270537853241,0.920656144618988
Hey!,Hola!,Hej!,Cześć!,0.06802721088435383,0.0,0.8941389918327332,0.9734377264976501,0.032679738562091595,0.0,0.8135532140731812,0.9195610284805298
"Uh, Triss… Sure you want to do this? Out here? With everyone watching?",Triss... To chyba nie czas na takie zabawy. Ani miejsce.,"Uh, Triss… Na pewno chcesz to zrobić? Tutaj? Z wszystkimi patrzącymi?","Uh, Triss... Na pewno chcesz to robić? Tutaj? Z tymi wszystkimi ludźmi patrzącymi?",0.18566365354417091,0.0,0.6376295685768127,0.5535258650779724,0.2456544990112647,0.01553712569276035,0.6888471841812134,0.5334218740463257
I slew only two of the Crones.,Zabiłam tylko dwie wiedźmy.,Pokonałem tylko dwie z Kruków.,Zabiłem tylko dwie z Kruków.,0.3759601924115279,0.11362193664674995,0.800355851650238,0.607115626335144,0.4761577857687697,0.11362193664674995,0.7978185415267944,0.793179452419281
"Ah, it was too much, I almost drowned in it. When everything is possible, it quickly becomes a lot less alluring.","Bo się nią zachłysnęłam. Kiedy wszystko jest w zasięgu ręki, nagle staje się mniej kuszące.","Ach, było tego za dużo, prawie się utopiłem w tym. Kiedy wszystko jest możliwe, szybko staje się znacznie mniej pociągające.","Ach, to było za dużo, prawie się utopiłem w tym. Kiedy wszystko jest możliwe, szybko staje się znacznie mniej pociągające.",0.431120424335578,0.06740258529346294,0.7676216959953308,0.8504073023796082,0.4301341195525721,0.06740258529346294,0.765438437461853,0.8498768210411072
Why you care?,Bo co?,Dlaczego cię to obchodzi?,Dlaczego cię to obchodzi?,0.12874225364406047,0.0,0.6845002174377441,0.8553972244262695,0.12874225364406047,0.0,0.6845002174377441,0.8553972244262695
"Soothing, the scent of the freshly cut lawn.",Zapach świeżo skoszonej murawy działa na mnie kojąco.,Uspokajający zapach świeżo skoszonego trawnika.,"Uspokajający, zapach świeżo skoszonego trawnika.",0.4728919731037215,0.029486824119076216,0.7892441153526306,0.8794215321540833,0.47181062978892235,0.029486824119076216,0.7748199701309204,0.8452157378196716
"Ooh, must've pissed off Bedlam!",To się musiał Bedlam wkurwić.,"Och, musiało rozwścieczyć Bedlama!","Och, musiało rozwścieczyć Bedlama!",0.3262181508962978,0.0,0.7133936882019043,0.8261197209358215,0.3262181508962978,0.0,0.7133936882019043,0.8261200189590454
Gut the mutant!,Zatłuc mutanta!,Dobra robota z mutantem!,Giń mutancie!,0.3299346451517063,0.0,0.8055106997489929,0.46272873878479004,0.22686827774315052,0.0,0.7533116340637207,0.6585497856140137
This is getting interesting…,Robi się interesująco...,To robi się interesujące...,To robi się interesujące...,0.7880347595328926,0.08034284189446518,0.8742572069168091,0.9688161015510559,0.7880347595328926,0.08034284189446518,0.8742572069168091,0.9688161015510559
What was her motive?,Jaki miała motyw?,Co było jej motywem?,Co było jej motywem?,0.2147497996844507,0.0,0.8482426404953003,0.955940306186676,0.2147497996844507,0.0,0.8482426404953003,0.955940306186676
There's also a Clan Drummond figurehead.,Jest też galion klanu Drummond.,Jest też figura dziobowa Clan Drummond.,Jest też figura dziobowa Clan Drummond.,0.5026158185555619,0.09554427922043669,0.8020905256271362,0.6599626541137695,0.5026158185555619,0.09554427922043669,0.8020905256271362,0.6599626541137695
You can say that again.,Dobrze powiedziane.,Możesz tak powiedzieć.,Możesz to powtórzyć.,0.39741468672100605,0.0,0.7984757423400879,0.6027202606201172,0.12316176470588241,0.0,0.7426483035087585,0.5711784362792969
I draw it all from the flight patterns of birds.,Odczytuję z lotu ptaków.,Czerpię to wszystko z wzorców lotu ptaków.,Czerpię to wszystko z wzorców lotu ptaków.,0.47294996404468903,0.07730551756939454,0.7990144491195679,0.7795389294624329,0.47294996404468903,0.07730551756939454,0.7990144491195679,0.7795389294624329
"You heard? He finally met his match! Some cutthroat, a witcher, I think, gave Junior his due!","Słyszałeś? Trafiła w końcu kosa na kamień! Jakiś zabijaka, wiedźmin zdaje się, policzył się z Juniorem!","Słyszałeś? Wreszcie spotkał godnego siebie przeciwnika! Jakiś bezwzględny typ, chyba czarodziej, dał Juniorowi to, na co zasłużył!","Słyszałeś? Wreszcie spotkał godnego siebie przeciwnika! Jakiś bezwzględny czarodziej, myślę, dał Juniorowi to, na co zasłużył!",0.28710039838752305,0.015138514598766055,0.7429677248001099,0.7403423190116882,0.29177941629758536,0.01618861356572822,0.7481535077095032,0.7359060049057007
And they say the city treasury's bursting with enough to equip two armies.,"I powiadają, że za to, co jest w miejskim skarbcu, można uzbroić ze dwie armie.","I mówią, że skarbiec miasta pęka w szwach od wystarczających funduszy, by wyposażyć dwa wojska.","I mówią, że skarbiec miasta jest przepełniony wystarczającymi funduszami, by wyposażyć dwa armie.",0.21210583412776016,0.017395797375642234,0.7457753419876099,0.8174498081207275,0.26952055970095806,0.018839576731405495,0.7573058605194092,0.8552178740501404
Geralt of Rivia. A witcher.,Geralt z Rivii. Wiedźmin.,Geralt z Rivii. Wiedźmin.,Geralt z Rivii. Wiedźmin.,1.0,1.0,1.0,0.9838165044784546,1.0,1.0,1.0,0.9838165044784546
"Greetings to you, sir.",Moje uszanowanie.,"Pozdrawiam cię, panie.",Pozdrawiam pana.,0.20779216225201289,0.0,0.6680074334144592,0.5636364817619324,0.09504312467463039,0.0,0.7289195656776428,0.5430927276611328
