en_text|pl_text
Mhm. And if my breasts needed smearing with fox tallow…|Mhm. I nasmarować piersi foczym sadłem...
Nay, nay--! Th-that was mum and sis! I-- I'd never dare. I swear. On my honor.|Nie, nie... To już moja mama z siostrą. Ja... Nie śmiałbym... Klnę się na honor...
Easy. I believe you.|Spokojnie, spokojnie. Wierzę na słowo.
What? You undressed me?!|Hola! Rozebrałeś mnie?!
Yes… I've been through a lot.|Tak... Sporo przeszłam.
I never thought women on the Continent did any fightin'.|Myślałem, że kobiety z Kontynentu nie walczą...
Sometimes they have no choice.|Czasem nie mają wyboru.
Yeah, a whole lot.|Tak... Sporo przeszłam.
How long did I lie there?|Ile tak przeleżałam?
All day, nearabouts - 'twas morn when we brought you in, night's near come now.|Niecały dzień. Przynieśliśmy cię z rana, a teraz na wieczór idzie.
Damn… Too long…|Cholera... Długo...
You needed the rest, desperately.|Widać potrzebowałaś tego, żeby dojść do siebie.
Been through a lot, eh? Got some nasty fresh-lookin' scars…|Sporo chyba przeszłaś, co? Cała jesteś w świeżych bliznach...
Was I out long?|Długo byłam nieprzytomna?
Where is my companion?|Gdzie jest mój towarzysz?
And where is he? My… friend?|A gdzie on jest? Ten mój... przyjaciel?
Stepped out a while ago. Said he needed to find a boat.|Wyszedł jakiś czas temu. Mówił, łódź musi znaleźć.
Why's he wear that mask? Somethin' not right with his mug?|Dlaczego on nosi maskę? Ma coś z twarzą?
No. He simply doesn't like others to see it.|Po prostu nie lubi jej pokazywać.
You're awake… And I thought you'd…|Obudziłaś się... A już myślałem, że...
Where am I? And who are you?|Gdzie ja jestem? I coś ty za jeden?
It's all right. You're on Hindarsfjall, village of Lofoten. They call me Skjall.|Spokojnie... Jesteś w Lofoten, na Hindarsfjall. A mnie wołają Skjall.
But how'd I… What?|Ala jak ja... Skąd...
We fished you out of the sea… Me and that friend of yours.|Wyłowiliśmy cię z morza. Ja... I ten twój przyjaciel.
Oh, a witcher! Here about the dragon, I reckon?|Ohoho, wiedźmin! Przychodzicie w sprawie smoka, co?
Yeah. And it had golden scales and smoke poured out its ass like it does out a chimney.|Tak. I złote łuski miał, a dym mu buchał z pyska niby z komina.
Just like the skalds sing it… You've earned your reward.|Wszystko jak w pieśniach skaldów... Zasłużyliście na swoją nagrodę.
And the princess' hand. But I'll just take the coin.|I rękę księżniczki. Ale zadowolę się pieniędzmi.
Yeah… and it had golden scales.|Tak... I miał złote łuski.
That was no dragon, it was a forktail. Looks similar, but it's smaller, less dangerous.|To nie był smok, tylko widłogon. Wygląda podobnie, ale jest mniejszy – i mniej niebezpieczny.
Less dangerous, you say? Well, your reward ought to be less as well.|Skoro mniej niebezpieczny... To i nagroda będzie mniejsza.
Listen, we agreed to a specific sum.|Umówiliśmy się na konkretną kwotę.
Aye… for a dragon! If I'd known it was some forkytail, I'd have killed it meself. That's that!|Tak... Ale za smoka! Jak bym wiedział, że to jakiś widłyogon, to sam bym go utłukł. I tyle!
It was a forktail, not a dragon.|To był widłogon, nie smok.
Solved your problem.|Rozwiązałem wasz problem.
And…? That it? Tell me more! Did the dragon breathe fire? Spit venom?|I co... Tyle? Opowiedzcie coś więcej! Smok ział ogniem? Jadem strzykał?
Problem solved.|Problem rozwiązany.
Found your dragon's nest. But I'll need bait to kill it. A sheep, for instance.|Znalazłem gniazdo waszego smoka. Ale żeby go ubić, potrzebuję przynęty. Owcy na przykład.
Ah, I see. Gonna stuff it with sulfur?|A, rozumiem. Siarką ją wypchacie, co?
Ahh, another ally of the brave little shoemaker… No, I'll manage without sulfur. Just need a sheep. Unseasoned.|Kolejny szewczyk się znalazł... Nie, obędzie się bez siarki. Po prostu owca. Bez dodatków.
Fine, there's one I can give ye… A bit mangy, but it'll do. Know how to get a sheep to move where you want? Gotsta drive it like a sheep dog. Go at it from the left, it'll go right. Go at it from the right, it'll--|Dobrze, dam wam taką jedną... Trochę parchata, ale się nada. Wiecie, co trzeba zrobić, żeby owca szła, gdzie chcecie? Musicie ją zaganiać jak pies pasterski. Jak wy z lewej, to ona na prawo, a jak z prawej, to...
If dogs have figured it out, think I'll manage as well.|...ona na lewo. Skoro pies to rozgryzł, to i ja sobie poradzę.
I need bait.|Potrzebuję przynęty.
Witchers don't usually kill dragons, but I'll look into it. You said something about victims, right?|Wiedźmini nie mają w zwyczaju zabijać smoków, ale przyjrzę się tej sprawie. Mówiłeś coś o ofiarach, zgadza się?
Two brothers, Askel and Nilas. Went out to hunt, turned into prey. Wounds so horrible even I went weak in the knees when they brought them in. And I've seen my share of bloody harm - been on thirty-two raids, from Poviss to the mountains of--|Dwóch braci, Askel i Nilas. Poszli na polowanie... I sami skończyli jako zwierzyna. Takie mieli paskudne rany, że nawet mnie się słabo zrobiło, jak ich przynieśli. A niejedno widziałem, byłem na trzydziestu dwóch wyprawach, od Povis po góry...
Fascinating story, I'm sure, but I'm more interested in these wounds. Can you describe them?|To na pewno bardzo ciekawe. Ale w tej chwili bardziej interesują mnie te rany... Mógłbyś je opisać?
Look for yourself. Family's only now preparin' the boys' funeral. Their corpses still lie in their home, at the village's northern end. But treat the bodies with respect, mind ye. As tradition demands.|A sami sobie obejrzyjcie. Rodzina dopiero szykuje chłopakom pochówek. Leżą jeszcze w domu, na północnym skraju wioski. Tylko obchodźcie się z ciałami z szacunkiem. Jak tradycja nakazuje.
I'll look into it.|Przyjrzę się tej sprawie.
What?! I'll not give ye that, one dragon or many!|Co? Tyle to nawet za smoka nie dam!
You're askin' a few crowns too many, master.|Zaśpiewaliście o parę koron za dużo, mistrzu.
It's a lot… But then a dragon's a lot, too. So be it. I accept!|Sporo... No, ale smok to nie byle co... Niech będzie. Zgadzam się!
Enough. Take what I offer or leave it in peace! I'll find a lad, a few, who'll face the dragon for the glory alone!|Dość tego. Bierzcie, co daję, ale dajcie spokój. Znajdę takiego, co za darmo smoka ubije, dla chwały!
Let's talk about the reward… See, what you're offering for this dragon, usually get that much for a nekker.|Porozmawiajmy o nagrodzie... Bo tyle, co dajesz za smoka, biorę zwykle za nekkera.
Let's talk about my reward.|Porozmawiajmy o nagrodzie.
Need to think it over.|Jeszcze się namyślę.
Lemme think about it.|Jeszcze się namyślę.
Farewell.|Bywaj.
Farewell.|Bywaj.
About the dragon…|W sprawie smoka...
Given some thought to your contract…|Zastanowiłem się nad twoim zleceniem...
Tell me about this… dragon. What it looks like, for instance.|Powiedz coś o tym... Smoku. Jak wygląda, na przykład.
You don't know? What kinda monster slayer are ye? It's got scales, wings, claws… A dragon's a dragon! No point gabbin', just go kill it! 'Fore it makes more corpses!|A wy nie wiecie? To co z was za zabójca potworów? No, łuski ma, skrzydła, pazury. Smok jak smok! Nie ma co tu gadać, tylko ubić go trzeba! Zanim będzie więcej trupów!
So will ye help with the dragon or not?|No to pomożecie ze smokiem czy nie?
Give it a year, two - you'll forget them. I'll bear you sons, strong and healthy ones. You'll see.|Rok, dwa i zapomnisz o nich. Urodzę ci nowych synów, zdrowych i silnych. Zobaczysz.
Well? Will you say anythin'?|No, powiesz coś?
Leave me be, woman. I agreed to come back to ye, not to love ye.|Zgodziłem się do ciebie wrócić. Ale to nie znaczy, że będę cię kochać.
You've probably never heard of the place.|Pewnie nie słyszałaś o tym miejscu.
You've probably never heard of the place.|Pewnie nie słyszałaś o tym miejscu.
You'd be surprised. But you needn't tell me if you don't want to.|Hm, mógłbyś się zdziwić. Ale nie musisz mi mówić, jeśli nie chcesz.
It's no secret, actually.|Tak naprawdę to nie jest żadna tajemnica.
In that case, will you tell me later? Over mead, somewhere cozy?|W takim razie może mi opowiesz o tym później? Przy miodzie, w jakimś zacisznym miejscu?
Gladly. See you at the inn?|Chętnie. Zobaczymy się w karczmie?
Too rowdy. Come to my home, in Harviken. I'll be waiting after dusk.|Tam jest za głośno. Możesz przyjść do mnie – mieszkam w Harviken. Będę czekać po zmroku.
See you later, then.|Do zobaczenia zatem.
Gladly.|Chętnie.
Some other time, maybe.|Może innym razem.
Hm. Must admit that was not the answer I expected. Thought you'd want to celebrate your victory.|Cóż, przyznam, że nie takiej odpowiedzi oczekiwałam. Myślałam, że będziesz chciał uczcić swoje zwycięstwo.
Though, of course, I understand you might be in a rush. Good luck on the Path.|Ale oczywiście rozumiem, spieszysz się. Powodzenia na szlaku.
Another time, maybe.|Może innym razem.
At Kaer Morhen.|W Kaer Morhen.
Kaer Morhen! That's terribly far. But you learned a great deal on the road as well, surely. Would you tell me about it?|Kaer Morhen! To strasznie daleko. Założę się, że sporo nauczyłeś się też po drodze. Może mi o tym opowiesz?
It'd make for a long story.|To byłaby długa historia.
All right, we need a quiet spot, some good mead and… What do you say?|W takim razie potrzebujemy jakiegoś spokojnego miejsca, zacnego miodu i... Co ty na to?
At Kaer Morhen.|W Kaer Morhen.
Enough! Enough! Oh, gods…|Dość! Dość! O bogowie...
Not surprised you have a hard time finding worthy opponents.|Nie dziwię się, że trudno ci było znaleźć godnego przeciwnika.
In the end… one came along… Where'd you learn all that?|Ale w końcu... znalazł się taki... Gdzie się tego nauczyłeś?
So? Had enough?|I co? Masz już dość?
Yes.|Tak.
Ugh… I thought I'd finally found a man who could best me.|Ech... A już myślałam, że w końcu trafił się taki, co mnie pokona.
Shouldn't 'ave fought so hard…|To może nie trzeba było się aż tak bronić?
You know nothing, White One. Now go.|Nic nie rozumiesz. Idź już.
Foul! Fraud! Magic and potions to defeat one woman?|Oszukiwałeś! Naprawdę aż magii i eliksirów ci było trzeba, żeby jedną kobietę pokonać?
But…|Ale...
For shame!|Hańba ci!
Butcher|Rzeźnik
C'mon, go! Ye gotta touch the whale's skull. Ain't afraid, are ye?|No, idź! Masz tylko pobiec i dotknąć czaszki wieloryba. Chyba że się boisz?
Naye, but…|Nie boję się, tylko...
But what?|Tylko co?
C'mon, Yergen, change his dare. He doesn't gotta go to the cemetery, it's haunted.|Dobra, Yergen, zmieńmy mu wyzwanie. Nie musi iść na cmentarz, tam straszy.
Cowards! Weaklings! Not about to play with you anymore!|Jesteście mięczaki i tchórze! Nie gram z wami!
Me, I love the rain. Like a whore loves a leper colony.|Mi to się powodzi. Jak kurwie w deszcz.
Some sorceress rode up to Kaer Trolde.|Do Kaer Trolde zjechała czarodziejka.
Folk say 'twas Crach's lover.|Ludzie gadają, że to kochanka Cracha.
You don't say…|Co ty opowiadasz...
It true he's caught ill again?|Prawda to, że on znów się pochorował?
You're dull as dirt. *Yaaawn*|Nudzisz mnie, zieeeeew.
Hm. Greetings.|No witam.
Mhm?|Mhm?
Eh?|Ehe?
Aaaahhhhh…|Eeee...
I know what I'm sayin'! Tight-arse innkeep waters the wine!|Ja wiem swoje! Karczmarz wody do wina dolewa, kutwa!
Go back whence ye came.|Wracaj skąd przybyłeś.
Watch that jostlin'!|Co się ocierasz!
Lookin' to rob me? Of what?|Chcesz mnie ograbić? Z czego?
Hhhhhh… Hhhhhhhh…|Pfff... pfff...
Whaddaya want?|Czego chcesz?
I'm looking for people from Undvik.|Szukam ludzi z Undvik.
They're dead.|Nie żyją.
See, now, I heard many survived.|Słyszałem, że wielu ocalało.
Stubborn git, you are… Whaddaya wanna know?|Uparty jakiś... Co chcesz wiedzieć?
You there when the giant attacked?|Byłeś tam, kiedy zaatakował gigant.
Aye, I was. One of the jarl's personal guards. Egh. I failed him. Lent no credence to what the priestesses said - that we'd be punished.|No byłem. Miałem ochraniać jarla. Ale... zawiodłem go. Nie wierzyłem w to, co kapłanki mówiły – że kara na nas spadnie.
For robbin' the earth of iron, forgin' it into blades that men kill one another with. That Freya would punish us. Mayhaps they spoke the truth…|Że niby żelazo ziemi wybieramy, przekuwamy na pancerze, a potem ludzie w nich śmierć niosą... Że Freyja nas ukarze. Może i prawdę mówiły...
Jarl of Undvik - tell me about his death.|Opowiedz mi o śmierci jarla Undvik.
Jarl Harald Houndsnout… His whole crew died that night. Wilmar, Wilfred, and Wilhelm…|Jarl Harald Psia Gęba... Cała jego drużyna padła tamtej nocy. Wilmar, Wilfred, Wilhelm...
I reached them too late. Saw the giant dash Wilmar against a rock.|Jak tam dobiegłem, już było po wszystkim. Wilmara zobaczyłem, jak nim gigant rzucił o skałę.
He fell right beside me, all his bones broke, wrigglin' like a salmon on the sand.|Tuż obok mnie upadł, wszystkie kości połamane, trzęsło nim jak łososiem na piasku.
Harald was dead by then?|Harald już wtedy nie żył?
What? No, jarl fought like a bear! Slicin', and dodgin', and hollerin', then slicin' again. Couldn't save himself though.|Gdzie tam, walczył jak niedźwiedź! Ciął, uchylał się, wrzeszczał, znowu ciął. Ale to go nie uratowało.
Jarl of Undvik - how did he die?|Opowiedz mi o śmierci jarla Undvik.
I should go.|Czas na mnie.
Yeah…|Bywaj.
Time I was on my way.|Czas na mnie.
How'd you manage to survive?|Jak udało ci się przeżyć?
How did you manage to survive?|Jak udało ci się przeżyć?
First I heard the giant growl to those flying sirens. Damn me if he weren't givin' 'em orders!|Najpierw usłyszałem, jak gigant coś warczy do tych swoich latających syren. Rozkazywał im, wyobrażasz sobie?!
Under stress, men see all kinds of things…|Człowiek w nerwach widzi różne rzeczy...
