en_text|pl_text|bielik_prompt7_translation
Betting he'll listen to his father's counsel. And probably sink any possible accord with Nilfgaard.|Myślę, że będzie się liczył ze zdaniem ojca. I raczej nie doprowadzi do zgody z Nilfgaardem.|Stawiam na to, że posłucha rady swojego ojca. I prawdopodobnie zniszczy jakąkolwiek możliwość porozumienia z Nilfgaardem.
*Sighs* Ehh.|Ech.|Wzdycha Ehh.
Morkvarg? What's that?|Morkvarg? Co to?|Co to jest Morkvarg?
Spawn of a slave and an eyeless goat!|Bękarcie niewolnicy i bezokiego kozła!|Potomek niewolnika i ślepej kozy!
What of it? We've a barn to build, not a palace!|I co z tego? Przecież szopę będziemy z nich zbijać, nie pałac!|Co z tego? Mamy stodołę do zbudowania, nie pałac!
A fine beauty, golden-haired and ruddy-cheeked…|Taka z niej ślicznotka, złotokosa i rumiana...|Piękna kobieta o złotych włosach i rumianych policzkach...
Aye, it's there. But tain't so easy to get it out.|Mieć niby mamy. Ale zabrać go nie idzie.|Tak, jest tam. Ale nie tak łatwo to wydostać.
Ghost|Duch|Duch
Let's do it.|Do dzieła.|Róbmy to.
Fret not, I'm certain they await you.|Nie martw się, na pewno na ciebie czekają.|Nie martw się, jestem pewien, że na ciebie czekają.
And yet bother us he does.|A jednak wciąż nęka...|A jednak on nas niepokoi.
Agreed to meet a sorceress here - Yennefer of Vengerberg. She's supposed to be on Ard Skellig.|Umówiłem się na Ard Skellig z czarodziejką Yennefer z Vengerbergu.|Umówiłem się na spotkanie z czarodziejką tutaj - Yennefer z Vengerbergu. Ma być na Ard Skellig.
Greetings, stranger. Salt air gives a man a powerful thirst, don't it?|Witaj, nieznajomy. Od słonego powietrza chce się pić, co?|Cześć obcy. Morskie powietrze sprawia, że człowiekowi chce się pić, prawda?
Same scales as on the altar.|Takie same łuski jak na ołtarzu.|Te same wagi co na ołtarzu.
So did everyone in that room who's not completely deaf.|Podobnie jak trzydzieści innych osób, które stało najbliżej.|Tak samo jak każdy w tym pokoju, kto nie jest całkowicie głuchy.
Donar was a babe in swaddling clothes when this buckler landed here.|Kiedy ten puklerz tu osiadł, Donar był malcem w pieluchach.|Donar był niemowlakiem w powijakach, kiedy ta tarcza tu wylądowała.
That's just it - your 'please' is never a request, only ever a command. But let's move on.|Nie, właśnie chodzi o to, że ty nigdy o nic nie prosisz. Ale mniejsza z tym.|"To jest właśnie to - twoje ""proszę"" nigdy nie jest prośbą, zawsze tylko rozkazem. Ale przejdźmy dalej."
Well? What is it?|No? O co chodzi?|No cóż? Co to jest?
Grrr!|Grrr!!!|"Tłumaczenie:

'Grrr!'

Brak tłumaczenia - to jest onomatopeja, która nie ma dosłownego odpowiednika w języku polskim."
Need you to craft something for me.|Chciałbym, żebyś coś dla mnie wykonał.|Potrzebuję, żebyś coś dla mnie stworzył.
No. I'm almost ready.|Nie, nie trzeba. Zaraz wychodzę.|Nie. Jestem prawie gotowy.
All right. She was here a few hours. Went to find me man, Eiric. Needed to talk, she said. They should be on the beach t'other side of the isle.|Dobrze już, dobrze. Była tutaj, parę godzin temu. Poszła porozmawiać z Eirikiem, moim mężem. Powinni być na plaży po drugiej stronie wyspy.|Dobrze. Była tu przez kilka godzin. Poszła mnie znaleźć, Erica. Chciała porozmawiać, powiedziała. Powinni być na plaży po drugiej stronie wyspy.
Hoping for pirate treasure?|A co, masz nadzieję na skarb piratów?|Liczysz na skarb pirata?
Blackberries - wanted to pick some.|Chciał nazbierać jeżyn.|Chciałem zebrać trochę jeżyn.
Where's the rest of your crew?|Gdzie reszta twojej drużyny?|Gdzie jest reszta twojej załogi?
That's the way to win respect in Skellige…|Tak się zdobywa uznanie na Skellige....|Tak się zyskuje szacunek w Skellige...
Ah, Yorg, you're useless…|A idź, Yorgu, żadnego z ciebie pożytku...|Ach, Jorg, jesteś bezużyteczny...
Told you - only men live in Fornhala.|Mówiłem ci, w Fornhali żyją tylko mężczyźni.|Mówiłem - tylko mężczyźni mieszkają we Fornhala.
You can come back anytime, challenge 'im again. Them's the rules.|Możesz tu wrócić i rzucić mu wyzwanie jeszcze raz. Takie są zasady.|Możesz wrócić kiedy chcesz, znów go wyzwaj. Takie są zasady.
Rust-eaten, all of it…|Wszystko przeżarte rdzą...|Zżarty rdzą, cały to... (niekompletne zdanie)
He's dead. And I wager it was you who silenced him.|Nie żyje. I założę się, że to ty go uciszyłaś.|On nie żyje. I stawiam, że to ty go uciszyłeś.
I'm not here to work.|Jestem tu prywatnie.|Nie jestem tu po to, by pracować.
Why didn't you go with Hjalmar?|Dlaczego nie popłynęliście z Hjalmarem?|Dlaczego nie poszedłeś z Hjalmarem?
Owes me a favor, one of the guards. I can get 'im to take you to Lugos… Then you can owe me a favor. Whaddaya say?|Jeden ze strażników jest mi winny przysługę. Sprawię, że zaprowadzi cię do Lugosa... A wtedy to ty będziesz mi winny przysługę. Co ty na to?|Jeden ze strażników jest mi winien przysługę. Mogę go poprosić, żeby zabrał cię do Lugos... Wtedy będziesz mi coś winien. Co powiesz?
Thanks, witcher. A thousand times over. Me son's dearest of all to me. I couldn't abide it if he'd died.|Dziękuję, stokroć dziękuję! Syn jest najdroższym co mam – nie zniósłbym jego śmierci.|Dziękuję, czarodzieju. Po stokroć. Mój syn jest dla mnie najdroższy ze wszystkiego. Nie zniósłbym, gdyby umarł.
I pray the beasts don't come back. Stink worse than kayrabs, they do.|Mam nadzieję, że te stwory już tu nie wrócą... Cuchną gorzej niż żabnica.|Modlę się, by bestie nie wróciły. Śmierdzą gorzej niż kojoty.
Heheh, not so tough without your blade. Which is too bad, 'cause you just lost it!|No, bez miecza taki twardy nie jesteś. Tym bardziej szkoda, żeś go właśnie przegrał!|Ha ha, nie jesteś już taki twardy bez swojego noża. Co jest zabawne, bo właśnie go straciłeś!
Wise choice. The Spirit will subject you to trial. But you cannot succumb. Succeed in renewing the covenant and I'll spare no gold in rewarding you.|Jesteś rozsądny. Duch będzie wystawiał cię na próby, ale nie możesz się złamać. Jeśli zdołasz odnowić przymierze, wróć do mnie, nie pożałuję złota.|Mądry wybór. Duch podda cię próbie. Ale nie możesz ulec. Uda ci się odnowić przymierze i nie oszczędzę złota, nagradzając cię.
Know what he did? Stole the hornwall horn, put the whole crew at risk! I followed him…|Wiesz, co on zrobił? Ukradł róg hornwala i naraził całą drużynę! Poszedłem za nim...|Wiesz co on zrobił? Ukradł róg rogu, postawił całą załogę w niebezpieczeństwie! Śledziłem go...
Maybe later.|Może później.|Może później.
Off corpses. Don't ye know? Wraiths use nails to build their cursed longship.|No tak – trupom paznokcie obcinamy. Każdy przecież wie, że upiory budują z paznokci przeklęty drakkar.|Od ciał. Czyżbyś nie wiedział? Upiory używają paznokci do budowy swojego przeklętego długiego statku.
Ermion says the Mask might cause a natural disaster.|Myszowór mówi, że Maska może doprowadzić do kataklizmu.|Ermion mówi, że maska może spowodować katastrofę naturalną.
Sorry. Can't take the job right now. Maybe later.|Na razie nie mogę się tym zająć. Może później.|Przepraszam. Nie mogę teraz podjąć pracy. Może później.
Hang on. It's my turn.|Poczekaj. Teraz moja kolej.|Poczekaj. Teraz moja kolej.
Really wonder if Crach'll be willing to help…|Czy Crach nam pomoże...|Naprawdę zastanawiam się, czy Crach będzie chciał pomóc...
[DEBUG] No|[DEBUG] No|[DEBUG] Nie
Haha, curiosity's bit ye, eh? His name's Grim - whooo… He's a lumberjack - spends winters brawlin' in taverns. Tried to win the championship this season, but… twaddle, nothin' came of it.|Ha, ha, ciekawski jesteś. Grim jest drwalem – całą zimę spędza na karczemnych bójkach. W tym sezonie próbował sięgnąć po tytuł mistrza, ale – dupa blada, nic z tego nie wyszło.|Ha ha, ciekawość cię dopadła, co? Nazywa się Grim - ktooo... To drwal - zimy spędza na bijatykach w karczmach. Próbował wygrać mistrzostwa w tym sezonie, ale... ple-ple, nic z tego nie wyszło.
Split!|Zwiewajcie!|Uciekaj!
I've talked to Hjort. He swears Udalryk didn't start hearin' voices till after Aki's death. And I don't think Hjort's mistaken, he knew both those boys from the cradle.|Rozmawiałam o tym z Hjortem. Powiedział, że Udalryk zaczął słyszeć głosy dopiero po śmierci Akiego. I raczej się nie myli, bo znał ich obu od kołyski.|Rozmawiałem z Hjortem. On przysięga, że Udalryk nie zaczął słyszeć głosów, dopóki Aki nie umarł. I nie sądzę, żeby Hjort się pomylił; on znał obu tych chłopców od kołyski.
Free me, I beg o' ye.|Uwolnij mnie, błagam.|Uwolnij mnie, proszę cię.
Finally, poor Wilhelm's ear will stay put…|Biednemu Wilhelmowi wreszcie przestanie odpadać ucho...|Wreszcie ucho biednego Wilhelma pozostanie na miejscu...
You'll make your defense before the jarl. Only if Madman Lugos calls you innocent, will you be free to go.|Będziesz się bronić przed jarlem. Jeśli Lugos Szalony uzna, żeś niewinny, odejdziesz wolny.|Będziesz się bronić przed jarlem. Tylko jeśli Szalony Lugos uzna cię za niewinnego, będziesz mógł odejść.
That's why he did it. Craven knew he would prove the elders wrong only if he killed Morkvarg.|W tym rzecz. Gdyby Tchórz zabił Morkvarga, dowiódłby, że starszyzna się pomyliła.|Dlatego to zrobił. Tchórz wiedział, że udowodni starszym, że się mylą, tylko jeśli zabije Morkvarga.
Think it might be time to get a new stud bull… Ours, well… he's not exactly frisky round the cows.|Trzeba ściągnąć nowego buhaja. Ten nasz... Jakoś mu do krów niespieszno.|Myślę, że może być czas na nowego byka rozpłodowego... Nasz, no cóż... on nie jest dokładnie rześki wokół krów.
Certainly! I got my first deck, oh, years ago, back in Cintra. Proceeded to teach the game to half of Skellige. Why do you ask - looking to play?|Pewnie! Pierwszą talię dostałem jeszcze podczas pobytu w Cintrze, a potem nauczyłem zasad pół Skellige. A co, masz ochotę na partyjkę?|Oczywiście! Dostałem moją pierwszą talię, och, lata temu, w Cintrze. Potem nauczyłem grę połowę Skellige. Dlaczego pytasz - chcesz zagrać?
Let's fight.|Walczmy.|Walczmy.
...Take her.|...Bierzcie ją.|Weź ją.
Callin' Lugos a madman's an insult to madmen. He's a common goatfucker.|Nazwanie Lugosa Szalonym jest obrazą szaleńców. To zwykły zjeb.|Nazywanie Łukasza wariatem jest obrazą dla wariatów. To zwykły gówniarz.
You're jarls' sons, all.|A więc sami synowie jarlów.|Jesteście synami jarła, wszyscy.
Where's the rest of your crew?|Gdzie reszta twojej drużyny?|Gdzie jest reszta twojej załogi?
To whom?!|Komu?!|Komu?!
Geralt, watch out!|Geralt, uważaj!|Geralt, uważaj!
Well, won't get anything else out of him.|No, od niego nic już się nie dowiemy.|Nic więcej z niego nie wydostaniemy.
An old shrine… covered in runes.|Jakiś stary chram... Pokryty runami.|Stara świątynia... pokryta runami.
Had enough?|Masz dość?|Masz już dosyć?
He's the only one who can light the fire that'll break the curse.|Tylko on może rozpalić ogień, który przełamie zaklęcie.|On jest jedynym, który może rozpalić ogień, który złamie klątwę.
We'll see who breaks first.|Zobaczymy, kto będzie dla kogo twardszym orzechem do zgryzienia.|Zobaczymy, kto pierwszy pęknie.
How're you faring?|Jak się masz?|Jak sobie radzisz?
See you, Yen. Take care of yourself.|Do zobaczenia, Yen. Uważaj na siebie.|Do zobaczenia, Yen. Dbaj o siebie.
That stench again… Slime and rotting flesh…|Znów ten smród... Szlam i padlina...|Ten smród znowu... Śluz i gnijące ciało...
I meant well…|Chciałem dobrze...|Chciałem dobrze...
Ugh, a moment longer and I'd 'ave given up.|Uch, jeszcze chwila i ja bym się poddał.|Ech, jeszcze chwila i bym się poddał.
Ghost shouldn't pester you anymore. Drinking mead with his ancestors by now.|Duch nie będzie wam więcej przeszkadzał. Prawdopodobnie pije teraz miód z przodkami.|Duch już nie powinien cię nękać. Pije miód ze swoimi przodkami.
Drogodar, Draig Bon-Dhu, Blueboy Lugos, Halbjorn, Otrygg… Take some time mention them all.|Drogodar, Draig Bon-Dhu, Lugos Siny, Halbjorn, Otrygg... Długo by wymieniać.|Drogodar, Draig Bon-Dhu, Blueboy Lugos, Halbjorn, Otrygg... Poświęć trochę czasu, by wspomnieć ich wszystkich.
Dah. Astrid, you're as dim as dishwater! You know perfectly well I'm helpin' her up.|Astrid, ale ty głupia jesteś! Widzisz przecież, że jej pomagam wstać.|"Tłumaczenie:

Ach. Astrid, jesteś tak głupia jak woda do naczyń! Doskonale wiesz, że pomagam jej wstać."
Got Hoskuld's sword like you wanted. Have yet to check if it really can't be chipped.|Mam miecz Hoskulda, tak jak chciałaś. Nie sprawdzałem jeszcze, czy naprawdę nie da się go wyszczerbić.|Masz miecz Hoskulda tak jak chciałeś. Jeszcze nie sprawdziłem, czy rzeczywiście nie można go zarysować.
Hm… when ye think on it… makes sense.|W sumie... Dobrze powiedziane.|Hmm... kiedy się nad tym zastanowię... ma to sens.
But I suppose that if all had gone smoothly, it woulda made for a dreadfully short ballad about our heroic adventure.|No, ale gdyby wszystko poszło gładko, pieśń o tej wyprawie byłaby bardzo krótka.|Ale przypuszczam, że gdyby wszystko poszło gładko, byłaby to strasznie krótka ballada o naszej bohaterskiej przygodzie.
Heard you fought Jutta.|Podobno zmierzyłeś się z Juttą.|Słyszałem, że biłeś się z Juttą.
Swore he'd sink his blade into the giant's heart - swore it on the bones of his ancestors.|Przysiągł na kości swoich przodków, że zatopi ten miecz w sercu giganta.|Przysiągł, że wbije ostrze w serce olbrzyma - przysiągł to na kości swoich przodków.
Aye, now I see. The skald sings true. Love bears many guises.|Taaak... Prawdę śpiewają skaldowie... Miłość niejedno ma imię.|Tak, teraz widzę. Skald śpiewa prawdę. Miłość ma wiele twarzy.
Gotta give this some thought. So long.|Zastanowię się jeszcze. Bywaj.|Muszę to przemyśleć. Do widzenia.
Farewell.|Bywaj.|Żegnaj.
Elders say in the Cave of Dreams you face your greatest fears. Face what makes you wake up at night, screamin'. Somethin' that's already been, will be… or just might be.|Starcy mówią, że w Jaskini Snów trzeba się zmierzyć z tym, czego się najbardziej boisz. Co sprawia, że w nocy budzisz się z krzykiem. Coś, co już było, będzie... Albo być może.|Starsi mówią, że w Jaskini Snów stajesz twarzą w twarz ze swoimi największymi lękami. Staw czoła temu, co sprawia, że budzisz się w nocy z krzykiem. Czegoś, co już było, będzie... lub może być.
They say the Wild Hunt destroyed your village…|Ponoć waszą wioskę zniszczył Gon...|Mówią, że Dziki Łów zniszczył twoją wieś...
Will that suit you?|Tyle wystarczy?|Czy to ci odpowiada?
Hey, stranger. Lookin' for some entertainment? Want a drink?|Witaj, nieznajomy. Szukasz rozrywki, czegoś chcesz się napić?|Cześć obcy. Szukasz rozrywki? Chcesz się napić?
Calm down! You act like rabid dogs, not jarls of Skellige. Speak, witcher.|Spokój! Zachowujecie się jak wściekłe psy, a nie jarlowie skelliskich rodów... Mów, wiedźminie.|Uspokój się! Zachowujecie się jak wściekłe psy, nie jak jarli Skellige. Mów, wiedźminie.
Folan! I was sure you'd died! Where've you been?|Folan! Byłem pewny, że nie żyjesz! Gdzie się podziewałeś?|Folan! Byłem pewien, że umarłeś! Gdzie byłeś?
I do.|Znam się.|Tak, zrobię to.
Ahem, the claimants to the throne will step forth in a moment.|Khem, za chwilę zaczną się zgłaszać kandydaci do korony.|"Tłumaczenie:
""Ahem, osoby zgłaszające roszczenia do tronu wystąpią za chwilę."""
Vildkaarls - what else do you know about 'em?|To co jeszcze wiesz o tych vildkaarlach?|Co jeszcze wiesz o nich?
Course. Ice Giant was just the beginnin'. 'Sides, got all kinds of whoresons already sayin' he wasn't that big.|Pewno. Lodowy gigant to dopiero początek. Zresztą różni tacy już zaczynają opowiadać, że wcale nie był taki wielki.|Oczywiście. Olbrzym Lodowy był dopiero początkiem. Poza tym, różne szumowiny już mówią, że nie był taki duży.
They could start, already.|No, niechże się już zacznie...|Oni mogliby już zacząć.
Aaaaa!|Aaaaa!|"Aaaaa!

(To słowo jest onomatopeją i nie ma bezpośredniego tłumaczenia na język polski.)"
But the hand is that of a woman, and you--|Ale charakter pisma jest kobiecy...|Ale to ręka kobiety, a ty...
So who'll mind the sheep?|A kto będzie owce pasał?|To kto będzie pilnował owiec?
They say Freya herself planted it. When the world was young the goddess strode across Skellige, sowing seeds among the rocks. But Uroboros, the snake, bit a hole in her basket.|Mówi się, że założyła go sama Freyja. Na początku świata bogini szła przez Skellige, sypiąc nasiona między nagie skały... Ale wąż Uroboros rozerwał jej siewnicę.|Mówią, że sama Freya to zasadziła. Kiedy świat był młody, bogini kroczyła po Skelligach, siejąc nasiona wśród skał. Ale Uroburos, wąż, ugryzł dziurę w jej koszu.
If there's one thing I'm not afraid of, it's nekkers.|Czego jak czego, ale nekkerów to się akurat nie boję.|Jeśli jest jedna rzecz, której się nie boję, to są nią nekkery.
He's loyal to the clan, so he'd never say openly. But he suggested that Udalryk's troubles likely come from Aki.|Jest lojalny wobec klanu, więc nie mówi o tym wprost, ale zasugerował, że może chodzić o Akiego.|Jest lojalny wobec klanu, więc nigdy by tego otwarcie nie powiedział. Ale zasugerował, że problemy Udalryka prawdopodobnie pochodzą od Akiego.
A fiend.|Bies.|Diabeł.
If you call the strife in his heart and head a battle…|Jeśli jego zmagania można nazwać bitwami, to rzeczywiście.|Jeśli nazywasz zamieszanie w jego sercu i głowie bitwą...
Hangin' by, mate?|Co tam, brachu?|"Tłumaczenie:

'Hangin' by, mate?'

Wisząc na tobie, stary?"
Congratulations. You'll make a great queen.|Gratuluję. Będziesz dobrą królową.|Gratulacje. Będziesz świetną królową.
Aaah. I understand. You must make a brew of lovage. One hour before, you know, this, that, the other.|Aaaa. Rozumiem. No, to lubczyk musisz sobie parzyć. Na godzinę przed ten, tego.|Ach. Rozumiem. Musisz zaparzyć zioła lubczyku. Godzinę przed, wiesz, tym, tamtym, innym.
Show me your goods.|Pokaż mi swoje towary.|Pokaż mi swoje towary.
Thanks for the prediction.|Dziękuję za wróżbę.|Dziękuję za przewidywanie.
Freya smiled upon another today. Not surprisin'… she rarely looks kind on outlanders.|Freyja komu innemu dziś sprzyjała. Nie dziwne... Ona rzadko na obcych spogląda łaskawym okiem.|Freya uśmiechnęła się do kolejnego dzisiaj. Nie dziwi... rzadko patrzy życzliwie na obcych.
If brawlin's in your nature and ye care to continue, there's Einar still to fight.|Gdybyś chciał dalej stawać do walki na pięści, to możesz walczyć z Einarem.|Jeśli masz ochotę na bijatykę i chcesz kontynuować, pozostał jeszcze Einar do pokonania.
I know many who crave the crown… But none who'd stoop so low to get it.|Znam wielu, którzy pragną korony... Ale nikogo, kto upadłby tak nisko, żeby ją zdobyć.|Wiem o wielu, którzy pragną korony... Ale nikt, kto by się tak poniżył, aby ją zdobyć.
And?|I co?|I co?
Farewell, an Craite.|Bywaj, an Craite.|Żegnaj, kochana.
Another victim.|Kolejna ofiara.|Kolejna ofiara.
Shame to let such a lad waste away behind bars… Come on. Maybe Lugos'll try you today.|Szkoda, żeby taki chłop marniał za kratkami... Chodź. Może Lugos zechce cię osądzić.|Szkoda pozwolić takiemu chłopakowi marnować się za kratami... Chodź. Może Łuczogród spróbuje cię dzisiaj.
Hang in there, Leif! I'll soon finish them off!|Trzymaj się, Leif! Zaraz z nimi skończę!|Trzymaj się, Leif! Wkrótce ich załatwię!
Take you'll decide when.|Rozumiem, że ty zadecydujesz kiedy nastąpi ten czas.|Weź, zdecydujesz kiedy.
To Bran! May he want for nothing in the world beyond!|Za Brana! Niech mu niczego nie zbraknie na tamtym świecie!|Bran! Niech niczego mu nie zabraknie w świecie poza!
A successful feast on all counts, Crach. I will see you later.|To była udana uczta. Do zobaczenia.|Udana uczta pod każdym względem, Crach. Zobaczymy się później.
I remember… Though I found myself admiring what I had right in front of me.|Pamiętam... Choć bardziej podobał mi się widok, który miałam tuż przed oczami.|Pamiętam... Chociaż zdałem sobie sprawę, że podziwiam to, co miałem tuż przed sobą.
Pull yourself together, Sinna. How'd they get in?|Weź się w garść, Sinna. Jak tu weszły?|Opanuj się, Sinna. Jak oni się tam dostali?
Pshaw…|Eeeech...|"Tłumaczenie:

'Pshaw...'

Pfuj..."
Greetings to you.|Witajcie.|Pozdrawiam Cię.
All right - where's Olaf?|A gdzie jest Olaf?|Dobrze - gdzie jest Olaf?
Fine. Let's do it.|Dobrze, zróbmy to.|Dobrze. Zróbmy to.
We did. Farewell, witcher! Favorable winds and following seas to you!|Jasne. Bywaj! Pomyślnych wiatrów i niech Bogini czuwa nad tobą!|Zrobiliśmy to. Żegnaj, wiedźminie! Pomyślnych wiatrów i spokojnego morza dla ciebie!
Greetings, Simun. Lugos decide to let you go?|Witaj, Simun. Lugos postanowił cię w końcu wypuścić?|Cześć, Simun. Lugos zdecydował, że pozwoli ci odejść?
All right. What do we have here…?|No dobra, co my tu mamy...|Dobrze. Co my tu mamy...?
No chance. You're weak. Might pass out again along the way. Wait here, we'll go together.|Wykluczone. Jeszcze gdzieś zasłabniesz po drodze. Poczekaj tu na mnie i pójdziemy razem.|Nie ma szans. Jesteś słaby. Możesz zemdleć ponownie po drodze. Poczekaj tutaj, pójdziemy razem.
How're things with Cerys?|Jak ci się układa z Cerys?|Jak się masz z Cerys?
Them eyes he's got…|Ale ma ślipia...|Te oczy, które on ma...
You smell wonderful.|Pięknie pachniesz.|Pachniesz cudownie.
Don't have time for this.|Nie mam czasu.|Nie mam czasu na to.
Ehh, we robbed our neighbors plenty before. An Skellig, Spikeroog, and--|No, myśmy też naszych rabowali. I na An Skellig, i na Spikeroog...|Ech, okradaliśmy naszych sąsiadów wiele razy wcześniej. Na Skelling, Spikeroog i...
Where?|Gdzie?|Gdzie?
Sides, I know how it'll be: you'll spit out some insults, pierce me with your sword. I'll then disappear, only to be back again in a few days.|Poza tym dokładnie wiem, co się teraz stanie: rzucisz kilka obelg, przebijesz mnie mieczem, zniknę, ale za parę dni znowu tu wrócę.|Po bokach, wiem jak to będzie: wyplujesz kilka obelg, przebijesz mnie swoim mieczem. Potem zniknę, by wrócić za kilka dni.
How about a game of cards?|Zagrajmy w karty.|Może zagramy w karty?
Here's hoping you're just as good at searching sunken ships.|Mam nadzieję, że z przeszukaniem wraku pójdzie ci równie sprawnie.|Obyś był równie dobry w szukaniu zatopionych statków.
Fact is, even those who see her for a wench'd gladly push her out to sea, tits and all.|Zresztą – wielu widzi, że to baba, a i tak chętnie by ją do morza wypchnęli.|Faktem jest, że nawet ci, którzy widzą ją jako dziwkę, chętnie wyrzuciliby ją do morza z cyckami i wszystkim.
I sure ain't gonna sail with 'im.|Ja tam nie płynę.|Nie popłynę z nim.
I hear he's very sick. Carrying himself unusually well tonight.|Słyszałam, że jest bardzo chory. Dzisiaj trzymał się wyjątkowo dobrze.|Słyszałem, że jest bardzo chory. Dziś wieczorem czuje się niezwykle dobrze.
