en_text,pl_text,result_one_shot,translation_one_shot,result_three_shot,translation_three_shot,chrf_translation_one_shot,bleu_translation_one_shot,bertscore_translation_one_shot,comet_translation_one_shot,chrf_translation_three_shot,bleu_translation_three_shot,bertscore_translation_three_shot,comet_translation_three_shot
Oh! Sure you're not gettin' carried away there…?,Chyba cię trochę poniosło...,"Zdanie po angielsku: Oh! Sure you're not gettin' carried away there…?

Tłumaczenie: [Ach! Pewnie nie dajesz się ponieść emocjom tam...?]",Ach! Pewnie nie dajesz się ponieść emocjom tam...?,"Oczywiście! Oto tłumaczenie podanego zdania na język polski:

[Och! Na pewno nie dajesz się ponieść emocjom tam...?]",Och! Na pewno nie dajesz się ponieść emocjom tam...?,0.21205819211001853,0.0,0.7386997938156128,0.6340850591659546,0.21743800497050914,0.0,0.731606662273407,0.5980729460716248
"What? Why, beer, mead and strong spirits. Whaddaya expect in a tavern? Jump rope?","No... piwo, miód i gorzałkę. A coś ty chciał w karczmie robić? W łapki grać?","Zdanie po angielsku: What? Why, beer, mead and strong spirits. Whaddaya expect in a tavern? Jump rope?

Tłumaczenie: [Co? Dlaczego, piwo, miód pitny i mocne alkohole. Czego się spodziewasz w karczmie? Skakanki?]","Co? Dlaczego, piwo, miód pitny i mocne alkohole. Czego się spodziewasz w karczmie? Skakanki?","Tłumaczenie: [Co? Dlaczego piwo, miód pitny i mocne alkohole? Czego się spodziewasz w karczmie? Skakanki?]","Co? Dlaczego piwo, miód pitny i mocne alkohole? Czego się spodziewasz w karczmie? Skakanki?",0.2869843500056117,0.03344511038039969,0.7676108479499817,0.6038519740104675,0.28482672849276963,0.03344511038039969,0.7537126541137695,0.6282212138175964
Hahahaha!,"Ha, ha!","Zdanie ""Hahahaha!"" jest onomatopeją, która nie ma bezpośredniego tłumaczenia na inny język, ponieważ jej celem jest oddanie dźwięku śmiechu. W języku polskim można to zapisać jako:

[Ha ha ha!]

To samo słowo używane jest zarówno w języku angielskim, jak i polskim, aby oddać dźwięk śmiechu.",Ha ha ha!,"Zdanie po angielsku: Hahahaha!

Tłumaczenie: [Hahahaha!]

To zdanie jest onomatopeją śmiechu i nie ma bezpośredniego tłumaczenia na język polski. W języku polskim również używa się ""haha"" lub ""hihi"" jako dźwięków naśladujących śmiech.",Hahahaha!,0.27530164404826307,0.11362193664674995,0.9305863380432129,0.9739329218864441,0.26537444483912237,0.0,0.846169650554657,0.9521151185035706
Heard you're a man with troubles…,"Z tego co słyszę, masz jakiś problem...","Zdanie po angielsku: Heard you're a man with troubles…

Tłumaczenie: [Słyszałem, że masz problemy...]","Słyszałem, że masz problemy...","Tłumaczenie: [Słyszałem, że masz problemy...]","Słyszałem, że masz problemy...",0.30094392089675925,0.037951271263104894,0.8155762553215027,0.9206628203392029,0.30094392089675925,0.037951271263104894,0.8155762553215027,0.9206628203392029
Cerys. Where's Cerys.,Cerys. Gdzie jest Cerys?,"Zdanie po angielsku: ""Where's Cerys?""

Tłumaczenie: [Gdzie jest Cerys?]

W tym przypadku nie ma potrzeby używania nawiasów kwadratowych, ponieważ to jest już ostateczne tłumaczenie. Nawiasy kwadratowe są używane w przykładzie, aby oddzielić oryginalny tekst od tłumaczenia. W rzeczywistym tłumaczeniu nie są one konieczne.",Gdzie jest Cerys?,"Tłumaczenie: [Gdzie jest Cerys?]

W tym przypadku nie mamy pełnego zdania po angielsku, ale dwa fragmenty: ""Cerys"" (imię) oraz ""Where's Cerys?"" (pytanie o miejsce pobytu). Tłumaczymy je jako pytanie o lokalizację osoby o imieniu Cerys.",Gdzie jest Cerys?,0.6955338117325153,0.40293516672844226,0.9067080020904541,0.9584113359451294,0.6955338117325153,0.40293516672844226,0.9067080020904541,0.9584113359451294
Arvid an Tordarroch. He was dead set on comin' with us…,"Arvid an Tordarroch. Tak się upierał, żeby z nami płynąć...","Zdanie po angielsku: Arvid an Tordarroch. He was dead set on comin' with us…

Tłumaczenie: [Arvid an Tordarroch. Był zdecydowany iść z nami…]",Arvid an Tordarroch. Był zdecydowany iść z nami…,"Tłumaczenie: [Arvid i Tordarroch. Był zdeterminowany, żeby pójść z nami...]","Arvid i Tordarroch. Był zdeterminowany, żeby pójść z nami...",0.41124906655421145,0.1150460085904485,0.8228355050086975,0.828631579875946,0.39421044228328744,0.03034691922392704,0.8683518767356873,0.7426468729972839
"Let us hope you're right, wanderer, let us hope you're right.","Obyś miał rację, wędrowcze, obyś miał rację.","Zdanie po angielsku: Let us hope you're right, wanderer, let us hope you're right.

Tłumaczenie: [Miejmy nadzieję, że masz rację, wędrowcze, miejmy nadzieję, że masz rację.]","Miejmy nadzieję, że masz rację, wędrowcze, miejmy nadzieję, że masz rację.","Oto tłumaczenie podanego zdania na język polski:

[Niechaj mamy nadzieję, że masz rację, wędrowcze, niechaj mamy nadzieję, że masz rację.]","Niechaj mamy nadzieję, że masz rację, wędrowcze, niechaj mamy nadzieję, że masz rację.",0.48011079296086295,0.04411629359322707,0.7946246862411499,0.8042293787002563,0.4638378646915635,0.036362270465000714,0.7762072682380676,0.7559948563575745
I mind fools. No matter where they're from.,"Drażnią mnie głupcy. Niezależnie od tego, skąd pochodzą.","Zdanie po angielsku: I mind fools. No matter where they're from.

Tłumaczenie: [Nie lubię głupców. Niezależnie od tego, skąd pochodzą.]","Nie lubię głupców. Niezależnie od tego, skąd pochodzą.",Tłumaczenie: [Nie lubię głupców. Nie ważne skąd są.],Nie lubię głupców. Nie ważne skąd są.,0.7030923485869788,0.5169731539571706,0.9013612866401672,0.9539688229560852,0.1801592457951184,0.028634401465295497,0.7759889364242554,0.9321815371513367
Thanks. Farewell.,Dzięki. Bywaj.,"Dziękuję. Do widzenia.

Tłumaczenie: [Dziękuję. Do widzenia.]",Dziękuję. Do widzenia.,"Dziękuję za prośbę o tłumaczenie. Oto tłumaczenie podanego zdania:

Zdanie po angielsku: Thanks. Farewell.
Tłumaczenie: [Dziękuję. Do widzenia.]",Dziękuję. Do widzenia.,0.27738321095272256,0.0,0.7396761178970337,0.8165693879127502,0.27738321095272256,0.0,0.7396761178970337,0.8165693879127502
So… what're you doin' on Undvik?,Aa... co robisz na Undvik?,"Zdanie po angielsku: So… what're you doin' on Undvik?

Tłumaczenie: [No więc... co robisz na Undvik?]",No więc... co robisz na Undvik?,Tłumaczenie: [Więc... co robisz na Undvik?],Więc... co robisz na Undvik?,0.8784972323376153,0.5081327481546147,0.8883587718009949,0.9095652103424072,0.8874744989915819,0.668740304976422,0.8847106099128723,0.9053425192832947
Seems they went that way.,Poszli chyba w tamtą stronę.,"Zdanie po angielsku: Seems they went that way.

Tłumaczenie: [Wydaje się, że poszli tamtędy.]","Wydaje się, że poszli tamtędy.","Tłumaczenie: [Wygląda na to, że poszli tamtędy.]","Wygląda na to, że poszli tamtędy.",0.21607935738463138,0.0,0.7615590691566467,0.8678659796714783,0.23471457001099708,0.0,0.7464684247970581,0.8075006604194641
"We're looking for a young woman, name of Ciri. Ashen hair, green eyes...","Szukamy dziewczyny o imieniu Ciri. Młoda... Szare włosy, zielone oczy.","Zdanie po angielsku: We're looking for a young woman, name of Ciri. Ashen hair, green eyes...

Tłumaczenie: [Szukamy młodej kobiety o imieniu Ciri. Popielate włosy, zielone oczy...]","Szukamy młodej kobiety o imieniu Ciri. Popielate włosy, zielone oczy...","Tłumaczenie: [Szukamy młodej kobiety o imieniu Ciri. Siwe włosy, zielone oczy...]","Szukamy młodej kobiety o imieniu Ciri. Siwe włosy, zielone oczy...",0.5938555181412256,0.13747081017605653,0.8896321058273315,0.9311597943305969,0.6044877030000037,0.13747081017605653,0.8944506049156189,0.9536839723587036
We meet again. So? Ye change your mind? Wanna hunt the Grossbart brothers with me? Easy coin for ye.,Znowu się spotykamy. To jak? Zmieniłeś zdanie? Zapolujemy razem na braci Grossbart? Dla ciebie to będzie łatwy grosz.,"Zdanie po angielsku: We meet again. So? Ye change your mind? Wanna hunt the Grossbart brothers with me? Easy coin for ye.

Tłumaczenie: [Spotykamy się ponownie. No więc? Zmieniłeś zdanie? Chcesz polować na braci Grossbart razem ze mną? Łatwe pieniądze dla ciebie.]",Spotykamy się ponownie. No więc? Zmieniłeś zdanie? Chcesz polować na braci Grossbart razem ze mną? Łatwe pieniądze dla ciebie.,Tłumaczenie: [Spotykamy się ponownie. No więc? Zmieniłeś zdanie? Chcesz ze mną tropić braci Grossbart? Łatwe pieniądze dla ciebie.],Spotykamy się ponownie. No więc? Zmieniłeś zdanie? Chcesz ze mną tropić braci Grossbart? Łatwe pieniądze dla ciebie.,0.4989395962286114,0.03370129264673146,0.8545168042182922,0.8677803874015808,0.47075928895594044,0.034297006525986155,0.8550779223442078,0.8337791562080383
"What?! I'll not give ye that, one dragon or many!",Co? Tyle to nawet za smoka nie dam!,"Zdanie po angielsku: What?! I'll not give ye that, one dragon or many!

Tłumaczenie: [Co?! Nie dam ci tego, jeden smok czy wiele!]","Co?! Nie dam ci tego, jeden smok czy wiele!","Tłumaczenie: [Co?! Nie dam ci tego, jeden smok czy wiele!]","Co?! Nie dam ci tego, jeden smok czy wiele!",0.2515829669276385,0.0,0.8095749020576477,0.614886999130249,0.2515829669276385,0.0,0.8095749020576477,0.614886999130249
"Tried to give me one or two orders, but I do believe she's done with that now.","Kilka razy próbowała mi rozkazywać, ale chyba już jej przeszło.","Zdanie po angielsku: Tried to give me one or two orders, but I do believe she's done with that now.

Tłumaczenie: [Spróbowała dać mi jedno lub dwa zamówienia, ale myślę, że teraz z tym skończyła.]","Spróbowała dać mi jedno lub dwa zamówienia, ale myślę, że teraz z tym skończyła.","Tłumaczenie: [Próbowała dać mi jedno lub dwa zamówienia, ale myślę, że teraz już z tym skończyła.]","Próbowała dać mi jedno lub dwa zamówienia, ale myślę, że teraz już z tym skończyła.",0.28008609447073857,0.0169861974906263,0.7307910919189453,0.6562874913215637,0.27240155956185075,0.017395797375642234,0.7597293257713318,0.6434860825538635
Greetings.,Witaj.,"Zdanie po angielsku: Greetings.

Tłumaczenie: [Witajcie.]

[Witajcie.]",Witajcie.,"Przetłumaczone zdanie na język polski:

[Witajcie.]",Witajcie.,0.5742692611456562,0.0,0.8932609558105469,0.9379041194915771,0.5742692611456562,0.0,0.8932609558105469,0.9379042983055115
Died at Castle Tuirseach when the Black Ones o'erran An Skellig.,"Zginął na zamku Tuirseach, jak Czarni An Skellig najechali.","Zdanie po irlandzku: Died at Castle Tuirseach when the Black Ones o'erran An Skellig.

Tłumaczenie na polski: [Umarł w Zamku Tuirseach, gdy Czarne Jednostki zaatakowały Skellig.]

Warto zauważyć, że to zdanie zawiera kilka specyficznych elementów:
- ""Castle Tuirseach"" to nazwa miejsca (zamek), która pozostaje nieprzetłumaczona.
- ""Black Ones"" to prawdopodobnie odniesienie do jakiejś grupy lub organizacji, której dokładne znaczenie może być trudne do ustalenia bez kontekstu.
- ""An Skellig"" to również nazwa miejsca (Skała), która pozostaje nieprzetłumaczona.

Jeśli potrzebujesz dodatkowego kontekstu lub wyjaśnienia dotyczącego tych elementów, daj mi znać!","Umarł w Zamku Tuirseach, gdy Czarne Jednostki zaatakowały Skellig.","Tłumaczenie: [Umarł w Zamku Tuirseach, gdy Czarni przejęli Skellig.]

To zdanie wydaje się być fragmentem opowieści lub legendy irlandzkiej, odnoszącej się do historycznych wydarzeń lub postaci. W języku polskim zostało ono przetłumaczone dosłownie, zachowując oryginalną strukturę i znaczenie.","Umarł w Zamku Tuirseach, gdy Czarni przejęli Skellig.",0.4213310378222291,0.023980296761827107,0.8094671368598938,0.7865197062492371,0.4393296234029156,0.02915032279375143,0.8339899182319641,0.7150382995605469
"It's not just about this place. There's someone, someone cursed. Gotta find them.",Nie chodzi tylko o to miejsce. Jest jeszcze ktoś – ktoś przeklęty. I muszę go znaleźć.,"Zdanie po angielsku: It's not just about this place. There's someone, someone cursed. Gotta find them.

Tłumaczenie: [To nie jest tylko o tym miejscu. Jest ktoś, ktoś przeklęty. Muszę ich znaleźć.]","To nie jest tylko o tym miejscu. Jest ktoś, ktoś przeklęty. Muszę ich znaleźć.","Tłumaczenie: [To nie chodzi tylko o to miejsce. Jest ktoś, ktoś przeklęty. Muszę ich znaleźć.]","To nie chodzi tylko o to miejsce. Jest ktoś, ktoś przeklęty. Muszę ich znaleźć.",0.48585510293991635,0.040981883354924725,0.8934301137924194,0.8584336638450623,0.6762000730593106,0.3513098711506864,0.9177116751670837,0.8979081511497498
I can help you.,Mogę ci pomóc.,"Zdanie po angielsku: I can help you.

Tłumaczenie: [Mogę ci pomóc.]",Mogę ci pomóc.,"Oczywiście! Oto tłumaczenie podanego zdania na język polski:

Zdanie po angielsku: I can help you.
Tłumaczenie: [Mogę ci pomóc.]",Mogę ci pomóc.,1.0,0.5623413251903491,0.9999999403953552,0.9914882779121399,1.0,0.5623413251903491,0.9999999403953552,0.9914882779121399
Yeah…,Bywaj.,"Zdanie po angielsku: Yeah…

Tłumaczenie: [Tak...]",Tak...,"Zdanie po angielsku: Yeah…

Tłumaczenie: [Tak...]

Uwaga: ""Yeah"" jest potocznym słowem używanym w języku angielskim jako odpowiednik ""tak"", ale często może być używane w różnych kontekstach, aby wyrazić zgodę, potwierdzenie lub nawet niepewność. W języku polskim najlepszym odpowiednikiem jest ""tak"", ale czasami może być też użyte ""aha"" lub ""no cóż"". W tym przypadku, ze względu na brak pełnego kontekstu, użyliśmy prostego ""tak"".",Tak...,0.05555555555555564,0.0,0.70188307762146,0.7121085524559021,0.05555555555555564,0.0,0.70188307762146,0.7121085524559021
You might find torches there.,Może znajdziesz tam pochodnie.,"Zdanie po angielsku: You might find torches there.

Tłumaczenie: [Możesz tam znaleźć pochodnie.]",Możesz tam znaleźć pochodnie.,Tłumaczenie: [Możesz tam znaleźć pochodnie.],Możesz tam znaleźć pochodnie.,0.5457645977393858,0.09554427922043669,0.8903771042823792,0.9570631980895996,0.5457645977393858,0.09554427922043669,0.8903771042823792,0.9570631980895996
Got anything you're willing to sell?,Masz coś na sprzedaż?,"Zdanie po angielsku: Got anything you're willing to sell?

Tłumaczenie: [Czy masz coś, co chciałbyś sprzedać?]","Czy masz coś, co chciałbyś sprzedać?","Tłumaczenie: [Czy masz coś, co chciałbyś sprzedać?]","Czy masz coś, co chciałbyś sprzedać?",0.4774269384597362,0.0,0.7948455214500427,0.9357466697692871,0.4774269384597362,0.0,0.7948455214500427,0.9357466697692871
I'm busy.,Zajęta jestem.,"Zdanie po angielsku: I'm busy.

Tłumaczenie: [Jestem zajęty/zajęta.]",Jestem zajęty/zajęta.,Tłumaczenie: [Jestem zajęty/zajęta.],Jestem zajęty/zajęta.,0.4462352802689526,0.0,0.7896934747695923,0.8467190861701965,0.4462352802689526,0.0,0.7896934747695923,0.8467190861701965
"Cerys, we need to talk.","Cerys, musimy pogadać.","Zdanie po angielsku: Cerys, we need to talk.

Tłumaczenie: [Cerys, musimy porozmawiać.]","Cerys, musimy porozmawiać.","Tłumaczenie: [Cerys, musimy porozmawiać.]","Cerys, musimy porozmawiać.",0.6980710244363504,0.24028114141347542,0.8896690011024475,0.9615610837936401,0.6980710244363504,0.24028114141347542,0.8896690011024475,0.9615610837936401
Do I need to talk to him?,Mam z nim porozmawiać?,"Zdanie po angielsku: Do I need to talk to him?

Tłumaczenie: [Czy muszę z nim porozmawiać?]",Czy muszę z nim porozmawiać?,Tłumaczenie: [Czy muszę z nim porozmawiać?],Czy muszę z nim porozmawiać?,0.8005497847544567,0.26591479484724945,0.9104964733123779,0.9687607288360596,0.8005497847544567,0.26591479484724945,0.9104964733123779,0.9687607288360596
"And if not for me, you'd have sat on that rock till you died and rotted.","A gdybym ja nie pomógł tobie, siedziałbyś na tej skale do usranej śmierci.","Zdanie po angielsku: And if not for me, you'd have sat on that rock till you died and rotted.

Tłumaczenie: [I gdyby nie ja, siedziałbyś na tym kamieniu, aż byś umarł i zgnił.]

[I gdyby nie ja, siedziałbyś na tym kamieniu, aż byś umarł i zgnił.]","I gdyby nie ja, siedziałbyś na tym kamieniu, aż byś umarł i zgnił.","Tłumaczenie: [A gdyby nie ja, siedziałbyś na tym kamieniu aż byś umarł i zgnił.]","A gdyby nie ja, siedziałbyś na tym kamieniu aż byś umarł i zgnił.",0.3444730169793441,0.036362270465000714,0.7906143665313721,0.822300374507904,0.36213265438779946,0.039073802494525016,0.7960983514785767,0.8365586996078491
Betting he'll listen to his father's counsel. And probably sink any possible accord with Nilfgaard.,"Myślę, że będzie się liczył ze zdaniem ojca. I raczej nie doprowadzi do zgody z Nilfgaardem.","Zdanie po angielsku: Betting he'll listen to his father's counsel. And probably sink any possible accord with Nilfgaard.

Tłumaczenie: [Licząc, że posłucha rady swojego ojca. I prawdopodobnie zatopi każdą możliwą ugodę z Nilfgaardem.]","Licząc, że posłucha rady swojego ojca. I prawdopodobnie zatopi każdą możliwą ugodę z Nilfgaardem.","Tłumaczenie: [Licząc na to, że posłucha rady swojego ojca. I prawdopodobnie zniszczy każdą możliwą ugodę z Nilfgaardem.]","Licząc na to, że posłucha rady swojego ojca. I prawdopodobnie zniszczy każdą możliwą ugodę z Nilfgaardem.",0.3190107471470724,0.039155845062422936,0.769333004951477,0.5822145342826843,0.33368686128253483,0.03889818545474848,0.7614983916282654,0.6861156821250916
*Sighs* Ehh.,Ech.,"Zdanie po angielsku: *Sighs* Ehh.

Tłumaczenie: [Wzdycha] Eh.",Wzdycha,"Zdanie po angielsku: *Sighs* Ehh.

Tłumaczenie: [Wzdycha*] Ehh.

*Uwaga: W tym przypadku ""Sighs"" (wzdycha) jest użyte jako onomatopeja, czyli dźwięk naśladujący rzeczywisty odgłos, który nie ma bezpośredniego tłumaczenia na inny język. Dlatego pozostaje ono w formie oryginalnej, ale z polskim opisem.*",Wzdycha*,0.12802443035001182,0.0,0.6399117708206177,0.7071714401245117,0.12477718360071309,0.0,0.6283983588218689,0.6157253384590149
Morkvarg? What's that?,Morkvarg? Co to?,"Zdanie po angielsku: Morkvarg? What's that?

Tłumaczenie: [Morkvarg? Co to jest?]",Morkvarg? Co to jest?,Tłumaczenie: [Morkvarg? Co to jest?],Morkvarg? Co to jest?,0.8914138020172436,0.16990442448471224,0.8839671015739441,0.7996216416358948,0.8914138020172436,0.16990442448471224,0.8839671015739441,0.7996211051940918
Spawn of a slave and an eyeless goat!,Bękarcie niewolnicy i bezokiego kozła!,"Spawn of a slave and an eyeless goat!

Tłumaczenie: [Potomek niewolnika i ślepej kozy!]",Potomek niewolnika i ślepej kozy!,Tłumaczenie: [Potomek niewolnika i ślepego kozła!],Potomek niewolnika i ślepego kozła!,0.265236958714701,0.05372849659117709,0.8182340860366821,0.7914519309997559,0.41946606273270026,0.06389431042462725,0.8424404263496399,0.7236968278884888
"What of it? We've a barn to build, not a palace!","I co z tego? Przecież szopę będziemy z nich zbijać, nie pałac!","Zdanie po angielsku: What of it? We've a barn to build, not a palace!

Tłumaczenie: [Co z tego? Mamy stodołę do zbudowania, nie pałac!]","Co z tego? Mamy stodołę do zbudowania, nie pałac!","Tłumaczenie: [Co z tego? Mamy stodołę do zbudowania, nie pałac!]","Co z tego? Mamy stodołę do zbudowania, nie pałac!",0.3006397863390397,0.051388060025202714,0.7915554642677307,0.8063172101974487,0.3006397863390397,0.051388060025202714,0.7915554642677307,0.8063172101974487
"A fine beauty, golden-haired and ruddy-cheeked…","Taka z niej ślicznotka, złotokosa i rumiana...","Zdanie po angielsku: A fine beauty, golden-haired and ruddy-cheeked...

Tłumaczenie: [Piękna dziewczyna, złotowłosa i rumianolica...]","Piękna dziewczyna, złotowłosa i rumianolica...","Tłumaczenie: [Piękna dziewczyna, złotowłosa i rumianolica...]","Piękna dziewczyna, złotowłosa i rumianolica...",0.43700860899030397,0.036015288308423515,0.7998191118240356,0.9013518691062927,0.43700860899030397,0.036015288308423515,0.7998191118240356,0.9013518691062927
