en_text,pl_text,default,no_details,translation_extraction_llm,translation_extraction_brackets,chrf_default,bleu_default,bertscore_default,comet_default,chrf_no_details,bleu_no_details,bertscore_no_details,comet_no_details,chrf_translation_extraction_llm,bleu_translation_extraction_llm,bertscore_translation_extraction_llm,comet_translation_extraction_llm,chrf_translation_extraction_brackets,bleu_translation_extraction_brackets,bertscore_translation_extraction_brackets,comet_translation_extraction_brackets
That's right.,Nie zastaniemy.,"To prawda.

Tłumaczenie ""That's right"" na język polski to ""To jest w porządku"" lub ""To prawda"". W zależności od kontekstu, może być używane jako potwierdzenie czegoś poprawnego lub jako wyrażenie aprobaty.",To prawda.,To prawda.,To prawda.,0.1184044882320745,0.0,0.5889334082603455,0.40456387400627136,0.037037037037037125,0.0,0.7191104292869568,0.5284374356269836,0.037037037037037125,0.0,0.7191104292869568,0.5284374356269836,0.037037037037037125,0.0,0.7191104292869568,0.5284374356269836
Oh! Sure you're not gettin' carried away there…?,Chyba cię trochę poniosło...,"Och! Na pewno nie przesadzasz tam trochę...?

To tłumaczenie oddaje sens oryginalnego zdania w języku angielskim, zachowując jego ton i intencję. Wypowiedź ta wyraża lekkie zdziwienie lub niedowierzanie mówiącego wobec czegoś, co zostało powiedziane przez rozmówcę. Może być użyta w różnych kontekstach, gdy ktoś chce delikatnie zasugerować, że dana sytuacja może być przedstawiona w sposób bardziej dramatyczny niż jest w rzeczywistości.",Och! Na pewno nie dajesz się ponieść emocjom tam...?,Och! Na pewno nie przesadzasz tam trochę...?,Och! Na pewno nie przesadzasz tam...?,0.14636413886826286,0.0,0.6324337720870972,0.44700735807418823,0.21743800497050914,0.0,0.731606662273407,0.5980729460716248,0.2524037430853439,0.0,0.7660884857177734,0.46298062801361084,0.13210898522117767,0.0,0.7479322552680969,0.4965076744556427
"What? Why, beer, mead and strong spirits. Whaddaya expect in a tavern? Jump rope?","No... piwo, miód i gorzałkę. A coś ty chciał w karczmie robić? W łapki grać?","Tłumaczenie na język polski:

Co? Dlaczego piwo, miód i mocne alkohole? Czego się spodziewasz w karczmie? Skakanki?

To zdanie jest humorystycznym komentarzem, który sugeruje, że oczywistym wyborem napojów w karczmie są różne rodzaje alkoholu, a nie np. skakanka czy inny sprzęt sportowy.","Co? Dlaczego piwo, miód pitny i mocne alkohole. Czego się spodziewasz w karczmie? Skakanki?","Co? Dlaczego piwo, miód i mocne alkohole? Czego się spodziewasz w karczmie? Skakanki?

To zdanie jest humorystycznym komentarzem, który sugeruje, że oczywistym wyborem napojów w karczmie są różne rodzaje alkoholu, a nie np. skakanka czy inny sprzęt sportowy.","Co? Dlaczego? Piwo, miód pitny i mocne alkohole. Czego się spodziewasz w karczmie? Skakanki?",0.27283834565082954,0.02733590008405116,0.6567667126655579,0.5982964038848877,0.2874472735661449,0.03344511038039969,0.7648525238037109,0.617691159248352,0.2796397590342501,0.03033429097425225,0.670729398727417,0.6282380223274231,0.2759063310226723,0.017502413882486995,0.7607237100601196,0.6516345739364624
Hahahaha!,"Ha, ha!","Hahahaha!

To słowo nie wymaga tłumaczenia, ponieważ ""hahahaha"" to onomatopeja wyrażająca śmiech i jest używane w języku polskim dokładnie tak samo jak w angielskim. Oznacza głośny, radosny śmiech.",Hahahaha!,"Hahahaha!

To słowo nie wymaga tłumaczenia, ponieważ hahahaha to onomatopeja wyrażająca śmiech i jest używane w języku polskim dokładnie tak samo jak w angielskim. Oznacza głośny, radosny śmiech.",Jestem bardzo dobrym kucharzem.,0.08435213448966922,0.0,0.5745002031326294,0.6040118336677551,0.26537444483912237,0.0,0.846169650554657,0.9521149396896362,0.08513631936106965,0.0,0.5777294039726257,0.5945497751235962,0.0841237579042458,0.0,0.6294424533843994,0.5323505997657776
Heard you're a man with troubles…,"Z tego co słyszę, masz jakiś problem...","Tłumaczenie tego zdania na język polski brzmi:

""Słyszałem, że masz kłopoty...""

To zdanie jest w formie pytającej lub stwierdzającej, zależnie od kontekstu. Może być użyte jako pytanie, aby dowiedzieć się więcej o czyichś problemach, lub jako stwierdzenie, które wyraża współczucie lub zainteresowanie sytuacją danej osoby.","Słyszałem, że masz kłopoty...","Słyszałem, że masz kłopoty...","Słyszałem, że masz problemy...",0.24909197341818642,0.004863083928997274,0.6481379270553589,0.6373825669288635,0.1951617703632567,0.037951271263104894,0.7919379472732544,0.9196628928184509,0.1951617703632567,0.037951271263104894,0.7919379472732544,0.9196628928184509,0.30094392089675925,0.037951271263104894,0.8155762553215027,0.9206628203392029
Cerys. Where's Cerys.,Cerys. Gdzie jest Cerys?,"Tekst ""Cerys. Where's Cerys"" można przetłumaczyć na język polski jako:

""Cerys. Gdzie jest Cerys?""

Wyjaśnienie:
- ""Cerys"" to imię własne, które pozostaje bez zmian w tłumaczeniu.
- ""Where's"" to skrócona forma pytania ""Where is"", co w języku polskim brzmi ""Gdzie jest"".
- Całe zdanie ""Where's Cerys"" oznacza ""Gdzie jest Cerys?"" i tak też zostało przetłumaczone.",Cerys. Gdzie jest Cerys?,Cerys. Gdzie jest Cerys?,Cerys. Gdzie jest Cerys?,0.39365149516291237,0.007030700263788871,0.6645182371139526,0.5683799982070923,1.0,1.0,1.0,0.9874683618545532,1.0,1.0,1.0,0.9874683022499084,1.0,1.0,1.0,0.9874683618545532
"Celain, celain, deffraen!","Celain, celain, deffraen!","Tłumaczenie tego zdania na język polski brzmi: ""Celuj, celuj, strzelaj!""

To popularne hasło używane w grach komputerowych i innych symulacjach, które zachęca do celowania i oddawania strzału. Jest to proste polecenie, które ma na celu pobudzić gracza do działania i skupienia się na celowaniu oraz wykonaniu strzału.","Celain, celain, defraen!","Celuj, celuj, strzelaj!","Cela, cela, defraudacja!",0.13451826734217362,0.0,0.5867138504981995,0.4625633955001831,0.8671454737185366,0.24028114141347542,0.9524475336074829,0.8654389381408691,0.17405964834743204,0.0,0.8325791954994202,0.4920513331890106,0.31388755991070594,0.0,0.7943458557128906,0.603467583656311
Arvid an Tordarroch. He was dead set on comin' with us…,"Arvid an Tordarroch. Tak się upierał, żeby z nami płynąć...","Arvid an Tordarroch. Był zdecydowany, że idzie razem z nami...

To zdanie w języku angielskim zostało przetłumaczone na język polski, zachowując znaczenie i kontekst oryginału. Warto zauważyć, że imię ""Arvid"" pozostaje bez zmian, ponieważ jest to nazwisko lub pseudonim osoby, natomiast reszta zdania została przetłumaczona dosłownie i zgodnie z gramatyką języka polskiego.",Arvid an Tordarroch. Był zdecydowany przyjść z nami...,"Arvid an Tordarroch. Był zdecydowany, że idzie razem z nami...","Arvid an Tordarroch. Był zdeterminowany, żeby pójść z nami...",0.3383276291139439,0.01873214866001142,0.6898974776268005,0.5621405243873596,0.42981213869543783,0.1150460085904485,0.8595067262649536,0.773653507232666,0.46849819826028954,0.1122444464861146,0.8568339347839355,0.8196356892585754,0.47893497107572625,0.12067008283523631,0.8966288566589355,0.7999551296234131
"Let us hope you're right, wanderer, let us hope you're right.","Obyś miał rację, wędrowcze, obyś miał rację.","Oto tłumaczenie na język polski:

""Niechaj mamy nadzieję, że masz rację, wędrowcze, niechaj mamy nadzieję, że masz rację.""

To zdanie jest dosłownym tłumaczeniem oryginalnego tekstu angielskiego i zachowuje jego strukturę oraz znaczenie.","Miejmy nadzieję, że masz rację, wędrowcze, miejmy nadzieję, że masz rację.","Niechaj mamy nadzieję, że masz rację, wędrowcze, niechaj mamy nadzieję, że masz rację.","Niechaj mamy nadzieję, że masz rację, wędrowcze, niechaj mamy nadzieję, że masz rację.",0.36112385323513235,0.012338142098850861,0.6900016665458679,0.6231772303581238,0.48011079296086295,0.04411629359322707,0.7946246862411499,0.8042293787002563,0.4638378646915635,0.036362270465000714,0.7762072682380676,0.7559948563575745,0.4638378646915635,0.036362270465000714,0.7762072682380676,0.7559948563575745
I mind fools. No matter where they're from.,"Drażnią mnie głupcy. Niezależnie od tego, skąd pochodzą.","Tłumaczenie na polski:

""Głupców nie lubię. Bez względu skąd pochodzą.""

To tłumaczenie zachowuje sens oryginalnego zdania, jednocześnie dostosowując je do bardziej naturalnego brzmienia w języku polskim.",Lubię głupców. Nie ważne skąd są.,Głupców nie lubię. Bez względu skąd pochodzą.,"Nie lubię głupców. Niezależnie od tego, skąd pochodzą.",0.33172017428550904,0.0072658577559704465,0.6650264859199524,0.6732411980628967,0.16704392484799765,0.02925226826055808,0.7876182198524475,0.9214733242988586,0.31414382668483626,0.0605543865104477,0.7883257269859314,0.9345092177391052,0.7030923485869788,0.5169731539571706,0.9013612866401672,0.9539688229560852
Thanks. Farewell.,Dzięki. Bywaj.,"Dziękuję. Żegnaj.

To tłumaczenie jest dosłowne i odpowiada oryginalnemu tekstowi w języku angielskim. ""Thanks"" to po prostu ""dziękuję"", a ""Farewell"" oznacza ""żegnaj"". W języku polskim, podobnie jak w angielskim, te słowa są używane do wyrażenia wdzięczności oraz pożegnania się z kimś.",Dziękuję. Żegnaj.,Dziękuję. Żegnaj.,Jestem bardzo dobrym kucharzem.,0.1374448709624828,0.0,0.5899514555931091,0.5800691843032837,0.30336342454317133,0.0,0.7335405349731445,0.6463928818702698,0.30336342454317133,0.0,0.7335405349731445,0.6463928818702698,0.05747126436781619,0.0,0.6987031102180481,0.48396602272987366
So… what're you doin' on Undvik?,Aa... co robisz na Undvik?,"Tłumaczenie tego zdania na język polski brzmi:

""No więc... co robisz na Undvik?""

To zdanie jest nieformalne i może być użyte jako pytanie skierowane do kogoś, kto przebywa na miejscu o nazwie ""Undvik"". Można je również dostosować do kontekstu, np. zastąpić słowo ""undvik"" innym miejscem lub aktywnością.",No więc... co robisz na Undvik?,No więc... co robisz na Undvik?,No więc... co robisz na Undvik?,0.40970173269443966,0.019348958477379132,0.6372764706611633,0.5590177178382874,0.8784972323376153,0.5081327481546147,0.8883587718009949,0.9095652103424072,0.8784972323376153,0.5081327481546147,0.8883587718009949,0.9095651507377625,0.8784972323376153,0.5081327481546147,0.8883587718009949,0.9095651507377625
Seems they went that way.,Poszli chyba w tamtą stronę.,"Tłumaczenie tego zdania na język polski brzmi:

""Wydaje się, że poszli tamtędy.""

To zdanie wyraża przypuszczenie lub domysł co do kierunku, w którym ktoś mógł pójść. Może być użyte w różnych kontekstach, na przykład gdy ktoś zauważy ślady stóp na piasku lub gdy próbuje odtworzyć trasę czyjegoś spaceru.","Wydaje się, że poszli tamtędy.","Wydaje się, że poszli tamtędy.","Wydaje się, że poszli tamtędy.",0.15129947013777476,0.0038253628844009133,0.6240236759185791,0.6295999884605408,0.21607935738463138,0.0,0.7615590691566467,0.8678659796714783,0.21607935738463138,0.0,0.7615590691566467,0.8678659796714783,0.21607935738463138,0.0,0.7615590691566467,0.8678659796714783
"We're looking for a young woman, name of Ciri. Ashen hair, green eyes...","Szukamy dziewczyny o imieniu Ciri. Młoda... Szare włosy, zielone oczy.","Tłumaczenie na język polski:

Szukamy młodej kobiety o imieniu Ciri. Włosy szare, oczy zielone...

To tłumaczenie odzwierciedla oryginalny tekst w języku angielskim, który został podany do przetłumaczenia.","Szukamy młodej kobiety o imieniu Ciri. Włosy szare, oczy zielone...","Szukamy młodej kobiety o imieniu Ciri. Włosy szare, oczy zielone...","Szukamy młodej kobiety imieniem Ciri. Popielate włosy, zielone oczy...",0.4416376732779283,0.03712362748517272,0.7203245759010315,0.6521974802017212,0.4780751620275397,0.1122444464861146,0.8576804995536804,0.9568595886230469,0.4780751620275397,0.1122444464861146,0.8576804995536804,0.9568595886230469,0.5045239540305546,0.05396530161402381,0.8787648677825928,0.9214388132095337
We meet again. So? Ye change your mind? Wanna hunt the Grossbart brothers with me? Easy coin for ye.,Znowu się spotykamy. To jak? Zmieniłeś zdanie? Zapolujemy razem na braci Grossbart? Dla ciebie to będzie łatwy grosz.,"Tłumaczenie na język polski:

""Spotykamy się ponownie. Więc? Zmieniłeś zdanie? Chcesz polować na braci Grossbart razem ze mną? Łatwe pieniądze dla ciebie.""

To tłumaczenie oddaje sens oryginalnego tekstu w języku angielskim, zachowując jego nieformalny i bezpośredni charakter.",Spotykamy się ponownie. Więc? Zmieniłeś zdanie? Chcesz polować na braci Grossbart razem ze mną? Łatwe pieniądze dla ciebie.,Spotykamy się ponownie. Więc? Zmieniłeś zdanie? Chcesz polować na braci Grossbart razem ze mną? Łatwe pieniądze dla ciebie.,Spotykamy się ponownie. No więc? Zmieniłeś zdanie? Chcesz polować na braci Grossbart razem ze mną? Łatwe pieniądze dla ciebie.,0.4728519158477896,0.017239283526555123,0.7381345629692078,0.702386736869812,0.49829442819807906,0.03575297164449809,0.8487803339958191,0.8571131825447083,0.49829442819807906,0.03575297164449809,0.8487803339958191,0.8571131825447083,0.4989395962286114,0.03370129264673146,0.8545168042182922,0.8677803874015808
"What?! I'll not give ye that, one dragon or many!",Co? Tyle to nawet za smoka nie dam!,"Co takiego?! Nie dam ci tego, jednego smoka czy wielu!

To zdanie jest wykrzyknikiem i wyraża silną odmowę lub sprzeciw wobec czegoś. W języku polskim można to przetłumaczyć jako ""Co?!"" lub ""Jak to?!"" z dodatkowym podkreśleniem stanowczości, np. ""Nie ma mowy!"".","Co?! Nie dam ci tego, jeden smok czy wiele!","Co?! lub Jak to?! z dodatkowym podkreśleniem stanowczości, np. Nie ma mowy!","Co?! Nie dam ci tego, jeden smok czy wiele!",0.21995320323970066,0.005355924989097696,0.649044394493103,0.5239123106002808,0.2515829669276385,0.0,0.8095749020576477,0.614886999130249,0.20813255548921963,0.0,0.6586965322494507,0.3480565845966339,0.2515829669276385,0.0,0.8095749020576477,0.614886999130249
"Tried to give me one or two orders, but I do believe she's done with that now.","Kilka razy próbowała mi rozkazywać, ale chyba już jej przeszło.","Spróbowała mi dać jeden lub dwa rozkazy, ale naprawdę wierzę, że już z tym skończyła.

To tłumaczenie oddaje sens oryginalnego zdania, uwzględniając kontekst i intencję mówiącego. Warto zauważyć, że w języku polskim często używamy bardziej bezpośrednich form wyrażania myśli niż w języku angielskim, co może wpływać na ostateczne brzmienie tłumaczenia.","Próbowała dać mi jedno lub dwa zamówienia, ale wierzę, że teraz już z tym skończyła.","Spróbowała mi dać jeden lub dwa rozkazy, ale naprawdę wierzę, że już z tym skończyła.","Próbowała dać mi jedno lub dwa zamówienia, ale myślę, że już z tym skończyła.",0.31232196835642884,0.004826741258911654,0.6599701046943665,0.6354377865791321,0.27795200917748625,0.017395797375642234,0.764790415763855,0.6374447345733643,0.396422142907098,0.017395797375642234,0.7642930150032043,0.805916965007782,0.26263597681281736,0.018798317647335087,0.7642509937286377,0.6366746425628662
Greetings.,Witaj.,"Dzień dobry!

Tłumaczenie ""Greetings"" na język polski to ""Pozdrowienia"" lub ""Witajcie"". W zależności od kontekstu i sytuacji, można użyć różnych form powitania, takich jak ""Dzień dobry"", ""Cześć"", ""Hej"", ""Witam"" itp. Jeśli masz na myśli bardziej formalne pozdrowienie, ""Dzień dobry"" jest najczęściej używaną formą w Polsce.",Pozdrowienia.,Pozdrowienia lub Witajcie,Pozdrowienia.,0.0838586567460357,0.0,0.5857092142105103,0.6189420819282532,0.07462686567164188,0.0,0.7948496341705322,0.8199630379676819,0.41141392489355916,0.0,0.7236616611480713,0.8084225654602051,0.07462686567164188,0.0,0.7948496341705322,0.8199629187583923
Died at Castle Tuirseach when the Black Ones o'erran An Skellig.,"Zginął na zamku Tuirseach, jak Czarni An Skellig najechali.","Tłumaczenie tego zdania na język polski brzmi:

""Zmarł w zamku Tuirseach, gdy Czarni przebiegli przez An Skellig.""

To zdanie pochodzi z irlandzkiej tradycji ustnej i odnosi się do wydarzeń historycznych lub legendarnych związanych z konfliktami między różnymi grupami ludności w Irlandii. ""Czarni"" mogą odnosić się do wikingów lub innych najeźdźców, a ""An Skellig"" to prawdopodobnie nazwa jakiegoś miejsca lub regionu. Zamek Tuirseach jest miejscem, gdzie ktoś zmarł w wyniku tych wydarzeń.","Zmarł w Zamku Tuirseach, gdy Czarni zbiegli ze Skellingu.","Zmarł w zamku Tuirseach, gdy Czarni przebiegli przez An Skellig.","Zmarł w Zamku Tuirseach, gdy Czarni przejęli An Skellig.",0.33723765694412045,0.006804777087327008,0.6640558838844299,0.594003438949585,0.425807350160752,0.028517539529041507,0.8197095394134521,0.7073708176612854,0.48950789565260316,0.05307712171072445,0.8746842741966248,0.7165411114692688,0.49655705136840783,0.03155984539112946,0.8659736514091492,0.6526464819908142
"It's not just about this place. There's someone, someone cursed. Gotta find them.",Nie chodzi tylko o to miejsce. Jest jeszcze ktoś – ktoś przeklęty. I muszę go znaleźć.,"Tłumaczenie na polski:

To nie tylko o tym miejscu. Jest ktoś, ktoś przeklęty. Muszę ich znaleźć.

Wyjaśnienie:
- ""It's not just about this place"" zostało przetłumaczone jako ""To nie tylko o tym miejscu"".
- ""There's someone, someone cursed"" zostało przetłumaczone jako ""Jest ktoś, ktoś przeklęty"".
- ""Gotta find them"" zostało przetłumaczone jako ""Muszę ich znaleźć"".

Całe zdanie zachowuje oryginalny sens i strukturę, oddając intencję mówiącego w sposób naturalny dla języka polskiego.","To nie chodzi tylko o to miejsce. Jest ktoś, ktoś przeklęty. Muszę ich znaleźć.","To nie tylko o tym miejscu. Jest ktoś, ktoś przeklęty. Muszę ich znaleźć.","Nie chodzi tylko o to miejsce. Jest ktoś, kogo dotknęła klątwa. Musimy ich znaleźć.",0.3621604240246643,0.008802446838569565,0.6421318054199219,0.6013594269752502,0.6762000730593106,0.3513098711506864,0.9177116751670837,0.8979081511497498,0.47428121665629774,0.040826691498313375,0.8889206647872925,0.8754371404647827,0.5331425738950206,0.3875827230406696,0.8572722673416138,0.8784653544425964
I can help you.,Mogę ci pomóc.,"Mogę ci pomóc.

To tłumaczenie jest dosłowne i bezpośrednie, zachowujące znaczenie oryginalnego zdania w języku angielskim.",Mogę ci pomóc.,Mogę ci pomóc.,Mogę ci pomóc.,0.49590286357161006,0.06087895024805787,0.7475486397743225,0.6503708958625793,1.0,0.5623413251903491,0.9999999403953552,0.9914882779121399,1.0,0.5623413251903491,0.9999999403953552,0.9914882779121399,1.0,0.5623413251903491,0.9999999403953552,0.9914882779121399
Yeah…,Bywaj.,"Tak...

""Yeah..."" to potoczne wyrażenie w języku angielskim, które może być używane jako reakcja na coś, co jest prawdziwe lub zgadzające się z czyjąś opinią. W języku polskim odpowiednikiem mogłoby być ""Tak..."", ale należy pamiętać, że kontekst i intonacja są kluczowe przy tłumaczeniu takich wyrażeń. Czasem można też użyć ""No cóż..."" lub ""Ano..."" w zależności od sytuacji.",Tak...,Tak...,Tak...,0.04094843687273741,0.0,0.49351152777671814,0.585263192653656,0.05555555555555564,0.0,0.70188307762146,0.7121085524559021,0.05555555555555564,0.0,0.70188307762146,0.7121089100837708,0.05555555555555564,0.0,0.70188307762146,0.7121086716651917
