default,no_details,translation_extraction_llm,translation_extraction_brackets,chrf_default,bleu_default,bertscore_default,chrf_translation_extraction_llm,bleu_translation_extraction_llm,bertscore_translation_extraction_llm,chrf_translation_extraction_brackets,bleu_translation_extraction_brackets,bertscore_translation_extraction_brackets
"To prawda.

Tłumaczenie ""That's right"" na język polski to ""To jest w porządku"" lub ""To prawda"". W zależności od kontekstu, może być używane jako potwierdzenie czegoś poprawnego lub jako wyrażenie aprobaty.",To prawda.,To prawda.,To prawda.,0.27861514776034674,0.012756976469629349,0.6635410785675049,1.0,0.316227766016838,0.9999999403953552,1.0,0.316227766016838,0.9999999403953552
"Och! Na pewno nie przesadzasz tam trochę...?

To tłumaczenie oddaje sens oryginalnego zdania w języku angielskim, zachowując jego ton i intencję. Wypowiedź ta wyraża lekkie zdziwienie lub niedowierzanie mówiącego wobec czegoś, co zostało powiedziane przez rozmówcę. Może być użyta w różnych kontekstach, gdy ktoś chce delikatnie zasugerować, że dana sytuacja może być przedstawiona w sposób bardziej dramatyczny niż jest w rzeczywistości.",Och! Na pewno nie dajesz się ponieść emocjom tam...?,Och! Na pewno nie przesadzasz tam trochę...?,Och! Na pewno nie przesadzasz tam...?,0.2950521019301306,0.03720596196661157,0.6854481101036072,0.39678071482716804,0.30895757752065417,0.8843182921409607,0.4293676463580844,0.3258798048281462,0.8925217986106873
"Tłumaczenie na język polski:

Co? Dlaczego piwo, miód i mocne alkohole? Czego się spodziewasz w karczmie? Skakanki?

To zdanie jest humorystycznym komentarzem, który sugeruje, że oczywistym wyborem napojów w karczmie są różne rodzaje alkoholu, a nie np. skakanka czy inny sprzęt sportowy.","Co? Dlaczego piwo, miód pitny i mocne alkohole. Czego się spodziewasz w karczmie? Skakanki?","Co? Dlaczego piwo, miód i mocne alkohole? Czego się spodziewasz w karczmie? Skakanki?

To zdanie jest humorystycznym komentarzem, który sugeruje, że oczywistym wyborem napojów w karczmie są różne rodzaje alkoholu, a nie np. skakanka czy inny sprzęt sportowy.","Co? Dlaczego? Piwo, miód pitny i mocne alkohole. Czego się spodziewasz w karczmie? Skakanki?",0.712893519720542,0.17624601773792403,0.7731176614761353,0.7327371557231038,0.19557790190470636,0.7993426322937012,0.9518458578059793,0.7744031410142033,0.9823694825172424
"Hahahaha!

To słowo nie wymaga tłumaczenia, ponieważ ""hahahaha"" to onomatopeja wyrażająca śmiech i jest używane w języku polskim dokładnie tak samo jak w angielskim. Oznacza głośny, radosny śmiech.",Hahahaha!,"Hahahaha!

To słowo nie wymaga tłumaczenia, ponieważ hahahaha to onomatopeja wyrażająca śmiech i jest używane w języku polskim dokładnie tak samo jak w angielskim. Oznacza głośny, radosny śmiech.",Jestem bardzo dobrym kucharzem.,0.28475061170713345,0.006716472052354862,0.6068590879440308,0.287281566441766,0.006716472052354862,0.6110986471176147,0.06270657646804444,0.0,0.62129807472229
"Tłumaczenie tego zdania na język polski brzmi:

""Słyszałem, że masz kłopoty...""

To zdanie jest w formie pytającej lub stwierdzającej, zależnie od kontekstu. Może być użyte jako pytanie, aby dowiedzieć się więcej o czyichś problemach, lub jako stwierdzenie, które wyraża współczucie lub zainteresowanie sytuacją danej osoby.","Słyszałem, że masz kłopoty...","Słyszałem, że masz kłopoty...","Słyszałem, że masz problemy...",0.48190848647891565,0.008647922020227043,0.7175977230072021,1.0,1.0,1.0000001192092896,0.6490529686756604,0.3976353643835253,0.9319393038749695
"Tekst ""Cerys. Where's Cerys"" można przetłumaczyć na język polski jako:

""Cerys. Gdzie jest Cerys?""

Wyjaśnienie:
- ""Cerys"" to imię własne, które pozostaje bez zmian w tłumaczeniu.
- ""Where's"" to skrócona forma pytania ""Where is"", co w języku polskim brzmi ""Gdzie jest"".
- Całe zdanie ""Where's Cerys"" oznacza ""Gdzie jest Cerys?"" i tak też zostało przetłumaczone.",Cerys. Gdzie jest Cerys?,Cerys. Gdzie jest Cerys?,Cerys. Gdzie jest Cerys?,0.39365149516291237,0.007030700263788871,0.6645182371139526,1.0,1.0,1.0,1.0,1.0,1.0
"Tłumaczenie tego zdania na język polski brzmi: ""Celuj, celuj, strzelaj!""

To popularne hasło używane w grach komputerowych i innych symulacjach, które zachęca do celowania i oddawania strzału. Jest to proste polecenie, które ma na celu pobudzić gracza do działania i skupienia się na celowaniu oraz wykonaniu strzału.","Celain, celain, defraen!","Celuj, celuj, strzelaj!","Cela, cela, defraudacja!",0.1371405744760713,0.0,0.5860862731933594,0.18149027053800862,0.0,0.8533799052238464,0.3816634947439901,0.0,0.795327365398407
"Arvid an Tordarroch. Był zdecydowany, że idzie razem z nami...

To zdanie w języku angielskim zostało przetłumaczone na język polski, zachowując znaczenie i kontekst oryginału. Warto zauważyć, że imię ""Arvid"" pozostaje bez zmian, ponieważ jest to nazwisko lub pseudonim osoby, natomiast reszta zdania została przetłumaczona dosłownie i zgodnie z gramatyką języka polskiego.",Arvid an Tordarroch. Był zdecydowany przyjść z nami...,"Arvid an Tordarroch. Był zdecydowany, że idzie razem z nami...","Arvid an Tordarroch. Był zdeterminowany, żeby pójść z nami...",0.5084874979521431,0.05213452347557884,0.7146912217140198,0.7812965689949932,0.31239399369202553,0.92693030834198,0.7314249304887719,0.3549481056010053,0.90269935131073
"Oto tłumaczenie na język polski:

""Niechaj mamy nadzieję, że masz rację, wędrowcze, niechaj mamy nadzieję, że masz rację.""

To zdanie jest dosłownym tłumaczeniem oryginalnego tekstu angielskiego i zachowuje jego strukturę oraz znaczenie.","Miejmy nadzieję, że masz rację, wędrowcze, miejmy nadzieję, że masz rację.","Niechaj mamy nadzieję, że masz rację, wędrowcze, niechaj mamy nadzieję, że masz rację.","Niechaj mamy nadzieję, że masz rację, wędrowcze, niechaj mamy nadzieję, że masz rację.",0.7049556349304007,0.14523626605098838,0.7670618295669556,0.8434801866831877,0.48442732379638637,0.935787558555603,0.8434801866831877,0.48442732379638637,0.935787558555603
"Tłumaczenie na polski:

""Głupców nie lubię. Bez względu skąd pochodzą.""

To tłumaczenie zachowuje sens oryginalnego zdania, jednocześnie dostosowując je do bardziej naturalnego brzmienia w języku polskim.",Lubię głupców. Nie ważne skąd są.,Głupców nie lubię. Bez względu skąd pochodzą.,"Nie lubię głupców. Niezależnie od tego, skąd pochodzą.",0.22324287011938024,0.0072658577559704465,0.6805616617202759,0.3101600571532883,0.033031643180138064,0.8376106023788452,0.5567970803641076,0.03655552228545124,0.8209190964698792
"Dziękuję. Żegnaj.

To tłumaczenie jest dosłowne i odpowiada oryginalnemu tekstowi w języku angielskim. ""Thanks"" to po prostu ""dziękuję"", a ""Farewell"" oznacza ""żegnaj"". W języku polskim, podobnie jak w angielskim, te słowa są używane do wyrażenia wdzięczności oraz pożegnania się z kimś.",Dziękuję. Żegnaj.,Dziękuję. Żegnaj.,Jestem bardzo dobrym kucharzem.,0.36948892019009216,0.009524331129825377,0.6706600785255432,1.0,0.316227766016838,1.0,0.0684276007273424,0.0,0.6536189913749695
"Tłumaczenie tego zdania na język polski brzmi:

""No więc... co robisz na Undvik?""

To zdanie jest nieformalne i może być użyte jako pytanie skierowane do kogoś, kto przebywa na miejscu o nazwie ""Undvik"". Można je również dostosować do kontekstu, np. zastąpić słowo ""undvik"" innym miejscem lub aktywnością.",No więc... co robisz na Undvik?,No więc... co robisz na Undvik?,No więc... co robisz na Undvik?,0.5036244972744649,0.04866005443800709,0.6770896315574646,1.0,1.0,1.0,1.0,1.0,1.0
"Tłumaczenie tego zdania na język polski brzmi:

""Wydaje się, że poszli tamtędy.""

To zdanie wyraża przypuszczenie lub domysł co do kierunku, w którym ktoś mógł pójść. Może być użyte w różnych kontekstach, na przykład gdy ktoś zauważy ślady stóp na piasku lub gdy próbuje odtworzyć trasę czyjegoś spaceru.","Wydaje się, że poszli tamtędy.","Wydaje się, że poszli tamtędy.","Wydaje się, że poszli tamtędy.",0.5057953417084412,0.018932608413777807,0.6924145817756653,1.0,1.0,1.0,1.0,1.0,1.0
"Tłumaczenie na język polski:

Szukamy młodej kobiety o imieniu Ciri. Włosy szare, oczy zielone...

To tłumaczenie odzwierciedla oryginalny tekst w języku angielskim, który został podany do przetłumaczenia.","Szukamy młodej kobiety o imieniu Ciri. Włosy szare, oczy zielone...","Szukamy młodej kobiety o imieniu Ciri. Włosy szare, oczy zielone...","Szukamy młodej kobiety imieniem Ciri. Popielate włosy, zielone oczy...",0.8233286518272225,0.3307391024442815,0.7892741560935974,1.0,1.0,1.0,0.5844524197301978,0.11412271829914293,0.9139817357063293
"Tłumaczenie na język polski:

""Spotykamy się ponownie. Więc? Zmieniłeś zdanie? Chcesz polować na braci Grossbart razem ze mną? Łatwe pieniądze dla ciebie.""

To tłumaczenie oddaje sens oryginalnego tekstu w języku angielskim, zachowując jego nieformalny i bezpośredni charakter.",Spotykamy się ponownie. Więc? Zmieniłeś zdanie? Chcesz polować na braci Grossbart razem ze mną? Łatwe pieniądze dla ciebie.,Spotykamy się ponownie. Więc? Zmieniłeś zdanie? Chcesz polować na braci Grossbart razem ze mną? Łatwe pieniądze dla ciebie.,Spotykamy się ponownie. No więc? Zmieniłeś zdanie? Chcesz polować na braci Grossbart razem ze mną? Łatwe pieniądze dla ciebie.,0.8861057829631925,0.4074345565194012,0.8152709007263184,1.0,1.0,1.0,0.9640391203204047,0.7912619863720214,0.9785777926445007
"Co takiego?! Nie dam ci tego, jednego smoka czy wielu!

To zdanie jest wykrzyknikiem i wyraża silną odmowę lub sprzeciw wobec czegoś. W języku polskim można to przetłumaczyć jako ""Co?!"" lub ""Jak to?!"" z dodatkowym podkreśleniem stanowczości, np. ""Nie ma mowy!"".","Co?! Nie dam ci tego, jeden smok czy wiele!","Co?! lub Jak to?! z dodatkowym podkreśleniem stanowczości, np. Nie ma mowy!","Co?! Nie dam ci tego, jeden smok czy wiele!",0.4733746512197308,0.059273053487055624,0.7234687805175781,0.21374403838013234,0.020255986027125642,0.6929346919059753,1.0,1.0,1.0
"Spróbowała mi dać jeden lub dwa rozkazy, ale naprawdę wierzę, że już z tym skończyła.

To tłumaczenie oddaje sens oryginalnego zdania, uwzględniając kontekst i intencję mówiącego. Warto zauważyć, że w języku polskim często używamy bardziej bezpośrednich form wyrażania myśli niż w języku angielskim, co może wpływać na ostateczne brzmienie tłumaczenia.","Próbowała dać mi jedno lub dwa zamówienia, ale wierzę, że teraz już z tym skończyła.","Spróbowała mi dać jeden lub dwa rozkazy, ale naprawdę wierzę, że już z tym skończyła.","Próbowała dać mi jedno lub dwa zamówienia, ale myślę, że już z tym skończyła.",0.4558515176497728,0.06679160449230033,0.722488284111023,0.5374154295916507,0.24072001290661232,0.9023773670196533,0.7858960914408883,0.6646817937381975,0.9514983296394348
"Dzień dobry!

Tłumaczenie ""Greetings"" na język polski to ""Pozdrowienia"" lub ""Witajcie"". W zależności od kontekstu i sytuacji, można użyć różnych form powitania, takich jak ""Dzień dobry"", ""Cześć"", ""Hej"", ""Witam"" itp. Jeśli masz na myśli bardziej formalne pozdrowienie, ""Dzień dobry"" jest najczęściej używaną formą w Polsce.",Pozdrowienia.,Pozdrowienia lub Witajcie,Pozdrowienia.,0.2600861784945234,0.0,0.6364020109176636,0.822098272098272,0.0,0.8236636519432068,1.0,0.1778279410038923,1.0
"Tłumaczenie tego zdania na język polski brzmi:

""Zmarł w zamku Tuirseach, gdy Czarni przebiegli przez An Skellig.""

To zdanie pochodzi z irlandzkiej tradycji ustnej i odnosi się do wydarzeń historycznych lub legendarnych związanych z konfliktami między różnymi grupami ludności w Irlandii. ""Czarni"" mogą odnosić się do wikingów lub innych najeźdźców, a ""An Skellig"" to prawdopodobnie nazwa jakiegoś miejsca lub regionu. Zamek Tuirseach jest miejscem, gdzie ktoś zmarł w wyniku tych wydarzeń.","Zmarł w Zamku Tuirseach, gdy Czarni zbiegli ze Skellingu.","Zmarł w zamku Tuirseach, gdy Czarni przebiegli przez An Skellig.","Zmarł w Zamku Tuirseach, gdy Czarni przejęli An Skellig.",0.40097522664491686,0.013609554174654016,0.6633196473121643,0.6773610314566195,0.13134549472120793,0.8999844789505005,0.697112008579185,0.5873949094699213,0.9124127626419067
"Tłumaczenie na polski:

To nie tylko o tym miejscu. Jest ktoś, ktoś przeklęty. Muszę ich znaleźć.

Wyjaśnienie:
- ""It's not just about this place"" zostało przetłumaczone jako ""To nie tylko o tym miejscu"".
- ""There's someone, someone cursed"" zostało przetłumaczone jako ""Jest ktoś, ktoś przeklęty"".
- ""Gotta find them"" zostało przetłumaczone jako ""Muszę ich znaleźć"".

Całe zdanie zachowuje oryginalny sens i strukturę, oddając intencję mówiącego w sposób naturalny dla języka polskiego.","To nie chodzi tylko o to miejsce. Jest ktoś, ktoś przeklęty. Muszę ich znaleźć.","To nie tylko o tym miejscu. Jest ktoś, ktoś przeklęty. Muszę ich znaleźć.","Nie chodzi tylko o to miejsce. Jest ktoś, kogo dotknęła klątwa. Musimy ich znaleźć.",0.5143668657201157,0.09320722300797857,0.6750161051750183,0.7595221771928081,0.5240124171055637,0.9582409262657166,0.6756243985409099,0.4785543921093738,0.887846052646637
"Mogę ci pomóc.

To tłumaczenie jest dosłowne i bezpośrednie, zachowujące znaczenie oryginalnego zdania w języku angielskim.",Mogę ci pomóc.,Mogę ci pomóc.,Mogę ci pomóc.,0.49590286357161006,0.06087895024805787,0.7475486397743225,1.0,0.5623413251903491,0.9999999403953552,1.0,0.5623413251903491,0.9999999403953552
"Tak...

""Yeah..."" to potoczne wyrażenie w języku angielskim, które może być używane jako reakcja na coś, co jest prawdziwe lub zgadzające się z czyjąś opinią. W języku polskim odpowiednikiem mogłoby być ""Tak..."", ale należy pamiętać, że kontekst i intonacja są kluczowe przy tłumaczeniu takich wyrażeń. Czasem można też użyć ""No cóż..."" lub ""Ano..."" w zależności od sytuacji.",Tak...,Tak...,Tak...,0.09867739931674807,0.0032047574588556275,0.5760236978530884,1.0,0.1778279410038923,1.0,1.0,0.1778279410038923,1.0
Możesz tam znaleźć pochodnie.,Możesz tam znaleźć pochodnie.,Możesz tam znaleźć pochodnie.,Możesz znaleźć tam pochodnie.,1.0,1.0,1.0,1.0,1.0,1.0,0.6866080055210491,0.11362193664674995,0.9836344718933105
"Tłumaczenie tego zdania na język polski brzmi:

""Masz coś, co chciałbyś sprzedać?""

To pytanie jest często używane w kontekście sprzedaży rzeczy osobistych lub przedmiotów, które ktoś już nie potrzebuje. Może być zadawane w sytuacji, gdy ktoś szuka okazji do pozbycia się niepotrzebnych przedmiotów lub chce dowiedzieć się, czy dana osoba ma coś, co mogłoby go zainteresować.","Czy masz coś, co jesteś skłonny sprzedać?","Masz coś, co chciałbyś sprzedać?","Czy masz coś, czego chciałbyś się pozbyć?",0.2921611860145921,0.0069016417535906855,0.6672687530517578,0.4237748447349215,0.08428828344718171,0.8672686815261841,0.3621928573482179,0.16348126556655487,0.8615070581436157
"Tłumaczenie tego zdania na język polski brzmi:

""Jestem zajęty.""

To jest najbardziej dosłowne tłumaczenie, które oddaje znaczenie oryginalnego angielskiego wyrażenia ""I'm busy"". Warto jednak zauważyć, że w języku polskim istnieją również inne sposoby wyrażenia tej myśli, takie jak:

- ""Mam dużo pracy.""
- ""Jestem bardzo zajęty.""
- ""Nie mam czasu.""

Wybór konkretnej formy może zależeć od kontekstu i stopnia intensywności zajętości, którą chcemy przekazać.",Jestem zajęty.,Jestem zajęty.,Jestem zajęty/zajęta.,0.2164107342682413,0.0,0.6292464733123779,1.0,0.316227766016838,1.0,0.8567015268318557,0.1495348781221221,0.8785339593887329
"Tłumaczenie tego zdania na język polski brzmi:

""Cerys, musimy porozmawiać.""

To jest bezpośrednie tłumaczenie, które zachowuje znaczenie oryginalnego zdania w języku angielskim. Zdanie to wyraża potrzebę rozmowy lub omówienia czegoś ważnego z osobą o imieniu Cerys.","Cerys, musimy porozmawiać.","Cerys, musimy porozmawiać.","Cerys, musimy porozmawiać.",0.511095408135214,0.005157142709886005,0.6851125359535217,1.0,0.5623413251903491,1.0,1.0,0.5623413251903491,1.0
"Czy muszę z nim rozmawiać?

To tłumaczenie odpowiada bezpośrednio na pytanie ""Do I need to talk to him?"" w języku angielskim, przekształcając je na jego polskie odpowiedniki. Pytanie to wyraża wątpliwość co do konieczności lub potrzeby prowadzenia rozmowy z określoną osobą, w tym przypadku mężczyzną (stąd użycie zaimka ""him"").",Czy muszę z nim rozmawiać?,Czy muszę z nim rozmawiać?,Czy muszę z nim porozmawiać?,0.43060220014525896,0.0696982798326675,0.6931546926498413,1.0,1.0,1.0,0.8542858079142884,0.668740304976422,0.955190896987915
"A gdyby nie ja, to siedziałbyś na tym kamieniu aż do śmierci i zgnicia.

To tłumaczenie oddaje sens oryginalnego zdania w języku angielskim, choć może brzmieć nieco mniej dosłownie niż dosłowne tłumaczenie. Warto pamiętać, że tłumaczenia często muszą być dostosowane do kontekstu kulturowego i językowego docelowego odbiorcy, aby były zrozumiałe i naturalnie brzmiące.","A gdyby nie ja, siedziałbyś na tym kamieniu aż do śmierci i zgnicia.","Gdyby nie ja, to siedziałbyś na tym kamieniu aż do śmierci i zgnicia.","Gdyby nie ja, siedziałbyś na tym kamieniu, umierając i gnijąc.",0.641688754676176,0.18921880627102045,0.7339738607406616,0.9130748232983908,0.7016035864257111,0.9727380275726318,0.6583458817125388,0.30457527453468203,0.8657500147819519
"Tłumaczenie na polski:

""Stawiając na to, że posłucha rady ojca. I prawdopodobnie zatopi każdy możliwy układ z Nilfgaardem.""

To tłumaczenie oddaje sens oryginalnego zdania w języku angielskim, uwzględniając kontekst i znaczenie poszczególnych słów oraz struktur gramatycznych.","Stawiam na to, że posłucha rady swojego ojca. I prawdopodobnie zatopi każdą możliwą ugodę z Nilfgaardem.","Stawiając na to, że posłucha rady ojca. I prawdopodobnie zatopi każdy możliwy układ z Nilfgaardem.","Stawiam na to, że posłucha rady swojego ojca. I prawdopodobnie zatopi każdy możliwy układ z Nilfgaardem.",0.6410362538549671,0.16508456673370578,0.7511764764785767,0.7209583058523042,0.41913559432820047,0.9052956104278564,0.8641827307538762,0.6967812829199793,0.9534468650817871
"Tłumaczenie tego wyrażenia na język polski to po prostu ""Ehh."" Jest to onomatopeja, która oddaje dźwięk westchnięcia lub reakcji emocjonalnej, często używanej w mowie potocznej do wyrażania frustracji, zmęczenia lub rozczarowania.",Wzdycha. Ehh.,Tłumaczenie tego wyrażenia na język polski to Ehh.,Jestem bardzo dobrym kucharzem.,0.10505729325136891,0.0,0.5909039974212646,0.1629806109624141,0.02777619034011792,0.6743572950363159,0.12660715627247074,0.0,0.6496492028236389
"Tłumaczenie na polski:

Morkvarg? Co to takiego?

To zdanie w języku szwedzkim, które można przetłumaczyć jako ""Co to jest morkvarg?"" lub ""Czym jest morkvarg?"". Słowo ""morkvarg"" oznacza ""morchella"", czyli popularny grzyb jadalny znany również pod nazwą smardz. W Polsce często używa się określenia ""smardzówka"".

Warto zauważyć, że w języku polskim nie ma bezpośredniego odpowiednika dla słowa ""morkvarg"", ale grzyby te są dobrze znane i cenione za swoje walory smakowe oraz wartości odżywcze. Smardze są często wykorzystywane w kuchniach europejskich, zwłaszcza we Francji i Skandynawii.",Morkvarg? Co to jest?,"Co to jest morkvarg? lub Czym jest morkvarg?

Słowo morkvarg oznacza morchella, czyli popularny grzyb jadalny znany również pod nazwą smardz. W Polsce często używa się określenia smardzówka.",Co to jest morkvarg?,0.22615975452015302,0.01066900086085139,0.6229745745658875,0.36768206169967327,0.014203609079723397,0.6542966961860657,0.6981284806019565,0.16990442448471224,0.8762046098709106
"""Potomek niewolnika i ślepej kozy!""

To tłumaczenie odnosi się do dosłownego znaczenia wyrażenia, które jest używane w języku angielskim jako przekleństwo lub obelga. Warto zauważyć, że takie sformułowania mogą być uznawane za obraźliwe i nieodpowiednie w wielu kontekstach społecznych i kulturowych.",Potomek niewolnika i ślepej kozy!,Potomek niewolnika i ślepej kozy!,Potomek niewolnika i ślepego kozła!,0.534799298606513,0.02229024282800966,0.716239869594574,1.0,1.0,1.0,0.8076122631553907,0.26591479484724945,0.9571200609207153
"Tłumaczenie tego zdania na język polski brzmi:

""Co z tego? Mamy budować stodołę, nie pałac!""

To popularne powiedzenie używane w sytuacji, gdy ktoś proponuje coś bardzo ambitnego lub kosztownego, a rozmówca odpowiada, że nie ma na to środków ani potrzeby. Zdanie to wyraża pragmatyczny i realistyczny punkt widzenia, podkreślając, że należy dostosować plany do rzeczywistych możliwości.","Co z tego? Mamy budować stodołę, nie pałac!","Co z tego? Mamy budować stodołę, nie pałac!","Co z tego? Mamy stodołę do zbudowania, nie pałac!",0.5322464007307957,0.07994117708843314,0.7025302052497864,1.0,1.0,1.0,0.7270208778076497,0.3549481056010053,0.9226037263870239
