speaker_gender|listener_gender|en_text|pl_text|prompt6_random|prompt6_chosen|prompt7_random|prompt7_chosen
mężczyzna|kobieta|I wanted to paint my walls but you didn't borrow me paint|Chciałem pomalować moje ściany ale nie pożyczyłaś mi farby|Chciałem pomalować ściany, ale nie pożyczyłeś mi farby.|Chciałem pomalować ściany, ale nie pożyczyłaś mi farby.|Chciałem pomalować ściany, ale nie pożyczyłeś mi farby.|Chciałem pomalować ściany, ale nie pożyczyłaś mi farby.
mężczyzna|mężczyzna|I wanted to paint my walls but you didn't borrow me paint|Chciałem pomalować moje ściany ale nie pożyczyłeś mi farby|Chciałem pomalować ściany, ale nie pożyczyłeś mi farby.|Chciałem pomalować ściany, ale nie pożyczyłeś mi farby.|Chciałem pomalować ściany, ale nie pożyczyłeś mi farby.|Chciałem pomalować ściany, ale nie pożyczyłeś mi farby.
mężczyzna|kobieta|I fixed the car, did you manage to fix your bike?|Naprawiłem samochód, czy udało ci się naprawić rower?|Naprawiłem samochód, czy udało ci się naprawić rower?|Naprawiłem samochód, czy udało ci się naprawić rower?|Naprawiłem samochód, czy udało ci się naprawić rower?|Naprawiłem samochód, czy udało ci się naprawić rower?
kobieta|mężczyzna|I fixed the car, did you manage to fix your bike?|Naprawiłam samochód, czy udało ci się naprawić rower?|Naprawiłam samochód, czy udało ci się naprawić rower?|Naprawiłam samochód, czy udało ci się naprawić rower?|Naprawiłam samochód, a czy udało ci się naprawić rower?|Naprawiłam samochód, czy udało ci się naprawić rower?
mężczyzna|mężczyzna|I fixed the car, did you manage to fix your bike?|Naprawiłem samochód, czy udało ci się naprawić rower?|Naprawiłem samochód, udało ci się naprawić rower?|Naprawiłem samochód, czy udało ci się naprawić rower?|Naprawiłem samochód, udało ci się naprawić rower?|Naprawiłem samochód, czy udało ci się naprawić rower?
kobieta|kobieta|I fixed the car, did you manage to fix your bike?|Naprawiłam samochód, czy udało ci się naprawić rower?|Naprawiłam samochód, czy udało ci się naprawić rower?|Naprawiłam samochód, czy udało ci się naprawić rower?|Naprawiłam samochód, udało ci się naprawić rower?|Naprawiłam samochód, a czy udało ci się naprawić rower?
mężczyzna|kobieta|I read the whole book, did you finish reading yours?|Przeczytałem całą książkę, czy skończyłaś swoją?|Przeczytałam całą książkę, skończyłaś czytać swoją?|Przeczytałem całą książkę, skończyłaś czytać swoją?|Przeczytałem całą książkę, skończyłaś swoją?|Przeczytałem całą książkę, skończyłaś czytać swoją?
kobieta|mężczyzna|I read the whole book, did you finish reading yours?|Przeczytałam całą książkę, czy skończyłeś swoją?|Przeczytałam całą książkę, skończyłeś swoją?|Przeczytałam całą książkę, skończyłeś czytać swoją?|Przeczytałam całą książkę, skończyłeś już swoją?|Przeczytałam całą książkę, skończyłeś już swoją?
mężczyzna|mężczyzna|I read the whole book, did you finish reading yours?|Przeczytałem całą książkę, czy skończyłeś swoją?|Przeczytałem całą książkę, skończyłeś swoją?|Przeczytałem całą książkę, skończyłeś czytać swoją?|Przeczytałem całą książkę, skończyłeś swoją?|Przeczytałem całą książkę, skończyłeś swoją?
kobieta|kobieta|I read the whole book, did you finish reading yours?|Przeczytałam całą książkę, czy skończyłaś swoją?|Przeczytałam całą książkę, skończyłaś swoją?|Przeczytałam całą książkę, skończyłaś czytać swoją?|Przeczytałam całą książkę, skończyłaś czytać swoją?|Przeczytałam całą książkę, skończyłaś już swoją?
mężczyzna|kobieta|I cooked dinner, did you bring the drinks?|Ugotowałem obiad, czy przyniosłaś napoje?|Ugotowałem kolację, przyniosłaś napoje?|Ugotowałem kolację, przyniosłaś napoje?|Przygotowałem kolację, przyniosłeś napoje?|Przygotowałem kolację, przyniosłaś napoje?
kobieta|mężczyzna|I cooked dinner, did you bring the drinks?|Ugotowałam obiad, czy przyniosłeś napoje?|Ugotowałam kolację, przyniosłeś napoje?|Ugotowałam kolację, przyniosłeś napoje?|Ugotowałam kolację, przyniosłeś napoje?|Przygotowałam kolację, przyniosłeś napoje?
mężczyzna|mężczyzna|I cooked dinner, did you bring the drinks?|Ugotowałem obiad, czy przyniosłeś napoje?|Ugotowałem kolację, przyniosłeś napoje?|Przygotowałem kolację, przyniosłeś napoje?|Ugotowałem kolację, przyniosłeś napoje?|Przygotowałem kolację, przyniosłeś napoje?
kobieta|kobieta|I cooked dinner, did you bring the drinks?|Ugotowałam obiad, czy przyniosłaś napoje?|Ugotowałam obiad, przyniosłaś napoje?|Ugotowałam kolację, przyniosłaś napoje?|Ugotowałam obiad, przyniosłaś napoje?|Przygotowałam kolację, przyniosłaś napoje?
mężczyzna|kobieta|I watched that movie last night, did you like it?|Obejrzałem ten film wczoraj wieczorem, spodobał ci się?|Oglądałem ten film wczoraj wieczorem, podobał ci się?|Oglądałem ten film wczoraj wieczorem, podobało ci się?|Oglądałam ten film wczoraj wieczorem, podobał ci się?|Oglądałem ten film wczoraj wieczorem, podobał ci się?
kobieta|mężczyzna|I watched that movie last night, did you like it?|Obejrzałam ten film wczoraj wieczorem, spodobał ci się?|Oglądałam ten film wczoraj wieczorem, podobał ci się?|Oglądałam ten film wczoraj wieczorem, podobał ci się?|Obejrzałam ten film wczoraj wieczorem, podobał ci się?|Oglądałam ten film wczoraj wieczorem, podobał ci się?
mężczyzna|mężczyzna|I watched that movie last night, did you like it?|Obejrzałem ten film wczoraj wieczorem, spodobał ci się?|Oglądałem ten film wczoraj wieczorem, podobał ci się?|Oglądałem ten film wczoraj wieczorem, podobało ci się?|Oglądałem ten film wczoraj wieczorem, podobał ci się?|Oglądałem ten film wczoraj wieczorem, podobał ci się?
kobieta|kobieta|I watched that movie last night, did you like it?|Obejrzałam ten film wczoraj wieczorem, spodobał ci się?|Oglądałam ten film wczoraj wieczorem, podobał ci się?|Oglądałam ten film wczoraj wieczorem, podobało ci się?|Widziałam ten film wczoraj wieczorem, podobał ci się?|Oglądałam ten film wczoraj wieczorem, podobał ci się?
mężczyzna|kobieta|I cleaned the kitchen, did you take out the trash?|Posprzątałem kuchnię, czy wyniosłaś śmieci?|Posprzątałem kuchnię, czy wyrzuciłaś śmieci?|Posprzątałem kuchnię, czy wyniosłaś śmieci?|Posprzątałem kuchnię, czy wyniosłaś śmieci?|Posprzątałem kuchnię, czy wyniosłaś śmieci?
kobieta|mężczyzna|I cleaned the kitchen, did you take out the trash?|Posprzątałam kuchnię, czy wyniosłeś śmieci?|Posprzątałam kuchnię, wyrzuciłeś śmieci?|Posprzątałam kuchnię, czy wyniosłeś śmieci?|Posprzątałam kuchnię, czy wyniosłaś śmieci?|Posprzątałam kuchnię, czy wyniosłeś śmieci?
mężczyzna|mężczyzna|I cleaned the kitchen, did you take out the trash?|Posprzątałem kuchnię, czy wyniosłeś śmieci?|Posprzątałem kuchnię, czy wyniosłeś śmieci?|Posprzątałem kuchnię, czy wyniosłeś śmieci?|Posprzątałem kuchnię, czy wyniosłeś śmieci?|Posprzątałem kuchnię, czy wyniosłeś śmieci?
kobieta|kobieta|I cleaned the kitchen, did you take out the trash?|Posprzątałam kuchnię, czy wyniosłaś śmieci?|Posprzątałam kuchnię, czy wyniosłaś śmieci?|Posprzątałam kuchnię, czy wyniosłaś śmieci?|Posprzątałam kuchnię, czy wyniosłaś śmieci?|Posprzątałam kuchnię, czy wyniosłaś śmieci?
mężczyzna|kobieta|I bought the tickets, did you remember to book the hotel?|Kupiłem bilety, czy pamiętałaś zarezerwować hotel?|Kupiłem bilety, czy zapamiętałaś, żeby zarezerwować hotel?|Kupiłem bilety, czy zapamiętałaś, żeby zarezerwować hotel?|Kupiłem bilety, czy zapamiętałeś, żeby zarezerwować hotel?|Kupiłem bilety, czy zapamiętałaś, żeby zarezerwować hotel?
kobieta|mężczyzna|I bought the tickets, did you remember to book the hotel?|Kupiłam bilety, czy pamiętałeś zarezerwować hotel?|Kupiłam bilety, czy pamiętałeś o rezerwacji hotelu?|Kupiłam bilety, czy pamiętałeś o rezerwacji hotelu?|Kupiłam bilety, czy zapamiętałeś, żeby zarezerwować hotel?|Kupiłam bilety, czy zapamiętałeś, żeby zarezerwować hotel?
mężczyzna|mężczyzna|I bought the tickets, did you remember to book the hotel?|Kupiłem bilety, czy pamiętałeś zarezerwować hotel?|Kupiłem bilety, czy zapamiętałeś, żeby zarezerwować hotel?|Kupiłem bilety, czy pamiętałeś o rezerwacji hotelu?|Kupiłem bilety, czy zapamiętałeś, żeby zarezerwować hotel?|Kupiłem bilety, czy pamiętałeś o rezerwacji hotelu?
kobieta|kobieta|I bought the tickets, did you remember to book the hotel?|Kupiłam bilety, czy pamiętałaś zarezerwować hotel?|Kupiłam bilety, czy zapamiętałaś, żeby zarezerwować hotel?|Kupiłam bilety, czy zapamiętałaś, żeby zarezerwować hotel?|Kupiłam bilety, czy zapamiętałaś, żeby zarezerwować hotel?|Kupiłam bilety, czy zapamiętałaś, żeby zarezerwować hotel?
mężczyzna|kobieta|I found the keys, did you find your wallet?|Znalazłem klucze, czy znalazłaś swój portfel?|Znalazłem klucze, czy znalazłaś swoją portmonetkę?|Znalazłem klucze, czy znalazłaś swoją portmonetkę?|Znalazłem klucze, czy znalazłaś swoją portmonetkę?|Znalazłem klucze, czy znalazłaś swoją portmonetkę?
kobieta|mężczyzna|I found the keys, did you find your wallet?|Znalazłam klucze, czy znalazłeś swój portfel?|Znalazłam klucze, znalazłeś swój portfel?|Znalazłam klucze, czy znalazłeś swój portfel?|Znalazłam klucze, znalazłaś swoją portmonetkę?|Znalazłam klucze, czy znalazłeś swój portfel?
mężczyzna|mężczyzna|I found the keys, did you find your wallet?|Znalazłem klucze, czy znalazłeś swój portfel?|Znalazłem klucze, czy znalazłeś swój portfel?|Znalazłem klucze, czy znalazłeś swój portfel?|Znalazłem klucze, znalazłeś swój portfel?|Znalazłem klucze, czy znalazłeś swój portfel?
kobieta|kobieta|I found the keys, did you find your wallet?|Znalazłam klucze, czy znalazłaś swój portfel?|Znalazłam klucze, znalazłaś swoją portmonetkę?|Znalazłam klucze, czy znalazłaś swoją portmonetkę?|Znalazłam klucze, znalazłaś swoją portmonetkę?|Znalazłam klucze, czy znalazłaś swoją portmonetkę?
mężczyzna|kobieta|I sent the email, did you call the client?|Wysłałem maila, czy zadzwoniłaś do klienta?|Wysłałem e-maila, czy skontaktowałaś się z klientem?|Wysłałem e-maila, czy dzwoniłaś do klienta?|Wysłałem e-maila, czy skontaktowałaś się z klientem?|Wysłałem e-maila, czy dzwoniłaś do klienta?
kobieta|mężczyzna|I sent the email, did you call the client?|Wysłałam maila, czy zadzwoniłeś do klienta?|Wysłałam e-maila, czy dzwoniłeś do klienta?|Wysłałam e-maila, czy dzwoniłeś do klienta?|Wysłałam e-maila, czy dzwoniłeś do klienta?|Wysłałam e-maila, czy dzwoniłeś do klienta?
mężczyzna|mężczyzna|I sent the email, did you call the client?|Wysłałem maila, czy zadzwoniłeś do klienta?|Wysłałem e-maila, czy dzwoniłeś do klienta?|Wysłałem e-maila, czy dzwoniłeś do klienta?|Wysłałem e-maila, czy dzwoniłeś do klienta?|Wysłałem e-maila, czy dzwoniłeś do klienta?
kobieta|kobieta|I sent the email, did you call the client?|Wysłałam maila, czy zadzwoniłaś do klienta?|Wysłałam e-maila, czy dzwoniłaś do klienta?|Wysłałam e-maila, czy dzwoniłaś do klienta?|Wysłałam e-maila, czy dzwoniłaś do klienta?|Wysłałam e-maila, czy dzwoniłaś do klienta?
mężczyzna|kobieta|I finished the report, did you complete the presentation?|Skończyłem raport, czy ukończyłaś prezentację?|Skoczyłem raport, czy skończyłaś prezentację?|Skoczyłem raport, czy skończyłaś prezentację?|Skończyłem raport, czy przygotowałeś prezentację?|Skończyłem raport, czy przygotowałaś prezentację?
kobieta|mężczyzna|I finished the report, did you complete the presentation?|Skończyłam raport, czy ukończyłeś prezentację?|Skoczyłam raport, czy skończyłeś prezentację?|Skoczyłam raport, czy skończyłeś prezentację?|Skoczyłam raport, czy skończyłeś prezentację?|Skończyłam raport, czy zrobiłeś prezentację?
mężczyzna|mężczyzna|I finished the report, did you complete the presentation?|Skończyłem raport, czy ukończyłeś prezentację?|Skoczyłem raport, czy skończyłeś prezentację?|Skończyłem raport, czy skończyłeś prezentację?|Skoczyłem raport, czy skończyłeś prezentację?|Skończyłem raport, czy zrobiłeś prezentację?
kobieta|kobieta|I finished the report, did you complete the presentation?|Skończyłam raport, czy ukończyłaś prezentację?|Skoczyłam raport, czy skończyłaś prezentację?|Skoczyłam raport, czy skończyłaś prezentację?|Skończyłam raport, czy przygotowałaś prezentację?|Skończyłam raport, czy przygotowałaś prezentację?
mężczyzna|kobieta|I repaired the sink, did you fix the door?|Naprawiłem zlew, czy naprawiłaś drzwi?|Naprawiłem zlew, czy naprawiłaś drzwi?|Naprawiłem zlew, czy naprawiłaś drzwi?|Naprawiłem zlew, a ty naprawiłeś drzwi?|Naprawiłem zlew, czy naprawiłaś drzwi?
kobieta|mężczyzna|I repaired the sink, did you fix the door?|Naprawiłam zlew, czy naprawiłeś drzwi?|Naprawiłam zlew, czy naprawiłeś drzwi?|Naprawiłam zlew, czy naprawiłeś drzwi?|Naprawiłam zlew, czy naprawiłaś drzwi?|Naprawiłam zlew, czy naprawiłeś drzwi?
mężczyzna|mężczyzna|I repaired the sink, did you fix the door?|Naprawiłem zlew, czy naprawiłeś drzwi?|Naprawiłem zlew, czy naprawiłeś drzwi?|Naprawiłem zlew, czy naprawiłeś drzwi?|Naprawiłem zlew, czy naprawiłeś drzwi?|Naprawiłem zlew, a ty naprawiłeś drzwi?
kobieta|kobieta|I repaired the sink, did you fix the door?|Naprawiłam zlew, czy naprawiłaś drzwi?|Naprawiłam zlew, czy naprawiłaś drzwi?|Naprawiłam zlew, czy naprawiłaś drzwi?|Naprawiłam zlew, czy naprawiłaś drzwi?|Naprawiłam zlew, czy naprawiłaś drzwi?
mężczyzna|kobieta|I wrote the letter, did you send it?|Napisałem list, czy go wysłałaś?|Napisałem list, czy go wysłałaś?|Napisałem list, czy go wysłałaś?|Napisałem list, czy go wysłałeś?|Napisałem list, czy go wysłałaś?
kobieta|mężczyzna|I wrote the letter, did you send it?|Napisałam list, czy go wysłałeś?|Napisałam list, czy go wysłałeś?|Napisałam list, czy go wysłałeś?|Napisałam list, wysłałeś go?|Napisałam list, czy go wysłałeś?
mężczyzna|mężczyzna|I wrote the letter, did you send it?|Napisałem list, czy go wysłałeś?|Napisałem list, czy go wysłałeś?|Napisałem list, czy go wysłałeś?|Napisałem list, wysłałeś go?|Napisałem list, czy go wysłałeś?
kobieta|kobieta|I wrote the letter, did you send it?|Napisałam list, czy go wysłałaś?|Napisałam list, czy go wysłałaś?|Napisałam list, czy go wysłałaś?|Napisałam list, czy go wysłałaś?|Napisałam list, czy go wysłałaś?
mężczyzna|kobieta|I repaired my laptop, did you back up your files?|Naprawiłem laptopa, czy zrobiłaś kopię zapasową plików?|Naprawiłem swój laptop, czy zrobiłaś kopię zapasową swoich plików?|Naprawiłem swój laptop, czy zrobiłaś kopię zapasową swoich plików?|Naprawiłem swój laptop, zrobiłaś kopię zapasową swoich plików?|Naprawiłem swój laptop, czy zrobiłaś kopię zapasową swoich plików?
kobieta|mężczyzna|I repaired my laptop, did you back up your files?|Naprawiłam laptopa, czy zrobiłeś kopię zapasową plików?|Naprawiłam swój laptop, czy zrobiłeś kopię zapasową swoich plików?|Naprawiłam swój laptop, czy zrobiłeś kopię zapasową swoich plików?|Naprawiłam swój laptop, zrobiłeś kopię zapasową swoich plików?|Naprawiłam swój laptop, czy zrobiłeś kopię zapasową swoich plików?
mężczyzna|mężczyzna|I repaired my laptop, did you back up your files?|Naprawiłem laptopa, czy zrobiłeś kopię zapasową plików?|Naprawiłem swój laptop, czy zrobiłeś kopię zapasową swoich plików?|Naprawiłem swój laptop, czy zrobiłeś kopię zapasową swoich plików?|Naprawiłem swój laptop, czy zrobiłeś kopię zapasową swoich plików?|Naprawiłem swój laptop, czy zrobiłeś kopię zapasową swoich plików?
kobieta|kobieta|I repaired my laptop, did you back up your files?|Naprawiłam laptopa, czy zrobiłaś kopię zapasową plików?|Naprawiłam swój laptop, czy zrobiłaś kopię zapasową swoich plików?|Naprawiłam swój laptop, czy zrobiłaś kopię zapasową swoich plików?|Naprawiłam swój laptop, czy zrobiłaś kopię zapasową swoich plików?|Naprawiłam swój laptop, czy zrobiłaś kopię zapasową swoich plików?
mężczyzna|kobieta|I sent the documents you asked for yesterday, but you still haven't replied, could you please check your inbox?|Wysłałem wczoraj dokumenty, o które prosiłaś, ale nadal mi nie odpisałaś, czy mogłabyś sprawdzić swoją skrzynkę?|Wysłałem dokumenty, o które prosiłaś wczoraj, ale nadal nie odpowiedziałeś. Czy mógłbyś sprawdzić swoją skrzynkę odbiorczą?|Wysłałem dokumenty, o które prosiłaś wczoraj, ale nadal nie odpowiedziałaś. Czy mogłabyś sprawdzić swoją skrzynkę odbiorczą?|Wysłałem dokumenty, o które prosiłaś wczoraj, ale nadal nie odpowiedziałaś. Czy mogłabyś sprawdzić swoją skrzynkę odbiorczą?|Wysłałem dokumenty, o które prosiłaś wczoraj, ale nadal nie odpowiedziałaś. Czy mogłabyś sprawdzić swoją skrzynkę odbiorczą?
kobieta|mężczyzna|I sent the documents you asked for yesterday, but you still haven't replied, could you please check your inbox?|Wysłałam wczoraj dokumenty, o które prosiłeś, ale nadal mi nie odpisałeś, czy mógłbyś sprawdzić swoją skrzynkę?|Wysłałam dokumenty, o które prosiłeś wczoraj, ale nadal nie odpowiedziałeś. Czy mógłbyś sprawdzić swoją skrzynkę odbiorczą?|Wysłałam dokumenty, o które prosiłeś wczoraj, ale nadal nie odpowiedziałeś. Mógłbyś sprawdzić swoją skrzynkę odbiorczą?|Wysłałam dokumenty, o które prosiłeś wczoraj, ale nadal nie odpowiedziałeś. Mógłbyś sprawdzić swoją skrzynkę odbiorczą?|Wysłałam dokumenty, o które prosiłeś wczoraj, ale nadal nie odpowiedziałeś. Mógłbyś sprawdzić swoją skrzynkę odbiorczą?
mężczyzna|mężczyzna|I sent the documents you asked for yesterday, but you still haven't replied, could you please check your inbox?|Wysłałem wczoraj dokumenty, o które prosiłeś, ale nadal mi nie odpisałeś, czy mógłbyś sprawdzić swoją skrzynkę?|Wysłałem dokumenty, o które prosiłeś wczoraj, ale nadal nie odpowiedziałeś. Czy mógłbyś sprawdzić swoją skrzynkę odbiorczą?|Wysłałem dokumenty, o które prosiłeś wczoraj, ale nadal nie odpowiedziałeś. Mógłbyś sprawdzić swoją skrzynkę odbiorczą?|Wysłałem dokumenty, o które prosiłeś wczoraj, ale nadal nie odpowiedziałeś. Mógłbyś sprawdzić swoją skrzynkę odbiorczą?|Wysłałem dokumenty, o które prosiłeś wczoraj, ale nadal nie odpowiedziałeś. Mógłbyś sprawdzić swoją skrzynkę odbiorczą?
kobieta|kobieta|I sent the documents you asked for yesterday, but you still haven't replied, could you please check your inbox?|Wysłałam wczoraj dokumenty, o które prosiłaś, ale nadal mi nie odpisałaś, czy mogłabyś sprawdzić swoją skrzynkę?|Wysłałam dokumenty, o które prosiłaś wczoraj, ale nadal nie odpowiedziałaś. Czy mogłabyś sprawdzić swoją skrzynkę odbiorczą?|Wysłałam dokumenty, o które prosiłaś wczoraj, ale nadal nie odpowiedziałaś. Czy mogłabyś sprawdzić swoją skrzynkę odbiorczą?|Wysłałam dokumenty, o które prosiłaś wczoraj, ale nadal nie odpowiedziałaś. Czy mogłabyś sprawdzić swoją skrzynkę odbiorczą?|Wysłałam dokumenty, o które prosiłaś wczoraj, ale nadal nie odpowiedziałaś. Czy mogłabyś sprawdzić swoją skrzynkę odbiorczą?
mężczyzna|kobieta|I stayed up all night preparing the presentation because you promised to help me, why didn't you show up?|Siedziałem całą noc przygotowując prezentację, bo obiecałaś, że mi pomożesz — dlaczego się nie pojawiłaś?|Czekałem na ciebie całą noc, przygotowując prezentację, bo obiecałaś mi pomóc, dlaczego się nie pojawiłaś?|Czekałem na ciebie całą noc, przygotowując prezentację, bo obiecałaś mi pomóc, dlaczego się nie pojawiłaś?|Czekałem na ciebie całą noc, przygotowując prezentację, bo obiecałeś mi pomóc, dlaczego się nie pojawiłeś?|Czekałem na ciebie całą noc, przygotowując prezentację, bo obiecałaś mi pomóc, dlaczego się nie pojawiłaś?
kobieta|mężczyzna|I stayed up all night preparing the presentation because you promised to help me, why didn't you show up?|Siedziałam całą noc przygotowując prezentację, bo obiecałeś, że mi pomożesz — dlaczego się nie pojawiłeś?|Czekałam całą noc, przygotowując prezentację, bo obiecałeś mi pomóc, dlaczego się nie pojawiłeś?|Czekałam na ciebie całą noc, przygotowując prezentację, bo obiecałeś mi pomóc, dlaczego się nie pojawiłeś?|Czekałam całą noc, przygotowując prezentację, bo obiecałeś mi pomóc, dlaczego się nie pojawiłeś?|Czekałam na ciebie całą noc, przygotowując prezentację, bo obiecałeś mi pomóc, dlaczego się nie pojawiłeś?
mężczyzna|mężczyzna|I stayed up all night preparing the presentation because you promised to help me, why didn't you show up?|Siedziałem całą noc przygotowując prezentację, bo obiecałeś, że mi pomożesz — dlaczego się nie pojawiłeś?|Czekałem na ciebie całą noc, przygotowując prezentację, bo obiecałeś mi pomóc. Dlaczego się nie pojawiłeś?|Czekałem na ciebie całą noc, przygotowując prezentację, bo obiecałeś mi pomóc, dlaczego się nie pojawiłeś?|Czekałem na ciebie całą noc, przygotowując prezentację, bo obiecałeś mi pomóc, dlaczego się nie pojawiłeś?|Czekałem na ciebie całą noc, przygotowując prezentację, bo obiecałeś mi pomóc, dlaczego się nie pojawiłeś?
kobieta|kobieta|I stayed up all night preparing the presentation because you promised to help me, why didn't you show up?|Siedziałam całą noc przygotowując prezentację, bo obiecałaś, że mi pomożesz — dlaczego się nie pojawiłaś?|Czekałam na ciebie całą noc, przygotowując prezentację, bo obiecałeś mi pomóc, dlaczego się nie pojawiłeś?|Czekałam na ciebie całą noc, przygotowując prezentację, bo obiecałaś mi pomóc, dlaczego się nie pojawiłaś?|Czekałam całą noc przygotowując prezentację, bo obiecałaś mi pomóc, dlaczego się nie pojawiłaś?|Czekałam na ciebie całą noc, przygotowując prezentację, bo obiecałaś mi pomóc, dlaczego się nie pojawiłaś?
mężczyzna|kobieta|I bought everything for the party and decorated the room, were you able to invite all our friends?|Kupiłem wszystko na przyjęcie i udekorowałem pokój, czy udało ci się zaprosić wszystkich naszych przyjaciół?|Kupiłem wszystko na imprezę i udekorowałem pokój, czy udało ci się zaprosić wszystkich naszych znajomych?|Kupiłem wszystko na imprezę i udekorowałem pokój, czy udało ci się zaprosić wszystkich naszych znajomych?|Kupiłem wszystko na imprezę i udekorowałem pokój, udało ci się zaprosić wszystkich naszych znajomych?|Kupiłem wszystko na imprezę i udekorowałem pokój, czy udało ci się zaprosić wszystkich naszych znajomych?
kobieta|mężczyzna|I bought everything for the party and decorated the room, were you able to invite all our friends?|Kupiłam wszystko na przyjęcie i udekorowałam pokój, czy udało ci się zaprosić wszystkich naszych przyjaciół?|Kupiłam wszystko na imprezę i udekorowałam pokój, czy udało ci się zaprosić wszystkich naszych znajomych?|Kupiłam wszystko na imprezę i udekorowałam pokój, czy udało ci się zaprosić wszystkich naszych przyjaciół?|Kupiłam wszystko na imprezę i udekorowałam pokój, udało ci się zaprosić wszystkich naszych znajomych?|Kupiłam wszystko na imprezę i udekorowałam pokój, czy udało ci się zaprosić wszystkich naszych znajomych?
mężczyzna|mężczyzna|I bought everything for the party and decorated the room, were you able to invite all our friends?|Kupiłem wszystko na przyjęcie i udekorowałem pokój, czy udało ci się zaprosić wszystkich naszych przyjaciół?|Kupiłem wszystko na imprezę i udekorowałem pokój, czy udało ci się zaprosić wszystkich naszych znajomych?|Kupiłem wszystko na imprezę i udekorowałem pokój, czy udało ci się zaprosić wszystkich naszych znajomych?|Kupiłem wszystko na imprezę i udekorowałem pokój, czy udało ci się zaprosić wszystkich naszych znajomych?|Kupiłem wszystko na imprezę i udekorowałem pokój, czy udało ci się zaprosić wszystkich naszych znajomych?
