pl_text,en_text,encoded_gender,few_shot_two_step
"Jej zdolność do pokonywania przeciwniczek w długich, zaciętych wymianach piłek pomogła jej dotrzeć do półfinałów wszystkich czterech turniejów wielkoszlemowych w tym samym roku. Cztery lata po wygraniu Wimbledonu dotarła do finału Australian Open, gdzie została pokonana przez Marinę Hingis.","Her ability to grind down opponents in long, attritional rallies helped her reach the semi-finals of all four Grand Slams that year. Four years after winning Wimbledon, she reached the final of the Australian Open where she was beaten by Martina Hingis.",feminine,"Jej umiejętność miażdżenia przeciwników w długich, wyczerpujących wymianach pomogła jej dotrzeć do półfinałów wszystkich czterech turniejów wielkoszlemowych w tamtym roku. Cztery lata po zwycięstwie we Wimbledonie dotarła do finału Australian Open, gdzie została pokonana przez Martinę Hingis."
"Angela Merkel pozostanie kanclerzem. Jej dotychczasowy koalicjant, SPD, przejdzie do opozycji po najgorszych wynikach wyborczych w powojennej historii Niemiec.","Angela Merkel will remain Chancellor. Her previous coalition partner, the SPD, will go into opposition following its worst-ever election showing in German post-war history.",feminine,"Angela Merkel pozostanie Kanclerz. Jej poprzedni koalicyjny partner, SPD, przejdzie do opozycji po najgorszym wyniku wyborczym w historii powojennych Niemiec."
"Kaisa-Leena Mäkäräinen (ur. 11 stycznia 1983 r.) to fińska biathlonistka, była mistrzyni świata i trzykrotna zdobywczyni Pucharu Świata, która obecnie reprezentuje Kontiolahden Urheilijat. Poza sportem Mäkäräinen obecnie studiuje, aby zostać nauczycielką fizyki na Uniwersytecie Wschodniej Finlandii w Joensuu.","Kaisa-Leena Mäkäräinen (born 11 January 1983) is a Finnish former world-champion and 3-time world-cup-winning biathlete, who currently competes for Kontiolahden Urheilijat.
Outside sports, Mäkäräinen is currently studying to be a Physics teacher at the University of Eastern Finland in Joensuu.",feminine,"Kaisa-Leena Mäkäräinen (ur. 11 stycznia 1983) jest fińską byłą mistrzynią świata i trzykrotną zwyciężczynią Pucharu Świata w biathlonie, która obecnie startuje dla klubu Kontiolahden Urheilijat. Poza sportem, Mäkäräinen aktualnie studiuje fizykę na Uniwersytecie Wschodniej Finlandii w Joensuu, aby zostać nauczycielką fizyki."
"Jorien ter Mors (ur. 21 grudnia 1989 r.) jest holenderską panczenistką zarówno na krótkim, jak i długim torze. Była mistrzynią olimpijską w kategorii 1500 metrów i biegu drużynowym (tor długi) na Zimowych Igrzyskach Olimpijskich w 2014 roku oraz w kategorii 1000 metrów na Zimowych Igrzyskach Olimpijskich w 2018 roku.",Jorien ter Mors (born 21 December 1989) is a Dutch speed skater on both short track and long track. She was the Olympic champion in the 1500 metres and team pursuit (long track) at the 2014 Winter Olympics and the 1000 metres at the 2018 Winter Olympics.,feminine,"Jorien ter Mors (ur. 21 grudnia 1989) jest holenderską łyżwiarką szybką zarówno w short tracku, jak i na długim torze. Była mistrzynią olimpijską na 1500 metrów i w biegu drużynowym (długi tor) podczas Zimowych Igrzysk Olimpijskich 2014 oraz na 1000 metrów podczas Zimowych Igrzysk Olimpijskich 2018."
"Ehsan Haddadi jest irańskim zawodnikiem w rzucie dyskiem. Mistrz Azji Juniorów z 2004 r., zdobył złoty medal na Mistrzostwach Świata Juniorów w Grosseto w 2004 r., stając się pierwszym Irańczykiem, który zdobył medal na jakichkolwiek światowych zawodach lekkoatletycznych.","Ehsan Haddadi is an Iranian discus thrower. The 2004 Asian Junior Champion, he won a gold medal at the 2004 World Junior Championships in Grosseto, the inaugural Iranian to win a medal at any global athletics competition.",masculine,"Ehsan Haddadi jest irańskim dyskobolem. Mistrz Azji juniorów z 2004 roku, zdobył złoty medal na Mistrzostwach Świata Juniorów w Lekkoatletyce w 2004 roku w Grosseto, jako pierwszy Irańczyk, który wygrał medal na jakiejkolwiek międzynarodowej imprezie lekkoatletycznej."
"Flor de María Rodríguez była urugwajską tancerką baletową i choreografką, która wraz z mężem, Lauro Ayestaránem, badała i ożywiała urugwajskie tańce ludowe. Urodzona w Las Piedras na południu Urugwaju, Rodríguez rozpoczęła swoją karierę jako tancerka baletowa.","Flor de María Rodríguez was a Uruguayan ballet dancer and choreographer who, together with her husband, Lauro Ayestarán, researched and revived Uruguay's folk dances. Born in Las Piedras in the south of Uruguay, Rodríguez began her career as a ballet dancer.",feminine,"Flor de María Rodríguez była urugwajską tancerką baletową i choreografką, która wraz ze swoim mężem, Lauro Ayestaránem, badała i ożywiła tradycyjne tańce ludowe Urugwaju. Urodzona w Las Piedras na południu Urugwaju, Rodríguez rozpoczęła karierę jako tancerka baletowa."
"Giovanni Bucchieri spędził młodość w Pizzerii Romana w Linköping. Wcześnie dał się poznać jako doskonały tancerz, specjalizujący się w breakdance i street dance.","Giovanni Bucchieri spent his youth at Pizzeria Romana in Linköping. He established himself early as a prolific dancer, specialised in breakdance and in Street dance.",masculine,"Giovanni Bucchieri spędził swoją młodość w Pizzerii Romanie w Linköping. Wcześnie ugruntował swoją pozycję jako płodny tancerz, specjalizujący się w breakdance'ie i tańcu ulicznym."
"René Gerónimo Favaloro był argentyńskim kardiochirurgiem i pedagogiem, najbardziej znanym ze swojej pionierskiej pracy nad pomostowaniem tętnic wieńcowych z wykorzystaniem żyły odpiszczelowej wielkiej. Favoloro urodził się w 1923 roku i wychował w La Plata; jego dziadkowie byli Sycylijczykami.",René Gerónimo Favaloro was an Argentine cardiac surgeon and educator best known for his pioneering work on coronary artery bypass surgery using the great saphenous vein. Favaloro was born in 1923 and raised in La Plata; his grandparents were Sicilians.,masculine,"René Gerónimo Favaloro był argentyńskim chirurgiem kardiochirurgicznym i edukatorem, najbardziej znanym ze swojej pionierskiej pracy nad operacją pomostowania aortalno-wieńcowego z użyciem żyły odpiszczelowej wielkiej. Favaloro urodził się w 1923 roku i dorastał w La Plata; jego dziadkowie pochodzili z Sycylii."
Carmen Gisele Castillo Taucher (ur. 1954 r.) jest chilijską chirurg i naukowcem. Była ministrem zdrowia publicznego w czasie drugiego rządu Michelle Bachelet.,Carmen Gisele Castillo Taucher (born 1954) is a Chilean surgeon and academic. She was the Minister of Public Health during the second government of Michelle Bachelet.,feminine,Carmen Gisele Castillo Taucher (ur. 1954) jest chilijską chirurgiem i nauczycielką akademicką. Była ministrem zdrowia publicznego podczas drugiej kadencji prezydentury Michelle Bachelet.
"Tsitsino Shurgaya jest urodzoną w Gruzji chirurg, która specjalizuje się w mikrochirurgii twarzy i szyi. Jest ekspertem w dziedzinie nerwu twarzowego, leczy paraliż twarzy i koncentruje swoje badania naukowe na wszystkich metodach odmładzania twarzy i szyi.","Tsitsino Shurgaya is a Georgian surgeon, born in Georgia who specializes in microsurgery of the face and neck. She is a facial nerve expert who treats facial paralysis and focuses her scientific research in all methods to rejuvenate the face and neck.",feminine,"Tsitsino Shurgaya jest gruzińską chirurg, urodzoną w Gruzji, specjalizującą się w mikrochirurgii twarzy i szyi. Jest ekspertką od nerwu twarzowego, zajmującą się leczeniem porażenia twarzy i koncentrującą swoje badania naukowe na wszystkich metodach odmładzania twarzy i szyi."
Heimar Marin jest również prezes Brazylijskiego Towarzystwa Informatyki Zdrowotnej (2002-2008); redaktor naczelną International Journal of Medical Informatics; oraz wiceprzewodniczącą i wybraną przewodniczącą (2009-2012) International Medical Informatics Association Nursing Informatics Special Interest Group (IMIA NI SIG). Marin pełni funkcję profesor wizytującej w Decision Systems Group w Harvard Medical School.,Heimar Marin is also the president of Brazilian Society of Health Informatics (2002–2008); editor-in-chief of the International Journal of Medical Informatics; and vice-chair and elected chair (2009–2012) of the International Medical Informatics Association Nursing Informatics Special Interest Group (IMIA NI SIG). Marin holds a position as visiting professor at Decision Systems Group at Harvard Medical School.,feminine,Heimar Marin jest również prezesem Brazylijskiego Towarzystwa Informatyki Medycznej (2002–2008); redaktorem naczelnym Międzynarodowego Dziennika Informatyki Medycznej; oraz wiceprzewodniczącym i przewodniczącym (2009–2012) Międzynarodowego Stowarzyszenia Informatyki Medycznej Grupy Zainteresowań Pielęgniarskich (IMIA NI SIG). Marin zajmuje stanowisko profesor wizytującej w Grupie Systemów Decyzyjnych w Harvard Medical School.
"Hilda Bowen, MBE była bahamską pielęgniarką. Ukończyła studia z zakresu pielęgniarstwa okulistycznego i położnictwa, stając się pierwszą bahamską pielęgniarką z wykształcenia.","Hilda Bowen, MBE was a Bahamian nurse. Graduating with a degree in ophthalmic nursing and midwifery, she became the first Bahamian trained nurse.",feminine,"Hilda Bowen, MBE była pielęgniarką z Bahamów. Uzyskując dyplom w dziedzinie pielęgniarstwa okulistycznego i położnictwa, została pierwszą pielęgniarką z Bahamów przeszkoloną w swoim kraju."
"Abasse Ndione był senegalskim pisarzem i pielęgniarzem. Ndione urodził się 16 grudnia 1946 r. w wiosce Bargny, niedaleko Dakaru, jako syn sklepikarza.","Abasse Ndione is a Senegalese author and nurse. Ndione was born 16 December 1946 in the village of Bargny, close to Dakar, the son of a shopkeeper.",masculine,"Abasse Ndione jest senegalskim pisarzem i pielęgniarzem. Ndione urodził się 16 grudnia 1946 roku we wsi Bargny, niedaleko Dakaru, jako syn sklepikarza."
Ronald Chow Mei-tak był członkiem Rady Legislacyjnej Hongkongu z okręgu funkcjonalnego ds. zdrowia. W 2005 r. został mianowany redaktorem naczelnym International Journal of Nursing Studies.,Ronald Chow Mei-tak was the member of the Legislative Council of Hong Kong for Health functional constituency. He was appointed Editor-in-Chief of the International Journal of Nursing Studies in 2005.,masculine,Ronald Chow Mei-tak był członkiem Rady Ustawodawczej Hongkongu dla okręgu funkcjonalnego zdrowia. Został mianowany redaktorem naczelnym Międzynarodowego Dziennika Studiów Pielęgniarskich w 2005 roku.
"Olga Louise Zoutendijk jest kobietą biznesu i bankierem o światowym zasięgu. Zajmowała wysokie stanowiska kierownicze w Azji, Australii, Europie i Stanach Zjednoczonych.","Olga Louise Zoutendijk is a global business woman and banker. She has held senior executive roles in Asia, Australia, Europe and the United States.",feminine,"Olga Louise Zoutendijk jest globalną bizneswoman i bankierką. Pełniła wysokie stanowiska kierownicze w Azji, Australii, Europie i Stanach Zjednoczonych."
Janet Gibson to biolog i zoolog z Belize. Obecnie jest dyrektorką Belize Wildlife Conservation Society.,Janet Gibson is a biologist and zoologist from Belize. She is the current director of the Belize Wildlife Conservation Society.,feminine,Janet Gibson jest biologiem i zoologiem z Belize. Jest obecną dyrektorką Towarzystwa Ochrony Dzikiej Przyrody w Belize.
Thomas Zondo Sakala jest doświadczony zimbabweńskim ekonomistą i bankierem specjalizującym się w rozwoju. Jest byłym wiceprezesem Afrykańskiego Banku Rozwoju odpowiedzialnym za programy krajowe i regionalne (od października 2014 r.).,Thomas Zondo Sakala is an experienced Zimbabwean economist and development banker. He is the former Vice-President of the African Development Bank in charge of Country and Regional Programmes (as of October 2014).,masculine,Thomas Zondo Sakala to doświadczony zimbabweński ekonomista i bankier rozwoju. Był byłym wiceprezesem Afrykańskiego Banku Rozwoju odpowiedzialnym za programy krajowe i regionalne (od października 2014 roku).
David Nyheim jest norweskim mediatorem pokojowym i ekspertem ds. wczesnego ostrzegania. Po kilku latach pracy w dziedzinie pomocy humanitarnej i zdrowia publicznego został zatrudniony w 1997 r. przy tworzeniu Forum on Early Warning and Early Response (FEWER).,"David Nyheim is a Norwegian peace-maker and early warning expert. After several years in the humanitarian and public health fields, he was recruited in 1997 to establish the Forum on Early Warning and Early Response (FEWER).",masculine,David Nyheim jest norweskim mediatorem i ekspertem w dziedzinie wczesnego ostrzegania. Po kilku latach pracy w sektorze humanitarnym i zdrowia publicznego został zwerbowany w 1997 roku do utworzenia Forum na rzecz Wczesnego Ostrzegania i Szybkiej Reakcji (FEWER).
"Mam na imię Natalia. Jestem strażaczką, pisarką i entuzjastką gier wideo. Jestem również aktywistką walczącą o większą równość w moim zawodzie.","My Name is Natalia. I am a firefighter, writer and video game enthusiast. I am also an activist fighting for more equality in my profession.",feminine,"Nazywam się Natalia. Jestem strażaczką, pisarką i entuzjastką gier wideo. Jestem również aktywistką walczącą o większą równość w moim zawodzie."
"Mam na imię George i mieszkam w Szwecji. Jestem stolarzem i YouTuberem. Mam dwa psy, które mieszkają razem ze mną w mieszkaniu.",My name is George and I live in Sweden. I am a carpenter and a YouTuber. I own two dogs that live in my appartment with me.,masculine,"Nazywam się George i mieszkam w Szwecji. Jestem stolarzem i YouTuberem. Mam dwa psy, które mieszkają ze mną w moim mieszkaniu."
"Mam na imię Marc. Jestem pielęgniarzem. Zgaduję, że źle to przetłumaczyłeś(-aś), prawda?","My name is Marc. I am a nurse. I am guessing you translated that wrong, didn’t you?",masculine,"Nazywam się Marc. Jestem pielęgniarzem. Zgaduję, że przetłumaczyłeś to źle, prawda?"
"Wszystkie jesteśmy bardzo dobrymi sportowcami. Pewnie pomogło to, że uprawiałyśmy dużo sportu jako dziewczynki. Obecnie wszystkie zdobywamy licencje na trenerów personalnych.",We are all very good athletes. It probably helped that we did a lot of sports as girls. We are currently all getting our training licenses as personal trainers.,feminine,"Jesteśmy wszyscy bardzo dobrymi sportowcami. Prawdopodobnie pomogło to, że uprawiałyśmy dużo sportu jako dziewczynki. Obecnie wszystkie zdobywamy nasze licencje trenerskie jako trenerki personalne."
"Wcześniej pracowałam jako pielęgniarka, a przedtem jako pracownica opieki społecznej. Jako kobieta, która dużo pracowała z uchodźcami wiem, jak wygląda ich sytuacja w tym kraju.","I have previously worked as a nurse, and as a social worker before that. As a woman who worked a lot with refugees, I know what their situation is like in this country.",feminine,"Wcześniej pracowałam jako pielęgniarka, a wcześniej jako pracownik socjalny. Jako kobieta, która dużo pracowała z uchodźcami, wiem, jak wygląda ich sytuacja w tym kraju."
"Na pewno będzie nam jej brakowało. Była wielką wartością dodaną dla naszej społeczności. Była najlepszą organizatorką imprez, jaką kiedykolwiek mieliśmy.",We surely will miss her. She added great value to our community. Was the best event planner we ever had.,feminine,"Na pewno będziemy za nią tęsknić. Wnosiła ogromną wartość do naszej społeczności. Była najlepszą organizatorką wydarzeń, jakiej kiedykolwiek mieliśmy."
Tom i John pracują w szpitalu. Są pielęgniarzami. Pracują również jako niezależni programiści. Są tacy inteligentni.,Tom and John work at the hospital. They are nurses. They also work as freelance developers. They are so smart.,masculine,Tom i John pracują w szpitalu. Są pielęgniarzami. Pracują również jako wolni programiści. Są tak inteligentni.
Mark i Spencer pracują w różnych domach. Są opiekunami. Oboje są super opiekuńczy i słodcy.,Mark and Spencer work at different houses. They are sitters. Both are super caring and sweet.,masculine,Marek i Spencer pracują w różnych domach. Są opiekunami. Obaj są bardzo troskliwi i słodcy.
Anne i Mary pracują w szkole. Są nauczycielkami. W wolnym czasie pracują również jako pisarki. Są bardzo dobre w tym co robią.,Anne and Mary work in the school. They are teachers. They also work as writers in their free time. They are very good at what they do.,feminine,"Anne i Mary pracują w szkole. Są nauczycielkami. W swoim wolnym czasie również pracują jako pisarki. Bardzo dobrze radzą sobie z tym, co robią."
Ada Lovelace była genialną matematyczką. Miała wyobraźnię i kochała maszyny. Ada była autorką pierwszego programu komputerowego w historii.,Ada Lovelace was a brilliant mathematician. She was imaginative and loved machines. Ada was the writer of the first computer program in history. ,feminine,Ada Lovelace była genialną matematyczką. Była pomysłowa i uwielbiała maszyny. Ada była autorką pierwszego programu komputerowego w historii.
"Alfonsina Strada była kolarką. Była tak szybka i silna, że wzięła udział w jednym z najtrudniejszych wyścigów na świecie. Przejechała przez linię mety. Została zwyciężczynią.",Alfonsina Strada was a cyclist. She was so fast and strong that she entered one of the toughest races in the world. She made it across the finish line. She was the winner.,feminine,"Alfonsina Strada była kolarką. Była tak szybka i silna, że wzięła udział w jednym z najtrudniejszych wyścigów na świecie. Przekroczyła linię mety jako zwyciężczyni."
"Księżniczka Merida w filmie Merida Waleczna nie jest bezradna. Jest fantastyczną łuczniczką, która galopuje na swoim koniu i przeżywa niesamowite przygody. Jest silną i niezależną osobą.",Princess Merida in Brave is anything but helpless. She’s a fantastic archer who gallops around her horse and has amazing adventures. She is a strong and free-spirited person. ,feminine,"Księżniczka Merida w ""Brave"" (Brave, czyli odważna) wcale nie jest bezradna. Jest świetną łuczniczką, która galopuje na swoim koniu i przeżywa niesamowite przygody. Jest silną i pełną pasji osobą."
"Mario pracuje jako pomoc domowa. Rzadko spędza czas w domu. Jest tak zajęty, że czasami musi pracować w soboty.",Mario works as a housekeeper. He rarely spends time at home. He is so busy sometimes he has to work Saturdays.,masculine,"Mario pracuje jako sprzątacz. Rzadko spędza czas w domu. Jest tak zajęty, że czasami musi pracować w soboty."
"Mam na imię Hector. Jestem nauczycielem gry na pianinie. Właśnie zostałem zatrudniony przez miejskie konserwatorium. Wcześniej byłem technikiem i inżynierem dźwięku i jestem bardzo szczęśliwy, że mogę rozpocząć nową karierę.","My name is Hector. I’m a piano teacher. I’ve just been recruited by the city’s conservatory. Before that, I was a technician and sound engineer and I am very happy to start this new career.",masculine,"Nazywam się Hector. Jestem nauczycielem gry na pianinie. Właśnie zostałem zrekrutowany przez konserwatorium miejskie. Zanim to nastąpiło, byłem technikiem i inżynierem dźwięku, i jestem bardzo szczęśliwy, że mogę rozpocząć tę nową karierę."
"Cześć, jestem Emily. Jestem nową sąsiadką. Jestem zdenerwowana, ponieważ mój dostawca energii elektrycznej powiedział mi, że w moim domu zostanie wyłączony prąd. Bateria mi padła, więc byłabym bardzo wdzięczna, gdybym mogła wpaść, żeby naładować telefon.","Hello, I’m Emily. I’m your new neighbor. I am annoyed because my electricity provider told me that the power was going to be turned off at my house. My battery is dead so I would be very grateful if you could let me in to charge my phone.",feminine,"Cześć, jestem Emily. Jesteśmy twoimi nowymi sąsiadami. Jestem zirytowana, ponieważ dostawca prądu powiedział mi, że w naszym domu zostanie odcięty prąd. Moja bateria jest rozładowana, więc byłabym bardzo wdzięczna, gdybyś pozwolili mi wejść i naładować telefon."
"Jestem ich córką i nalegam by porozmawiać z waszym kierownikiem. Jestem pewna, że można znaleźć lepszy pokój dla moich rodziców. Jestem strasznie rozczarowana obsługą w waszym hotelu.",I’m their daughter and I demand to speak with your manager. I’m certain you can get a better room for my parents. I’m terribly disappointed by the service at your hotel.,feminine,"Jestem ich córką i domagam się rozmowy z waszym kierownikiem. Jestem pewna, że możecie zaoferować lepszy pokój dla moich rodziców. Jestem bardzo rozczarowana obsługą w waszym hotelu."
Dzień dobry. Jestem żoną Milo. Od dwóch lat jestem licencjonowaną farmaceutką. Miło mi cię poznać.,Hello. I am Milo’s wife. I have been a licensed pharmacist for two years. Nice to meet you.,feminine,Cześć. Jestem żoną Mili. Od dwóch lat jestem licencjonowaną farmaceutką. Miło cię poznać.
"Jestem pierwszą kobietą na stanowisku prezydenta tego kraju. Urodziłam się w maleńkiej wiosce. Jako młoda uczennica musiałam iść ponad dwie godziny, aby dotrzeć do szkoły.","I’m the first female president of the country. I was born in a tiny village. As a young student, I had to walk for more than two hours to reach school.",feminine,"Jestem pierwszą kobiecą prezydentką kraju. Urodziłam się w małej wiosce. Jako młoda uczennica musiałam chodzić ponad dwie godziny, aby dotrzeć do szkoły."
"Tak, jestem jego wujkiem. Jestem nowym właścicielem księgarni z ogromnym niebieskim kotem w gablocie. Jestem zaskoczony, że nigdy wcześniej tego nie zauważyłeś(-aś).","Yes, I’m his uncle. I’m the new owner of the bookstore with the giant blue cat in the showcase. I’m surprised you never noticed it before.",masculine,"Jestem jego wujkiem. Jestem nowym właścicielem księgarni z ogromnym niebieskim kotem w witrynie. Dziwię się, że nigdy wcześniej tego nie zauważyłeś."
"Jestem mężem Alex. Przepraszam, że przerywam, ale szukam łazienki. Wpadłem do basenu i muszę się przebrać.","I’m Alex’s husband. Sorry to interrupt, but I’m looking for the bathroom. I fell in the swimming pool and I need to change.",masculine,"Jestem mężem Aleksa. Przepraszam, że przerywam, ale szukam toalety. Wpadłem do basenu i muszę się przebrać."
"Jestem wdowcem. Od śmierci Adele czuję się raczej samotny, ale jestem głęboko wdzięczny moim dzieciom. Pomogły mi odnaleźć wewnętrzny spokój.","I’m a widower. I feel rather lonely since Adele’s death, but I am deeply grateful to my children. They have helped me to find some inner peace.",masculine,"Jestem wdowcem. Od śmierci Adelaida czuję się dość samotny, ale jestem głęboko wdzięczny moim dzieciom. Pomogły mi one odnaleźć wewnętrzny spokój."
"Jako biznesmen jestem zawsze bardzo zajęty. Nie jest mi łatwo pozostać zaangażowanym politycznie, ale jestem zdeterminowany, by walczyć o swoje przekonania. Dlatego wystartowałem w wyborach związkowych.","As a businessman, I’m always very busy. It’s not easy for me to stay politically engaged but I’m determined to fight for my convictions. That’s why I ran for union elections.",masculine,"Jako biznesmen zawsze jestem bardzo zajęty. Nie jest łatwo dla mnie pozostać zaangażowanym politycznie, ale jestem zdeterminowany, aby walczyć o swoje przekonania. Dlatego kandydowałem w wyborach do związku zawodowego."
"Mam na imię Mateo. Pracuję jako konsultant prawny dla kilku laboratoriów medycznych. Jestem pod ciągłym wrażeniem postępu, jakiego dokonują.",My name is Mateo. I work as a legal consultant for several medical laboratories. I’m constantly impressed by the progress they make.,masculine,"Nazywam się Mateo. Pracuję jako konsultant prawny dla kilku laboratoriów medycznych. Jestem stale pod wrażeniem postępów, jakie osiągają."
"Odkąd zostałem ojcem, nauczyłem się patrzeć na sprawy z odpowiedniej perspektywy. Nie przejmuję się tak bardzo bałaganem i jestem ekspertem od pieluch. Mój brat mówi, że jestem nadopiekuńczym rodzicem, ale ja uważam, że jestem po prostu czujny.","Since I became a father, I learned to put things in perspective. I’m much less of a neat freak and I’m now a cloth diaper expert. My brother says I’m an overprotective parent, but I think I’m just being vigilant.",masculine,"Od kiedy zostałem ojcem, nauczyłem się stawiać rzeczy w odpowiedniej perspektywie. Jestem znacznie mniej pedantyczny i teraz jestem ekspertem od pieluch tetrowych. Mój brat mówi, że jestem nadopiekuńczym rodzicem, ale ja myślę, że po prostu jestem czujny."
"Jestem tłumaczem i tłumaczę książki. Ale ludzie często mówią o mnie: ""On jest interpretatorem"", a to nieprawda.","I'm a translator, and I translate books. But people often tell about me: ""He is an interpreter"". This is not true.",masculine,"Jestem tłumaczem i tłumaczę książki. Ludzie często jednak mówią o mnie: ""On jest tłumaczem ustnym"". To nieprawda."
Ta osoba nie jest zwyczajną profesjonalistką. Jest wyjątkową spawaczką podwodną.,This person is not just a professional. She is a unique underwater welder.,feminine,Ta osoba to nie tylko profesjonalistka. Jest unikalną spawaczką podwodną.
I wtedy pojawiła się postać. Miała na sobie czerwoną sukienkę. To była moja żona.,And then a silhouette appeared. She wore a red dress. It was my wife.,feminine,A potem pojawiła się sylwetka. Miała na sobie czerwoną sukienkę. To była moja żona.
